# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.449
metadata : {}


# id : NWRW1800000028.449.1.1
“한전KDN, 승급분 임금체불은 위법”

“한전KDN,	“/SS+한전/NNP+KDN/SL+,/SP
노조	노조/NNG
쪽은	쪽/NNB+은/JX
“일단	“/SS+일단/MAG
규정대로	규정/NNG+대로/JX
승급분은	승급/NNG+분/XSN+은/JX
지급하고	지급/NNG+하/XSV+고/EC
논의를	논의/NNG+를/JKO
시작하자는	시작/NNG+하/XSV+자는/ETM
뜻을	뜻/NNG+을/JKO
전했는데,	전하/VV+았/EP+는데/EC+,/SP
며칠	며칠/NNG
안에	안/NNG+에/JKB
어떻게	어떻/VA+게/EC
문제가	문제/NNG+가/JKS
해결될	해결/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
모르겠다”고	모르/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.449.5.1
호봉 승급분을 일방적으로 지급하지 않은 것을 계기로, 해병대 사령관 출신인 전도봉(68) 사장의 경영스타일에 대한 뒷말도 무성하다.

호봉	호봉/NNG
승급분을	승급/NNG+분/XSN+을/JKO
일방적으로	일방/NNG+적/XSN+으로/JKB
지급하지	지급/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것을	것/NNB+을/JKO
계기로,	계기/NNG+로/JKB+,/SP
해병대	해병대/NNG
사령관	사령관/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
전도봉(68)	전도봉/NNP+(/SS+68/SN+)/SS
사장의	사장/NNG+의/JKG
경영스타일에	경영/NNG+스타일/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
뒷말도	뒷말/NNG+도/JX
무성하다.	무성하/VA+다/EF+./SF


# id : NWRW1800000028.449.5.2
이 회사 한 직원은 “승급 대상자 270여명 가운데 80%가량이 회사에서 찍힐 것을 감수하면서까지 진정서를 냈다는 것 자체가 전 사장에 대한 신뢰가 어떤 수준인지 보여주는 것 아니겠느냐”며 “명색이 아이티(IT) 전문기업인데, 2008~2009년엔 간부들을 해병대 캠프에 입소시키더니 요즘은 수억원의 예산을 들인 전 직원 백리행군 교육에 바쁘다”고 회사 분위기를 전했다.

이	이/MMD
회사	회사/NNG
한	한/MMN
직원은	직원/NNG+은/JX
“승급	“/SS+승급/NNG
대상자	대상자/NNG
270여명	270/SN+여/XSN+명/NNB
가운데	가운데/NNG
80%가량이	80/SN+%/SW+가량/XSN+이/JKS
회사에서	회사/NNG+에서/JKB
찍힐	찍히/VV+ㄹ/ETM
것을	것/NNB+을/JKO
감수하면서까지	감수/NNG+하/XSV+면서/EC+까지/JX
진정서를	진정서/NNG+를/JKO
냈다는	내/VV+었/EP+다는/ETM
것	것/NNB
자체가	자체/NNG+가/JKS
전	전/MMN
사장에	사장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신뢰가	신뢰/NNG+가/JKS
어떤	어떤/MMD
수준인지	수준/NNG+이/VCP+ㄴ지/EC
보여주는	보이/VV+어/EC+주/VX+는/ETM
아니겠느냐”며	아니/VCN+겠/EP+느냐/EF+”/SS+며/EC
“명색이	“/SS+명색/NNG+이/JKS
아이티(IT)	아이티/NNP+(/SS+IT/SL+)/SS
전문기업인데,	전문/NNG+기업/NNG+이/VCP+ㄴ데/EC+,/SP
2008~2009년엔	2008/SN+~/SO+2009/SN+년/NNB+에/JKB+ㄴ/JX
간부들을	간부/NNG+들/XSN+을/JKO
해병대	해병대/NNG
캠프에	캠프/NNG+에/JKB
입소시키더니	입소/NNG+시키/XSV+더니/EC
요즘은	요즘/NNG+은/JX
수억원의	수억/NR+원/NNB+의/JKG
예산을	예산/NNG+을/JKO
들인	들이/VV+ㄴ/ETM
직원	직원/NNG
백리행군	백/NR+리/NNB+행군/NNG
교육에	교육/NNG+에/JKB
바쁘다”고	바쁘/VA+다/EF+”/SS+고/JKQ
분위기를	분위기/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.449.6.1
전 사장은 해병대 사령관 시절 ‘해병대를 예수님의 부대로 만들겠다’는 취지의 발언을 해 불교계의 반발을 사고, 퇴임 뒤에는 부하로부터 뇌물을 받은 사실이 들통나 구속기소돼 대법원에서 유죄가 확정된 바 있다.

전	전/NNP
사장은	사장/NNG+은/JX
해병대	해병대/NNG
사령관	사령관/NNG
시절	시절/NNG
‘해병대를	‘/SS+해병대/NNG+를/JKO
예수님의	예수/NNP+님/XSN+의/JKG
부대로	부대/NNG+로/JKB
만들겠다’는	만들/VV+겠/EP+다/EF+’/SS+는/ETM
취지의	취지/NNG+의/JKG
발언을	발언/NNG+을/JKO
해	하/VV+아/EC
불교계의	불교/NNG+계/XSN+의/JKG
반발을	반발/NNG+을/JKO
사고,	사/VV+고/EC+,/SP
퇴임	퇴임/NNG
뒤에는	뒤/NNG+에/JKB+는/JX
부하로부터	부하/NNG+로부터/JKB
뇌물을	뇌물/NNG+을/JKO
받은	받/VV+은/ETM
사실이	사실/NNG+이/JKS
들통나	들통나/VV+아/EC
구속기소돼	구속/NNG+기소/NNG+되/XSV+어/EC
대법원에서	대/XPN+법원/NNG+에서/JKB
유죄가	유죄/NNG+가/JKS
확정된	확정/NNG+되/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.449.6.2
전 사장은 이후 2007년 대선 때 이명박 후보 캠프에 몸담았고, 2008년 총선 때 한나라당 지역구(경남 거제)와 전국구 공천을 신청했다가 잇따라 낙천한 뒤 그해 10월 한전케이디엔 사장에 취임했다.

전	전/NNP
사장은	사장/NNG+은/JX
이후	이후/NNG
2007년	2007/SN+년/NNB
대선	대선/NNG
때	때/NNG
이명박	이명박/NNP
후보	후보/NNG
캠프에	캠프/NNG+에/JKB
몸담았고,	몸담/VV+았/EP+고/EC+,/SP
2008년	2008/SN+년/NNB
총선	총선/NNG
한나라당	한나라당/NNP
지역구(경남	지역구/NNG+(/SS+경남/NNP
거제)와	거제/NNP+)/SS+와/JC
전국구	전국구/NNG
공천을	공천/NNG+을/JKO
신청했다가	신청/NNG+하/XSV+았/EP+다가/EC
잇따라	잇따르/VV+아/EC
낙천한	낙천/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
그해	그해/NNG
10월	10/SN+월/NNB
한전케이디엔	한전케이디엔/NNP
사장에	사장/NNG+에/JKB
취임했다.	취임/NNG+하/XSV+았/EP+다/EF+./SF


