# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.221
metadata : {}


# id : NWRW1800000044.221.1.1
대법 “집회신고 내용과 다른 도로 점거는 유죄”

대법	대법/NNG
상황을	상황/NNG+을/JKO
전체적·종합적으로	전체/NNG+적/XSN+·/SP+종합/NNG+적/XSN+으로/JKB
평가할	평가/NNG+하/XSV+ㄹ/ETM
때	때/NNG
피고인은	피고인/NNG+은/JX
범위를	범위/NNG+를/JKO
현저히	현저히/MAG
일탈했다”고	일탈/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


