# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.135
metadata : {}


# id : NWRW1800000044.135.1.1
‘착한 달력’ 만들고 팔아 힘든 이웃 돕는 예술인들

‘착한	‘/SS+착하/VA+ㄴ/ETM
노숙인들의	노숙인/NNG+들/XSN+의/JKG
자활식당인	자활/NNG+식당/NNG+이/VCP+ㄴ/ETM
‘바하밥집’	‘/SS+바하밥집/NNP+’/SS
봉사활동을	봉사/NNG+활동/NNG+을/JKO
하던	하/VV+던/ETM
그는	그/NP+는/JX
달력	달력/NNG
판매	판매/NNG
수익금으로	수익금/NNG+으로/JKB
자활기금을	자활/NNG+기금/NNG+을/JKO
보태기로	보태/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.135.6.1
그때부터 하루를 쓸 사람들을 찾아 발품을 팔았다.

그때부터	그때/NNG+부터/JX
하루를	하루/NNG+를/JKO
쓸	쓰/VV+ㄹ/ETM
사람들을	사람/NNG+들/XSN+을/JKO
찾아	찾/VV+아/EC
발품을	발품/NNG+을/JKO
팔았다.	팔/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.135.6.2
1월과 12월은 노숙인들이 직접 하루를 쓰고 그 밑에 자신의 이름을 남겼다.

1월과	1/SN+월/NNB+과/JC
12월은	12/SN+월/NNB+은/JX
노숙인들이	노숙인/NNG+들/XSN+이/JKS
직접	직접/MAG
하루를	하루/NNG+를/JKO
쓰고	쓰/VV+고/EC
그	그/MMD
밑에	밑/NNG+에/JKB
자신의	자신/NNG+의/JKG
이름을	이름/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.135.6.3
2월은 이주노동자, 3월은 소셜네트워크서비스 친구들, 4월은 문화예술인, 5월은 5~7살 아이들, 6월은 탈북인들, 7월은 평화를 꿈꾸는 사람들, 8월은 장애인들, 9월은 농부, 10월은 세월호 광장의 시민, 11월은 암환우들이 쓰고 이름을 남겼다.

2월은	2/SN+월/NNB+은/JX
이주노동자,	이주/NNG+노동자/NNG+,/SP
3월은	3/SN+월/NNB+은/JX
소셜네트워크서비스	소셜/NNG+네트워크/NNG+서비스/NNG
친구들,	친구/NNG+들/XSN+,/SP
4월은	4/SN+월/NNB+은/JX
문화예술인,	문화/NNG+예술인/NNG+,/SP
5월은	5/SN+월/NNB+은/JX
5~7살	5/SN+~/SO+7/SN+살/NNB
아이들,	아이/NNG+들/XSN+,/SP
6월은	6/SN+월/NNB+은/JX
탈북인들,	탈북인/NNG+들/XSN+,/SP
7월은	7/SN+월/NNB+은/JX
평화를	평화/NNG+를/JKO
꿈꾸는	꿈꾸/VV+는/ETM
사람들,	사람/NNG+들/XSN+,/SP
8월은	8/SN+월/NNB+은/JX
장애인들,	장애인/NNG+들/XSN+,/SP
9월은	9/SN+월/NNB+은/JX
농부,	농부/NNG+,/SP
10월은	10/SN+월/NNB+은/JX
세월호	세월호/NNP
광장의	광장/NNG+의/JKG
시민,	시민/NNG+,/SP
11월은	11/SN+월/NNB+은/JX
암환우들이	암/NNG+환우/NNG+들/XSN+이/JKS
쓰고	쓰/VV+고/EC
이름을	이름/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.135.7.1
이름을 쓴 사람들에게는 저마다의 사연이 있다.

이름을	이름/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
사람들에게는	사람/NNG+들/XSN+에게/JKB+는/JX
저마다의	저마다/NNG+의/JKG
사연이	사연/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.135.7.2
11월13일을 쓴 심장원씨는 지난 26일 세상을 떠났다.

11월13일을	11/SN+월/NNB+13/SN+일/NNB+을/JKO
쓴	쓰/VV+ㄴ/ETM
심장원씨는	심장원/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
26일	26/SN+일/NNB
세상을	세상/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.135.7.3
그는 대장암 말기였다.

그는	그/NP+는/JX
대장암	대장암/NNG
말기였다.	말기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.135.7.4
최 작가의 후배이기도 했던 심씨는 ‘며칠을 쓸 거냐’는 질문에 선뜻 “11월13일”이라고 말했다.

최	최/NNP
작가의	작가/NNG+의/JKG
후배이기도	후배/NNG+이/VCP+기/ETN+도/JX
했던	하/VX+았/EP+던/ETM
심씨는	심/NNP+씨/NNB+는/JX
‘며칠을	‘/SS+며칠/NNG+을/JKO
쓸	쓰/VV+ㄹ/ETM
거냐’는	거/NNB+이/VCP+냐/EF+’/SS+는/ETM
질문에	질문/NNG+에/JKB
선뜻	선뜻/MAG
“11월13일”이라고	“/SS+11/SN+월/NNB+13/SN+일/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.135.7.5
그가 좋아하는 청년 전태일이 노동환경 개선을 외치며 몸에 휘발유를 붓던 날이다.

그가	그/NP+가/JKS
좋아하는	좋아하/VV+는/ETM
청년	청년/NNG
전태일이	전태일/NNP+이/JKS
노동환경	노동/NNG+환경/NNG
개선을	개선/NNG+을/JKO
외치며	외치/VV+며/EC
몸에	몸/NNG+에/JKB
휘발유를	휘발유/NNG+를/JKO
붓던	붓/VV+던/ETM
날이다.	날/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.135.7.6
“이 청년처럼 살고 싶은데”라며 ‘13’이라는 숫자를 힘겹게 쓴 심씨는 10분 동안의 인터뷰에서 “죽어가는데 하루를 기부할 수 있게 해줘서 너무 고맙다”고 말했다.

“이	“/SS+이/MMD
청년처럼	청년/NNG+처럼/JKB
살고	살/VV+고/EC
싶은데”라며	싶/VX+은데/EF+”/SS+이/VCP+라며/EC
‘13’이라는	‘/SS+13/SN+’/SS+이/VCP+라는/ETM
숫자를	숫자/NNG+를/JKO
힘겹게	힘겹/VA+게/EC
쓴	쓰/VV+ㄴ/ETM
심씨는	심/NNP+씨/NNB+는/JX
10분	10/SN+분/NNB
동안의	동안/NNG+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“죽어가는데	“/SS+죽/VV+어/EC+가/VX+는데/EC
하루를	하루/NNG+를/JKO
기부할	기부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해줘서	하/VX+아/EC+주/VX+어서/EC
너무	너무/MAG
고맙다”고	고맙/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.135.7.7
래퍼이자 배우 양동근은 부모님을 모시는 작은형에게 주는 선물로 형의 생일인 4월17일을 썼다.

래퍼이자	래퍼/NNG+이/VCP+자/EC
배우	배우/NNG
양동근은	양동근/NNP+은/JX
부모님을	부모/NNG+님/XSN+을/JKO
모시는	모시/VV+는/ETM
작은형에게	작은형/NNG+에게/JKB
주는	주/VV+는/ETM
선물로	선물/NNG+로/JKB
형의	형/NNG+의/JKG
생일인	생일/NNG+이/VCP+ㄴ/ETM
4월17일을	4/SN+월/NNB+17/SN+일/NNB+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.135.8.1
10월31일은 달력을 산 사람이 ‘자신의 하루’를 직접 쓸 수 있도록 비워뒀다.

10월31일은	10/SN+월/NNB+31/SN+일/NNB+은/JX
달력을	달력/NNG+을/JKO
산	사/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
‘자신의	‘/SS+자신/NNG+의/JKG
하루’를	하루/NNG+’/SS+를/JKO
직접	직접/MAG
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
비워뒀다.	비우/VV+어/EC+두/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.135.8.2
“달력 주인까지 365명 모두에게 공평한 하루로 채워진 달력이니까요.”

“달력	“/SS+달력/NNG
주인까지	주인/NNG+까지/JX
365명	365/SN+명/NNB
모두에게	모두/NNG+에게/JKB
공평한	공평/NNG+하/XSA+ㄴ/ETM
하루로	하루/NNG+로/JKB
채워진	채우/VV+어/EC+지/VX+ㄴ/ETM
달력이니까요.”	달력/NNG+이/VCP+니까/EC+요/JX+./SF+”/SS


# id : NWRW1800000044.135.9.1
‘하루를 쓰다’ 달력 프로젝트는 코트라 오픈갤러리(1월9일까지)와 성북예술창작터 윈도우갤러리(1월31일까지)에서 전시도 한다.

‘하루를	‘/SS+하루/NNG+를/JKO
쓰다’	쓰/VV+다/EF+’/SS
달력	달력/NNG
프로젝트는	프로젝트/NNG+는/JX
코트라	코트라/NNP
오픈갤러리(1월9일까지)와	오픈갤러리/NNG+(/SS+1/SN+월/NNB+9/SN+일/NNB+까지/JX+)/SS+와/JC
성북예술창작터	성북예술창작터/NNP
윈도우갤러리(1월31일까지)에서	윈도우갤러리/NNG+(/SS+1/SN+월/NNB+31/SN+일/NNB+까지/JX+)/SS+에서/JKB
전시도	전시/NNG+도/JX
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.135.10.1
친환경 공익 디자인그룹 ‘슬로워크’도 2014년에서 잊을 수 없는, 잊어서는 안 되는 하루, 4월16일에 집중한 ‘4·16 달력’을 만들었다.

친환경	친/XPN+환경/NNG
공익	공익/NNG
디자인그룹	디자인/NNG+그룹/NNG
‘슬로워크’도	‘/SS+슬로워크/NNP+’/SS+도/JX
2014년에서	2014/SN+년/NNB+에서/JKB
잊을	잊/VV+을/ETM
수	수/NNB
없는,	없/VA+는/ETM+,/SP
잊어서는	잊/VV+어서/EC+는/JX
안	안/MAG
되는	되/VV+는/ETM
하루,	하루/NNG+,/SP
4월16일에	4/SN+월/NNB+16/SN+일/NNB+에/JKB
집중한	집중/NNG+하/XSV+ㄴ/ETM
‘4·16	‘/SS+4/SN+·/SP+16/SN
달력’을	달력/NNG+’/SS+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.135.10.2
슬로워크는 지난 4월17일 제주도에서 갔다.

슬로워크는	슬로워크/NNP+는/JX
지난	지나/VV+ㄴ/ETM
4월17일	4/SN+월/NNB+17/SN+일/NNB
제주도에서	제주도/NNP+에서/JKB
갔다.	가/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.135.10.3
오래전부터 계획한 워크숍이어서 취소할 수가 없었기 때문이다.

오래전부터	오래전/NNG+부터/JX
계획한	계획/NNG+하/XSV+ㄴ/ETM
워크숍이어서	워크숍/NNG+이/VCP+어서/EC
취소할	취소/NNG+하/XSV+ㄹ/ETM
수가	수/NNB+가/JKS
없었기	없/VA+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.135.11.1
조성도 슬로워크 이사는 “직원들 모두가 제주에 있으면서 마음이 아팠다.

조성도	조성도/NNP
슬로워크	슬로워크/NNP
이사는	이사/NNG+는/JX
“직원들	“/SS+직원/NNG+들/XSN
모두가	모두/NNG+가/JKS
제주에	제주/NNP+에/JKB
있으면서	있/VA+으면서/EC
마음이	마음/NNG+이/JKS
아팠다.	아프/VA+았/EP+다/EF+./SF


# id : NWRW1800000044.135.11.2
죄책감이 있었다”고 말했다.

죄책감이	죄책감/NNG+이/JKS
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.135.12.1
슬로워크의 ‘4·16 달력’은 사람들이 말하는 ‘세월호 피로감’에 대한 작은 저항이다.

슬로워크의	슬로워크/NNP+의/JKG
‘4·16	‘/SS+4/SN+·/SP+16/SN
달력’은	달력/NNG+’/SS+은/JX
사람들이	사람/NNG+들/XSN+이/JKS
말하는	말/NNG+하/XSV+는/ETM
‘세월호	‘/SS+세월호/NNP
피로감’에	피로감/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
작은	작/VA+은/ETM
저항이다.	저항/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.135.12.2
달력 표지엔 4·16이 쓰여 있고, 매월 사진이나 그림 자리에도 역시 4·16이 쓰여 있다.

달력	달력/NNG
표지엔	표지/NNG+에/JKB+ㄴ/JX
4·16이	4/SN+·/SP+16/SN+이/JKS
쓰여	쓰이/VV+어/EC
있고,	있/VX+고/EC+,/SP
매월	매월/MAG
사진이나	사진/NNG+이나/JC
그림	그림/NNG
자리에도	자리/NNG+에/JKB+도/JX
역시	역시/MAG
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.135.12.3
표지는 양각으로 만들어 손으로 만져보며 세월호를 가슴에 새길 수 있게 했다.

표지는	표지/NNG+는/JX
양각으로	양각/NNG+으로/JKB
만들어	만들/VV+어/EC
손으로	손/NNG+으로/JKB
만져보며	만지/VV+어/EC+보/VX+며/EC
세월호를	세월호/NNP+를/JKO
가슴에	가슴/NNG+에/JKB
새길	새기/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.135.12.4
휴일과 기념일은 표시하지 않았다.

휴일과	휴일/NNG+과/JC
기념일은	기념일/NNG+은/JX
표시하지	표시/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.135.12.5
조 이사는 “불편하고 불친절한 달력이고, 이 달력을 보면서 매일이 가슴 아플 수도 있지만, 잊어서는 안 될 시간을 기억하는 마음으로 2015년을 살았으면 하는 마음으로 만들었다”고 말했다.

조	조/NNP
이사는	이사/NNG+는/JX
“불편하고	“/SS+불편/NNG+하/XSA+고/EC
불친절한	불/XPN+친절/NNG+하/XSA+ㄴ/ETM
달력이고,	달력/NNG+이/VCP+고/EC+,/SP
이	이/MMD
달력을	달력/NNG+을/JKO
보면서	보/VV+면서/EC
매일이	매일/NNG+이/JKS
가슴	가슴/NNG
아플	아프/VA+ㄹ/ETM
수도	수/NNB+도/JX
있지만,	있/VA+지만/EC+,/SP
잊어서는	잊/VV+어서/EC+는/JX
안	안/MAG
될	되/VV+ㄹ/ETM
시간을	시간/NNG+을/JKO
기억하는	기억/NNG+하/XSV+는/ETM
마음으로	마음/NNG+으로/JKB
2015년을	2015/SN+년/NNB+을/JKO
살았으면	살/VV+았/EP+으면/EC
하는	하/VX+는/ETM
만들었다”고	만들/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.135.12.6
달력 판매 수익금은 모두 ‘4·16 세월호 참사 가족대책위원회’에 전달할 예정이다.

달력	달력/NNG
판매	판매/NNG
수익금은	수익금/NNG+은/JX
모두	모두/MAG
‘4·16	‘/SS+4/SN+·/SP+16/SN
세월호	세월호/NNP
참사	참사/NNG
가족대책위원회’에	가족/NNG+대책/NNG+위원회/NNG+’/SS+에/JKB
전달할	전달/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


