# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.240
metadata : {}


# id : NWRW1800000053.240.1.1
이재성, 만리장성을 압박하라

이재성,	이재성/NNP+,/SP
이재성은 공을 가로채거나 상대의 드리블 공간을 줄이고 압박하는 자기만의 요령을 묻자 “기술이 아닌 감각”이라고 말한다.

이재성은	이재성/NNP+은/JX
공을	공/NNG+을/JKO
가로채거나	가로채/VV+거나/EC
상대의	상대/NNG+의/JKG
드리블	드리블/NNG
공간을	공간/NNG+을/JKO
줄이고	줄이/VV+고/EC
압박하는	압박/NNG+하/XSV+는/ETM
자기만의	자기/NP+만/JX+의/JKG
요령을	요령/NNG+을/JKO
묻자	묻/VV+자/EC
“기술이	“/SS+기술/NNG+이/JKS
아닌	아니/VCN+ㄴ/ETM
감각”이라고	감각/NNG+”/SS+이라고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.240.6.1
이재성은 2017 K리그 클래식에서 전천후 플레이를 선보이며 8골 10도움을 기록해 전북의 정상 정복을 주도했다.

이재성은	이재성/NNP+은/JX
2017	2017/SN
K리그	K/SL+리그/NNG
클래식에서	클래식/NNG+에서/JKB
전천후	전천후/NNG
플레이를	플레이/NNG+를/JKO
선보이며	선보이/VV+며/EC
8골	8/SN+골/NNG
10도움을	10/SN+도움/NNG+을/JKO
기록해	기록/NNG+하/XSV+아/EC
전북의	전북/NNP+의/JKG
정상	정상/NNG
정복을	정복/NNG+을/JKO
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.240.6.2
이런 그의 활약에 축구기자단은 그에게 MVP를 안겼다.

이런	이런/MMD
그의	그/NP+의/JKG
활약에	활약/NNG+에/JKB
축구기자단은	축구/NNG+기자단/NNG+은/JX
그에게	그/NP+에게/JKB
MVP를	MVP/SL+를/JKO
안겼다.	안기/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.240.6.3
이재성의 압박 능력은 키가 크고 힘이 좋지만 자세가 높은 중국 수비수들을 무너뜨리는 데도 큰 역할을 할 것으로 예상된다.

이재성의	이재성/NNP+의/JKG
압박	압박/NNG
능력은	능력/NNG+은/JX
키가	키/NNG+가/JKS
크고	크/VA+고/EC
힘이	힘/NNG+이/JKS
좋지만	좋/VA+지만/EC
자세가	자세/NNG+가/JKS
높은	높/VA+은/ETM
중국	중국/NNP
수비수들을	수비수/NNG+들/XSN+을/JKO
무너뜨리는	무너뜨리/VV+는/ETM
데도	데/NNB+도/JX
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.240.6.4
이재성은 “우리가 원하는 공격 축구를 하려면 강한 압박은 꼭 필요하다.

이재성은	이재성/NNP+은/JX
“우리가	“/SS+우리/NP+가/JKS
원하는	원/NNG+하/XSV+는/ETM
공격	공격/NNG
축구를	축구/NNG+를/JKO
하려면	하/VV+려면/EC
강한	강하/VA+ㄴ/ETM
압박은	압박/NNG+은/JX
꼭	꼭/MAG
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000053.240.6.5
중국전에서 조직적으로 상대의 공을 우리 것으로 만드는 장면을 만들고 싶다”고 각오를 다졌다.

중국전에서	중국전/NNG+에서/JKB
조직적으로	조직/NNG+적/XSN+으로/JKB
상대의	상대/NNG+의/JKG
공을	공/NNG+을/JKO
우리	우리/NP
것으로	것/NNB+으로/JKB
만드는	만들/VV+는/ETM
장면을	장면/NNG+을/JKO
만들고	만들/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
각오를	각오/NNG+를/JKO
다졌다.	다지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.240.7.1
한편 여자부 첫 경기에서 한국은 일본과 접전을 펼쳤으나 후반 막판 결승골을 허용하며 2-3으로 아깝게 졌다.

한편	한편/MAG
여자부	여자부/NNG
첫	첫/MMN
경기에서	경기/NNG+에서/JKB
한국은	한국/NNP+은/JX
일본과	일본/NNP+과/JKB
접전을	접전/NNG+을/JKO
펼쳤으나	펼치/VV+었/EP+으나/EC
후반	후반/NNG
막판	막판/NNG
결승골을	결승/NNG+골/NNG+을/JKO
허용하며	허용/NNG+하/XSV+며/EC
2-3으로	2/SN+-/SO+3/SN+으로/JKB
아깝게	아깝/VA+게/EC
졌다.	지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.240.7.2
3연패에 도전하는 북한은 중국을 2-0으로 꺾었다.

3연패에	3/SN+연패/NNG+에/JKB
도전하는	도전/NNG+하/XSV+는/ETM
북한은	북한/NNP+은/JX
중국을	중국/NNP+을/JKO
2-0으로	2/SN+-/SO+0/SN+으로/JKB
꺾었다.	꺾/VV+었/EP+다/EF+./SF


