# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.101
metadata : {}


# id : NWRW1800000030.101.1.1
"러시아 유학생에 더 다가가세요"

"러시아	"/SS+러시아/NNP
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.101.5.3
엄 교수는 "학생들 간의 소통이 양국 관계 발전의 밑거름"이라고 말했다.

엄	엄/NNP
교수는	교수/NNG+는/JX
"학생들	"/SS+학생/NNG+들/XSN
간의	간/NNB+의/JKG
소통이	소통/NNG+이/JKS
양국	양국/NNG
관계	관계/NNG
발전의	발전/NNG+의/JKG
밑거름"이라고	밑거름/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.101.6.1
그는 현재 한국에 유학 중인 러시아 학생 500여명을 서울·경기·충청·전라·경상 등 6개 권역으로 분류, 각 지역의 한국 학생들과 친밀감을 높이는 교류부터 시작할 계획이다.

그는	그/NP+는/JX
현재	현재/MAG
한국에	한국/NNP+에/JKB
유학	유학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
러시아	러시아/NNP
학생	학생/NNG
500여명을	500/SN+여/XSN+명/NNB+을/JKO
서울·경기·충청·전라·경상	서울/NNP+·/SP+경기/NNP+·/SP+충청/NNP+·/SP+전라/NNP+·/SP+경상/NNP
등	등/NNB
6개	6/SN+개/NNB
권역으로	권역/NNG+으로/JKB
분류,	분류/NNG+,/SP
각	각/MMD
지역의	지역/NNG+의/JKG
한국	한국/NNP
학생들과	학생/NNG+들/XSN+과/JKB
친밀감을	친밀감/NNG+을/JKO
높이는	높이/VV+는/ETM
교류부터	교류/NNG+부터/JX
시작할	시작/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.101.7.1
한국 학생이 추석 등의 명절에 러시아 유학생을 초대해 시간을 함께 보내고, 계절별 등산대회나 영화제도 공동으로 진행한다는 것이다.

한국	한국/NNP
학생이	학생/NNG+이/JKS
추석	추석/NNG
등의	등/NNB+의/JKG
명절에	명절/NNG+에/JKB
러시아	러시아/NNP
유학생을	유학/NNG+생/XSN+을/JKO
초대해	초대/NNG+하/XSV+아/EC
시간을	시간/NNG+을/JKO
함께	함께/MAG
보내고,	보내/VV+고/EC+,/SP
계절별	계절/NNG+별/XSN
등산대회나	등산/NNG+대회/NNG+나/JC
영화제도	영화제/NNG+도/JX
공동으로	공동/NNG+으로/JKB
진행한다는	진행/NNG+하/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.101.7.2
아울러 석·박사 과정에 있는 양국 대학원생을 중심으로 매년 두 차례 학술토론회를 열어, 여기서 발표한 논문을 단행본으로 출판하는 사업도 실시할 예정이다.

아울러	아울러/MAG
석·박사	석·박사/NNG
과정에	과정/NNG+에/JKB
있는	있/VA+는/ETM
양국	양국/NNG
대학원생을	대학원/NNG+생/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
매년	매년/MAG
두	두/MMN
차례	차례/NNG
학술토론회를	학술/NNG+토론회/NNG+를/JKO
열어,	열/VV+어/EC+,/SP
여기서	여기/NP+서/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
논문을	논문/NNG+을/JKO
단행본으로	단행본/NNG+으로/JKB
출판하는	출판/NNG+하/XSV+는/ETM
사업도	사업/NNG+도/JX
실시할	실시/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.101.7.3
엄 교수는 "이 포럼을 통해 한국에 있는 러시아 학생들이 '건강한 한국관'을 갖게 될 것으로 확신한다"고 말했다.

엄	엄/NNP
교수는	교수/NNG+는/JX
"이	"/SS+이/MMD
포럼을	포럼/NNG+을/JKO
통해	통하/VV+아/EC
한국에	한국/NNP+에/JKB
있는	있/VA+는/ETM
러시아	러시아/NNP
학생들이	학생/NNG+들/XSN+이/JKS
'건강한	'/SS+건강/NNG+하/XSA+ㄴ/ETM
한국관'을	한국관/NNG+'/SS+을/JKO
갖게	갖/VV+게/EC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
확신한다"고	확신/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


