# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.87
metadata : {}


# id : NWRW1800000037.87.1.1
[大入수시 필승전략]숭실대, SSU미래인재전형 중 20%는 서류종합평가로 우선선발

[大入수시	[/SS+大入/SH+수시/NNG
특기자,	특기자/NNG+,/SP
SSU참사랑인재전형을	SSU/SL+참사랑/NNG+인재/NNG+전형/NNG+을/JKO
통해	통하/VV+아/EC
648명을	648/SN+명/NNB+을/JKO
뽑는다.	뽑/VV+는다/EF+./SF


# id : NWRW1800000037.87.5.2
입학사정관전형인 SSU미래인재전형에선 374명을 선발해 모집인원이 2배 늘었다.

입학사정관전형인	입학/NNG+사정관/NNG+전형/NNG+이/VCP+ㄴ/ETM
SSU미래인재전형에선	SSU/SL+미래/NNG+인재/NNG+전형/NNG+에서/JKB+ㄴ/JX
374명을	374/SN+명/NNB+을/JKO
선발해	선발/NNG+하/XSV+아/EC
모집인원이	모집/NNG+인원/NNG+이/JKS
2배	2/SN+배/NNG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.87.5.3
이 중 20%는 서류종합평가(학교생활기록부 자기소개서 교사추천서 에듀팟 증빙서류) 100%로 우선 선발한다.

이	이/NP
중	중/NNB
20%는	20/SN+%/SW+는/JX
서류종합평가(학교생활기록부	서류/NNG+종합/NNG+평가/NNG+(/SS+학교생활/NNG+기록부/NNG
자기소개서	자기소개서/NNG
교사추천서	교사/NNG+추천서/NNG
에듀팟	에듀팟/NNG
증빙서류)	증빙/NNG+서류/NNG+)/SS
100%로	100/SN+%/SW+로/JKB
우선	우선/MAG
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.87.6.1
일반선발은 1단계 서류종합평가 100%로 3배수를 뽑은 뒤 2단계에서 1단계 성적 60%와 심층면접 40%로 최종 선발한다.

일반선발은	일반/NNG+선발/NNG+은/JX
1단계	1/SN+단계/NNG
서류종합평가	서류/NNG+종합/NNG+평가/NNG
100%로	100/SN+%/SW+로/JKB
3배수를	3/SN+배수/NNG+를/JKO
뽑은	뽑/VV+은/ETM
뒤	뒤/NNG
2단계에서	2/SN+단계/NNG+에서/JKB
성적	성적/NNG
60%와	60/SN+%/SW+와/JC
심층면접	심층/NNG+면접/NNG
40%로	40/SN+%/SW+로/JKB
최종	최종/NNG
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.87.6.2
수시 1차에서는 모든 전형에서 수능 최저학력기준을 적용하지 않는다.

수시	수시/NNG
1차에서는	1/SN+차/NNB+에서/JKB+는/JX
모든	모든/MMN
전형에서	전형/NNG+에서/JKB
수능	수능/NNG
최저학력기준을	최저/NNG+학력/NNG+기준/NNG+을/JKO
적용하지	적용/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000037.87.6.3
단 어학특기자(영어 중국어 일본어)는 반드시 수능 1개 과목 이상 응시해야 한다.

단	단/MAJ
어학특기자(영어	어학/NNG+특기자/NNG+(/SS+영어/NNP
중국어	중국어/NNP
일본어)는	일본어/NNP+)/SS+는/JX
반드시	반드시/MAG
수능	수능/NNG
1개	1/SN+개/NNB
과목	과목/NNG
이상	이상/NNG
응시해야	응시/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.87.7.1
수시 2차에서는 일반(논술) 학생부우수자 SSU참사랑인재전형을 통해 1131명을 뽑는다.

수시	수시/NNG
2차에서는	2/SN+차/NNB+에서/JKB+는/JX
일반(논술)	일반/NNG+(/SS+논술/NNG+)/SS
학생부우수자	학생부/NNG+우수자/NNG
SSU참사랑인재전형을	SSU/SL+참사랑/NNG+인재/NNG+전형/NNG+을/JKO
통해	통하/VV+아/EC
1131명을	1131/SN+명/NNB+을/JKO
뽑는다.	뽑/VV+는다/EF+./SF


# id : NWRW1800000037.87.7.2
일반(논술)전형은 602명 중 30%를 우선선발로 뽑으며 논술 80%, 학생부 20%를 반영한다.

일반(논술)전형은	일반/NNG+(/SS+논술/NNG+)/SS+전형/NNG+은/JX
602명	602/SN+명/NNB
중	중/NNB
30%를	30/SN+%/SW+를/JKO
우선선발로	우선/NNG+선발/NNG+로/JKB
뽑으며	뽑/VV+으며/EC
논술	논술/NNG
80%,	80/SN+%/SW+,/SP
학생부	학생부/NNG
20%를	20/SN+%/SW+를/JKO
반영한다.	반영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.87.7.3
434명을 선발하는 학생부우수자 전형은 학생부 100%로 가린다.

434명을	434/SN+명/NNB+을/JKO
선발하는	선발/NNG+하/XSV+는/ETM
학생부우수자	학생부/NNG+우수자/NNG
전형은	전형/NNG+은/JX
학생부	학생부/NNG
100%로	100/SN+%/SW+로/JKB
가린다.	가리/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.87.7.4
해당 교과별 상위 3개 과목을 반영한다.

해당	해당/NNG
교과별	교과/NNG+별/XSN
상위	상위/NNG
3개	3/SN+개/NNB
과목을	과목/NNG+을/JKO
반영한다.	반영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.87.7.5
수시 2차는 모든 전형에서 수능 최저학력기준을 적용한다.

수시	수시/NNG
2차는	2/SN+차/NNB+는/JX
모든	모든/MMN
전형에서	전형/NNG+에서/JKB
수능	수능/NNG
최저학력기준을	최저/NNG+학력/NNG+기준/NNG+을/JKO
적용한다.	적용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.87.8.1
지난해 진행했던 대안학교출신자학교장추천전형 이북5도민전형 계열우수자특별전형은 폐지했다.

지난해	지난해/NNG
진행했던	진행/NNG+하/XSV+았/EP+던/ETM
대안학교출신자학교장추천전형	대안/NNG+학교/NNG+출신자/NNG+학교장/NNG+추천/NNG+전형/NNG
이북5도민전형	이북/NNG+5/SN+도민/NNG+전형/NNG
계열우수자특별전형은	계열/NNG+우수자/NNG+특별/NNG+전형/NNG+은/JX
폐지했다.	폐지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.87.8.2
3단계로 평가했던 SSU미래인재전형에서 1단계인 학생부(교과) 100%도 없앴다.

3단계로	3/SN+단계/NNG+로/JKB
평가했던	평가/NNG+하/XSV+았/EP+던/ETM
SSU미래인재전형에서	SSU/SL+미래/NNG+인재/NNG+전형/NNG+에서/JKB
1단계인	1/SN+단계/NNG+이/VCP+ㄴ/ETM
학생부(교과)	학생부/NNG+(/SS+교과/NNG+)/SS
100%도	100/SN+%/SW+도/JX
없앴다.	없애/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.87.9.1
문의는 입학관리팀(02-820-0050∼4) 또는 홈페이지(iphak.ssu.ac.kr)를 이용하면 된다.

문의는	문의/NNG+는/JX
입학관리팀(02-820-0050∼4)	입학/NNG+관리/NNG+팀/NNG+(/SS+02/SN+-/SO+820/SN+-/SO+0050/SN+∼/SO+4/SN+)/SS
또는	또는/MAG
홈페이지(iphak.ssu.ac.kr)를	홈페이지/NNG+(/SS+iphak/SL+./SP+ssu/SL+./SP+ac/SL+./SP+kr/SL+)/SS+를/JKO
이용하면	이용/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


