# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.353
metadata : {}


# id : NWRW1800000033.353.1.1
文, 호남 방문 앞 통합 강조… 속뜻은?

文,	文/SH+,/SP
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.353.5.3
문 후보는 멘토단장에 고 김근태 전 의원의 부인 인재근 의원을 임명했다.

문	문/NNP
후보는	후보/NNG+는/JX
멘토단장에	멘토단장/NNG+에/JKB
고	고/MMA
김근태	김근태/NNP
전	전/MMD
의원의	의원/NNG+의/JKG
부인	부인/NNG
인재근	인재근/NNP
의원을	의원/NNG+을/JKO
임명했다.	임명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.353.5.4
문 후보는 앞으로 통합을 화두로 삼아 전통적 지지층을 결집하는 동시에 중도층으로 외연 확대에 주력하겠다는 계획이다.

문	문/NNP
후보는	후보/NNG+는/JX
앞으로	앞/NNG+으로/JKB
통합을	통합/NNG+을/JKO
화두로	화두/NNG+로/JKB
삼아	삼/VV+아/EC
전통적	전통/NNG+적/XSN
지지층을	지지/NNG+층/XSN+을/JKO
결집하는	결집/NNG+하/XSV+는/ETM
동시에	동시/NNG+에/JKB
중도층으로	중도/NNG+층/XSN+으로/JKB
외연	외연/NNG
확대에	확대/NNG+에/JKB
주력하겠다는	주력/NNG+하/XSV+겠/EP+다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.353.6.1
당내에선 이를 긍정적으로 평가하면서도 지지층 이탈을 우려하고 있다.

당내에선	당내/NNG+에서/JKB+ㄴ/JX
이를	이/NP+를/JKO
긍정적으로	긍정/NNG+적/XSN+으로/JKB
평가하면서도	평가/NNG+하/XSV+면서/EC+도/JX
지지층	지지/NNG+층/XSN
이탈을	이탈/NNG+을/JKO
우려하고	우려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.353.6.2
그동안 문 후보가 중도에 대한 언급이나 노선 수정 방침을 시사한 적이 없다는 점에서 윤 위원장 영입이 ‘뜬금없다’는 식으로 받아들여질 수 있다는 것이다.

그동안	그동안/NNG
문	문/NNP
후보가	후보/NNG+가/JKS
중도에	중도/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
언급이나	언급/NNG+이나/JC
노선	노선/NNG
수정	수정/NNG
방침을	방침/NNG+을/JKO
시사한	시사/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없다는	없/VA+다는/ETM
점에서	점/NNG+에서/JKB
윤	윤/NNP
위원장	위원장/NNG
영입이	영입/NNG+이/JKS
‘뜬금없다’는	‘/SS+뜬금없/VA+다/EF+’/SS+는/ETM
식으로	식/NNB+으로/JKB
받아들여질	받아들이/VV+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.353.6.3
강금실 전 법무부 장관이 “어떤 명분과 전향의 과정 없이 그를 덜컥 끌어들이다니…”라고 비판한 것도 이 점을 지적한 것이다.

강금실	강금실/NNP
전	전/MMD
법무부	법무부/NNG
장관이	장관/NNG+이/JKS
“어떤	“/SS+어떤/MMD
명분과	명분/NNG+과/JC
전향의	전향/NNG+의/JKG
과정	과정/NNG
없이	없이/MAG
그를	그/NP+를/JKO
덜컥	덜컥/MAG
끌어들이다니…”라고	끌어들이/VV+다니/EF+…/SE+”/SS+라고/JKQ
비판한	비판/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
이	이/MMD
점을	점/NNG+을/JKO
지적한	지적/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.353.7.1
윤 위원장은 이날 동아일보 종합편성TV 채널A 등과의 인터뷰에서 “국민통합에 관한 일을 하는데 무슨 사상적 전향이 필요한 일인가”라고 반문했다.

윤	윤/NNP
위원장은	위원장/NNG+은/JX
이날	이날/NNG
동아일보	동아일보/NNP
종합편성TV	종합/NNG+편성/NNG+TV/SL
채널A	채널A/NNP
등과의	등/NNB+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“국민통합에	“/SS+국민/NNG+통합/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
일을	일/NNG+을/JKO
하는데	하/VV+는데/EC
무슨	무슨/MMD
사상적	사상/NNG+적/XSN
전향이	전향/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
일인가”라고	일/NNG+이/VCP+ㄴ가/EF+”/SS+라고/JKQ
반문했다.	반문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.353.7.2
그는 ‘윤 위원장 영입은 내무반 침상에 수류탄을 터뜨린 것이란 얘기가 있다’는 지적에 “저는 수류탄처럼 대단한 폭발적인 위력을 가진 사람이 아니다”라며 웃었다.

그는	그/NP+는/JX
‘윤	‘/SS+윤/NNP
위원장	위원장/NNG
영입은	영입/NNG+은/JX
내무반	내무반/NNG
침상에	침상/NNG+에/JKB
수류탄을	수류탄/NNG+을/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
것이란	것/NNB+이/VCP+란/ETM
얘기가	얘기/NNG+가/JKS
있다’는	있/VA+다/EF+’/SS+는/ETM
지적에	지적/NNG+에/JKB
“저는	“/SS+저/NP+는/JX
수류탄처럼	수류탄/NNG+처럼/JKB
대단한	대단하/VA+ㄴ/ETM
폭발적인	폭발/NNG+적/XSN+이/VCP+ㄴ/ETM
위력을	위력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
사람이	사람/NNG+이/JKC
아니다”라며	아니/VCN+다/EF+”/SS+라며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.353.7.3
문 후보가 현충원 참배 시 박정희 전 대통령 묘소를 가지 않은 것에 대해선 “문 후보에게 국민통합 관점에서 볼 때 적절한 행보가 아니라는 문제 제기를 했었다”며 “새누리당 박근혜 후보가 과거사에 대해 사과했기 때문에 곧 행동에 옮기겠다고 하더라”라고 전했다.

문	문/NNP
후보가	후보/NNG+가/JKS
현충원	현충원/NNP
참배	참배/NNG
시	시/NNB
박정희	박정희/NNP
전	전/MMD
대통령	대통령/NNG
묘소를	묘소/NNG+를/JKO
가지	가/VV+지/EC
않은	않/VX+은/ETM
것에	것/NNB+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“문	“/SS+문/NNP
후보에게	후보/NNG+에게/JKB
국민통합	국민/NNG+통합/NNG
관점에서	관점/NNG+에서/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
적절한	적절하/VA+ㄴ/ETM
행보가	행보/NNG+가/JKC
아니라는	아니/VCN+라는/ETM
문제	문제/NNG
제기를	제기/NNG+를/JKO
했었다”며	하/VV+았었/EP+다/EF+”/SS+며/EC
“새누리당	“/SS+새누리당/NNP
박근혜	박근혜/NNP
과거사에	과거사/NNG+에/JKB
대해	대하/VV+아/EC
사과했기	사과/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
곧	곧/MAG
행동에	행동/NNG+에/JKB
옮기겠다고	옮기/VV+겠/EP+다고/EC
하더라”라고	하/VV+더라/EF+”/SS+라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


