# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.253
metadata : {}


# id : NWRW1800000052.253.1.1
일하는 여성 10명 중 4명 저임금 시달려

일하는	일/NNG+하/XSV+는/ETM
출산·육아로	출산/NNG+·/SP+육아/NNG+로/JKB
경력이	경력/NNG+이/JKS
단절된	단절/NNG+되/XSV+ㄴ/ETM
여성들이	여성/NNG+들/XSN+이/JKS
취약한	취약/NNG+하/XSA+ㄴ/ETM
일자리를	일자리/NNG+를/JKO
주로	주로/MAG
접하는	접하/VV+는/ETM
현실과도	현실/NNG+과/JKB+도/JX
관련이	관련/NNG+이/JKS
깊다.	깊/VA+다/EF+./SF


# id : NWRW1800000052.253.9.2
국제통화기금(IMF)은 최근 보고서에서 한국 노동시장의 구조적 문제로 여성의 낮은 경제활동 참가율과 더불어 여성에 불리한 노동시장 환경을 꼽은 바 있다.

국제통화기금(IMF)은	국제통화기금/NNP+(/SS+IMF/SL+)/SS+은/JX
최근	최근/MAG
보고서에서	보고서/NNG+에서/JKB
한국	한국/NNP
노동시장의	노동/NNG+시장/NNG+의/JKG
구조적	구조/NNG+적/XSN
문제로	문제/NNG+로/JKB
여성의	여성/NNG+의/JKG
낮은	낮/VA+은/ETM
경제활동	경제/NNG+활동/NNG
참가율과	참가/NNG+율/XSN+과/JKB
더불어	더불/VV+어/EC
여성에	여성/NNG+에/JKB
불리한	불리/NNG+하/XSA+ㄴ/ETM
노동시장	노동/NNG+시장/NNG
환경을	환경/NNG+을/JKO
꼽은	꼽/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.253.9.3
정성미 한국노동연구원 전문위원은 “고학력 여성이 노동시장에 유입돼 일자리를 유지하고 경력을 이어갈 수 있는 제도적 환경 조성이 중요하다”고 말했다.

정성미	정성미/NNP
한국노동연구원	한국노동연구원/NNP
전문위원은	전문/NNG+위원/NNG+은/JX
“고학력	“/SS+고/XPN+학력/NNG
여성이	여성/NNG+이/JKS
노동시장에	노동/NNG+시장/NNG+에/JKB
유입돼	유입/NNG+되/XSV+어/EC
일자리를	일자리/NNG+를/JKO
유지하고	유지/NNG+하/XSV+고/EC
경력을	경력/NNG+을/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제도적	제도/NNG+적/XSN
환경	환경/NNG
조성이	조성/NNG+이/JKS
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


