# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.299
metadata : {}


# id : NWRW1800000030.299.1.1
"이귀남 법무, 한화 수사 불법개입"

"이귀남	"/SS+이귀남/NNP
검찰총장을	검찰/NNG+총장/NNG+을/JKO
거치지	거치/VV+지/EC
않고	않/VX+고/EC
개별	개별/NNG
사건에	사건/NNG+에/JKB
대해	대하/VV+아/EC
구속·불구속	구속/NNG+·/SP+불/XPN+구속/NNG
지시	지시/NNG
같은	같/VA+은/ETM
수사	수사/NNG
지휘를	지휘/NNG+를/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
위법	위법/NNG
행위이기	행위/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
이	이/MMD
장관이	장관/NNG+이/JKS
부당한	부당/NNG+하/XSA+ㄴ/ETM
했다는	하/VV+았/EP+다는/ETM
논란이	논란/NNG+이/JKS
일	일/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.299.4.3
검찰청법 8조는 검찰의 수사 독립을 위해 마련한 조항이다.

검찰청법	검찰청법/NNG
8조는	8/SN+조/NNB+는/JX
검찰의	검찰/NNG+의/JKG
수사	수사/NNG
독립을	독립/NNG+을/JKO
위해	위하/VV+아/EC
마련한	마련/NNG+하/XSV+ㄴ/ETM
조항이다.	조항/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.299.5.1
16일 검찰 관계자에 따르면, 지난달 법무부 간부가 서부지검 간부에게 전화를 걸어 "법무부 장관의 뜻"이라며 한화그룹 전 재무책임자(CFO) 홍동옥씨에 대한 구속영장을 재청구하지 말라는 내용의 말을 한 것으로 알려졌다.

16일	16/SN+일/NNB
검찰	검찰/NNG
관계자에	관계자/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
지난달	지난달/NNG
법무부	법무부/NNG
간부가	간부/NNG+가/JKS
서부지검	서부지검/NNP
간부에게	간부/NNG+에게/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
"법무부	"/SS+법무부/NNG
장관의	장관/NNG+의/JKG
뜻"이라며	뜻/NNG+"/SS+이/VCP+라며/EC
한화그룹	한화그룹/NNP
전	전/MMD
재무책임자(CFO)	재무/NNG+책임자/NNG+(/SS+CFO/SL+)/SS
홍동옥씨에	홍동옥/NNP+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
구속영장을	구속/NNG+영장/NNG+을/JKO
재청구하지	재/XPN+청구/NNG+하/XSV+지/EC
말라는	말/VX+라는/ETM
내용의	내용/NNG+의/JKG
말을	말/NNG+을/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.299.5.2
장관이 왜 그런 지시를 했는지는 알려지지 않았다.

장관이	장관/NNG+이/JKS
왜	왜/MAG
그런	그런/MMD
지시를	지시/NNG+를/JKO
했는지는	하/VV+았/EP+는지/EF+는/JX
알려지지	알려지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.299.6.1
그러나 간부로부터 이 내용을 보고받은 남기춘 당시 서부지검장은 "수사 지휘를 하려면 검찰총장을 통해 서면으로 하라"며 장관 지시를 거부한 것으로 알려졌다.

그러나	그러나/MAJ
간부로부터	간부/NNG+로부터/JKB
이	이/MMD
내용을	내용/NNG+을/JKO
보고받은	보고/NNG+받/XSV+은/ETM
남기춘	남기춘/NNP
당시	당시/NNG
서부지검장은	서부지검장/NNG+은/JX
"수사	"/SS+수사/NNG
지휘를	지휘/NNG+를/JKO
하려면	하/VV+려면/EC
검찰총장을	검찰/NNG+총장/NNG+을/JKO
통해	통하/VV+아/EC
서면으로	서면/NNG+으로/JKB
하라"며	하/VV+라/EF+"/SS+며/EC
장관	장관/NNG
지시를	지시/NNG+를/JKO
거부한	거부/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.299.6.2
서부지검은 당시 한화그룹 김승연 회장이 차명으로 보유한 위장계열사의 채무 3500억원을 그룹 계열사들에 지급보증하게 해 회사에 손해를 끼친 혐의 등으로 홍씨에 대한 구속영장을 재청구하려고 준비하고 있었다.

서부지검은	서부지검/NNP+은/JX
당시	당시/NNG
한화그룹	한화그룹/NNP
김승연	김승연/NNP
회장이	회장/NNG+이/JKS
차명으로	차명/NNG+으로/JKB
보유한	보유/NNG+하/XSV+ㄴ/ETM
위장계열사의	위장/NNG+계열사/NNG+의/JKG
채무	채무/NNG
3500억원을	3500/SN+억/NR+원/NNB+을/JKO
그룹	그룹/NNG
계열사들에	계열사/NNG+들/XSN+에/JKB
지급보증하게	지급/NNG+보증/NNG+하/XSV+게/EC
해	하/VX+아/EC
회사에	회사/NNG+에/JKB
손해를	손해/NNG+를/JKO
끼친	끼치/VV+ㄴ/ETM
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
홍씨에	홍/NNP+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
구속영장을	구속/NNG+영장/NNG+을/JKO
재청구하려고	재/XPN+청구/NNG+하/XSV+려고/EC
준비하고	준비/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.299.6.3
서부지검은 작년 12월 홍씨에 대해 구속영장을 청구했으나 서울서부지법에서 기각됐다.

서부지검은	서부지검/NNP+은/JX
작년	작년/NNG
12월	12/SN+월/NNB
홍씨에	홍/NNP+씨/NNB+에/JKB
대해	대하/VV+아/EC
구속영장을	구속/NNG+영장/NNG+을/JKO
청구했으나	청구/NNG+하/XSV+았/EP+으나/EC
서울서부지법에서	서울서부지법/NNP+에서/JKB
기각됐다.	기각/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.299.7.1
남 지검장이 수사지휘를 거부한 뒤 서부지검은 지난달 20일 홍씨를 비롯한 한화그룹 전·현직 임직원 5명에 대해 구속영장을 청구했으나 모두 기각됐다.

남	남/NNP
지검장이	지검장/NNG+이/JKS
수사지휘를	수사/NNG+지휘/NNG+를/JKO
거부한	거부/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
서부지검은	서부지검/NNP+은/JX
지난달	지난달/NNG
20일	20/SN+일/NNB
홍씨를	홍/NNP+씨/NNB+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
한화그룹	한화그룹/NNP
전·현직	전·현직/NNG
임직원	임직원/NNG
5명에	5/SN+명/NNB+에/JKB
대해	대하/VV+아/EC
구속영장을	구속/NNG+영장/NNG+을/JKO
청구했으나	청구/NNG+하/XSV+았/EP+으나/EC
모두	모두/MAG
기각됐다.	기각/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.299.8.1
남 지검장은 그 직후인 지난달 28일 검찰 고위간부 인사가 발표되기 전 돌연 사표를 던지고 검찰을 떠났다.

남	남/NNP
지검장은	지검장/NNG+은/JX
그	그/MMD
직후인	직후/NNG+이/VCP+ㄴ/ETM
지난달	지난달/NNG
28일	28/SN+일/NNB
검찰	검찰/NNG
고위간부	고위/NNG+간부/NNG
인사가	인사/NNG+가/JKS
발표되기	발표/NNG+되/XSV+기/ETN
전	전/NNG
돌연	돌연/MAG
사표를	사표/NNG+를/JKO
던지고	던지/VV+고/EC
검찰을	검찰/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.299.8.2
당시 그는 왜 사표를 냈는지 말하지 않았다.

당시	당시/NNG
그는	그/NP+는/JX
왜	왜/MAG
사표를	사표/NNG+를/JKO
냈는지	내/VV+었/EP+는지/EF
말하지	말/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.299.9.1
이 장관의 부당한 수사 지휘가 있었는지에 대해 남 전 지검장은 "검찰을 떠난 사람이 말하는 게 부적절하다"고 말했다.

이	이/NNP
장관의	장관/NNG+의/JKG
부당한	부당/NNG+하/XSA+ㄴ/ETM
수사	수사/NNG
지휘가	지휘/NNG+가/JKS
있었는지에	있/VV+었/EP+는지/EF+에/JKB
대해	대하/VV+아/EC
남	남/NNP
전	전/MMD
지검장은	지검장/NNG+은/JX
"검찰을	"/SS+검찰/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
말하는	말/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
부적절하다"고	부적절하/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.299.10.1
법무부 관계자는 "그런 지시는 없었던 것으로 안다"고 말했다.

법무부	법무부/NNG
관계자는	관계자/NNG+는/JX
"그런	"/SS+그런/MMD
지시는	지시/NNG+는/JX
없었던	없/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
안다"고	알/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.299.10.2
하지만 복수의 검찰 고위 간부들은 "사실상 장관의 수사 지휘가 있었고, 남 전 지검장이 거부했던 것은 맞다"고 말했다.

하지만	하지만/MAJ
복수의	복수/NNG+의/JKG
검찰	검찰/NNG
고위	고위/NNG
간부들은	간부/NNG+들/XSN+은/JX
"사실상	"/SS+사실/NNG+상/XSN
장관의	장관/NNG+의/JKG
수사	수사/NNG
지휘가	지휘/NNG+가/JKS
있었고,	있/VA+었/EP+고/EC+,/SP
남	남/NNP
전	전/MMD
지검장이	지검장/NNG+이/JKS
거부했던	거부/NNG+하/XSV+았/EP+던/ETM
것은	것/NNB+은/JX
맞다"고	맞/VV+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.299.11.1
검찰총장을 지낸 한 변호사는 "장관이 법무부 간부를 통해 수사팀에 수사 지휘를 하는 건 있을 수 없는 일"이라며 "그런 일이 있었다면 장관이 책임을 져야 한다"고 말했다.

검찰총장을	검찰/NNG+총장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
한	한/MMN
변호사는	변호사/NNG+는/JX
"장관이	"/SS+장관/NNG+이/JKS
법무부	법무부/NNG
간부를	간부/NNG+를/JKO
통해	통하/VV+아/EC
수사팀에	수사/NNG+팀/NNG+에/JKB
수사	수사/NNG
지휘를	지휘/NNG+를/JKO
하는	하/VV+는/ETM
건	거/NNB+ㄴ/JX
있을	있/VA+을/ETM
수	수/NNB
없는	없/VA+는/ETM
일"이라며	일/NNG+"/SS+이/VCP+라며/EC
"그런	"/SS+그런/MMD
일이	일/NNG+이/JKS
있었다면	있/VA+었/EP+다면/EC
장관이	장관/NNG+이/JKS
책임을	책임/NNG+을/JKO
져야	지/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


