# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.329
metadata : {}


# id : NWRW1800000022.329.1.1
롤러 세계선수권 우효숙 3연패 위업;'1만m EP' 종목

롤러	롤러/NNG
1만m	1/SN+만/NR+m/SW
EP에서	EP/SL+에서/JKB
시니어	시니어/NNG
사상	사상/NNG
최초의	최초/NNG+의/JKG
금메달을	금메달/NNG+을/JKO
한국에	한국/NNP+에/JKB
안겼던	안기/VV+었/EP+던/ETM
우효숙은	우효숙/NNP+은/JX
2007·2008	2007/SN+·/SP+2008/SN
대회에	대회/NNG+에/JKB
이어	잇/VV+어/EC
3년	3/SN+년/NNB
연속	연속/NNG
이	이/MMD
종목에서	종목/NNG+에서/JKB
우승을	우승/NNG+을/JKO
차지하며	차지/NNG+하/XSV+며/EC
한국	한국/NNP
롤러스케이팅의	롤러/NNG+스케이팅/NNG+의/JKG
역사를	역사/NNG+를/JKO
새로	새로/MAG
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.329.5.1
세계 최강 우효숙의 진가를 확인한 레이스였다.

세계	세계/NNG
최강	최강/NNG
우효숙의	우효숙/NNP+의/JKG
진가를	진가/NNG+를/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
레이스였다.	레이스/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.329.5.2
우효숙은 3~4바퀴마다 돌아오는 포인트 바퀴에서 폭발적인 순간 스피드를 앞세워 차곡차곡 점수를 쌓아 올렸다.

우효숙은	우효숙/NNP+은/JX
3~4바퀴마다	3/SN+~/SO+4/SN+바퀴/NNB+마다/JX
돌아오는	돌아오/VV+는/ETM
포인트	포인트/NNG
바퀴에서	바퀴/NNB+에서/JKB
폭발적인	폭발/NNG+적/XSN+이/VCP+ㄴ/ETM
순간	순간/NNG
스피드를	스피드/NNG+를/JKO
앞세워	앞세우/VV+어/EC
차곡차곡	차곡차곡/MAG
점수를	점수/NNG+를/JKO
쌓아	쌓/VV+아/EC
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.329.5.3
포인트가 주어지지 않는 바퀴에선 중위권으로 처져 달리며 체력을 비축하는 완급 조절 능력도 탁월했다.

포인트가	포인트/NNG+가/JKS
주어지지	주어지/VV+지/EC
않는	않/VX+는/ETM
바퀴에선	바퀴/NNB+에서/JKB+ㄴ/JX
중위권으로	중위/NNG+권/XSN+으로/JKB
처져	처지/VV+어/EC
달리며	달리/VV+며/EC
체력을	체력/NNG+을/JKO
비축하는	비축/NNG+하/XSV+는/ETM
완급	완급/NNG
조절	조절/NNG
능력도	능력/NNG+도/JX
탁월했다.	탁월하/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.329.5.4
중반 이후 대부분의 포인트 바퀴를 선두로 통과하며 2위와의 점수를 일찌감치 벌려 놓은 우효숙은 막판 여유 있는 경기 운영으로 1위를 확정했다.

중반	중반/NNG
이후	이후/NNG
대부분의	대/XPN+부분/NNG+의/JKG
포인트	포인트/NNG
바퀴를	바퀴/NNB+를/JKO
선두로	선두/NNG+로/JKB
통과하며	통과/NNG+하/XSV+며/EC
2위와의	2/SN+위/NNB+와/JKB+의/JKG
점수를	점수/NNG+를/JKO
일찌감치	일찌감치/MAG
벌려	벌리/VV+어/EC
놓은	놓/VX+은/ETM
우효숙은	우효숙/NNP+은/JX
막판	막판/NNG
여유	여유/NNG
있는	있/VA+는/ETM
경기	경기/NNG
운영으로	운영/NNG+으로/JKB
1위를	1/SN+위/NNB+를/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.329.6.1
앞서 열린 남자 주니어 1만5000m E(제외)에선 최광호(경신고)와 조우상(학익고)이 각각 금메달과 은메달을 목에 걸었고, 대표팀의 유일한 중학생 유가람(귀인중)은 여자 주니어 1만5000m E에서 2위에 올랐다.

앞서	앞서/MAG
열린	열리/VV+ㄴ/ETM
남자	남자/NNG
주니어	주니어/NNG
1만5000m	1/SN+만/NR+5000/SN+m/SW
E(제외)에선	E/SL+(/SS+제외/NNG+)/SS+에서/JKB+ㄴ/JX
최광호(경신고)와	최광호/NNP+(/SS+경신고/NNP+)/SS+와/JC
조우상(학익고)이	조우상/NNP+(/SS+학익고/NNP+)/SS+이/JKS
각각	각각/MAG
금메달과	금메달/NNG+과/JC
은메달을	은메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었고,	걸/VV+었/EP+고/EC+,/SP
대표팀의	대표/NNG+팀/NNG+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
중학생	중학/NNG+생/XSN
유가람(귀인중)은	유가람/NNP+(/SS+귀인중/NNP+)/SS+은/JX
여자	여자/NNG
E에서	E/SL+에서/JKB
2위에	2/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


