# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.232
metadata : {}


# id : NWRW1800000029.232.1.1
[휴지통]법원도 속이려다 끝내 징역형

[휴지통]법원도	[/SS+휴지통/NNG+]/SS+법원/NNG+도/JX
따라	따르/VV+아/EC
이	이/NNP
씨에게	씨/NNB+에게/JKB
모든	모든/MMN
빚을	빚/NNG+을/JKO
갚았다”며	갚/VV+았/EP+다/EF+”/SS+며/EC
이의신청을	이의/NNG+신청/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.232.5.3
채무관계가 모두 해소된 상태에서 이 씨가 법원 판결문을 이용해 한 번 더 돈을 받아내려고 했던 것이다.

채무관계가	채무/NNG+관계/NNG+가/JKS
모두	모두/MAG
해소된	해소/NNG+되/XSV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
이	이/NNP
씨가	씨/NNB+가/JKS
법원	법원/NNG
판결문을	판결문/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
한	한/MMN
번	번/NNB
더	더/MAG
돈을	돈/NNG+을/JKO
받아내려고	받/VV+아/EC+내/VX+려고/EC
했던	하/VX+았/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.232.6.1
부산지법 형사7단독 주경태 판사는 사기와 사기미수 혐의로 이 씨에게 징역 8개월을 선고했다.

부산지법	부산지법/NNP
형사7단독	형사/NNG+7/SN+단독/NNG
주경태	주경태/NNP
판사는	판사/NNG+는/JX
사기와	사기/NNG+와/JC
사기미수	사기/NNG+미수/NNG
혐의로	혐의/NNG+로/JKB
이	이/NNP
씨에게	씨/NNB+에게/JKB
징역	징역/NNG
8개월을	8/SN+개월/NNB+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.232.6.2
재판부는 “법원을 속이는 등 죄질이 매우 불량하고 반성하지 않아 엄벌에 처해야 하지만 실제 얻은 이익이 많지 않고 비교적 고령이어서 건강이 좋지 않은 점을 참작했다”고 밝혔다.

재판부는	재판부/NNG+는/JX
“법원을	“/SS+법원/NNG+을/JKO
속이는	속이/VV+는/ETM
등	등/NNB
죄질이	죄질/NNG+이/JKS
매우	매우/MAG
불량하고	불량/NNG+하/XSA+고/EC
반성하지	반성/NNG+하/XSV+지/EC
않아	않/VX+아/EC
엄벌에	엄벌/NNG+에/JKB
처해야	처하/VV+아야/EC
하지만	하/VX+지만/EC
실제	실제/NNG
얻은	얻/VV+은/ETM
이익이	이익/NNG+이/JKS
많지	많/VA+지/EC
않고	않/VX+고/EC
비교적	비교/NNG+적/XSN
고령이어서	고령/NNG+이/VCP+어서/EC
건강이	건강/NNG+이/JKS
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
점을	점/NNG+을/JKO
참작했다”고	참작/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


