# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.202
metadata : {}


# id : NWRW1800000030.202.1.1
윤호영 웃자 동부 승리의 미소 짓다

윤호영	윤호영/NNP
# id : NWRW1800000030.202.4.1
20일 챔피언결정 3차전에 나선 윤호영의 다리는 칭칭 감은 붕대와 테이핑으로 맨살을 찾기 어려웠다.

20일	20/SN+일/NNB
챔피언결정	챔피언/NNG+결정/NNG
3차전에	3/SN+차전/NNB+에/JKB
나선	나서/VV+ㄴ/ETM
윤호영의	윤호영/NNP+의/JKG
다리는	다리/NNG+는/JX
칭칭	칭칭/MAG
감은	감/VV+은/ETM
붕대와	붕대/NNG+와/JC
테이핑으로	테이핑/NNG+으로/JKB
맨살을	맨/XPN+살/NNG+을/JKO
찾기	찾/VV+기/ETN
어려웠다.	어렵/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.202.4.2
KT와 4강 플레이오프에서 왼쪽 무릎을 심하게 다쳐 '진통제 투혼'을 펼쳤다.

KT와	KT/SL+와/JC
4강	4/SN+강/NNB
플레이오프에서	플레이오프/NNG+에서/JKB
왼쪽	왼쪽/NNG
무릎을	무릎/NNG+을/JKO
심하게	심하/VA+게/EC
다쳐	다치/VV+어/EC
'진통제	'/SS+진통제/NNG
투혼'을	투혼/NNG+'/SS+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.202.4.3
강 감독은 "호영이가 버텨줘야 한다"며 "오늘은 40분 뛰는 것을 각오해야 한다"고 했다.

강	강/NNP
감독은	감독/NNG+은/JX
"호영이가	"/SS+호영이/NNP+가/JKS
버텨줘야	버티/VV+어/EC+주/VX+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"오늘은	"/SS+오늘/NNG+은/JX
40분	40/SN+분/NNB
뛰는	뛰/VV+는/ETM
것을	것/NNB+을/JKO
각오해야	각오/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.202.4.4
동부는 윤호영이 4점으로 부진했던 챔피언결정 2차전에서 20점 차로 맥없이 패했다.

동부는	동부/NNP+는/JX
윤호영이	윤호영/NNP+이/JKS
4점으로	4/SN+점/NNB+으로/JKB
부진했던	부진/NNG+하/XSA+았/EP+던/ETM
챔피언결정	챔피언/NNG+결정/NNG
2차전에서	2/SN+차전/NNB+에서/JKB
20점	20/SN+점/NNB
차로	차/NNG+로/JKB
맥없이	맥없이/MAG
패했다.	패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.202.5.1
동부의 홈인 치악체육관에서 열린 3차전, 윤호영이 살아나자 동부도 살아났다.

동부의	동부/NNP+의/JKG
홈인	홈/NNG+이/VCP+ㄴ/ETM
치악체육관에서	치악체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
3차전,	3/SN+차전/NNB+,/SP
윤호영이	윤호영/NNP+이/JKS
살아나자	살아나/VV+자/EC
동부도	동부/NNP+도/JX
살아났다.	살아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.202.5.2
동부는 KCC를 62대54로 누르고 시리즈 전적 2승1패로 앞서나갔다.

동부는	동부/NNP+는/JX
KCC를	KCC/SL+를/JKO
62대54로	62/SN+대/NNB+54/SN+로/JKB
누르고	누르/VV+고/EC
시리즈	시리즈/NNG
전적	전적/NNG
2승1패로	2/SN+승/NNB+1/SN+패/NNG+로/JKB
앞서나갔다.	앞서/VV+어/EC+나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.202.5.3
윤호영이 16점 9리바운드 3어시스트 3블록슛의 전방위 활약을 펼쳤다.

윤호영이	윤호영/NNP+이/JKS
16점	16/SN+점/NNB
9리바운드	9/SN+리바운드/NNG
3어시스트	3/SN+어시스트/NNG
3블록슛의	3/SN+블록슛/NNG+의/JKG
전방위	전방위/NNG
활약을	활약/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.202.6.1
윤호영은 전반 3점슛 2방을 꽂으며 동부의 분위기를 이끌었다.

윤호영은	윤호영/NNP+은/JX
전반	전반/NNG
3점슛	3/SN+점/NNB+슛/NNG
2방을	2/SN+방/NNB+을/JKO
꽂으며	꽂/VV+으며/EC
동부의	동부/NNG+의/JKG
분위기를	분위기/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.202.6.2
3점슛은 올 시즌 윤호영이 장착한 신무기다.

3점슛은	3/SN+점/NNB+슛/NNG+은/JX
올	올/NNG
시즌	시즌/NNG
윤호영이	윤호영/NNP+이/JKS
장착한	장착/NNG+하/XSV+ㄴ/ETM
신무기다.	신/XPN+무기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.202.6.3
2008년 중앙대를 졸업한 윤호영은 197㎝의 키를 살린 골밑 플레이로 '리틀 김주성'이라 불렸다.

2008년	2008/SN+년/NNB
중앙대를	중앙대/NNP+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
윤호영은	윤호영/NNP+은/JX
197㎝의	197/SN+㎝/SW+의/JKG
키를	키/NNG+를/JKO
살린	살리/VV+ㄴ/ETM
골밑	골/NNG+밑/NNG
플레이로	플레이/NNG+로/JKB
'리틀	'/SS+리틀/NNG
김주성'이라	김주성/NNP+'/SS+이/VCP+라/EC
불렸다.	불리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.202.6.4
하지만 프로 진출 후 대학 선배인 김주성에 가려 주로 벤치를 지켰다.

하지만	하지만/MAJ
프로	프로/NNG
진출	진출/NNG
후	후/NNG
대학	대학/NNG
선배인	선배/NNG+이/VCP+ㄴ/ETM
김주성에	김주성/NNP+에/JKB
가려	가리/VV+어/EC
주로	주로/MAG
벤치를	벤치/NNG+를/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.202.7.1
윤호영은 올 시즌을 앞두고 누가 시키지 않아도 하루에 3점슛 500개씩을 쐈다.

윤호영은	윤호영/NNP+은/JX
올	올/NNG
시즌을	시즌/NNG+을/JKO
앞두고	앞두/VV+고/EC
누가	누구/NP+가/JKS
시키지	시키/VV+지/EC
않아도	않/VX+아도/EC
하루에	하루/NNG+에/JKB
3점슛	3/SN+점/NNB+슛/NNG
500개씩을	500/SN+개/NNB+씩/XSN+을/JKO
쐈다.	쏘/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.202.7.2
세 살짜리 아들 지후와 지난해 낳은 딸 지효는 그가 게으름을 피울 수 없는 이유였다.

세	세/MMN
살짜리	살/NNB+짜리/XSN
아들	아들/NNG
지후와	지후/NNP+와/JC
지난해	지난해/NNG
낳은	낳/VV+은/ETM
딸	딸/NNG
지효는	지효/NNP+는/JX
그가	그/NP+가/JKS
게으름을	게으름/NNG+을/JKO
피울	피우/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
이유였다.	이유/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.202.7.3
지난 시즌 16.98%에 불과했던 3점슛 성공률이 올 시즌엔 32.1%까지 올라갔다.

지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
16.98%에	16/SN+./SP+98/SN+%/SW+에/JKB
불과했던	불과/MAG+하/XSA+았/EP+던/ETM
3점슛	3/SN+점/NNB+슛/NNG
성공률이	성공/NNG+률/XSN+이/JKS
올	올/NNG
시즌엔	시즌/NNG+에/JKB+ㄴ/JX
32.1%까지	32/SN+./SP+1/SN+%/SW+까지/JX
올라갔다.	올라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.202.7.4
정규시즌 52개의 3점슛을 성공하며 박지현에 이어 팀 내 두 번째를 기록했다.

정규시즌	정규/NNG+시즌/NNG
52개의	52/SN+개/NNB+의/JKG
3점슛을	3/SN+점/NNB+슛/NNG+을/JKO
성공하며	성공/NNG+하/XSV+며/EC
박지현에	박지현/NNP+에/JKB
이어	잇/VV+어/EC
팀	팀/NNG
내	내/NNB
두	두/MMN
번째를	번/NNB+째/XSN+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.202.8.1
이날 3점슛으로 기세를 올린 윤호영은 과감한 돌파와 정확한 중거리슛, 적극적인 리바운드 가담으로 팀플레이의 구심점 역할을 했다.

이날	이날/NNG
3점슛으로	3/SN+점/NNB+슛/NNG+으로/JKB
기세를	기세/NNG+를/JKO
올린	올리/VV+ㄴ/ETM
윤호영은	윤호영/NNP+은/JX
과감한	과감하/VA+ㄴ/ETM
돌파와	돌파/NNG+와/JC
정확한	정확/NNG+하/XSA+ㄴ/ETM
중거리슛,	중거리/NNG+슛/NNG+,/SP
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
리바운드	리바운드/NNG
가담으로	가담/NNG+으로/JKB
팀플레이의	팀플레이/NNG+의/JKG
구심점	구심점/NNG
역할을	역할/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.202.8.2
수비에서도 매치업 상대인 강병현을 5점으로 꽁꽁 묶었다.

수비에서도	수비/NNG+에서/JKB+도/JX
매치업	매치업/NNG
상대인	상대/NNG+이/VCP+ㄴ/ETM
강병현을	강병현/NNP+을/JKO
5점으로	5/SN+점/NNB+으로/JKB
꽁꽁	꽁꽁/MAG
묶었다.	묶/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.202.8.3
윤호영은 경기 후 무릎 상태를 묻자 "그건 묻지 말아 주세요"라며 웃었다.

윤호영은	윤호영/NNP+은/JX
경기	경기/NNG
후	후/NNG
무릎	무릎/NNG
상태를	상태/NNG+를/JKO
묻자	묻/VV+자/EC
"그건	"/SS+그거/NP+ㄴ/JX
묻지	묻/VV+지/EC
말아	말/VX+아/EC
주세요"라며	주/VX+시/EP+어요/EF+"/SS+이/VCP+라며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.202.9.1
'리틀 김주성'이 코트를 장악하자 '원조'도 덩달아 힘을 냈다.

'리틀	'/SS+리틀/NNG
김주성'이	김주성/NNP+'/SS+이/JKS
코트를	코트/NNG+를/JKO
장악하자	장악/NNG+하/XSV+자/EC
'원조'도	'/SS+원조/NNG+'/SS+도/JX
덩달아	덩달/VV+아/EC
힘을	힘/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.202.9.2
김주성은 20점 5리바운드 4어시스트로 윤호영과 쌍끌이 활약을 펼쳤다.

김주성은	김주성/NNP+은/JX
20점	20/SN+점/NNB
5리바운드	5/SN+리바운드/NNG
4어시스트로	4/SN+어시스트/NNG+로/JKB
윤호영과	윤호영/NNP+과/JKB
쌍끌이	쌍끌이/NNG
활약을	활약/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.202.10.1
정규시즌 득점 1위(경기당 82.5점) KCC는 동부의 '질식 수비'에 챔피언전 역대 한 경기 최소 득점에 그치는 수모를 맛봤다.

정규시즌	정규/NNG+시즌/NNG
득점	득점/NNG
1위(경기당	1/SN+위/NNB+(/SS+경기/NNG+당/XSN
82.5점)	82/SN+./SP+5/SN+점/NNB+)/SS
KCC는	KCC/SL+는/JX
동부의	동부/NNP+의/JKG
'질식	'/SS+질식/NNG
수비'에	수비/NNG+'/SS+에/JKB
챔피언전	챔피언전/NNG
역대	역대/NNG
한	한/MMN
경기	경기/NNG
최소	최소/NNG
득점에	득점/NNG+에/JKB
그치는	그치/VV+는/ETM
수모를	수모/NNG+를/JKO
맛봤다.	맛보/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.202.10.2
3점슛을 10개 시도해 하나를 겨우 넣었다.

3점슛을	3/SN+점/NNB+슛/NNG+을/JKO
10개	10/SN+개/NNB
시도해	시도/NNG+하/XSV+아/EC
하나를	하나/NR+를/JKO
겨우	겨우/MAG
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.202.10.3
허리춤에 손을 얹고 경기 내내 불만스러운 표정을 보인 허재 KCC 감독은 "윤호영에 대한 수비가 제대로 되지 않았다"고 했다.

허리춤에	허리춤/NNG+에/JKB
손을	손/NNG+을/JKO
얹고	얹/VV+고/EC
경기	경기/NNG
내내	내내/MAG
불만스러운	불만/NNG+스럽/XSA+ㄴ/ETM
표정을	표정/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
허재	허재/NNP
KCC	KCC/SL
감독은	감독/NNG+은/JX
"윤호영에	"/SS+윤호영/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
수비가	수비/NNG+가/JKS
제대로	제대로/MAG
되지	되/VV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.202.10.4
4차전은 22일 오후 5시 45분 같은 장소에서 열린다.

4차전은	4/SN+차전/NNB+은/JX
22일	22/SN+일/NNB
오후	오후/NNG
5시	5/SN+시/NNB
45분	45/SN+분/NNB
같은	같/VA+은/ETM
장소에서	장소/NNG+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


