# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.66
metadata : {}


# id : NWRW1800000048.66.1.1
AB인베브+사브밀러, 공룡 맥주회사 눈앞

AB인베브+사브밀러,	AB인베브/NNP++/SW+사브밀러/NNP+,/SP
에이비인베브는 영국에 본사를 둔 사브밀러에 주당 44파운드로 지난달 14일 기준 주식가격에 50% 프리미엄을 얹어 주기로 했으며, 사브밀러 이사회는 이를 받아들였다.

에이비인베브는	에이비인베브/NNP+는/JX
영국에	영국/NNP+에/JKB
본사를	본사/NNG+를/JKO
둔	두/VV+ㄴ/ETM
사브밀러에	사브밀러/NNP+에/JKB
주당	주당/NNG
44파운드로	44/SN+파운드/NNB+로/JKB
지난달	지난달/NNG
14일	14/SN+일/NNB
기준	기준/NNG
주식가격에	주식/NNG+가격/NNG+에/JKB
50%	50/SN+%/SW
프리미엄을	프리미엄/NNG+을/JKO
얹어	얹/VV+어/EC
주기로	주/VX+기/ETN+로/JKB
했으며,	하/VV+았/EP+으며/EC+,/SP
사브밀러	사브밀러/NNP
이사회는	이사회/NNG+는/JX
이를	이/NP+를/JKO
받아들였다.	받아들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.66.6.2
사브밀러에서는 그동안 2대 주주인 콜롬비아 재벌 산토 도밍고 가문이 에이비인베브 인수합병 제안에 부정적이었으나, 이번 제안은 받아들였다.

사브밀러에서는	사브밀러/NNP+에서/JKB+는/JX
그동안	그동안/NNG
2대	2/SN+대/NNG
주주인	주주/NNG+이/VCP+ㄴ/ETM
콜롬비아	콜롬비아/NNP
재벌	재벌/NNG
산토	산토/NNP
도밍고	도밍고/NNP
가문이	가문/NNG+이/JKS
에이비인베브	에이비인베브/NNP
인수합병	인수/NNG+합병/NNG
제안에	제안/NNG+에/JKB
부정적이었으나,	부정/NNG+적/XSN+이/VCP+었/EP+으나/EC+,/SP
이번	이번/NNG
제안은	제안/NNG+은/JX
받아들였다.	받아들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.66.7.1
에이비인베브는 사브밀러와의 인수합병 협상을 사실상 타결하면서 세계 맥주 시장에서 가장 성장력이 높은 아프리카 시장에서 장악력을 높일 수 있게 됐다.

에이비인베브는	에이비인베브/NNP+는/JX
사브밀러와의	사브밀러/NNP+와/JKB+의/JKG
인수합병	인수/NNG+합병/NNG
협상을	협상/NNG+을/JKO
사실상	사실/NNG+상/XSN
타결하면서	타결/NNG+하/XSV+면서/EC
세계	세계/NNG
맥주	맥주/NNG
시장에서	시장/NNG+에서/JKB
가장	가장/MAG
성장력이	성장력/NNG+이/JKS
높은	높/VA+은/ETM
아프리카	아프리카/NNP
장악력을	장악력/NNG+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.66.7.2
사브밀러의 아프리카 시장 점유율은 40.3%에 이른다.

사브밀러의	사브밀러/NNP+의/JKG
아프리카	아프리카/NNP
시장	시장/NNG
점유율은	점유/NNG+율/XSN+은/JX
40.3%에	40/SN+./SP+3/SN+%/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.66.7.3
시장조사기관 플라토 로직에 따르면 세계 맥주 시장은 올해 30년 만에 처음으로 0.1% 후퇴하지만 아프리카 시장은 2.6% 성장이 예상된다.

시장조사기관	시장/NNG+조사/NNG+기관/NNG
플라토	플라토/NNP
로직에	로직/NNP+에/JKB
따르면	따르/VV+면/EC
세계	세계/NNG
맥주	맥주/NNG
시장은	시장/NNG+은/JX
올해	올해/NNG
30년	30/SN+년/NNB
만에	만/NNB+에/JKB
처음으로	처음/NNG+으로/JKB
0.1%	0/SN+./SP+1/SN+%/SW
후퇴하지만	후퇴/NNG+하/XSV+지만/EC
아프리카	아프리카/NNP
2.6%	2/SN+./SP+6/SN+%/SW
성장이	성장/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.66.8.1
이 인수합병에 완전히 성공하려면 주총 승인과 각국의 독점 규제를 통과해야 한다.

이	이/MMD
인수합병에	인수/NNG+합병/NNG+에/JKB
완전히	완전히/MAG
성공하려면	성공/NNG+하/XSV+려면/EC
주총	주총/NNG
승인과	승인/NNG+과/JC
각국의	각국/NNG+의/JKG
독점	독점/NNG
규제를	규제/NNG+를/JKO
통과해야	통과/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.66.8.2
미국 시장의 경우 에이비인베브 점유율은 45%이고 사브밀러는 25%에 이르기 때문에, 반독점 규제 통과가 쉽지만은 않다.

미국	미국/NNP
시장의	시장/NNG+의/JKG
경우	경우/NNG
에이비인베브	에이비인베브/NNP
점유율은	점유/NNG+율/XSN+은/JX
45%이고	45/SN+%/SW+이/VCP+고/EC
사브밀러는	사브밀러/NNP+는/JX
25%에	25/SN+%/SW+에/JKB
이르기	이르/VV+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
반독점	반/XPN+독점/NNG
규제	규제/NNG
통과가	통과/NNG+가/JKS
쉽지만은	쉽/VA+지/EC+만/JX+은/JX
않다.	않/VX+다/EF+./SF


