# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.359
metadata : {}


# id : NWRW1800000024.359.1.1
포스코 휩쓴 금연 바이러스

포스코	포스코/NNP
시작하더니	시작/NNG+하/XSV+더니/EC
차츰	차츰/MAG
전	전/MMN
직원들로	직원/NNG+들/XSN+로/JKB
번졌다.	번지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.359.4.4
회사는 금연보조제와 건강상담 등을 지원하면서 직원들의 담배 끊기를 도왔다.

회사는	회사/NNG+는/JX
금연보조제와	금연/NNG+보조제/NNG+와/JC
건강상담	건강/NNG+상담/NNG
등을	등/NNB+을/JKO
지원하면서	지원/NNG+하/XSV+면서/EC
직원들의	직원/NNG+들/XSN+의/JKG
담배	담배/NNG
끊기를	끊/VV+기/ETN+를/JKO
도왔다.	돕/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.359.5.1
정 회장은 1996년 광양제철소 제강부장으로 근무하던 시절 부하 직원이 질병으로 사망하는 것을 보고 금연의 필요성을 느꼈다고 한다.

정	정/NNP
회장은	회장/NNG+은/JX
1996년	1996/SN+년/NNB
광양제철소	광양제철소/NNP
제강부장으로	제강/NNG+부장/NNG+으로/JKB
근무하던	근무/NNG+하/XSV+던/ETM
시절	시절/NNG
부하	부하/NNG
직원이	직원/NNG+이/JKS
질병으로	질병/NNG+으로/JKB
사망하는	사망/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
보고	보/VV+고/EC
금연의	금연/NNG+의/JKG
필요성을	필요/NNG+성/XSN+을/JKO
느꼈다고	느끼/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.359.5.2
업무상 재해가 아닌 질병사는 보상도 받을 수 없었던 시절이었다.

업무상	업무/NNG+상/XSN
재해가	재해/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
질병사는	질병사/NNG+는/JX
보상도	보상/NNG+도/JX
받을	받/VV+을/ETM
수	수/NNB
없었던	없/VA+었/EP+던/ETM
시절이었다.	시절/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.359.5.3
정 회장은 그때부터 20여년간 피워온 담배를 끊고 자기 부서부터 금연을 시키기 시작했다.

정	정/NNP
회장은	회장/NNG+은/JX
그때부터	그때/NNG+부터/JX
20여년간	20/SN+여/XSN+년/NNB+간/XSN
피워온	피우/VV+어/EC+오/VX+ㄴ/ETM
담배를	담배/NNG+를/JKO
끊고	끊/VV+고/EC
자기	자기/NP
부서부터	부서/NNG+부터/JX
금연을	금연/NNG+을/JKO
시키기	시키/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.359.5.4
정 회장은 단순한 직원 건강관리 차원을 떠나 금연이 ‘나와 회사를 사랑하기’의 첫걸음이라는 믿음을 갖고 있다.

정	정/NNP
회장은	회장/NNG+은/JX
단순한	단순/NNG+하/XSA+ㄴ/ETM
직원	직원/NNG
건강관리	건강/NNG+관리/NNG
차원을	차원/NNG+을/JKO
떠나	떠나/VV+아/EC
금연이	금연/NNG+이/JKS
‘나와	‘/SS+나/NP+와/JC
회사를	회사/NNG+를/JKO
사랑하기’의	사랑/NNG+하/XSV+기/ETN+’/SS+의/JKG
첫걸음이라는	첫걸음/NNG+이/VCP+라는/ETM
믿음을	믿음/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.359.6.1
금연운동은 직원들보다 직원 가족에게 더 환영받고 있다.

금연운동은	금연/NNG+운동/NNG+은/JX
직원들보다	직원/NNG+들/XSN+보다/JKB
직원	직원/NNG
가족에게	가족/NNG+에게/JKB
더	더/MAG
환영받고	환영/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.359.6.2
캠페인을 통해 금연에 성공한 백승종 과장(미래성장전략실)은 “금연에 성공한 덕분에 집에서는 자랑스런 아빠로, 회사에서는 더 건강한 직원으로 일할 수 있게 됐다”고 말했다.

캠페인을	캠페인/NNG+을/JKO
통해	통하/VV+아/EC
금연에	금연/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
백승종	백승종/NNP
과장(미래성장전략실)은	과장/NNG+(/SS+미래/NNG+성장/NNG+전략실/NNG+)/SS+은/JX
“금연에	“/SS+금연/NNG+에/JKB
덕분에	덕분/NNG+에/JKB
집에서는	집/NNG+에서/JKB+는/JX
자랑스런	자랑/NNG+스럽/XSA+ㄴ/ETM
아빠로,	아빠/NNG+로/JKB+,/SP
회사에서는	회사/NNG+에서/JKB+는/JX
더	더/MAG
건강한	건강/NNG+하/XSA+ㄴ/ETM
직원으로	직원/NNG+으로/JKB
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.359.7.1
포스코의 금연 바람은 다른 회사들로 번지고 있다.

포스코의	포스코/NNP+의/JKG
금연	금연/NNG
바람은	바람/NNG+은/JX
다른	다른/MMD
회사들로	회사/NNG+들/XSN+로/JKB
번지고	번지/VV+고/EC
있다.	있/VX+다/EF+./SF


