# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.238
metadata : {}


# id : NWRW1800000033.238.1.1
울산, 난적 알힐랄 격파… 넓어진 4강 길

울산,	울산/NNP+,/SP
두	두/MMN
차례(1992년,	차례/NNG+(/SS+1992/SN+년/NNB+,/SP
2000년)	2000/SN+년/NNB+)/SS
우승한	우승/NNG+하/XSV+ㄴ/ETM
‘중동의	‘/SS+중동/NNP+의/JKG
강호’.	강호/NNG+’/SS+./SF


# id : NWRW1800000033.238.4.3
전문가들은 “막강한 공격력을 가진 알힐랄과의 경기는 우승을 노리는 울산의 최대 고비다”라고 말했다.

전문가들은	전문가/NNG+들/XSN+은/JX
“막강한	“/SS+막강/NNG+하/XSA+ㄴ/ETM
공격력을	공격력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
알힐랄과의	알힐랄/NNP+과/JKB+의/JKG
경기는	경기/NNG+는/JX
우승을	우승/NNG+을/JKO
노리는	노리/VV+는/ETM
울산의	울산/NNP+의/JKG
최대	최대/NNG
고비다”라고	고비/NNG+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.238.4.4
그러나 주변의 우려와 달리 김호곤 울산 감독은 자신감이 넘쳤다.

그러나	그러나/MAJ
주변의	주변/NNG+의/JKG
우려와	우려/NNG+와/JKB
달리	달리/MAG
김호곤	김호곤/NNP
울산	울산/NNP
감독은	감독/NNG+은/JX
자신감이	자신감/NNG+이/JKS
넘쳤다.	넘치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.238.4.5
그는 경기 전 “공격적인 축구로 반드시 승리해 K리그의 위상을 높이겠다”고 말했다.

그는	그/NP+는/JX
경기	경기/NNG
전	전/NNG
“공격적인	“/SS+공격/NNG+적/XSN+이/VCP+ㄴ/ETM
축구로	축구/NNG+로/JKB
반드시	반드시/MAG
승리해	승리/NNG+하/XSV+아/EC
K리그의	K/SL+리그/NNG+의/JKG
위상을	위상/NNG+을/JKO
높이겠다”고	높이/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.238.4.6
한국 팀 중 유일하게 8강에 진출한 만큼 최근 몇 년간 AFC 챔피언스리그에서 강세를 보인 K리그 팀의 계보를 잇겠다는 얘기였다.

한국	한국/NNP
팀	팀/NNG
중	중/NNB
유일하게	유일/NNG+하/XSA+게/EC
8강에	8/SN+강/NNB+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
최근	최근/MAG
몇	몇/NR
년간	년/NNB+간/XSN
AFC	AFC/SL
챔피언스리그에서	챔피언스리그/NNG+에서/JKB
강세를	강세/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
K리그	K/SL+리그/NNG
팀의	팀/NNG+의/JKG
계보를	계보/NNG+를/JKO
잇겠다는	잇/VV+겠/EP+다는/ETM
얘기였다.	얘기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.238.4.7
2009년과 2010년에는 각각 포항과 성남이 우승을 차지했고 2011년에는 전북이 준우승을 차지했다.

2009년과	2009/SN+년/NNB+과/JC
2010년에는	2010/SN+년/NNB+에/JKB+는/JX
각각	각각/MAG
포항과	포항/NNP+과/JC
성남이	성남/NNP+이/JKS
우승을	우승/NNG+을/JKO
차지했고	차지/NNG+하/XSV+았/EP+고/EC
2011년에는	2011/SN+년/NNB+에/JKB+는/JX
전북이	전북/NNP+이/JKS
준우승을	준/XPN+우승/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.238.5.1
김 감독은 선발 출전이 유력했던 장신 공격수 김신욱(196cm)을 벤치에 앉히고 스피드가 좋은 이근호와 외국인 공격수 하피냐, 마라냥으로 구성된 스리톱을 선발로 내세웠다.

김	김/NNP
감독은	감독/NNG+은/JX
선발	선발/NNG
출전이	출전/NNG+이/JKS
유력했던	유력/NNG+하/XSA+았/EP+던/ETM
장신	장신/NNG
공격수	공격수/NNG
김신욱(196cm)을	김신욱/NNP+(/SS+196/SN+cm/SW+)/SS+을/JKO
벤치에	벤치/NNG+에/JKB
앉히고	앉히/VV+고/EC
스피드가	스피드/NNG+가/JKS
좋은	좋/VA+은/ETM
이근호와	이근호/NNP+와/JC
외국인	외국인/NNG
하피냐,	하피냐/NNP+,/SP
마라냥으로	마라냥/NNP+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
스리톱을	스리/NNG+톱/NNG+을/JKO
선발로	선발/NNG+로/JKB
내세웠다.	내세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.238.5.2
그의 공격진 선택은 효과가 있었다.

그의	그/NP+의/JKG
공격진	공격진/NNG
선택은	선택/NNG+은/JX
효과가	효과/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.238.5.3
하피냐는 전반 9분 알힐랄의 왼쪽 측면을 빠르게 침투한 이근호의 스루패스를 받아 곧바로 왼발 슈팅으로 연결해 선제골을 터뜨렸다.

하피냐는	하피냐/NNP+는/JX
전반	전반/NNG
9분	9/SN+분/NNB
알힐랄의	알힐랄/NNP+의/JKG
왼쪽	왼쪽/NNG
측면을	측면/NNG+을/JKO
빠르게	빠르/VA+게/EC
침투한	침투/NNG+하/XSV+ㄴ/ETM
이근호의	이근호/NNP+의/JKG
스루패스를	스루/NNG+패스/NNG+를/JKO
받아	받/VV+아/EC
곧바로	곧바로/MAG
왼발	왼발/NNG
슈팅으로	슈팅/NNG+으로/JKB
연결해	연결/NNG+하/XSV+아/EC
선제골을	선제골/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.238.5.4
1-0으로 앞선 울산은 후반 11분 김신욱을 교체 투입해 알힐랄을 더욱 적극적으로 공략했지만 추가 득점에는 실패했다.

1-0으로	1/SN+-/SO+0/SN+으로/JKB
앞선	앞서/VV+ㄴ/ETM
울산은	울산/NNP+은/JX
후반	후반/NNG
11분	11/SN+분/NNB
김신욱을	김신욱/NNP+을/JKO
교체	교체/NNG
투입해	투입/NNG+하/XSV+아/EC
알힐랄을	알힐랄/NNP+을/JKO
더욱	더욱/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
공략했지만	공략/NNG+하/XSV+았/EP+지만/EC
추가	추가/NNG
득점에는	득점/NNG+에/JKB+는/JX
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.238.5.5
알힐랄은 김 감독이 경계 대상 1호로 지목했던 브라질 출신 공격수 웨슬리를 앞세워 반격에 나섰으나 번번이 울산 수비의 육탄 방어에 막혔다.

알힐랄은	알힐랄/NNP+은/JX
김	김/NNP
감독이	감독/NNG+이/JKS
경계	경계/NNG
대상	대상/NNG
1호로	1/SN+호/NNB+로/JKB
지목했던	지목/NNG+하/XSV+았/EP+던/ETM
브라질	브라질/NNP
출신	출신/NNG
공격수	공격수/NNG
웨슬리를	웨슬리/NNP+를/JKO
앞세워	앞세우/VV+어/EC
반격에	반격/NNG+에/JKB
나섰으나	나서/VV+었/EP+으나/EC
번번이	번번이/MAG
울산	울산/NNP
수비의	수비/NNG+의/JKG
육탄	육탄/NNG
방어에	방어/NNG+에/JKB
막혔다.	막히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.238.5.6
한편 2010년 K리그 득점왕 출신인 유병수(알힐랄)는 선발 출전해 전반 31분과 후반 9분 위협적인 헤딩슛을 날렸지만 득점을 올리지는 못했다.

한편	한편/MAG
2010년	2010/SN+년/NNB
K리그	K/SL+리그/NNG
득점왕	득점왕/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
유병수(알힐랄)는	유병수/NNP+(/SS+알힐랄/NNP+)/SS+는/JX
선발	선발/NNG
출전해	출전/NNG+하/XSV+아/EC
전반	전반/NNG
31분과	31/SN+분/NNB+과/JC
후반	후반/NNG
9분	9/SN+분/NNB
위협적인	위협/NNG+적/XSN+이/VCP+ㄴ/ETM
헤딩슛을	헤딩슛/NNG+을/JKO
날렸지만	날리/VV+었/EP+지만/EC
득점을	득점/NNG+을/JKO
올리지는	올리/VV+지/EC+는/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.238.6.1
안방에서 실점을 하지 않고 승리한 울산은 10월 3일(현지 시간) 사우디아라비아 리야드에서 열리는 양 팀의 2차전을 한결 편한 마음으로 치를 수 있게 됐다.

안방에서	안방/NNG+에서/JKB
실점을	실점/NNG+을/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
승리한	승리/NNG+하/XSV+ㄴ/ETM
울산은	울산/NNP+은/JX
10월	10/SN+월/NNB
3일(현지	3/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
사우디아라비아	사우디아라비아/NNP
리야드에서	리야드/NNP+에서/JKB
열리는	열리/VV+는/ETM
양	양/MMN
팀의	팀/NNG+의/JKG
2차전을	2/SN+차전/NNB+을/JKO
한결	한결/MAG
편한	편하/VA+ㄴ/ETM
마음으로	마음/NNG+으로/JKB
치를	치르/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


