# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.47
metadata : {}


# id : NWRW1800000041.47.1.1
[요동치는 세계경제]“맷집 좋은 한국, 큰 충격은 없을듯”

[요동치는	[/SS+요동치/VV+는/ETM
자산운용사	자산/NNG+운용사/NNG
슈로더가	슈로더/NNP+가/JKS
지목한	지목/NNG+하/XSV+ㄴ/ETM
‘안절부절못하는	‘/SS+안절부절못하/VV+는/ETM
8개국(Edgy	8/SN+개국/NNB+(/SS+Edgy/SL
Eight·5대	Eight/SL+·/SP+5/SN+대/NNG
취약국+헝가리	취약국/NNG++/SW+헝가리/NNP
폴란드	폴란드/NNP
칠레)’에도	칠레/NNP+)/SS+’/SS+에/JKB+도/JX
일부	일부/NNG
속해	속하/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.47.6.1
세 번째는 ‘유산 위험(legacy problem)’에 시달리는 헝가리 루마니아 불가리아다.

세	세/MMN
번째는	번/NNB+째/XSN+는/JX
‘유산	‘/SS+유산/NNG
위험(legacy	위험/NNG+(/SS+legacy/SL
problem)’에	problem/SL+)/SS+’/SS+에/JKB
시달리는	시달리/VV+는/ETM
헝가리	헝가리/NNP
루마니아	루마니아/NNP
불가리아다.	불가리아/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000041.47.6.2
동유럽 3개국은 오랜 공산주의 체제로 자국의 은행 시스템 자체가 워낙 취약해 유럽중앙은행(ECB)의 금리 인상이 시작되면 상당한 고전을 겪을 것이라고 예상됐다.

동유럽	동유럽/NNP
3개국은	3/SN+개국/NNB+은/JX
오랜	오랜/MMA
공산주의	공산주의/NNG
체제로	체제/NNG+로/JKB
자국의	자국/NNG+의/JKG
은행	은행/NNG
시스템	시스템/NNG
자체가	자체/NNG+가/JKS
워낙	워낙/MAG
취약해	취약/NNG+하/XSA+아/EC
유럽중앙은행(ECB)의	유럽중앙은행/NNP+(/SS+ECB/SL+)/SS+의/JKG
금리	금리/NNG
인상이	인상/NNG+이/JKS
시작되면	시작/NNG+되/XSV+면/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
고전을	고전/NNG+을/JKO
겪을	겪/VV+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
예상됐다.	예상/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.47.7.1
네 번째 그룹은 고공성장을 구가하며 한때 ‘세계의 성장 엔진’으로 각광받았으나 최근 성장세가 둔화된 브라질 러시아 인도 중국의 ‘브릭스(BRICs)’다.

네	네/MMN
번째	번/NNB+째/XSN
그룹은	그룹/NNG+은/JX
고공성장을	고공/NNG+성장/NNG+을/JKO
구가하며	구가/NNG+하/XSV+며/EC
한때	한때/MAG
‘세계의	‘/SS+세계/NNG+의/JKG
성장	성장/NNG
엔진’으로	엔진/NNG+’/SS+으로/JKB
각광받았으나	각광/NNG+받/XSV+았/EP+으나/EC
최근	최근/MAG
성장세가	성장세/NNG+가/JKS
둔화된	둔화/NNG+되/XSV+ㄴ/ETM
브라질	브라질/NNP
러시아	러시아/NNP
인도	인도/NNP
중국의	중국/NNP+의/JKG
‘브릭스(BRICs)’다.	‘/SS+브릭스/NNP+(/SS+BRICs/SL+)/SS+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.47.7.2
세계경제에서 차지하는 비중이 무려 27%에 이르지만 원자재 및 노동집약적 저가 제품 위주의 수출이라는 과거 성장모델이 한계에 부닥쳤다.

세계경제에서	세계/NNG+경제/NNG+에서/JKB
차지하는	차지/NNG+하/XSV+는/ETM
비중이	비중/NNG+이/JKS
무려	무려/MAG
27%에	27/SN+%/SW+에/JKB
이르지만	이르/VV+지만/EC
원자재	원자재/NNG
및	및/MAG
노동집약적	노동/NNG+집약/NNG+적/XSN
저가	저가/NNG
제품	제품/NNG
위주의	위주/NNG+의/JKG
수출이라는	수출/NNG+이/VCP+라는/ETM
과거	과거/NNG
성장모델이	성장/NNG+모델/NNG+이/JKS
한계에	한계/NNG+에/JKB
부닥쳤다.	부닥치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.47.7.3
강도 높은 경제 개혁이 필요한 곳이다.

강도	강도/NNG
높은	높/VA+은/ETM
경제	경제/NNG
개혁이	개혁/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.47.8.1
신흥국 외환위기에도 불구하고 2014∼2015년 성장 전망이 밝은 나라로는 한국 필리핀 멕시코 체코 등이 꼽혔다.

신흥국	신흥국/NNG
외환위기에도	외환/NNG+위기/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
2014∼2015년	2014/SN+∼/SO+2015/SN+년/NNB
성장	성장/NNG
전망이	전망/NNG+이/JKS
밝은	밝/VA+은/ETM
나라로는	나라/NNG+로/JKB+는/JX
한국	한국/NNP
필리핀	필리핀/NNP
멕시코	멕시코/NNP
체코	체코/NNP
등이	등/NNB+이/JKS
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.47.8.2
캐피털 이코노믹스는 선진국으로 수출하는 비중이 큰 이들이 ‘신흥국 경제 약세, 선진국 경제 강세’ 추세에 따라 상당한 수출 이득을 볼 수도 있다고 내다봤다.

캐피털	캐피털/NNP
이코노믹스는	이코노믹스/NNP+는/JX
선진국으로	선진국/NNG+으로/JKB
수출하는	수출/NNG+하/XSV+는/ETM
비중이	비중/NNG+이/JKS
큰	크/VA+ㄴ/ETM
이들이	이/NP+들/XSN+이/JKS
‘신흥국	‘/SS+신흥국/NNG
경제	경제/NNG
약세,	약세/NNG+,/SP
선진국	선진국/NNG
강세’	강세/NNG+’/SS
추세에	추세/NNG+에/JKB
따라	따르/VV+아/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
수출	수출/NNG
이득을	이득/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다고	있/VA+다고/EC
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.47.8.3
한국은 2012년 2월부터 지난해 11월까지 무려 22개월째 경상수지 흑자 행진을 이어가고 있다.

한국은	한국/NNP+은/JX
2012년	2012/SN+년/NNB
2월부터	2/SN+월/NNB+부터/JX
지난해	지난해/NNG
11월까지	11/SN+월/NNB+까지/JX
무려	무려/MAG
22개월째	22/SN+개월/NNB+째/XSN
경상수지	경상/NNG+수지/NNG
흑자	흑자/NNG
행진을	행진/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.47.8.4
지난해 12월 말 기준 세계 7위인 외환보유액도 3464억6000만 달러로 사상 최고다.

지난해	지난해/NNG
12월	12/SN+월/NNB
말	말/NNB
기준	기준/NNG
세계	세계/NNG
7위인	7/SN+위/NNB+이/VCP+ㄴ/ETM
외환보유액도	외환/NNG+보유액/NNG+도/JX
3464억6000만	3464/SN+억/NR+6000/SN+만/NR
달러로	달러/NNB+로/JKB
사상	사상/NNG
최고다.	최고/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.47.9.1
닐 셰어링 캐피털 이코노믹스 이코노미스트는 “모두가 신흥국 위기를 말하지만 각 나라의 상황은 매우 다르다”며 “신흥국 간 차별화가 이처럼 큰 적은 없었다”고 지적했다.

닐	닐/NNP
셰어링	셰어링/NNP
캐피털	캐피털/NNP
이코노믹스	이코노믹스/NNP
이코노미스트는	이코노미스트/NNG+는/JX
“모두가	“/SS+모두/NNG+가/JKS
신흥국	신흥국/NNG
위기를	위기/NNG+를/JKO
말하지만	말/NNG+하/XSV+지만/EC
각	각/MMD
나라의	나라/NNG+의/JKG
상황은	상황/NNG+은/JX
매우	매우/MAG
다르다”며	다르/VA+다/EF+”/SS+며/EC
“신흥국	“/SS+신흥국/NNG
간	간/NNB
차별화가	차별/NNG+화/XSN+가/JKS
이처럼	이/NP+처럼/JKB
큰	크/VA+ㄴ/ETM
적은	적/NNB+은/JX
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


