# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.21
metadata : {}


# id : NWRW1800000038.21.1.1
中 리커창 "지방정부, 공무원들 접대費 공개하라"

中	中/SH
총리는	총리/NNG+는/JX
그	그/MMD
방법으로	방법/NNG+으로/JKB
'공개'와	'/SS+공개/NNG+'/SS+와/JC
'투명'을	'/SS+투명/NNG+'/SS+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.21.5.2
그는 "올해부터 현(縣·우리의 군에 해당, 인구는 수만~수십만 명)급 이상 정부의 공무 접대비를 공개하겠다"고 밝혔다.

그는	그/NP+는/JX
"올해부터	"/SS+올해/NNG+부터/JX
현(縣·우리의	현/NNG+(/SS+縣/SH+·/SP+우리/NP+의/JKG
군에	군/NNG+에/JKB
해당,	해당/NNG+,/SP
인구는	인구/NNG+는/JX
수만~수십만	수만/NR+~/SO+수십만/NR
명)급	명/NNB+)/SS+급/NNG
이상	이상/NNG
정부의	정부/NNG+의/JKG
공무	공무/NNG
접대비를	접대비/NNG+를/JKO
공개하겠다"고	공개/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.21.5.3
관리들이 공무를 목적으로 쓴 접대비의 내역과 액수를 공개하겠다는 것이다.

관리들이	관리/NNG+들/XSN+이/JKS
공무를	공무/NNG+를/JKO
목적으로	목적/NNG+으로/JKB
쓴	쓰/VV+ㄴ/ETM
접대비의	접대비/NNG+의/JKG
내역과	내역/NNG+과/JC
액수를	액수/NNG+를/JKO
공개하겠다는	공개/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.21.5.4
부패와의 전쟁에서 승리하려면 "권력·돈·공무원을 공개적이고 투명하게 관리해야 한다"며 이같이 밝혔다고 신화통신은 전했다.

부패와의	부패/NNG+와/JKB+의/JKG
전쟁에서	전쟁/NNG+에서/JKB
승리하려면	승리/NNG+하/XSV+려면/EC
"권력·돈·공무원을	"/SS+권력/NNG+·/SP+돈/NNG+·/SP+공무원/NNG+을/JKO
공개적이고	공개/NNG+적/XSN+이/VCP+고/EC
투명하게	투명/NNG+하/XSA+게/EC
관리해야	관리/NNG+하/XSV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
이같이	이/NP+같이/JKB
밝혔다고	밝히/VV+었/EP+다고/EC
신화통신은	신화통신/NNP+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.21.5.5
특히 환경·식품 등 시민 생활과 직결된 사안은 관련 정보를 공개하고 진실을 적극적으로 알려야 한다고 말했다.

특히	특히/MAG
환경·식품	환경/NNG+·/SP+식품/NNG
등	등/NNB
시민	시민/NNG
생활과	생활/NNG+과/JKB
직결된	직결/NNG+되/XSV+ㄴ/ETM
사안은	사안/NNG+은/JX
관련	관련/NNG
정보를	정보/NNG+를/JKO
공개하고	공개/NNG+하/XSV+고/EC
진실을	진실/NNG+을/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
알려야	알리/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.21.5.6
출장비·차량비 등 공무원이 쓴 예산을 공개할 필요성도 제기했다.

출장비·차량비	출장비/NNG+·/SP+차량비/NNG
등	등/NNB
공무원이	공무원/NNG+이/JKS
쓴	쓰/VV+ㄴ/ETM
예산을	예산/NNG+을/JKO
공개할	공개/NNG+하/XSV+ㄹ/ETM
필요성도	필요/NNG+성/XSN+도/JX
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.21.6.1
중국 새 지도부가 작년 11월부터 연일 '반부패'를 강조하면서 그 효과가 조금씩 나타나고 있다는 관측도 나온다.

중국	중국/NNP
새	새/MMA
지도부가	지도부/NNG+가/JKS
작년	작년/NNG
11월부터	11/SN+월/NNB+부터/JX
연일	연일/MAG
'반부패'를	'/SS+반/XPN+부패/NNG+'/SS+를/JKO
강조하면서	강조/NNG+하/XSV+면서/EC
그	그/MMD
효과가	효과/NNG+가/JKS
조금씩	조금/NNG+씩/XSN
나타나고	나타나/VV+고/EC
있다는	있/VX+다는/ETM
관측도	관측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.21.6.2
홍콩 명보(明報)는 26일 "새 지도부가 공금으로 비싼 음식을 사먹지 말라고 지시한 이후 고가로 팔리던 생선과 차(茶) 가격이 급락했다"고 보도했다.

홍콩	홍콩/NNP
명보(明報)는	명보/NNP+(/SS+明報/SH+)/SS+는/JX
26일	26/SN+일/NNB
"새	"/SS+새/MMA
지도부가	지도부/NNG+가/JKS
공금으로	공금/NNG+으로/JKB
비싼	비싸/VA+ㄴ/ETM
음식을	음식/NNG+을/JKO
사먹지	사/VV+아/EC+먹/VV+지/EC
말라고	말/VX+라고/EC
지시한	지시/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
고가로	고가/NNG+로/JKB
팔리던	팔리/VV+던/ETM
생선과	생선/NNG+과/JC
차(茶)	차/NNG+(/SS+茶/SH+)/SS
가격이	가격/NNG+이/JKS
급락했다"고	급락/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.21.6.3
양쯔강 유명 특산물인 '장강(長江) 갈치' 가격은 지난해 1㎏당 1만6000위안(약 280만원)에서 올해는 800위안(약 14만원)으로 떨어졌다.

양쯔강	양쯔강/NNP
유명	유명/NNG
특산물인	특산물/NNG+이/VCP+ㄴ/ETM
'장강(長江)	'/SS+장강/NNP+(/SS+長江/SH+)/SS
갈치'	갈치/NNG+'/SS
가격은	가격/NNG+은/JX
지난해	지난해/NNG
1㎏당	1/SN+㎏/SW+당/XSN
1만6000위안(약	1/SN+만/NR+6000/SN+위안/NNB+(/SS+약/MMA
280만원)에서	280/SN+만/NR+원/NNB+)/SS+에서/JKB
올해는	올해/NNG+는/JX
800위안(약	800/SN+위안/NNB+(/SS+약/MMA
14만원)으로	14/SN+만/NR+원/NNB+)/SS+으로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.21.6.4
작년 가격의 5% 수준인 셈이다.

작년	작년/NNG
가격의	가격/NNG+의/JKG
5%	5/SN+%/SW
수준인	수준/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.21.6.5
저장성 항저우(杭州)의 고급 차인 룽징(龍井)차도 가격이 종전의 3분의 1로 하락했다.

저장성	저장성/NNP
항저우(杭州)의	항저우/NNP+(/SS+杭州/SH+)/SS+의/JKG
고급	고급/NNG
차인	차/NNG+이/VCP+ㄴ/ETM
룽징(龍井)차도	룽징/NNG+(/SS+龍井/SH+)/SS+차/NNG+도/JX
가격이	가격/NNG+이/JKS
종전의	종전/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1로	1/SN+로/JKB
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.21.7.1
시진핑 주석과 리 총리 등 최고지도부가 해외 유학 중이던 자녀를 모두 불러들이는 등 '솔선수범'을 보인 것도 일반 관리들에게 파급효과가 있었다는 분석도 제기됐다.

시진핑	시진핑/NNP
주석과	주석/NNG+과/JC
리	리/NNP
총리	총리/NNG
등	등/NNB
최고지도부가	최고/NNG+지도부/NNG+가/JKS
해외	해외/NNG
유학	유학/NNG
중이던	중/NNB+이/VCP+던/ETM
자녀를	자녀/NNG+를/JKO
모두	모두/MAG
불러들이는	불러들이/VV+는/ETM
'솔선수범'을	'/SS+솔선수범/NNG+'/SS+을/JKO
보인	보이/VV+ㄴ/ETM
것도	것/NNB+도/JX
일반	일반/NNG
관리들에게	관리/NNG+들/XSN+에게/JKB
파급효과가	파급/NNG+효과/NNG+가/JKS
있었다는	있/VA+었/EP+다는/ETM
분석도	분석/NNG+도/JX
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.21.8.1
중앙당교 왕창장(王長江) 교수는 이날 인민일보 기고문에서 "공직자 재산 공개를 더 지연해선 안 된다. 반부패 제도화를 강화해야 한다"고 말했다.

중앙당교	중앙당교/NNP
왕창장(王長江)	왕창장/NNP+(/SS+王長江/SH+)/SS
교수는	교수/NNG+는/JX
이날	이날/NNG
인민일보	인민일보/NNP
기고문에서	기고문/NNG+에서/JKB
"공직자	"/SS+공직자/NNG
재산	재산/NNG
공개를	공개/NNG+를/JKO
더	더/MAG
지연해선	지연/NNG+하/XSV+아서/EC+ㄴ/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF
반부패	반/XPN+부패/NNG
제도화를	제도/NNG+화/XSN+를/JKO
강화해야	강화/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.21.9.1
그러나 중국의 부패 척결이 쉽지 않을 것이란 회의론도 고개를 든다.

그러나	그러나/MAJ
중국의	중국/NNP+의/JKG
부패	부패/NNG
척결이	척결/NNG+이/JKS
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것이란	것/NNB+이/VCP+란/ETM
회의론도	회의/NNG+론/XSN+도/JX
고개를	고개/NNG+를/JKO
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.21.9.2
특히 지방이 문제다.

특히	특히/MAG
지방이	지방/NNG+이/JKS
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.21.9.3
홍콩 사우스차이나모닝포스트는 이날 "푸젠(福建)성 관리들이 부처 구내식당을 개조한 뒤 최고 주방장을 불러 호화 연회를 즐기고 있다"며 "푸젠뿐 아니라 전국 각지에서 규제를 피하기 위한 백태가 속출하고 있다"고 전했다.

홍콩	홍콩/NNP
사우스차이나모닝포스트는	사우스차이나모닝포스트/NNP+는/JX
이날	이날/NNG
"푸젠(福建)성	"/SS+푸젠/NNP+(/SS+福建/SH+)/SS+성/NNG
관리들이	관리/NNG+들/XSN+이/JKS
부처	부처/NNG
구내식당을	구내식당/NNG+을/JKO
개조한	개조/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
최고	최고/NNG
주방장을	주방장/NNG+을/JKO
불러	부르/VV+어/EC
호화	호화/NNG
연회를	연회/NNG+를/JKO
즐기고	즐기/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"푸젠뿐	"/SS+푸젠/NNP+뿐/JX
아니라	아니/VCN+라/EC
전국	전국/NNG
각지에서	각지/NNG+에서/JKB
규제를	규제/NNG+를/JKO
피하기	피하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
백태가	백태/NNG+가/JKS
속출하고	속출/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.21.9.4
겉으로는 허름한 시골집처럼 꾸며놓고 내부에는 특급 호텔 시설을 갖춘 곳도 있다고 한다.

겉으로는	겉/NNG+으로/JKB+는/JX
허름한	허름하/VA+ㄴ/ETM
시골집처럼	시골집/NNG+처럼/JKB
꾸며놓고	꾸미/VV+어/EC+놓/VX+고/EC
내부에는	내부/NNG+에/JKB+는/JX
특급	특급/NNG
호텔	호텔/NNG
시설을	시설/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
곳도	곳/NNG+도/JX
있다고	있/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.21.9.5
후난(湖南)성 고위 관계자는 "호화 연회는 오랜 전통이어서 뿌리 뽑는 데 시간이 걸릴 것"이라고 말했다.

후난(湖南)성	후난/NNP+(/SS+湖南/SH+)/SS+성/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
"호화	"/SS+호화/NNG
연회는	연회/NNG+는/JX
오랜	오랜/MMA
전통이어서	전통/NNG+이/VCP+어서/EC
뿌리	뿌리/NNG
뽑는	뽑/VV+는/ETM
데	데/NNB
시간이	시간/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


