# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.336
metadata : {}


# id : NWRW1800000046.336.1.1
새정치聯 '光州 지키기'… 文, 열흘새 2번 방문

새정치聯	새정치聯/NNP
하지만 민심은 만만치가 않았다.

하지만	하지만/MAJ
민심은	민심/NNG+은/JX
만만치가	만만하/VA+지/EC+가/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.336.5.2
남구 빛고을노인건강타운에서 문 대표와 만난 김모(70)씨는 문 대표가 떠난 뒤 "민주당(새정치연합의 전신)도 공무원연금을 무조건 반대만 하지 말고 협조해야 한다"고 했다.

남구	남구/NNP
빛고을노인건강타운에서	빛고을노인건강타운/NNP+에서/JKB
문	문/NNP
대표와	대표/NNG+와/JKB
만난	만나/VV+ㄴ/ETM
김모(70)씨는	김/NNP+모/NP+(/SS+70/SN+)/SS+씨/NNB+는/JX
대표가	대표/NNG+가/JKS
떠난	떠나/VV+ㄴ/ETM
뒤	뒤/NNG
"민주당(새정치연합의	"/SS+민주당/NNP+(/SS+새정치연합/NNP+의/JKG
전신)도	전신/NNG+)/SS+도/JX
공무원연금을	공무원/NNG+연금/NNG+을/JKO
무조건	무/XPN+조건/NNG
반대만	반대/NNG+만/JX
하지	하/VV+지/EC
말고	말/VX+고/EC
협조해야	협조/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.336.5.3
문 대표는 유권자들로부터 "싸우지 말고 잘 좀 하라"는 말도 들었다.

문	문/NNP
대표는	대표/NNG+는/JX
유권자들로부터	유권자/NNG+들/XSN+로부터/JKB
"싸우지	"/SS+싸우/VV+지/EC
말고	말/VX+고/EC
잘	잘/MAG
좀	좀/MAG
하라"는	하/VV+라/EF+"/SS+는/ETM
말도	말/NNG+도/JX
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.336.5.4
서구 풍암동에 사는 이옥경(여·52)씨는 "2012년 대선 때 광주 시민 90%가 문재인을 찍었지만 우린 (새정치연합으로부터) 천대받았다"고 했다.

서구	서구/NNP
풍암동에	풍암동/NNP+에/JKB
사는	살/VV+는/ETM
이옥경(여·52)씨는	이옥경/NNP+(/SS+여/NNG+·/SP+52/SN+)/SS+씨/NNB+는/JX
"2012년	"/SS+2012/SN+년/NNB
대선	대선/NNG
때	때/NNG
광주	광주/NNP
시민	시민/NNG
90%가	90/SN+%/SW+가/JKS
문재인을	문재인/NNP+을/JKO
찍었지만	찍/VV+었/EP+지만/EC
우린	우리/NP+ㄴ/JX
(새정치연합으로부터)	(/SS+새정치연합/NNP+으로부터/JKB+)/SS
천대받았다"고	천대/NNG+받/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.336.5.5
한 당원은 "친노가 광주를 홀대한 데 대해 문 대표가 사죄하라"고도 했다.

한	한/MMN
당원은	당원/NNG+은/JX
"친노가	"/SS+친/XPN+노/NNP+가/JKS
광주를	광주/NNP+를/JKO
홀대한	홀대/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
문	문/NNP
대표가	대표/NNG+가/JKS
사죄하라"고도	사죄/NNG+하/XSV+라/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.336.5.6
이런 이유들로 천 전 의원을 지지하는 이들도 있었지만 아직은 대부분이 "누굴 뽑을지 결정하지 못했다"고 했다.

이런	이런/MMD
이유들로	이유/NNG+들/XSN+로/JKB
천	천/NNP
전	전/MMD
의원을	의원/NNG+을/JKO
지지하는	지지/NNG+하/XSV+는/ETM
이들도	이/NNB+들/XSN+도/JX
있었지만	있/VA+었/EP+지만/EC
아직은	아직/MAG+은/JX
대부분이	대/XPN+부분/NNG+이/JKS
"누굴	"/SS+누구/NP+ㄹ/JKO
뽑을지	뽑/VV+을지/EC
결정하지	결정/NNG+하/XSV+지/EC
못했다"고	못하/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.336.5.7
또 "미워도 다시 한 번 (야당) 아니겠냐"는 사람도 있었다.

또	또/MAG
"미워도	"/SS+밉/VA+어도/EC
다시	다시/MAG
한	한/MMN
번	번/NNB
(야당)	(/SS+야당/NNG+)/SS
아니겠냐"는	아니/VCN+겠/EP+냐/EF+"/SS+는/ETM
사람도	사람/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.336.5.8
금호동에 사는 신영선(50)씨는 "(야당에) 힘을 실어줘야 한다. 아니면 총·대선에서 민주당이 어려워진다"고 했다.

금호동에	금호동/NNP+에/JKB
사는	살/VV+는/ETM
신영선(50)씨는	신영선/NNP+(/SS+50/SN+)/SS+씨/NNB+는/JX
"(야당에)	"/SS+(/SS+야당/NNG+에/JKB+)/SS
힘을	힘/NNG+을/JKO
실어줘야	싣/VV+어/EC+주/VX+어야/EC
한다.	하/VX+ㄴ다/EF+./SF
아니면	아니/VCN+면/EC
총·대선에서	총·대선/NNG+에서/JKB
민주당이	민주당/NNP+이/JKS
어려워진다"고	어렵/VA+어/EC+지/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.336.6.1
광주 민심이 엇갈리는 가운데 문 대표와 각을 세워온 박지원 의원과 동교동계 등 비노 핵심 인사들의 행보도 관심사다.

광주	광주/NNP
민심이	민심/NNG+이/JKS
엇갈리는	엇갈리/VV+는/ETM
가운데	가운데/NNG
문	문/NNP
대표와	대표/NNG+와/JC
각을	각/NNG+을/JKO
세워온	세우/VV+어/EC+오/VX+ㄴ/ETM
박지원	박지원/NNP
의원과	의원/NNG+과/JC
동교동계	동교동/NNP+계/XSN
등	등/NNB
비노	비/XPN+노/NNP
핵심	핵심/NNG
인사들의	인사/NNG+들/XSN+의/JKG
행보도	행보/NNG+도/JX
관심사다.	관심사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.336.6.2
아직까지는 누구 하나 적극적으로 조영택 후보에 대한 지원 유세에 나서지는 않고 있다.

아직까지는	아직/MAG+까지/JX+는/JX
누구	누구/NP
하나	하나/NR
적극적으로	적극/NNG+적/XSN+으로/JKB
조영택	조영택/NNP
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지원	지원/NNG
유세에	유세/NNG+에/JKB
나서지는	나서/VV+지/EC+는/JX
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.336.6.3
특히 천 전 의원의 탈당을 비판하면서 새정치연합 후보를 돕겠다던 권노갑 상임고문도 동교동계의 만류로 고민이 깊은 것으로 알려졌다.

특히	특히/MAG
천	천/NNP
전	전/MMD
의원의	의원/NNG+의/JKG
탈당을	탈당/NNG+을/JKO
비판하면서	비판/NNG+하/XSV+면서/EC
새정치연합	새정치연합/NNP
후보를	후보/NNG+를/JKO
돕겠다던	돕/VV+겠/EP+다던/ETM
권노갑	권노갑/NNP
상임고문도	상임/NNG+고문/NNG+도/JX
동교동계의	동교동/NNP+계/XSN+의/JKG
만류로	만류/NNG+로/JKB
고민이	고민/NNG+이/JKS
깊은	깊/VA+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.336.6.4
참석하기로 했던 조영택 후보 개소식에도 오지 않았다.

참석하기로	참석/NNG+하/XSV+기/ETN+로/JKB
했던	하/VV+았/EP+던/ETM
조영택	조영택/NNP
후보	후보/NNG
개소식에도	개소식/NNG+에/JKB+도/JX
오지	오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.336.6.5
당의 최고위원 중 한 명은 작년 광주시장 선거 때 전략 공천에 반발해 당을 나간 이용섭 전 의원을 복당시키라고 조언하기도 했다고 한다.

당의	당/NNG+의/JKG
최고위원	최고/NNG+위원/NNG
중	중/NNB
한	한/MMN
명은	명/NNB+은/JX
작년	작년/NNG
광주시장	광주시장/NNG
선거	선거/NNG
때	때/NNG
전략	전략/NNG
공천에	공천/NNG+에/JKB
반발해	반발/NNG+하/XSV+아/EC
당을	당/NNG+을/JKO
나간	나가/VV+ㄴ/ETM
이용섭	이용섭/NNP
전	전/MMD
의원을	의원/NNG+을/JKO
복당시키라고	복당/NNG+시키/XSV+라고/EC
조언하기도	조언/NNG+하/XSV+기/ETN+도/JX
했다고	하/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.336.7.1
당 관계자는 "광주를 뺏기면 문 대표의 당권뿐 아니라 대권 행보에도 빨간불이 켜질 것"이라며 "도움이 절실한 상황이기 때문에 누구에게라도 매달려야 할 때"라고 했다.

당	당/NNG
관계자는	관계자/NNG+는/JX
"광주를	"/SS+광주/NNP+를/JKO
뺏기면	뺏기/VV+면/EC
문	문/NNP
대표의	대표/NNG+의/JKG
당권뿐	당권/NNG+뿐/JX
아니라	아니/VCN+라/EC
대권	대권/NNG
행보에도	행보/NNG+에/JKB+도/JX
빨간불이	빨간불/NNG+이/JKS
켜질	켜/VV+어/EC+지/VX+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"도움이	"/SS+도움/NNG+이/JKS
절실한	절실하/VA+ㄴ/ETM
상황이기	상황/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
누구에게라도	누구/NP+에게/JKB+라도/JX
매달려야	매달리/VV+어야/EC
할	하/VX+ㄹ/ETM
때"라고	때/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.336.8.1
한편 새누리당도 야당 분열의 틈에서 '의미 있는 결과'를 기대하고 있다.

한편	한편/MAG
새누리당도	새누리당/NNP+도/JX
야당	야당/NNG
분열의	분열/NNG+의/JKG
틈에서	틈/NNG+에서/JKB
'의미	'/SS+의미/NNG
있는	있/VA+는/ETM
결과'를	결과/NNG+'/SS+를/JKO
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.336.8.2
김무성 대표는 이날 광주송정역에서 열린 호남고속철도(KTX) 개통식을 찾았다.

김무성	김무성/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
광주송정역에서	광주송정역/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
호남고속철도(KTX)	호남고속철도/NNP+(/SS+KTX/SL+)/SS
개통식을	개통식/NNG+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.336.8.3
여기서는 문재인 대표와 만났다.

여기서는	여기/NP+서/JKB+는/JX
문재인	문재인/NNP
대표와	대표/NNG+와/JKB
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.336.8.4
인천 서구, 경기 성남 중원, 서울 관악에 이어 재·보선이 치러지는 지역에서 네 번째 마주친 것이다.

인천	인천/NNP
서구,	서구/NNP+,/SP
경기	경기/NNP
성남	성남/NNP
중원,	중원/NNP+,/SP
서울	서울/NNP
관악에	관악/NNP+에/JKB
이어	잇/VV+어/EC
재·보선이	재·보선/NNG+이/JKS
치러지는	치르/VV+어/EC+지/VX+는/ETM
지역에서	지역/NNG+에서/JKB
네	네/MMN
번째	번/NNB+째/XSN
마주친	마주치/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.336.8.5
김 대표는 공무원연금 개혁 문제를 꺼내면서 "해결해야지 않느냐"며 야당의 협조를 구했고, 문 대표는 "그렇죠, 해야죠"라며 원론적인 답을 했다고 한다.

김	김/NNP
대표는	대표/NNG+는/JX
공무원연금	공무원/NNG+연금/NNG
개혁	개혁/NNG
문제를	문제/NNG+를/JKO
꺼내면서	꺼내/VV+면서/EC
"해결해야지	"/SS+해결/NNG+하/XSV+아야지/EC
않느냐"며	않/VX+느냐/EF+"/SS+며/EC
야당의	야당/NNG+의/JKG
협조를	협조/NNG+를/JKO
구했고,	구하/VV+았/EP+고/EC+,/SP
문	문/NNP
"그렇죠,	"/SS+그렇/VA+죠/EF+,/SP
해야죠"라며	하/VV+아야지/EF+요/JX+"/SS+이/VCP+라며/EC
원론적인	원론/NNG+적/XSN+이/VCP+ㄴ/ETM
답을	답/NNG+을/JKO
했다고	하/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.336.8.6
이날 김 대표는 광주 서을 지역에 가서 새누리당 정승 후보 지원 활동을 하지는 않았다.

이날	이날/NNG
김	김/NNP
대표는	대표/NNG+는/JX
광주	광주/NNP
서을	서을/NNP
지역에	지역/NNG+에/JKB
가서	가/VV+아서/EC
새누리당	새누리당/NNP
정승	정승/NNP
후보	후보/NNG
지원	지원/NNG
활동을	활동/NNG+을/JKO
하지는	하/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.336.8.7
여당 관계자는 "당선되면 더 좋지만 호남 최다 득표 등의 다른 기록을 세우는 것도 기대하고 있다"고 했다.

여당	여당/NNG
관계자는	관계자/NNG+는/JX
"당선되면	"/SS+당선/NNG+되/XSV+면/EC
더	더/MAG
좋지만	좋/VA+지만/EC
호남	호남/NNP
최다	최다/NNG
득표	득표/NNG
등의	등/NNB+의/JKG
다른	다른/MMD
기록을	기록/NNG+을/JKO
세우는	세우/VV+는/ETM
것도	것/NNB+도/JX
기대하고	기대/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.336.8.8
김무성·문재인 대표는 2일 두 사람의 지역구인 부산에서 열리는 감리교 선교 130주년 행사에도 나란히 참석할 예정이다.

김무성·문재인	김무성/NNP+·/SP+문재인/NNP
대표는	대표/NNG+는/JX
2일	2/SN+일/NNB
두	두/MMN
사람의	사람/NNG+의/JKG
지역구인	지역구/NNG+이/VCP+ㄴ/ETM
부산에서	부산/NNP+에서/JKB
열리는	열리/VV+는/ETM
감리교	감리교/NNG
선교	선교/NNG
130주년	130/SN+주년/NNB
행사에도	행사/NNG+에/JKB+도/JX
나란히	나란히/MAG
참석할	참석/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


