# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.146
metadata : {}


# id : NWRW1800000022.146.1.1
"OB맥주 매각 땐 1인당 위로금 1600만원 지급";인베브사, 노조와 합의

"OB맥주	"/SS+OB맥주/NNP
# id : NWRW1800000022.146.5.2
OB맥주의 지분을 100% 소유한 벨기에 인베브사는 미국 맥주회사 안호이저부시사 인수대금을 마련하기 위해 OB맥주 매각을 결정, 현재 매각 입찰을 진행 중이다.

OB맥주의	OB맥주/NNP+의/JKG
지분을	지분/NNG+을/JKO
100%	100/SN+%/SW
소유한	소유/NNG+하/XSV+ㄴ/ETM
벨기에	벨기에/NNP
인베브사는	인베브사/NNP+는/JX
미국	미국/NNP
맥주회사	맥주/NNG+회사/NNG
안호이저부시사	안호이저부시사/NNP
인수대금을	인수/NNG+대금/NNG+을/JKO
마련하기	마련/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
OB맥주	OB맥주/NNP
매각을	매각/NNG+을/JKO
결정,	결정/NNG+,/SP
현재	현재/MAG
매각	매각/NNG
입찰을	입찰/NNG+을/JKO
진행	진행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


