# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.55
metadata : {}


# id : NWRW1800000048.55.1.1
‘서민 세금감면’이라더니…수혜자에 고소득층 ‘수두룩’

‘서민	‘/SS+서민/NNG
정부는 이달 초 ‘2015년 세법개정안’을 발표하면서도 ‘계층별 세부담 귀착 효과’를 제시했다.

정부는	정부/NNG+는/JX
이달	이달/NNG
초	초/NNB
‘2015년	‘/SS+2015/SN+년/NNB
세법개정안’을	세법/NNG+개정안/NNG+’/SS+을/JKO
발표하면서도	발표/NNG+하/XSV+면서/EC+도/JX
‘계층별	‘/SS+계층/NNG+별/XSN
세부담	세/NNG+부담/NNG
귀착	귀착/NNG
효과’를	효과/NNG+’/SS+를/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.55.4.2
이번 세법 개정으로 서민·중산층과 중소기업은 1525억원의 세부담이 줄고 고소득층과 대기업은 1조529억원 부담이 늘어난다는 것이 뼈대였다.

이번	이번/NNG
세법	세법/NNG
개정으로	개정/NNG+으로/JKB
서민·중산층과	서민/NNG+·/SP+중산/NNG+층/XSN+과/JC
중소기업은	중소기업/NNG+은/JX
1525억원의	1525/SN+억/NR+원/NNB+의/JKG
세부담이	세/NNG+부담/NNG+이/JKS
줄고	줄/VV+고/EC
고소득층과	고/XPN+소득/NNG+층/XSN+과/JC
대기업은	대/XPN+기업/NNG+은/JX
1조529억원	1/SN+조/NR+529/SN+억/NR+원/NNB
부담이	부담/NNG+이/JKS
늘어난다는	늘어나/VV+ㄴ다는/ETM
것이	것/NNB+이/JKS
뼈대였다.	뼈대/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.55.4.3
정부 설명대로라면 조세의 ‘소득 재분배 기능’이 더 강화된다는 것으로 풀이할 수 있다.

정부	정부/NNG
설명대로라면	설명/NNG+대로/JX+이/VCP+라면/EC
조세의	조세/NNG+의/JKG
‘소득	‘/SS+소득/NNG
재분배	재/XPN+분배/NNG
기능’이	기능/NNG+’/SS+이/JKS
더	더/MAG
강화된다는	강화/NNG+되/XSV+ㄴ다는/ETM
것으로	것/NNB+으로/JKB
풀이할	풀이/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.55.5.1
하지만 26일 국회 기획재정위원회 소속 박원석 의원(정의당)은 이런 정부의 세부담 귀착 효과 분석을 신뢰하기 어렵다며 몇가지 근거를 제시했다.

하지만	하지만/MAJ
26일	26/SN+일/NNB
국회	국회/NNG
기획재정위원회	기획/NNG+재정/NNG+위원회/NNG
소속	소속/NNG
박원석	박원석/NNP
의원(정의당)은	의원/NNG+(/SS+정의당/NNP+)/SS+은/JX
이런	이런/MMD
정부의	정부/NNG+의/JKG
세부담	세/NNG+부담/NNG
귀착	귀착/NNG
효과	효과/NNG
분석을	분석/NNG+을/JKO
신뢰하기	신뢰/NNG+하/XSV+기/ETN
어렵다며	어렵/VA+다며/EC
몇가지	몇/NR+가지/NNB
근거를	근거/NNG+를/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.55.5.2
한 예로, 기재부가 박 의원에게 제출한 자료를 보면, ‘양도소득세 과세특례 연간 감면한도 일원화’에 따라 늘어나는 2400억원의 세부담은 모두 고소득층과 대기업에 귀착되는 것으로 나와 있다.

한	한/MMN
예로,	예/NNG+로/JKB+,/SP
기재부가	기재부/NNG+가/JKS
박	박/NNP
의원에게	의원/NNG+에게/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
‘양도소득세	‘/SS+양도/NNG+소득세/NNG
과세특례	과세/NNG+특례/NNG
연간	연간/NNG
감면한도	감면/NNG+한도/NNG
일원화’에	일원/NNG+화/XSN+’/SS+에/JKB
따라	따르/VV+아/EC
늘어나는	늘어나/VV+는/ETM
2400억원의	2400/SN+억/NR+원/NNB+의/JKG
세부담은	세/NNG+부담/NNG+은/JX
모두	모두/MAG
고소득층과	고/XPN+소득/NNG+층/XSN+과/JC
대기업에	대/XPN+기업/NNG+에/JKB
귀착되는	귀착/NNG+되/XSV+는/ETM
것으로	것/NNB+으로/JKB
나와	나오/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.55.5.3
양도소득세 과세특례 감면한도 일원화는 8년 이상 소유주가 직접 경작한 농지 등을 다른 사람에게 넘길 경우 최대 2억원까지 양도세를 줄여주던 것을 앞으로는 1억원으로 축소하는 내용을 담고 있다.

양도소득세	양도/NNG+소득세/NNG
과세특례	과세/NNG+특례/NNG
감면한도	감면/NNG+한도/NNG
일원화는	일원/NNG+화/XSN+는/JX
8년	8/SN+년/NNB
이상	이상/NNG
소유주가	소유주/NNG+가/JKS
직접	직접/MAG
경작한	경작/NNG+하/XSV+ㄴ/ETM
농지	농지/NNG
등을	등/NNB+을/JKO
다른	다른/MMD
사람에게	사람/NNG+에게/JKB
넘길	넘기/VV+ㄹ/ETM
경우	경우/NNG
최대	최대/NNG
2억원까지	2/SN+억/NR+원/NNB+까지/JX
양도세를	양도세/NNG+를/JKO
줄여주던	줄이/VV+어/EC+주/VX+던/ETM
것을	것/NNB+을/JKO
앞으로는	앞/NNG+으로/JKB+는/JX
1억원으로	1/SN+억/NR+원/NNB+으로/JKB
축소하는	축소/NNG+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.55.6.1
문제는 농지 소유주에게 세금을 깎아주는 이 제도를 과거에는 ‘서민·중산층과 중소기업’이 혜택을 입는다고 설명해왔다는 데 있다.

문제는	문제/NNG+는/JX
농지	농지/NNG
소유주에게	소유주/NNG+에게/JKB
세금을	세금/NNG+을/JKO
깎아주는	깎/VV+아/EC+주/VX+는/ETM
이	이/MMD
제도를	제도/NNG+를/JKO
과거에는	과거/NNG+에/JKB+는/JX
‘서민·중산층과	‘/SS+서민/NNG+·/SP+중산/NNG+층/XSN+과/JC
중소기업’이	중소기업/NNG+’/SS+이/JKS
혜택을	혜택/NNG+을/JKO
입는다고	입/VV+는다고/EC
설명해왔다는	설명/NNG+하/XSV+아/EC+오/VX+았/EP+다는/ETM
데	데/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.55.6.2
실제로 2013년에 기재부가 국회에 제출한 자료를 보면, 2013년(전망) 기준으로 이 제도로 9110억원의 세금 감면이 발생하고, 그 수혜는 고스란히 서민·중산층과 중소기업에 돌아간다고 돼 있다.

실제로	실제로/MAG
2013년에	2013/SN+년/NNB+에/JKB
기재부가	기재부/NNG+가/JKS
국회에	국회/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
2013년(전망)	2013/SN+년/NNB+(/SS+전망/NNG+)/SS
기준으로	기준/NNG+으로/JKB
이	이/MMD
제도로	제도/NNG+로/JKB
9110억원의	9110/SN+억/NR+원/NNB+의/JKG
세금	세금/NNG
감면이	감면/NNG+이/JKS
발생하고,	발생/NNG+하/XSV+고/EC+,/SP
그	그/MMD
수혜는	수혜/NNG+는/JX
고스란히	고스란히/MAG
서민·중산층과	서민/NNG+·/SP+중산/NNG+층/XSN+과/JC
중소기업에	중소기업/NNG+에/JKB
돌아간다고	돌아가/VV+ㄴ다고/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.55.7.1
결국 똑같은 세법인데도, 세금 감면이 예상될 때는 서민층이 혜택을 입는 것으로, 세금 부담이 늘어날 때는 고소득층이 부담을 떠안는다는 식이다.

결국	결국/MAG
똑같은	똑같/VA+은/ETM
세법인데도,	세법/NNG+이/VCP+ㄴ데/EC+도/JX+,/SP
세금	세금/NNG
감면이	감면/NNG+이/JKS
예상될	예상/NNG+되/XSV+ㄹ/ETM
때는	때/NNG+는/JX
서민층이	서민/NNG+층/XSN+이/JKS
혜택을	혜택/NNG+을/JKO
입는	입/VV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
부담이	부담/NNG+이/JKS
늘어날	늘어나/VV+ㄹ/ETM
고소득층이	고/XPN+소득/NNG+층/XSN+이/JKS
부담을	부담/NNG+을/JKO
떠안는다는	떠안/VV+는다는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.55.7.2
정부 스스로 같은 사안을 두고 임의로 이중 잣대를 들이댄 셈이다.

정부	정부/NNG
스스로	스스로/MAG
같은	같/VA+은/ETM
사안을	사안/NNG+을/JKO
두고	두/VV+고/EC
임의로	임의/NNG+로/JKB
이중	이중/NNG
잣대를	잣대/NNG+를/JKO
들이댄	들이대/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.55.8.1
박 의원은 “양도소득세 관련 특례 변경 외에 다른 개정 법령에서도 이런 일이 발생했을 여지가 있다”며 “세부담 귀착 효과 분석이 주먹구구로 이뤄지고 있는 것은 아닌지 의심스럽다”고 말했다.

박	박/NNP
의원은	의원/NNG+은/JX
“양도소득세	“/SS+양도/NNG+소득세/NNG
관련	관련/NNG
특례	특례/NNG
변경	변경/NNG
외에	외/NNB+에/JKB
다른	다른/MMD
개정	개정/NNG
법령에서도	법령/NNG+에서/JKB+도/JX
이런	이런/MMD
일이	일/NNG+이/JKS
발생했을	발생/NNG+하/XSV+았/EP+을/ETM
여지가	여지/NNB+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“세부담	“/SS+세/NNG+부담/NNG
귀착	귀착/NNG
효과	효과/NNG
분석이	분석/NNG+이/JKS
주먹구구로	주먹구구/NNG+로/JKB
이뤄지고	이뤄지/VV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
아닌지	아니/VCN+ㄴ지/EC
의심스럽다”고	의심/NNG+스럽/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.55.8.2
박 의원이 제기한 의문은 일반 납세자들도 품을 수 있다.

박	박/NNP
의원이	의원/NNG+이/JKS
제기한	제기/NNG+하/XSV+ㄴ/ETM
의문은	의문/NNG+은/JX
일반	일반/NNG
납세자들도	납세자/NNG+들/XSN+도/JX
품을	품/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.55.8.3
세부담 귀착 효과를 내놓는 정부 설명을 곧이곧대로 신뢰하기 어렵지 않으냐는 것이다.

세부담	세/NNG+부담/NNG
귀착	귀착/NNG
효과를	효과/NNG+를/JKO
내놓는	내놓/VV+는/ETM
정부	정부/NNG
설명을	설명/NNG+을/JKO
곧이곧대로	곧이곧대로/MAG
신뢰하기	신뢰/NNG+하/XSV+기/ETN
어렵지	어렵/VA+지/EC
않으냐는	않/VX+으냐는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.55.9.1
이런 지적에 대해 기재부 담당자는 “(과거와 달리) 이번 세제개편 과정에서 정밀하게 분석을 해보니 해당 감면제도 수혜자 중 고소득층이 상당수 포함돼 있었다”고 설명했다.

이런	이런/MMD
지적에	지적/NNG+에/JKB
대해	대하/VV+아/EC
기재부	기재부/NNG
담당자는	담당자/NNG+는/JX
“(과거와	“/SS+(/SS+과거/NNG+와/JKB
달리)	달리/MAG+)/SS
이번	이번/NNG
세제개편	세제/NNG+개편/NNG
과정에서	과정/NNG+에서/JKB
정밀하게	정밀/NNG+하/XSA+게/EC
분석을	분석/NNG+을/JKO
해보니	하/VV+아/EC+보/VX+니/EC
해당	해당/NNG
감면제도	감면/NNG+제도/NNG
수혜자	수혜자/NNG
중	중/NNB
고소득층이	고/XPN+소득/NNG+층/XSN+이/JKS
상당수	상당수/NNG
포함돼	포함/NNG+되/XSV+어/EC
있었다”고	있/VX+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.55.9.2
이 설명대로라면 매년 수십조원에 이르는 국세 감면 중 서민·중산층이 수혜자라고 추정된 감면제도 가운데 실제로는 이번처럼 고소득층이 수혜자일 수 있다는 또다른 의구심을 남긴다.

이	이/MMD
설명대로라면	설명/NNG+대로/JX+이/VCP+라면/EC
매년	매년/MAG
수십조원에	수십조/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
국세	국세/NNG
감면	감면/NNG
중	중/NNB
서민·중산층이	서민/NNG+·/SP+중산/NNG+층/XSN+이/JKS
수혜자라고	수혜자/NNG+이/VCP+라고/EC
추정된	추정/NNG+되/XSV+ㄴ/ETM
감면제도	감면/NNG+제도/NNG
가운데	가운데/NNG
실제로는	실제로/MAG+는/JX
이번처럼	이번/NNG+처럼/JKB
고소득층이	고/XPN+소득/NNG+층/XSN+이/JKS
수혜자일	수혜자/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
또다른	또/MAG+다른/MMD
의구심을	의구심/NNG+을/JKO
남긴다.	남기/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.55.10.1
아울러 개별 세법별로 세부담 귀착 자료가 제대로 공개되지 않고 있다는 점도 문제로 지적된다.

아울러	아울러/MAG
개별	개별/NNG
세법별로	세법/NNG+별/XSN+로/JKB
세부담	세/NNG+부담/NNG
귀착	귀착/NNG
자료가	자료/NNG+가/JKS
제대로	제대로/MAG
공개되지	공개/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있다는	있/VX+다는/ETM
점도	점/NNG+도/JX
문제로	문제/NNG+로/JKB
지적된다.	지적/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.55.10.2
법인세와 소득세처럼 대상자가 폭넓은 세법이 바뀔 때는 세법별로 내용이 공개될 때도 있지만, 대개는 정부가 계층별 세부담 귀착 효과를 총액 위주로만 자료를 내놓고 있기 때문이다.

법인세와	법인세/NNG+와/JC
소득세처럼	소득세/NNG+처럼/JKB
대상자가	대상자/NNG+가/JKS
폭넓은	폭넓/VA+은/ETM
세법이	세법/NNG+이/JKS
바뀔	바뀌/VV+ㄹ/ETM
때는	때/NNG+는/JX
세법별로	세법/NNG+별/XSN+로/JKB
내용이	내용/NNG+이/JKS
공개될	공개/NNG+되/XSV+ㄹ/ETM
때도	때/NNG+도/JX
있지만,	있/VA+지만/EC+,/SP
대개는	대개/NNG+는/JX
정부가	정부/NNG+가/JKS
계층별	계층/NNG+별/XSN
세부담	세/NNG+부담/NNG
귀착	귀착/NNG
효과를	효과/NNG+를/JKO
총액	총액/NNG
위주로만	위주/NNG+로/JKB+만/JX
자료를	자료/NNG+를/JKO
내놓고	내놓/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


