# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.403
metadata : {}


# id : NWRW1800000038.403.1.1
朴대통령, FIU법 후퇴해 세금 추가 확보 걱정된다는데… 국세청 "年6조 稅收 예상했지만 절반으로 줄 듯"

朴대통령,	朴/SH+대통령/NNG+,/SP
현금	현금/NNG
거래를	거래/NNG+를/JKO
확인해	확인/NNG+하/XSV+아/EC
1조5000억원	1/SN+조/NR+5000/SN+억/NR+원/NNB
정도의	정도/NNG+의/JKG
체납	체납/NNG
세금을	세금/NNG+을/JKO
걷을	걷/VV+을/ETM
수	수/NNB
있다고	있/VA+다고/EC
추산했지만,	추산/NNG+하/XSV+았/EP+지만/EC+,/SP
세무당국은	세무/NNG+당국/NNG+은/JX
세무조사와	세무/NNG+조사/NNG+와/JC
분야에서	분야/NNG+에서/JKB
각각	각각/MAG
1조원	1/SN+조/NR+원/NNB
이상	이상/NNG
줄어들게	줄어들/VV+게/EC
된다고	되/VV+ㄴ다고/EC
파악하고	파악/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.403.5.1
국세청 관계자는 19일 "이전보다는 정보 이용 범위가 크게 늘어난 것이 다행이긴 하지만, 세수 확대는 원안보다 절반 정도로 줄어들 것으로 보인다"고 말했다.

국세청	국세청/NNG
관계자는	관계자/NNG+는/JX
19일	19/SN+일/NNB
"이전보다는	"/SS+이전/NNG+보다/JKB+는/JX
정보	정보/NNG
이용	이용/NNG
범위가	범위/NNG+가/JKS
크게	크/VA+게/EC
늘어난	늘어나/VV+ㄴ/ETM
것이	것/NNB+이/JKS
다행이긴	다행/NNG+이/VCP+기/ETN+ㄴ/JX
하지만,	하/VX+지만/EC+,/SP
세수	세수/NNG
확대는	확대/NNG+는/JX
원안보다	원안/NNG+보다/JKB
절반	절반/NNG
정도로	정도/NNG+로/JKB
줄어들	줄어들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.403.6.1
국회를 통과한 FIU법 개정안은 국세청이 이용할 수 있는 정보의 범위 등이 원안보다 축소됐다.

국회를	국회/NNG+를/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
FIU법	FIU/SL+법/NNG
개정안은	개정안/NNG+은/JX
국세청이	국세청/NNG+이/JKS
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
정보의	정보/NNG+의/JKG
범위	범위/NNG
등이	등/NNB+이/JKS
원안보다	원안/NNG+보다/JKB
축소됐다.	축소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.403.6.2
국세청에 과도하게 정보가 집중돼 국민들의 사생활이 침해될 우려가 있다는 야당의 입장을 여당이 수용한 데 따른 것이다.

국세청에	국세청/NNG+에/JKB
과도하게	과도/NNG+하/XSA+게/EC
정보가	정보/NNG+가/JKS
집중돼	집중/NNG+되/XSV+어/EC
국민들의	국민/NNG+들/XSN+의/JKG
사생활이	사생활/NNG+이/JKS
침해될	침해/NNG+되/XSV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있다는	있/VA+다는/ETM
야당의	야당/NNG+의/JKG
입장을	입장/NNG+을/JKO
여당이	여당/NNG+이/JKS
수용한	수용/NNG+하/XSV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.403.6.3
달라진 것은 크게 3가지 점이다.

달라진	달라지/VV+ㄴ/ETM
것은	것/NNB+은/JX
크게	크/VA+게/EC
3가지	3/SN+가지/NNB
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.403.7.1
가장 큰 차이는 국세청이 금융정보분석원 자료를 이용할 수 있는 범위가 축소된 것이다.

가장	가장/MAG
큰	크/VA+ㄴ/ETM
차이는	차이/NNG+는/JX
국세청이	국세청/NNG+이/JKS
금융정보분석원	금융/NNG+정보/NNG+분석원/NNG
자료를	자료/NNG+를/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
범위가	범위/NNG+가/JKS
축소된	축소/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.403.7.2
이한구 의원이 발의했던 원안은 '과세 목적'이라는 포괄적인 범위를 제안했지만, 여야 합의 과정에서 '탈세·체납 조사 목적'으로 제한됐다.

이한구	이한구/NNP
의원이	의원/NNG+이/JKS
발의했던	발의/NNG+하/XSV+았/EP+던/ETM
원안은	원안/NNG+은/JX
'과세	'/SS+과세/NNG
목적'이라는	목적/NNG+'/SS+이/VCP+라는/ETM
포괄적인	포괄/NNG+적/XSN+이/VCP+ㄴ/ETM
범위를	범위/NNG+를/JKO
제안했지만,	제안/NNG+하/XSV+았/EP+지만/EC+,/SP
여야	여야/NNG
합의	합의/NNG
과정에서	과정/NNG+에서/JKB
'탈세·체납	'/SS+탈세/NNG+·/SP+체납/NNG
조사	조사/NNG
목적'으로	목적/NNG+'/SS+으로/JKB
제한됐다.	제한/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.403.8.1
둘째는 금융정보분석원에 정보분석심의위원회를 신설해 국세청 등에 자료를 넘길 때 남용 방지 등을 위한 심의를 거치도록 한 것이다.

둘째는	둘째/NR+는/JX
금융정보분석원에	금융/NNG+정보/NNG+분석원/NNG+에/JKB
정보분석심의위원회를	정보/NNG+분석/NNG+심의/NNG+위원회/NNG+를/JKO
신설해	신설/NNG+하/XSV+아/EC
국세청	국세청/NNG
등에	등/NNB+에/JKB
자료를	자료/NNG+를/JKO
넘길	넘기/VV+ㄹ/ETM
때	때/NNG
남용	남용/NNG
방지	방지/NNG
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
심의를	심의/NNG+를/JKO
거치도록	거치/VV+도록/EC
한	하/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.403.8.2
위원회는 금융정보분석원의 원장과 심사분석실장(현직 부장검사), 대법원장이 추천하는 법관 경력 10년 이상 법조인 1명 등 3명으로 구성하도록 했다.

위원회는	위원회/NNG+는/JX
금융정보분석원의	금융/NNG+정보/NNG+분석원/NNG+의/JKG
원장과	원장/NNG+과/JC
심사분석실장(현직	심사/NNG+분석실장/NNG+(/SS+현직/NNG
부장검사),	부장/NNG+검사/NNG+)/SS+,/SP
대법원장이	대법원장/NNG+이/JKS
추천하는	추천/NNG+하/XSV+는/ETM
법관	법관/NNG
경력	경력/NNG
10년	10/SN+년/NNB
이상	이상/NNG
법조인	법조인/NNG
1명	1/SN+명/NNB
등	등/NNB
3명으로	3/SN+명/NNB+으로/JKB
구성하도록	구성/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.403.8.3
원안에는 이런 내용이 없다.

원안에는	원안/NNG+에/JKB+는/JX
이런	이런/MMD
내용이	내용/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.403.9.1
셋째는 2000만원 이상 고액 현금 거래 정보를 국세청이나 관세청에 제공할 경우 최장 1년 이내에 당사자에게 "정보를 제공했다"는 내용을 통보하도록 한 것이다.

셋째는	셋째/NR+는/JX
2000만원	2000/SN+만/NR+원/NNB
이상	이상/NNG
고액	고액/NNG
현금	현금/NNG
거래	거래/NNG
정보를	정보/NNG+를/JKO
국세청이나	국세청/NNG+이나/JC
관세청에	관세청/NNG+에/JKB
제공할	제공/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
최장	최장/NNG
1년	1/SN+년/NNB
이내에	이내/NNG+에/JKB
당사자에게	당사자/NNG+에게/JKB
"정보를	"/SS+정보/NNG+를/JKO
제공했다"는	제공/NNG+하/XSV+았/EP+다/EF+"/SS+는/ETM
내용을	내용/NNG+을/JKO
통보하도록	통보/NNG+하/XSV+도록/EC
한	하/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.403.9.2
국세청이 탈세 조사 명분으로 지나치게 사생활을 침해할 수 있는 만큼 당사자에게 국세청의 조사 사실을 알려야 한다는 야당의 주장을 여당이 받아들였다.

국세청이	국세청/NNG+이/JKS
탈세	탈세/NNG
조사	조사/NNG
명분으로	명분/NNG+으로/JKB
지나치게	지나치/VA+게/EC
사생활을	사생활/NNG+을/JKO
침해할	침해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
만큼	만큼/NNB
당사자에게	당사자/NNG+에게/JKB
국세청의	국세청/NNG+의/JKG
사실을	사실/NNG+을/JKO
알려야	알리/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
야당의	야당/NNG+의/JKG
주장을	주장/NNG+을/JKO
여당이	여당/NNG+이/JKS
받아들였다.	받아들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.403.9.3
☞ FIU법

☞	☞/SW
FIU법	FIU/SL+법/NNG


# id : NWRW1800000038.403.10.1
자금세탁 등을 통해 불법 자금을 조달하는 행위를 적발해서 처벌하거나 수사기관에 통보하도록 규정한 법률.

자금세탁	자금/NNG+세탁/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
불법	불법/NNG
자금을	자금/NNG+을/JKO
조달하는	조달/NNG+하/XSV+는/ETM
행위를	행위/NNG+를/JKO
적발해서	적발/NNG+하/XSV+아서/EC
처벌하거나	처벌/NNG+하/XSV+거나/EC
수사기관에	수사/NNG+기관/NNG+에/JKB
통보하도록	통보/NNG+하/XSV+도록/EC
규정한	규정/NNG+하/XSV+ㄴ/ETM
법률.	법률/NNG+./SF


# id : NWRW1800000038.403.10.2
원래 명칭은 '특정금융거래정보의 보고 및 이용 등에 관한 법률'이지만 이 법률을 집행하는 기관이 금융위원회 산하의 FIU(Financial Intelligence Unit·금융정보분석원)라서 보통 'FIU법'이라고 말한다.

원래	원래/MAG
명칭은	명칭/NNG+은/JX
'특정금융거래정보의	'/SS+특정/NNG+금융/NNG+거래/NNG+정보/NNG+의/JKG
보고	보고/NNG
및	및/MAG
이용	이용/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률'이지만	법률/NNG+'/SS+이/VCP+지만/EC
이	이/MMD
법률을	법률/NNG+을/JKO
집행하는	집행/NNG+하/XSV+는/ETM
기관이	기관/NNG+이/JKS
금융위원회	금융/NNG+위원회/NNG
산하의	산하/NNG+의/JKG
FIU(Financial	FIU/SL+(/SS+Financial/SL
Intelligence	Intelligence/SL
Unit·금융정보분석원)라서	Unit/SL+·/SP+금융/NNG+정보/NNG+분석원/NNG+)/SS+이/VCP+라서/EC
보통	보통/MAG
'FIU법'이라고	'/SS+FIU/SL+법/NNG+'/SS+이라고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


