# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.262
metadata : {}


# id : NWRW1800000037.262.1.1
[지금 SNS에서는]같은 ‘곰신’인데… 김태희와 나는 천지차이

[지금	[/SS+지금/MAG
육군과학화전투훈련단에서 병장으로 만기 제대했다는 한 누리꾼은 “포상휴가는 특별히 누군가 잘해서 받기보다는 부대원들끼리 돌아가면서 받기 때문에 ‘비’처럼 많이 받기 어려운 것이 일반 군 장병들의 현실”이라며 “연예인들이 근무하는 국방홍보원의 경우 연예사병을 병사가 아닌 연예인으로 대우하는 경향이 있는데 그것도 인기에 따라 대우에 차별이 이뤄지는 일이 많다”라고 했다.

육군과학화전투훈련단에서	육군/NNG+과학/NNG+화/XSN+전투/NNG+훈련단/NNG+에서/JKB
병장으로	병장/NNG+으로/JKB
만기	만기/NNG
제대했다는	제대/NNG+하/XSV+았/EP+다는/ETM
한	한/MMN
누리꾼은	누리/NNG+꾼/XSN+은/JX
“포상휴가는	“/SS+포상/NNG+휴가/NNG+는/JX
특별히	특별히/MAG
누군가	누구/NP+이/VCP+ㄴ가/EF
잘해서	잘/MAG+하/XSV+아서/EC
받기보다는	받/VV+기/ETN+보다/JKB+는/JX
부대원들끼리	부대원/NNG+들/XSN+끼리/XSN
돌아가면서	돌아가/VV+면서/EC
받기	받/VV+기/ETN
때문에	때문/NNB+에/JKB
‘비’처럼	‘/SS+비/NNP+’/SS+처럼/JKB
많이	많이/MAG
어려운	어렵/VA+ㄴ/ETM
것이	것/NNB+이/JKS
일반	일반/NNG
군	군/NNG
장병들의	장병/NNG+들/XSN+의/JKG
현실”이라며	현실/NNG+”/SS+이/VCP+라며/EC
“연예인들이	“/SS+연예인/NNG+들/XSN+이/JKS
근무하는	근무/NNG+하/XSV+는/ETM
국방홍보원의	국방/NNG+홍보원/NNG+의/JKG
경우	경우/NNG
연예사병을	연예/NNG+사병/NNG+을/JKO
병사가	병사/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
연예인으로	연예인/NNG+으로/JKB
대우하는	대우/NNG+하/XSV+는/ETM
경향이	경향/NNG+이/JKS
있는데	있/VA+는데/EC
그것도	그것/NP+도/JX
인기에	인기/NNG+에/JKB
따라	따르/VV+아/EC
대우에	대우/NNG+에/JKB
차별이	차별/NNG+이/JKS
이뤄지는	이뤄지/VV+는/ETM
일이	일/NNG+이/JKS
많다”라고	많/VA+다/EF+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.262.5.1
“공연 연습을 하다 보면 밤을 새우는 일이 많아 부대장 권한으로 포상휴가를 줄 수 있다”라고 한 국방부 관계자의 해명은 오히려 누리꾼들의 화를 더 돋웠다.

“공연	“/SS+공연/NNG
연습을	연습/NNG+을/JKO
하다	하/VV+다/EC
보면	보/VX+면/EC
밤을	밤/NNG+을/JKO
새우는	새우/VV+는/ETM
일이	일/NNG+이/JKS
많아	많/VA+아/EC
부대장	부대장/NNG
권한으로	권한/NNG+으로/JKB
포상휴가를	포상/NNG+휴가/NNG+를/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다”라고	있/VA+다/EF+”/SS+라고/JKQ
한	하/VV+ㄴ/ETM
국방부	국방부/NNG
관계자의	관계자/NNG+의/JKG
해명은	해명/NNG+은/JX
오히려	오히려/MAG
누리꾼들의	누리/NNG+꾼/XSN+들/XSN+의/JKG
화를	화/NNG+를/JKO
더	더/MAG
돋웠다.	돋우/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.262.5.2
한 누리꾼은 “군대에서 하루 밤새웠다고 포상휴가를 받으면 전 장병이 다 받아야할 것”이라고 했다.

한	한/MMN
누리꾼은	누리/NNG+꾼/XSN+은/JX
“군대에서	“/SS+군대/NNG+에서/JKB
하루	하루/NNG
밤새웠다고	밤새우/VV+었/EP+다고/EC
포상휴가를	포상/NNG+휴가/NNG+를/JKO
받으면	받/VV+으면/EC
전	전/MMN
장병이	장병/NNG+이/JKS
다	다/MAG
받아야할	받/VV+아야/EC+하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.262.5.3
남자친구가 군복무 중이라는 한 여성 누리꾼은 “내 남친은 최전방 부대 GOP 경계초소에서 근무한다.

남자친구가	남자/NNG+친구/NNG+가/JKS
군복무	군/NNG+복무/NNG
중이라는	중/NNB+이/VCP+라는/ETM
한	한/MMN
여성	여성/NNG
누리꾼은	누리/NNG+꾼/XSN+은/JX
“내	“/SS+나/NP+의/JKG
남친은	남친/NNG+은/JX
최전방	최/XPN+전방/NNG
부대	부대/NNG
GOP	GOP/SL
경계초소에서	경계/NNG+초소/NNG+에서/JKB
근무한다.	근무/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.262.5.4
기껏 휴가 나와 봐야 석 달에 한 번, 그나마 일 터지면 전화도 인터넷도 잘린다.

기껏	기껏/MAG
휴가	휴가/NNG
나와	나오/VV+아/EC
봐야	보/VV+아야/EC
석	석/MMN
달에	달/NNB+에/JKB
한	한/MMN
번,	번/NNB+,/SP
그나마	그나마/MAG
일	일/NNG
터지면	터지/VV+면/EC
전화도	전화/NNG+도/JX
인터넷도	인터넷/NNG+도/JX
잘린다.	잘리/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.262.5.5
같은 곰신(남자친구를 군대 보낸 여성들의 은어)이라도 김태희와 나는 천지차이”라고 푸념했다.

같은	같/VA+은/ETM
곰신(남자친구를	곰신/NNG+(/SS+남자/NNG+친구/NNG+를/JKO
군대	군대/NNG
보낸	보내/VV+ㄴ/ETM
여성들의	여성/NNG+들/XSN+의/JKG
은어)이라도	은어/NNG+)/SS+이/VCP+라도/EC
김태희와	김태희/NNP+와/JC
나는	나/NP+는/JX
천지차이”라고	천지/NNG+차이/NNG+”/SS+라고/JKQ
푸념했다.	푸념/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.262.6.1
한 누리꾼은 이번 사안에 대해 “대한민국에서 군 복무 문제는 전체 남성은 물론 아들과 남자친구를 군에 보낸 어머니와 여성을 망라하는, 종교보다 폭발성이 큰 사안”이라고 전제한 뒤 “휴가 특혜도 모자라 (비가) 군 장병들의 선망의 대상인 김태희까지 차지하니 공분을 산 것 아니냐”라고 해 ‘비’에 대한 질투와 시기가 깔려 있음을 암시했다.

한	한/MMN
누리꾼은	누리/NNG+꾼/XSN+은/JX
이번	이번/NNG
사안에	사안/NNG+에/JKB
대해	대하/VV+아/EC
“대한민국에서	“/SS+대한민국/NNP+에서/JKB
군	군/NNG
복무	복무/NNG
문제는	문제/NNG+는/JX
전체	전체/NNG
남성은	남성/NNG+은/JX
물론	물론/MAG
아들과	아들/NNG+과/JC
남자친구를	남자/NNG+친구/NNG+를/JKO
군에	군/NNG+에/JKB
보낸	보내/VV+ㄴ/ETM
어머니와	어머니/NNG+와/JC
여성을	여성/NNG+을/JKO
망라하는,	망라/NNG+하/XSV+는/ETM+,/SP
종교보다	종교/NNG+보다/JKB
폭발성이	폭발/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
사안”이라고	사안/NNG+”/SS+이라고/JKQ
전제한	전제/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
“휴가	“/SS+휴가/NNG
특혜도	특혜/NNG+도/JX
모자라	모자라/VV+아/EC
(비가)	(/SS+비/NNP+가/JKS+)/SS
장병들의	장병/NNG+들/XSN+의/JKG
선망의	선망/NNG+의/JKG
대상인	대상/NNG+이/VCP+ㄴ/ETM
김태희까지	김태희/NNP+까지/JX
차지하니	차지/NNG+하/XSV+니/EC
공분을	공분/NNG+을/JKO
산	사/VV+ㄴ/ETM
것	것/NNB
아니냐”라고	아니/VCN+냐/EF+”/SS+라고/JKQ
해	하/VV+아/EC
‘비’에	‘/SS+비/NNP+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
질투와	질투/NNG+와/JC
시기가	시기/NNG+가/JKS
깔려	깔리/VV+어/EC
있음을	있/VX+음/ETN+을/JKO
암시했다.	암시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.262.7.1
이번 현상의 저변에는 우리 사회 내부에 군대 문제를 둘러싼 ‘공정’의 문제가 깔려 있다는 지적도 많았다.

이번	이번/NNG
현상의	현상/NNG+의/JKG
저변에는	저변/NNG+에/JKB+는/JX
우리	우리/NP
사회	사회/NNG
내부에	내부/NNG+에/JKB
군대	군대/NNG
문제를	문제/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
‘공정’의	‘/SS+공정/NNG+’/SS+의/JKG
문제가	문제/NNG+가/JKS
깔려	깔리/VV+어/EC
있다는	있/VX+다는/ETM
지적도	지적/NNG+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.262.7.2
한 누리꾼은 “스포츠 선수들도 자기 성취를 위해서가 아니라 군 면제를 위해 올림픽 등 각종 국제 대회에 출전하는 것을 당연하게 여기는 경향이 있지 않느냐.

한	한/MMN
누리꾼은	누리/NNG+꾼/XSN+은/JX
“스포츠	“/SS+스포츠/NNG
선수들도	선수/NNG+들/XSN+도/JX
자기	자기/NNG
성취를	성취/NNG+를/JKO
위해서가	위하/VV+아서/EC+가/JKC
아니라	아니/VCN+라/EC
군	군/NNG
면제를	면제/NNG+를/JKO
위해	위하/VV+아/EC
올림픽	올림픽/NNG
등	등/NNB
각종	각종/NNG
국제	국제/NNG
대회에	대회/NNG+에/JKB
출전하는	출전/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
당연하게	당연/NNG+하/XSA+게/EC
여기는	여기/VV+는/ETM
경향이	경향/NNG+이/JKS
있지	있/VA+지/EC
않느냐.	않/VX+느냐/EF+./SF


# id : NWRW1800000037.262.7.3
메달을 딴 보상으로 군 면제받는 것을 선수 스스로도 자랑스럽게 여기고 이를 ‘잘했다’라고 칭찬하는 분위기가 만연하다.

메달을	메달/NNG+을/JKO
딴	따/VV+ㄴ/ETM
보상으로	보상/NNG+으로/JKB
군	군/NNG
면제받는	면제/NNG+받/XSV+는/ETM
것을	것/NNB+을/JKO
선수	선수/NNG
스스로도	스스로/NNG+도/JX
자랑스럽게	자랑/NNG+스럽/XSA+게/EC
여기고	여기/VV+고/EC
이를	이/NP+를/JKO
‘잘했다’라고	‘/SS+잘/MAG+하/XSV+았/EP+다/EF+’/SS+라고/JKQ
칭찬하는	칭찬/NNG+하/XSV+는/ETM
분위기가	분위기/NNG+가/JKS
만연하다.	만연/NNG+하/XSV+다/EF+./SF


# id : NWRW1800000037.262.7.4
이런 상황에서 연예사병을 특별 대우하는 것에 대해 군 내부나 사회 내부가 무감각했기 때문에 이런 일이 발생한 것 아닌가”라고 꼬집었다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
연예사병을	연예/NNG+사병/NNG+을/JKO
특별	특별/NNG
대우하는	대우/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
군	군/NNG
내부나	내부/NNG+나/JC
사회	사회/NNG
내부가	내부/NNG+가/JKS
무감각했기	무/XPN+감각/NNG+하/XSA+았/EP+기/ETN
때문에	때문/NNB+에/JKB
일이	일/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아닌가”라고	아니/VCN+ㄴ가/EF+”/SS+라고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.262.7.5
누리꾼들은 ‘비’의 경우는 그동안 젊은이들 사이에 누적된 ‘병역 공정성’에 대한 불만이 터져 나온 것이라고 지적했다.

누리꾼들은	누리/NNG+꾼/XSN+들/XSN+은/JX
‘비’의	‘/SS+비/NNP+’/SS+의/JKG
경우는	경우/NNG+는/JX
그동안	그동안/NNG
젊은이들	젊은이/NNG+들/XSN
사이에	사이/NNG+에/JKB
누적된	누적/NNG+되/XSV+ㄴ/ETM
‘병역	‘/SS+병역/NNG
공정성’에	공정/NNG+성/XSN+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
불만이	불만/NNG+이/JKS
터져	터지/VV+어/EC
나온	나오/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.262.8.1
“공부를 잘하면 산업체나 연구소에서 ‘병역 특례’, 운동을 잘하면 ‘군 면제’, 그나마 입대를 해도 유명 연예인은 일반 사병의 두 배가 넘는 특혜가 존재하는 나라”라는 한 누리꾼의 말대로 지금 한국의 군대는 재주 없고, 능력 없고, 유명하지 않은 젊은이들만 국방의 의무를 다하는 곳인가.

“공부를	“/SS+공부/NNG+를/JKO
잘하면	잘/MAG+하/XSV+면/EC
산업체나	산업체/NNG+나/JC
연구소에서	연구소/NNG+에서/JKB
‘병역	‘/SS+병역/NNG
특례’,	특례/NNG+’/SS+,/SP
운동을	운동/NNG+을/JKO
‘군	‘/SS+군/NNG
면제’,	면제/NNG+’/SS+,/SP
그나마	그나마/MAG
입대를	입대/NNG+를/JKO
해도	하/VV+아도/EC
유명	유명/NNG
연예인은	연예인/NNG+은/JX
일반	일반/NNG
사병의	사병/NNG+의/JKG
두	두/MMN
배가	배/NNG+가/JKS
넘는	넘/VV+는/ETM
특혜가	특혜/NNG+가/JKS
존재하는	존재/NNG+하/XSV+는/ETM
나라”라는	나라/NNG+”/SS+이/VCP+라는/ETM
한	한/MMN
누리꾼의	누리/NNG+꾼/XSN+의/JKG
말대로	말/NNG+대로/JX
지금	지금/MAG
한국의	한국/NNP+의/JKG
군대는	군대/NNG+는/JX
재주	재주/NNG
없고,	없/VA+고/EC+,/SP
능력	능력/NNG
유명하지	유명/NNG+하/XSA+지/EC
않은	않/VX+은/ETM
젊은이들만	젊은이/NNG+들/XSN+만/JX
국방의	국방/NNG+의/JKG
의무를	의무/NNG+를/JKO
다하는	다/MAG+하/XSV+는/ETM
곳인가.	곳/NNG+이/VCP+ㄴ가/EF+./SF


