# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.137
metadata : {}


# id : NWRW1800000024.137.1.1
“사이 안좋을수록 만나야” /DJ, 남북 정상회담 권유

“사이	“/SS+사이/NNG
대한	대하/VV+ㄴ/ETM
북한의	북한/NNP+의/JKG
불만이	불만/NNG+이/JKS
있지만,	있/VA+지만/EC+,/SP
이	이/NNP
대통령의	대통령/NNG+의/JKG
발언에도	발언/NNG+에/JKB+도/JX
변화가	변화/NNG+가/JKS
보이고	보이/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“오바마	“/SS+오바마/NNP
정권이	정권/NNG+이/JKS
북한과	북한/NNP+과/JKB
대화하고	대화/NNG+하/XSV+고/EC
6자회담이	6/SN+자/NNB+회담/NNG+이/JKS
재개되면	재개/NNG+되/XSV+면/EC
이번	이번/NNG
미사일	미사일/NNG
발사가	발사/NNG+가/JKS
오히려	오히려/MAG
전환점이	전환점/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.137.4.1
그는 또 북한의 로켓 발사와 관련해 “북한의 재래식 무기는 한국에 비해 훨씬 성능이 떨어지고 전차나 비행기도 낡고 연료도 부족해 훈련도 충분히 할 수 없다”며 “그래서 핵과 미사일 개발을 통해 ‘너 죽고 나 죽자’는 벼랑 끝 전술을 쓰는 것“이라고 말했다.

그는	그/NP+는/JX
또	또/MAG
북한의	북한/NNP+의/JKG
로켓	로켓/NNG
발사와	발사/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“북한의	“/SS+북한/NNP+의/JKG
재래식	재래식/NNG
무기는	무기/NNG+는/JX
한국에	한국/NNP+에/JKB
비해	비/NNG+하/XSV+아/EC
훨씬	훨씬/MAG
성능이	성능/NNG+이/JKS
떨어지고	떨어지/VV+고/EC
전차나	전차/NNG+나/JC
비행기도	비행기/NNG+도/JX
낡고	낡/VV+고/EC
연료도	연료/NNG+도/JX
부족해	부족/NNG+하/XSA+아/EC
훈련도	훈련/NNG+도/JX
충분히	충분히/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“그래서	“/SS+그래서/MAJ
핵과	핵/NNG+과/JC
미사일	미사일/NNG
개발을	개발/NNG+을/JKO
통해	통하/VV+아/EC
‘너	‘/SS+너/NP
죽고	죽/VV+고/EC
나	나/NP
죽자’는	죽/VV+자/EF+’/SS+는/ETM
벼랑	벼랑/NNG
끝	끝/NNG
전술을	전술/NNG+을/JKO
쓰는	쓰/VV+는/ETM
것“이라고	것/NNB+“/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.137.5.1
김 전 대통령은 “북한은 미국, 일본과 국교를 맺어 안전을 보장받고, 굶주리는 국민의 생활을 지키려 하고 있다”며 “(북한은) 협상을 하고 싶은 것”이라고 말했다.

김	김/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
“북한은	“/SS+북한/NNP+은/JX
미국,	미국/NNP+,/SP
일본과	일본/NNP+과/JKB
국교를	국교/NNG+를/JKO
맺어	맺/VV+어/EC
안전을	안전/NNG+을/JKO
보장받고,	보장/NNG+받/XSV+고/EC+,/SP
굶주리는	굶주리/VV+는/ETM
국민의	국민/NNG+의/JKG
생활을	생활/NNG+을/JKO
지키려	지키/VV+려/EC
하고	하/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“(북한은)	“/SS+(/SS+북한/NNP+은/JX+)/SS
협상을	협상/NNG+을/JKO
싶은	싶/VX+은/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.137.5.2
북한이 직접 대화 가능성을 내비친 오바마 행정부에 대해 강경 조처를 취한 까닭에 대해서는 “협상 가격을 끌어올리려는 것”이라고 해석했다.

북한이	북한/NNP+이/JKS
직접	직접/MAG
대화	대화/NNG
가능성을	가능/NNG+성/XSN+을/JKO
내비친	내비치/VV+ㄴ/ETM
오바마	오바마/NNP
행정부에	행정부/NNG+에/JKB
대해	대하/VV+아/EC
강경	강경/NNG
조처를	조처/NNG+를/JKO
취한	취하/VV+ㄴ/ETM
까닭에	까닭/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“협상	“/SS+협상/NNG
가격을	가격/NNG+을/JKO
끌어올리려는	끌어올리/VV+려는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


