# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.167
metadata : {}


# id : NWRW1800000026.167.1.1
[6·2 지방선거] 與 텃밭 경남, 예상 밖 접전;김두관 '두각', 한나라 '두통'

[6·2	[/SS+6/SN+·/SP+2/SN
# id : NWRW1800000026.167.4.1
반면 이들은 "김두관이는 지난번에도 나왔고 열심히 하니까 이번에는 한 번 돼야 안 되겠나"라고 했다.

반면	반면/NNG
이들은	이/NP+들/XSN+은/JX
"김두관이는	"/SS+김두관이/NNP+는/JX
지난번에도	지난번/NNG+에/JKB+도/JX
나왔고	나오/VV+았/EP+고/EC
열심히	열심히/MAG
하니까	하/VV+니까/EC
이번에는	이번/NNG+에/JKB+는/JX
한	한/MMN
번	번/NNB
돼야	되/VV+어야/EC
안	안/MAG
되겠나"라고	되/VV+겠/EP+나/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.167.4.2
반면 창원시에서 만난 김상기(56·농업)씨는 "선거 때마다 나온 김두관이는 옛날 사람이고, 이번에는 참신한 인물을 뽑아야지. 무소속 후보를 불안해서 어찌 뽑노"라고 했다.

반면	반면/NNG
창원시에서	창원시/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
김상기(56·농업)씨는	김상기/NNP+(/SS+56/SN+·/SP+농업/NNG+)/SS+씨/NNB+는/JX
"선거	"/SS+선거/NNG
때마다	때/NNG+마다/JX
나온	나오/VV+ㄴ/ETM
김두관이는	김두관이/NNP+는/JX
옛날	옛날/NNG
사람이고,	사람/NNG+이/VCP+고/EC+,/SP
이번에는	이번/NNG+에/JKB+는/JX
참신한	참신하/VA+ㄴ/ETM
인물을	인물/NNG+을/JKO
뽑아야지.	뽑/VV+아야지/EF+./SF
무소속	무/XPN+소속/NNG
후보를	후보/NNG+를/JKO
불안해서	불안/NNG+하/XSA+아서/EC
어찌	어찌/MAG
뽑노"라고	뽑/VV+노/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.167.5.1
'한나라당 텃밭'이라 일방적인 승부가 될 것 같던 경남지사 선거가 이달곤 후보와 무소속 김두관 후보 간 접전으로 펼쳐지고 있다.

'한나라당	'/SS+한나라당/NNP
텃밭'이라	텃밭/NNG+'/SS+이/VCP+라/EC
일방적인	일방/NNG+적/XSN+이/VCP+ㄴ/ETM
승부가	승부/NNG+가/JKC
될	되/VV+ㄹ/ETM
것	것/NNB
같던	같/VA+던/ETM
경남지사	경남/NNP+지사/NNG
선거가	선거/NNG+가/JKS
이달곤	이달곤/NNP
후보와	후보/NNG+와/JC
무소속	무/XPN+소속/NNG
김두관	김두관/NNP
후보	후보/NNG
간	간/NNB
접전으로	접전/NNG+으로/JKB
펼쳐지고	펼쳐지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.167.5.2
일부 여론조사에서는 김 후보가 이 후보를 오차범위 내에서 앞서기도 했다.

일부	일부/NNG
여론조사에서는	여론/NNG+조사/NNG+에서/JKB+는/JX
김	김/NNP
후보가	후보/NNG+가/JKS
이	이/NNP
후보를	후보/NNG+를/JKO
오차범위	오차/NNG+범위/NNG
내에서	내/NNB+에서/JKB
앞서기도	앞서/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.167.5.3
한나라당 지지도가 50%가 넘는 지역에서 한나라당 후보가 무소속 후보와 박빙의 승부를 펼치는 이상한 현상이 벌어지고 있는 것이다.

한나라당	한나라당/NNP
지지도가	지지도/NNG+가/JKS
50%가	50/SN+%/SW+가/JKS
넘는	넘/VV+는/ETM
지역에서	지역/NNG+에서/JKB
후보가	후보/NNG+가/JKS
무소속	무/XPN+소속/NNG
후보와	후보/NNG+와/JKB
박빙의	박빙/NNG+의/JKG
승부를	승부/NNG+를/JKO
펼치는	펼치/VV+는/ETM
이상한	이상/NNG+하/XSA+ㄴ/ETM
현상이	현상/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.167.6.1
한나라당측은 "김 후보는 지역에서만 선거에 5차례 이상 나갔지만, 우리는 인지도가 없어 발생하는 일시적인 현상"이라고 설명했다.

한나라당측은	한나라당/NNP+측/NNB+은/JX
"김	"/SS+김/NNP
후보는	후보/NNG+는/JX
지역에서만	지역/NNG+에서/JKB+만/JX
선거에	선거/NNG+에/JKB
5차례	5/SN+차례/NNG
이상	이상/NNG
나갔지만,	나가/VV+았/EP+지만/EC+,/SP
우리는	우리/NP+는/JX
인지도가	인지도/NNG+가/JKS
없어	없/VA+어/EC
발생하는	발생/NNG+하/XSV+는/ETM
일시적인	일시/NNG+적/XSN+이/VCP+ㄴ/ETM
현상"이라고	현상/NNG+"/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.167.6.2
하지만 이유는 복잡했다.

하지만	하지만/MAJ
이유는	이유/NNG+는/JX
복잡했다.	복잡하/VA+았/EP+다/EF+./SF


# id : NWRW1800000026.167.7.1
마산 월령동에 사는 김순관(60)씨는 "원래 여기는 한나라당 깃발만 들고 나오면 다 됐는데, 인자는 그렇게는 안 될끼다"라고 했다.

마산	마산/NNP
월령동에	월령동/NNP+에/JKB
사는	살/VV+는/ETM
김순관(60)씨는	김순관/NNP+(/SS+60/SN+)/SS+씨/NNB+는/JX
"원래	"/SS+원래/MAG
여기는	여기/NP+는/JX
한나라당	한나라당/NNP
깃발만	깃발/NNG+만/JX
들고	들/VV+고/EC
나오면	나오/VV+면/EC
다	다/MAG
됐는데,	되/VV+었/EP+는데/EC+,/SP
인자는	인자/NNG+는/JX
그렇게는	그렇/VA+게/EC+는/JX
안	안/MAG
될끼다"라고	되/VV+ㄹ/ETM+끼/NNB+이/VCP+다/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.167.7.2
"경남은 그동안 정권의 주인의식이 있어 '우리가 남이가'라는 정서가 강했는데, 이명박 정부 이후 큰 혜택도 없고 다른 지역 뒤치다꺼리만 하는 기분이 들어 '우리가 니들 시다바리(뒤치다꺼리하는 사람)가'라는 역차별의식이 강해졌다"(한 여론조사 전문가)고 해석했다.

"경남은	"/SS+경남/NNP+은/JX
그동안	그동안/NNG
정권의	정권/NNG+의/JKG
주인의식이	주인/NNG+의식/NNG+이/JKS
있어	있/VA+어/EC
'우리가	'/SS+우리/NP+가/JKS
남이가'라는	남/NNG+이/VCP+가/EF+'/SS+이/VCP+라는/ETM
정서가	정서/NNG+가/JKS
강했는데,	강하/VA+았/EP+는데/EC+,/SP
이명박	이명박/NNP
정부	정부/NNG
이후	이후/NNG
큰	크/VA+ㄴ/ETM
혜택도	혜택/NNG+도/JX
없고	없/VA+고/EC
다른	다른/MMD
지역	지역/NNG
뒤치다꺼리만	뒤치다꺼리/NNG+만/JX
하는	하/VV+는/ETM
기분이	기분/NNG+이/JKS
들어	들/VV+어/EC
니들	니/NP+들/XSN
시다바리(뒤치다꺼리하는	시다바리/NNG+(/SS+뒤치다꺼리/NNG+하/XSV+는/ETM
사람)가'라는	사람/NNG+)/SS+이/VCP+가/EF+'/SS+이/VCP+라는/ETM
역차별의식이	역차별/NNG+의식/NNG+이/JKS
강해졌다"(한	강하/VA+아/EC+지/VX+었/EP+다/EF+"/SS+(/SS+한/MMN
여론조사	여론/NNG+조사/NNG
전문가)고	전문가/NNG+)/SS+고/JKQ
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.167.7.3
김 후보측은 이런 여론을 확산시키기 위해 "이명박 정부 들어 국정운영의 패러다임이 수도권 중심으로 옮겨갔다. 4대강 낙동강 사업도 수도권 대형업체들이 다 따내 남의 땅에서 잔치를 벌이고 있다"고 목소리를 높이는 중이다.

김	김/NNP
후보측은	후보/NNG+측/NNB+은/JX
이런	이런/MMD
여론을	여론/NNG+을/JKO
확산시키기	확산/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
"이명박	"/SS+이명박/NNP
정부	정부/NNG
들어	들/VV+어/EC
국정운영의	국정/NNG+운영/NNG+의/JKG
패러다임이	패러다임/NNG+이/JKS
수도권	수도/NNG+권/XSN
중심으로	중심/NNG+으로/JKB
옮겨갔다.	옮기/VV+어/EC+가/VX+았/EP+다/EF+./SF
4대강	4/SN+대/NNG+강/NNG
낙동강	낙동강/NNP
사업도	사업/NNG+도/JX
대형업체들이	대형/NNG+업체/NNG+들/XSN+이/JKS
다	다/MAG
따내	따내/VV+어/EC
남의	남/NNG+의/JKG
땅에서	땅/NNG+에서/JKB
잔치를	잔치/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
목소리를	목소리/NNG+를/JKO
높이는	높이/VV+는/ETM
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.167.8.1
이 후보가 경남 출신이지만 고향을 떠난 지 40년 가까이 된다는 점도 약점이다.

이	이/NNP
후보가	후보/NNG+가/JKS
경남	경남/NNP
출신이지만	출신/NNG+이/VCP+지만/EC
고향을	고향/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
지	지/NNB
40년	40/SN+년/NNB
가까이	가까이/MAG
된다는	되/VV+ㄴ다는/ETM
점도	점/NNG+도/JX
약점이다.	약점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.167.8.2
창원역에서 만난 이성희(53·택시기사)씨는 "우(위)에서 온 사람이 뭘 알겠노. 대통령이 내려가라 그래서 마지못해 왔다고 하던데…"라고 했다.

창원역에서	창원역/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
이성희(53·택시기사)씨는	이성희/NNP+(/SS+53/SN+·/SP+택시/NNG+기사/NNG+)/SS+씨/NNB+는/JX
"우(위)에서	"/SS+우/NNG+(/SS+위/NNG+)/SS+에서/JKB
온	오/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
뭘	뭐/NP+ㄹ/JKO
알겠노.	알/VV+겠/EP+노/EF+./SF
대통령이	대통령/NNG+이/JKS
내려가라	내려가/VV+라/EC
그래서	그러/VV+어서/EC
마지못해	마지못하/VA+아/EC
왔다고	오/VV+았/EP+다고/EC
하던데…"라고	하/VV+던데/EC+…/SE+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.167.8.3
"이명박 칙사" "황금낙하산"이란 별명이 붙었다.

"이명박	"/SS+이명박/NNP
칙사"	칙사/NNG+"/SS
"황금낙하산"이란	"/SS+황금/NNG+낙하산/NNG+"/SS+이/VCP+란/ETM
별명이	별명/NNG+이/JKS
붙었다.	붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.167.8.4
반면 이 후보측은 "김 후보는 한참 전부터 시작해서 겨우 여기까지 온 거고, 우리는 막 시작해 지금부터 뛰는 거다. 공식선거운동(20일부터)이 시작되면 분위기는 완전히 달라질 것"이라고 했다.

반면	반면/NNG
이	이/NNP
후보측은	후보/NNG+측/NNB+은/JX
"김	"/SS+김/NNP
후보는	후보/NNG+는/JX
한참	한참/NNG
전부터	전/NNG+부터/JX
시작해서	시작/NNG+하/XSV+아서/EC
겨우	겨우/MAG
여기까지	여기/NP+까지/JX
온	오/VV+ㄴ/ETM
거고,	거/NNB+이/VCP+고/EC+,/SP
우리는	우리/NP+는/JX
막	막/MAG
시작해	시작/NNG+하/XSV+아/EC
지금부터	지금/NNG+부터/JX
뛰는	뛰/VV+는/ETM
거다.	거/NNB+이/VCP+다/EF+./SF
공식선거운동(20일부터)이	공식/NNG+선거/NNG+운동/NNG+(/SS+20/SN+일/NNB+부터/JX+)/SS+이/JKS
시작되면	시작/NNG+되/XSV+면/EC
분위기는	분위기/NNG+는/JX
완전히	완전히/MAG
달라질	달라지/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.167.9.1
공천갈등도 이 후보 부진의 원인이다.

공천갈등도	공천/NNG+갈등/NNG+도/JX
이	이/NNP
후보	후보/NNG
부진의	부진/NNG+의/JKG
원인이다.	원인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.167.9.2
경남의 한 핵심당직자는 "공천에서 떨어진 현역 시장이나 군수 등 낙천자들이 조직을 찢어가는 등 공천 후폭풍 때문에 이 후보가 탄력을 받지 못하고 있다"고 했다.

경남의	경남/NNP+의/JKG
한	한/MMN
핵심당직자는	핵심/NNG+당직자/NNG+는/JX
"공천에서	"/SS+공천/NNG+에서/JKB
떨어진	떨어지/VV+ㄴ/ETM
현역	현역/NNG
시장이나	시장/NNG+이나/JC
군수	군수/NNG
등	등/NNB
낙천자들이	낙천자/NNG+들/XSN+이/JKS
조직을	조직/NNG+을/JKO
찢어가는	찢/VV+어/EC+가/VV+는/ETM
공천	공천/NNG
후폭풍	후폭풍/NNG
때문에	때문/NNB+에/JKB
이	이/NNP
후보가	후보/NNG+가/JKS
탄력을	탄력/NNG+을/JKO
받지	받/VV+지/EC
못하고	못하/VX+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.167.9.3
한나라당은 위기의식이 커지면서 경남도당은 경남지역 의원들에게 비상사태를 선포하는 등 조직결집에 적극 나서고 있다.

한나라당은	한나라당/NNP+은/JX
위기의식이	위기의식/NNG+이/JKS
커지면서	커지/VV+면서/EC
경남도당은	경남도/NNP+당/NNG+은/JX
경남지역	경남지역/NNP
의원들에게	의원/NNG+들/XSN+에게/JKB
비상사태를	비상사태/NNG+를/JKO
선포하는	선포/NNG+하/XSV+는/ETM
등	등/NNB
조직결집에	조직/NNG+결집/NNG+에/JKB
적극	적극/NNG
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.167.9.4
이 후보측 이점호 언론특보는 "집안 싸움을 접고 이제는 당 후보를 중심으로 결집하고 있어, 조만간 그 효과가 나타날 것"이라고 말했다.

이	이/NNP
후보측	후보/NNG+측/NNB
이점호	이점호/NNP
언론특보는	언론/NNG+특보/NNG+는/JX
"집안	"/SS+집안/NNG
싸움을	싸움/NNG+을/JKO
접고	접/VV+고/EC
이제는	이제/NNG+는/JX
당	당/NNG
후보를	후보/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
결집하고	결집/NNG+하/XSV+고/EC
있어,	있/VX+어/EC+,/SP
조만간	조만간/MAG
그	그/MMD
효과가	효과/NNG+가/JKS
나타날	나타나/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.167.10.1
지금은 김 후보가 선전하고 있지만, 큰 흐름은 이 후보 쪽으로 흐를 것이란 예상도 있었다.

지금은	지금/NNG+은/JX
김	김/NNP
후보가	후보/NNG+가/JKS
선전하고	선전/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
큰	크/VA+ㄴ/ETM
흐름은	흐름/NNG+은/JX
이	이/NNP
후보	후보/NNG
쪽으로	쪽/NNB+으로/JKB
흐를	흐르/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
예상도	예상/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.167.10.2
마산 석전동에서 철물점을 운영하는 최덕용(70)씨는 "여태까지 다들 이렇다저렇다 말해도 나중에 찍고 보면 다 한나라당이더라"고 했다.

마산	마산/NNP
석전동에서	석전동/NNP+에서/JKB
철물점을	철물점/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
최덕용(70)씨는	최덕용/NNP+(/SS+70/SN+)/SS+씨/NNB+는/JX
"여태까지	"/SS+여태/MAG+까지/JX
다들	다/MAG+들/XSN
이렇다저렇다	이렇/VA+다/EF+저렇/VA+다/EF
말해도	말/NNG+하/XSV+아도/EC
나중에	나중/NNG+에/JKB
찍고	찍/VV+고/EC
보면	보/VX+면/EC
다	다/MAG
한나라당이더라"고	한나라당/NNP+이/VCP+더라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.167.11.1
노무현 전 대통령 1주기를 맞아 '노풍(盧風)'도 변수다.

노무현	노무현/NNP
전	전/MMD
대통령	대통령/NNG
1주기를	1/SN+주기/NNB+를/JKO
맞아	맞/VV+아/EC
'노풍(盧風)'도	'/SS+노풍/NNG+(/SS+盧風/SH+)/SS+'/SS+도/JX
변수다.	변수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.167.11.2
회사원 배민근(30·창원 귀곡동)씨는 "지난 주말에 미리 봉하마을을 갔다 왔다. 제2의 노무현인 김두관을 찍을 것"이라고 했다.

회사원	회사원/NNG
배민근(30·창원	배민근/NNP+(/SS+30/SN+·/SP+창원/NNP
귀곡동)씨는	귀곡동/NNP+)/SS+씨/NNB+는/JX
"지난	"/SS+지나/VV+ㄴ/ETM
주말에	주말/NNG+에/JKB
미리	미리/MAG
봉하마을을	봉하마을/NNP+을/JKO
갔다	가/VV+았/EP+다/EC
왔다.	오/VV+았/EP+다/EF+./SF
제2의	제/XPN+2/SN+의/JKG
노무현인	노무현/NNP+이/VCP+ㄴ/ETM
김두관을	김두관/NNP+을/JKO
찍을	찍/VV+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.167.11.3
반면 "노 전 대통령 고향인 김해 부근이라면 몰라도 다른 지역은 관심도 없다. 시끄럽게 하면 나 같은 보수들이 나설 것"(주광형·45·거제)이라는 말도 있었다.

반면	반면/NNG
"노	"/SS+노/NNP
전	전/MMD
대통령	대통령/NNG
고향인	고향/NNG+이/VCP+ㄴ/ETM
김해	김해/NNP
부근이라면	부근/NNG+이/VCP+라면/EC
몰라도	모르/VV+아도/EC
다른	다른/MMD
지역은	지역/NNG+은/JX
관심도	관심/NNG+도/JX
없다.	없/VA+다/EF+./SF
시끄럽게	시끄럽/VA+게/EC
하면	하/VX+면/EC
나	나/NP
같은	같/VA+은/ETM
보수들이	보수/NNG+들/XSN+이/JKS
나설	나서/VV+ㄹ/ETM
것"(주광형·45·거제)이라는	것/NNB+"/SS+(/SS+주광형/NNP+·/SP+45/SN+·/SP+거제/NNP+)/SS+이/VCP+라는/ETM
말도	말/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


