# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.185
metadata : {}


# id : NWRW1800000022.185.1.1
[모두가 피곤한 '고비용' 결혼식] (9) 허례없는 홍콩;'부자나라 홍콩' 커플 두쌍중 한쌍 17만원짜리 '정부 예식장'서 결혼

[모두가	[/SS+모두/NNG+가/JKS
평일보다	평일/NNG+보다/JKB
비싸	비싸/VA+아/EC
2240홍콩달러(약	2240/SN+홍콩/NNP+달러/NNG+(/SS+약/MMA
37만원)다.	37/SN+만/NR+원/NNB+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.185.9.1
결혼식이 끝나자 부부는 곧바로 근처의 중국식당으로 옮겨 피로연을 즐겼다.

결혼식이	결혼식/NNG+이/JKS
끝나자	끝나/VV+자/EC
부부는	부부/NNG+는/JX
곧바로	곧바로/MAG
근처의	근처/NNG+의/JKG
중국식당으로	중국/NNP+식당/NNG+으로/JKB
옮겨	옮기/VV+어/EC
피로연을	피로연/NNG+을/JKO
즐겼다.	즐기/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.185.9.2
피로연 비용은 결혼식 비용의 100배 가까운 10만홍콩달러(약 1630만원)가 들었다.

피로연	피로연/NNG
비용은	비용/NNG+은/JX
결혼식	결혼식/NNG
비용의	비용/NNG+의/JKG
100배	100/SN+배/NNG
가까운	가깝/VA+ㄴ/ETM
10만홍콩달러(약	10/SN+만/NR+홍콩/NNP+달러/NNG+(/SS+약/MMA
1630만원)가	1630/SN+만/NR+원/NNB+)/SS+가/JKS
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.185.9.3
양가 친지와 친구 등 모두 153명을 초대해 이곳에서 밤 9시까지 먹고 마시고 즐긴 비용의 합계다.

양가	양가/NNG
친지와	친지/NNG+와/JC
친구	친구/NNG
등	등/NNB
모두	모두/MAG
153명을	153/SN+명/NNB+을/JKO
초대해	초대/NNG+하/XSV+아/EC
이곳에서	이곳/NP+에서/JKB
밤	밤/NNG
9시까지	9/SN+시/NNB+까지/JX
먹고	먹/VV+고/EC
마시고	마시/VV+고/EC
즐긴	즐기/VV+ㄴ/ETM
비용의	비용/NNG+의/JKG
합계다.	합계/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.185.9.4
라이씨는 "홍콩 사람들은 예식장 비용은 가장 적게 쓰고 피로연과 사진촬영 등에 많은 돈을 쓴다"고 했다.

라이씨는	라이/NNP+씨/NNB+는/JX
"홍콩	"/SS+홍콩/NNP
사람들은	사람/NNG+들/XSN+은/JX
예식장	예식장/NNG
비용은	비용/NNG+은/JX
가장	가장/MAG
적게	적/VA+게/EC
쓰고	쓰/VV+고/EC
피로연과	피로연/NNG+과/JC
사진촬영	사진/NNG+촬영/NNG
등에	등/NNB+에/JKB
많은	많/VA+은/ETM
돈을	돈/NNG+을/JKO
쓴다"고	쓰/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.185.10.1
피로연 규모와 비용은 각양각색이다.

피로연	피로연/NNG
규모와	규모/NNG+와/JC
비용은	비용/NNG+은/JX
각양각색이다.	각양각색/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.185.10.2
토요일인 16일 저녁 홍콩 섬 쿼리베이 전철역 부근에 있는 40~60층 건물이 즐비한 빌딩가에 있는 고급 중국식당 '수퍼스타'와 바로 옆 '상하이' 입구에 '카리나·조던의 피로연장'과 '조·빌리의 피로연장'이란 팻말이 붙었다.

토요일인	토요일/NNG+이/VCP+ㄴ/ETM
16일	16/SN+일/NNB
저녁	저녁/NNG
홍콩	홍콩/NNP
섬	섬/NNG
쿼리베이	쿼리베이/NNP
전철역	전철역/NNG
부근에	부근/NNG+에/JKB
있는	있/VA+는/ETM
40~60층	40/SN+~/SO+60/SN+층/NNG
건물이	건물/NNG+이/JKS
즐비한	즐비하/VA+ㄴ/ETM
빌딩가에	빌딩가/NNG+에/JKB
고급	고급/NNG
중국식당	중국/NNP+식당/NNG
'수퍼스타'와	'/SS+수퍼스타/NNG+'/SS+와/JC
바로	바로/MAG
옆	옆/NNG
'상하이'	'/SS+상하이/NNP+'/SS
입구에	입구/NNG+에/JKB
'카리나·조던의	'/SS+카리나/NNP+·/SP+조던/NNP+의/JKG
피로연장'과	피로연장/NNG+'/SS+과/JC
'조·빌리의	'/SS+조/NNP+·/SP+빌리/NNP+의/JKG
피로연장'이란	피로연장/NNG+'/SS+이/VCP+란/ETM
팻말이	팻말/NNG+이/JKS
붙었다.	붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.185.11.1
이날 저녁 수퍼스타에는 320명, 상하이에는 190여명이 초대돼 오후 5~10시까지 즐겼다.

이날	이날/NNG
저녁	저녁/NNG
수퍼스타에는	수퍼스타/NNG+에/JKB+는/JX
320명,	320/SN+명/NNB+,/SP
상하이에는	상하이/NNP+에/JKB+는/JX
190여명이	190/SN+여/XSN+명/NNB+이/JKS
초대돼	초대/NNG+되/XSV+어/EC
오후	오후/NNG
5~10시까지	5/SN+~/SO+10/SN+시/NNB+까지/JX
즐겼다.	즐기/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.185.11.2
수퍼스타는 약 20만홍콩달러, 상하이는 15만홍콩달러를 받았다고 매니저들이 말했다.

수퍼스타는	수퍼스타/NNG+는/JX
약	약/MMA
20만홍콩달러,	20/SN+만/NR+홍콩/NNP+달러/NNG+,/SP
상하이는	상하이/NNP+는/JX
15만홍콩달러를	15/SN+만/NR+홍콩/NNP+달러/NNG+를/JKO
받았다고	받/VV+았/EP+다고/EC
매니저들이	매니저/NNG+들/XSN+이/JKS
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.185.12.1
◆정부 예식장·시민주례 이용 90% 이상

◆정부	◆/SW+정부/NNG
예식장·시민주례	예식장/NNG+·/SP+시민/NNG+주례/NNG
이용	이용/NNG
90%	90/SN+%/SW
이상	이상/NNG


# id : NWRW1800000022.185.13.1
홍콩 정부 이민국에 따르면, 정부의 결혼등록소 부설 예식장을 이용하는 커플이 조금씩 줄고 있다.

홍콩	홍콩/NNP
정부	정부/NNG
이민국에	이민국/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
정부의	정부/NNG+의/JKG
결혼등록소	결혼/NNG+등록소/NNG
부설	부설/NNG
예식장을	예식장/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
커플이	커플/NNG+이/JKS
조금씩	조금/NNG+씩/XSN
줄고	줄/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.185.13.2
2006년 76.6%이던 정부 예식장 이용 커플은 2007년 58.8%, 2008년 55.3%로 점점 줄고 있다.

2006년	2006/SN+년/NNB
76.6%이던	76/SN+./SP+6/SN+%/SW+이/VCP+던/ETM
정부	정부/NNG
예식장	예식장/NNG
이용	이용/NNG
커플은	커플/NNG+은/JX
2007년	2007/SN+년/NNB
58.8%,	58/SN+./SP+8/SN+%/SW+,/SP
2008년	2008/SN+년/NNB
55.3%로	55/SN+./SP+3/SN+%/SW+로/JKB
점점	점점/MAG
줄고	줄/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.185.14.1
대신 '시민주례(市民主禮)'가 진행하는 결혼식은 2006년 17.5%에서 2007년 34.6%, 2007년 38.7%로 증가 추세다.

대신	대신/NNG
'시민주례(市民主禮)'가	'/SS+시민/NNG+주례/NNG+(/SS+市民主禮/SH+)/SS+'/SS+가/JKS
진행하는	진행/NNG+하/XSV+는/ETM
결혼식은	결혼식/NNG+은/JX
2006년	2006/SN+년/NNB
17.5%에서	17/SN+./SP+5/SN+%/SW+에서/JKB
2007년	2007/SN+년/NNB
34.6%,	34/SN+./SP+6/SN+%/SW+,/SP
38.7%로	38/SN+./SP+7/SN+%/SW+로/JKB
증가	증가/NNG
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.185.14.2
'결혼식을 주관하는 시민 진행자'라는 뜻으로 영어로는 'Civil Celebrants of Marriages(CCM)'라고 쓰고 중국어로는 '혼인감례인(婚姻監禮人)'이라 부르는 시민주례는 2006년 4월 21일 도입됐다.

'결혼식을	'/SS+결혼식/NNG+을/JKO
주관하는	주관/NNG+하/XSV+는/ETM
시민	시민/NNG
진행자'라는	진행자/NNG+'/SS+이/VCP+라는/ETM
뜻으로	뜻/NNG+으로/JKB
영어로는	영어/NNP+로/JKB+는/JX
'Civil	'/SS+Civil/SL
Celebrants	Celebrants/SL
of	of/SL
Marriages(CCM)'라고	Marriages/SL+(/SS+CCM/SL+)/SS+'/SS+라고/JKQ
쓰고	쓰/VV+고/EC
중국어로는	중국어/NNP+로/JKB+는/JX
'혼인감례인(婚姻監禮人)'이라	'/SS+혼인/NNG+감례인/NNG+(/SS+婚姻監禮人/SH+)/SS+'/SS+이/VCP+라/EC
부르는	부르/VV+는/ETM
시민주례는	시민/NNG+주례/NNG+는/JX
2006년	2006/SN+년/NNB
4월	4/SN+월/NNB
21일	21/SN+일/NNB
도입됐다.	도입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.185.15.1
홍콩 이민국 관계자는 22일 "합리적인 가격에 공인된 '시민주례'로부터 결혼식 이전부터 결혼 관련 조언과 당일의 결혼 진행, 그 이후의 혼인 신고까지 체계적으로 전화 한 통화로 '원스톱 서비스'를 받을 수 있도록 이 제도를 도입했다"고 말했다.

홍콩	홍콩/NNP
이민국	이민국/NNG
관계자는	관계자/NNG+는/JX
22일	22/SN+일/NNB
"합리적인	"/SS+합리/NNG+적/XSN+이/VCP+ㄴ/ETM
가격에	가격/NNG+에/JKB
공인된	공인/NNG+되/XSV+ㄴ/ETM
'시민주례'로부터	'/SS+시민/NNG+주례/NNG+'/SS+로부터/JKB
결혼식	결혼식/NNG
이전부터	이전/NNG+부터/JX
결혼	결혼/NNG
관련	관련/NNG
조언과	조언/NNG+과/JC
당일의	당일/NNG+의/JKG
진행,	진행/NNG+,/SP
그	그/MMD
이후의	이후/NNG+의/JKG
혼인	혼인/NNG
신고까지	신고/NNG+까지/JX
체계적으로	체계/NNG+적/XSN+으로/JKB
전화	전화/NNG
한	한/MMN
통화로	통화/NNG+로/JKB
'원스톱	'/SS+원스톱/NNG
서비스'를	서비스/NNG+'/SS+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
이	이/MMD
제도를	제도/NNG+를/JKO
도입했다"고	도입/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.185.15.2
현재 정부 인터넷 사이트에 등록된 시민주례는 1439명.

현재	현재/MAG
정부	정부/NNG
인터넷	인터넷/NNG
사이트에	사이트/NNG+에/JKB
등록된	등록/NNG+되/XSV+ㄴ/ETM
시민주례는	시민/NNG+주례/NNG+는/JX
1439명.	1439/SN+명/NNB+./SF


# id : NWRW1800000022.185.15.3
전원 변호사 아니면 공증인이다.

전원	전원/NNG
변호사	변호사/NNG
아니면	아니/VCN+면/EC
공증인이다.	공증인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.185.15.4
예비 신혼부부는 누구나 이 사이트에 들어가 원하는 CCM과 원하는 시간과 장소에서의 결혼식을 원하는 가격에 흥정할 수 있다.

예비	예비/NNG
신혼부부는	신혼부부/NNG+는/JX
누구나	누구/NP+나/JX
이	이/MMD
사이트에	사이트/NNG+에/JKB
들어가	들어가/VV+아/EC
원하는	원/NNG+하/XSV+는/ETM
CCM과	CCM/SL+과/JKB
시간과	시간/NNG+과/JC
장소에서의	장소/NNG+에서/JKB+의/JKG
결혼식을	결혼식/NNG+을/JKO
가격에	가격/NNG+에/JKB
흥정할	흥정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.185.16.1
그러나 주말 결혼이나 선상(船上) 결혼 등 특별한 경우가 아니면 대개는 1회에 3000홍콩달러(약 48만원)를 받는다.

그러나	그러나/MAJ
주말	주말/NNG
결혼이나	결혼/NNG+이나/JC
선상(船上)	선상/NNG+(/SS+船上/SH+)/SS
결혼	결혼/NNG
등	등/NNB
특별한	특별/NNG+하/XSA+ㄴ/ETM
경우가	경우/NNG+가/JKC
아니면	아니/VCN+면/EC
대개는	대개/MAG+는/JX
1회에	1/SN+회/NNB+에/JKB
3000홍콩달러(약	3000/SN+홍콩/NNP+달러/NNG+(/SS+약/MMA
48만원)를	48/SN+만/NR+원/NNB+)/SS+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000022.185.16.2
결혼 관련 조언과 주례 사례비, 결혼 등록에 필요한 제비용까지 포함된 액수다.

결혼	결혼/NNG
관련	관련/NNG
조언과	조언/NNG+과/JC
주례	주례/NNG
사례비,	사례비/NNG+,/SP
등록에	등록/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
제비용까지	제/MMN+비용/NNG+까지/JX
포함된	포함/NNG+되/XSV+ㄴ/ETM
액수다.	액수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.185.16.3
또 서면 영수증에 적힌 액수보다 많이 받으면 처벌받는다.

또	또/MAG
서면	서면/NNG
영수증에	영수증/NNG+에/JKB
적힌	적히/VV+ㄴ/ETM
액수보다	액수/NNG+보다/JKB
많이	많이/MAG
받으면	받/VV+으면/EC
처벌받는다.	처벌/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000022.185.17.1
시민주례 춘온 찬(Chan) 변호사는 "3년 동안 약 20쌍의 주례를 서면서 거의 대부분 3000홍콩달러씩 받았다"며 "주례를 서면서 신혼부부의 새 출발을 도와주니 매번 행복감을 느낀다"고 말했다.

시민주례	시민/NNG+주례/NNG
춘온	춘온/NNP
찬(Chan)	찬/NNP+(/SS+Chan/SL+)/SS
변호사는	변호사/NNG+는/JX
"3년	"/SS+3/SN+년/NNB
동안	동안/NNG
약	약/MMA
20쌍의	20/SN+쌍/NNG+의/JKG
주례를	주례/NNG+를/JKO
서면서	서/VV+면서/EC
거의	거의/MAG
대부분	대/XPN+부분/NNG
3000홍콩달러씩	3000/SN+홍콩/NNP+달러/NNG+씩/XSN
받았다"며	받/VV+았/EP+다/EF+"/SS+며/EC
"주례를	"/SS+주례/NNG+를/JKO
신혼부부의	신혼부부/NNG+의/JKG
새	새/MMA
출발을	출발/NNG+을/JKO
도와주니	도와주/VV+니/EC
매번	매번/MAG
행복감을	행복감/NNG+을/JKO
느낀다"고	느끼/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


