# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.166
metadata : {}


# id : NWRW1800000054.166.1.1
'이건희 동영상' 연루 의혹, CJ 계열사 임원 3명 압수수색

'이건희	'/SS+이건희/NNP
S씨를	S/SL+씨/NNB+를/JKO
구속했다.	구속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.166.4.2
S씨는 친동생과 함께 여성들을 고용한 뒤 이 동영상을 몰래 촬영하라고 시킨 혐의를 받았다.

S씨는	S/SL+씨/NNB+는/JX
친동생과	친/XPN+동생/NNG+과/JKB
함께	함께/MAG
여성들을	여성/NNG+들/XSN+을/JKO
고용한	고용/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이	이/MMD
동영상을	동영상/NNG+을/JKO
몰래	몰래/MAG
촬영하라고	촬영/NNG+하/XSV+라고/EC
시킨	시키/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.166.5.1
동영상은 2011년 12월부터 2013년 6월까지 5차례에 걸쳐 이건희 회장의 서울 삼성동 자택과 삼성SDS 고문 명의로 임대된 논현동 빌라 등에서 촬영됐는데, 여성들이 이 회장으로부터 수백만원씩 돈을 받는 것으로 나온다.

동영상은	동영상/NNG+은/JX
2011년	2011/SN+년/NNB
12월부터	12/SN+월/NNB+부터/JX
2013년	2013/SN+년/NNB
6월까지	6/SN+월/NNB+까지/JX
5차례에	5/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
이건희	이건희/NNP
회장의	회장/NNG+의/JKG
서울	서울/NNP
삼성동	삼성동/NNP
자택과	자택/NNG+과/JC
삼성SDS	삼성SDS/NNP
고문	고문/NNG
명의로	명의/NNG+로/JKB
임대된	임대/NNG+되/XSV+ㄴ/ETM
논현동	논현동/NNP
빌라	빌라/NNG
등에서	등/NNB+에서/JKB
촬영됐는데,	촬영/NNG+되/XSV+었/EP+는데/EC+,/SP
여성들이	여성/NNG+들/XSN+이/JKS
이	이/NNP
회장으로부터	회장/NNG+으로부터/JKB
수백만원씩	수백만/NR+원/NNB+씩/XSN
돈을	돈/NNG+을/JKO
받는	받/VV+는/ETM
것으로	것/NNB+으로/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.166.5.2
작년 7월 인터넷 매체인 뉴스타파가 동영상을 입수해 보도한 뒤 시민단체 등의 고발로 검찰 수사가 시작됐다.

작년	작년/NNG
7월	7/SN+월/NNB
인터넷	인터넷/NNG
매체인	매체/NNG+이/VCP+ㄴ/ETM
뉴스타파가	뉴스타파/NNP+가/JKS
동영상을	동영상/NNG+을/JKO
입수해	입수/NNG+하/XSV+아/EC
보도한	보도/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
시민단체	시민/NNG+단체/NNG
등의	등/NNB+의/JKG
고발로	고발/NNG+로/JKB
검찰	검찰/NNG
수사가	수사/NNG+가/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.166.6.1
이날 압수 수색에 앞서 검찰은 S씨를 조사하는 과정에서 동영상 촬영에 다른 CJ 관계자들이 개입했을 가능성을 보여주는 단서를 확보했다고 한다.

이날	이날/NNG
압수	압수/NNG
수색에	수색/NNG+에/JKB
앞서	앞서/VV+어/EC
검찰은	검찰/NNG+은/JX
S씨를	S/SL+씨/NNB+를/JKO
조사하는	조사/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
동영상	동영상/NNG
촬영에	촬영/NNG+에/JKB
다른	다른/MMD
CJ	CJ/SL
관계자들이	관계자/NNG+들/XSN+이/JKS
개입했을	개입/NNG+하/XSV+았/EP+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
단서를	단서/NNG+를/JKO
확보했다고	확보/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.166.6.2
CJ그룹 측은 "S씨의 구속은 회사와는 무관한 개인 범죄"라는 입장을 밝혔다.

CJ그룹	CJ그룹/NNP
측은	측/NNB+은/JX
"S씨의	"/SS+S/SL+씨/NNB+의/JKG
구속은	구속/NNG+은/JX
회사와는	회사/NNG+와/JKB+는/JX
무관한	무관하/VA+ㄴ/ETM
개인	개인/NNG
범죄"라는	범죄/NNG+"/SS+이/VCP+라는/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.166.6.3
그러나 검찰은 S씨의 자택과 사무실 압수 수색에서 S씨 측이 동영상과 관련해 헬로비전·대한통운 관계자와 이메일을 주고받은 사실을 확인한 것으로 알려졌다.

그러나	그러나/MAJ
검찰은	검찰/NNG+은/JX
S씨의	S/SL+씨/NNB+의/JKG
자택과	자택/NNG+과/JC
사무실	사무실/NNG
압수	압수/NNG
수색에서	수색/NNG+에서/JKB
S씨	S/SL+씨/NNB
측이	측/NNB+이/JKS
동영상과	동영상/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
헬로비전·대한통운	헬로비전/NNP+·/SP+대한통운/NNP
관계자와	관계자/NNG+와/JKB
이메일을	이메일/NNG+을/JKO
주고받은	주고받/VV+은/ETM
사실을	사실/NNG+을/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.166.6.4
검찰은 이날 추가 압수 수색 대상이 된 임원 대부분이 동영상이 촬영된 시점에 CJ 본사에서 근무했다고 밝혔다.

검찰은	검찰/NNG+은/JX
이날	이날/NNG
추가	추가/NNG
압수	압수/NNG
수색	수색/NNG
대상이	대상/NNG+이/JKC
된	되/VV+ㄴ/ETM
임원	임원/NNG
대부분이	대/XPN+부분/NNG+이/JKS
동영상이	동영상/NNG+이/JKS
촬영된	촬영/NNG+되/XSV+ㄴ/ETM
시점에	시점/NNG+에/JKB
CJ	CJ/SL
본사에서	본사/NNG+에서/JKB
근무했다고	근무/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.166.7.1
검찰은 S씨 등이 동영상을 촬영한 시점이 이맹희(2015년 작고) 전 제일비료 회장과 이건희 회장이 수천억원대 상속 재산 소송을 벌이던 시기와 겹친다는 점 때문에 회사 차원에서 조직적으로 이뤄진 범죄가 아닌지 의심해 왔다.

검찰은	검찰/NNG+은/JX
S씨	S/SL+씨/NNB
등이	등/NNB+이/JKS
동영상을	동영상/NNG+을/JKO
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
시점이	시점/NNG+이/JKS
이맹희(2015년	이맹희/NNP+(/SS+2015/SN+년/NNB
작고)	작고/NNG+)/SS
전	전/MMD
제일비료	제일비료/NNP
회장과	회장/NNG+과/JC
이건희	이건희/NNP
회장이	회장/NNG+이/JKS
수천억원대	수천억/NR+원/NNB+대/XSN
상속	상속/NNG
재산	재산/NNG
소송을	소송/NNG+을/JKO
벌이던	벌이/VV+던/ETM
시기와	시기/NNG+와/JKB
겹친다는	겹치/VV+ㄴ다는/ETM
점	점/NNG
때문에	때문/NNB+에/JKB
회사	회사/NNG
차원에서	차원/NNG+에서/JKB
조직적으로	조직/NNG+적/XSN+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
범죄가	범죄/NNG+가/JKC
아닌지	아니/VCN+ㄴ지/EC
의심해	의심/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.166.7.2
검찰은 관련된 인물을 차례로 소환 조사할 계획이다.

검찰은	검찰/NNG+은/JX
관련된	관련/NNG+되/XSV+ㄴ/ETM
인물을	인물/NNG+을/JKO
차례로	차례/NNG+로/JKB
소환	소환/NNG
조사할	조사/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.166.8.1
CJ그룹은 "압수 수색은 S씨 측으로부터 해당 동영상에 대한 매수 요청을 받았거나 동영상 관련 진위 파악을 위해 촬영자 측과 접촉한 계열사 직원에 대한 것으로 알고 있다"며 "CJ그룹이 이번 사건과 무관하다는 입장은 같다"고 밝혔다.

CJ그룹은	CJ그룹/NNP+은/JX
"압수	"/SS+압수/NNG
수색은	수색/NNG+은/JX
S씨	S/SL+씨/NNB
측으로부터	측/NNB+으로부터/JKB
해당	해당/NNG
동영상에	동영상/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
매수	매수/NNG
요청을	요청/NNG+을/JKO
받았거나	받/VV+았/EP+거나/EC
동영상	동영상/NNG
관련	관련/NNG
진위	진위/NNG
파악을	파악/NNG+을/JKO
위해	위하/VV+아/EC
촬영자	촬영자/NNG
측과	측/NNB+과/JKB
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
계열사	계열사/NNG
직원에	직원/NNG+에/JKB
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"CJ그룹이	"/SS+CJ그룹/NNP+이/JKS
이번	이번/NNG
사건과	사건/NNG+과/JKB
무관하다는	무관하/VA+다는/ETM
입장은	입장/NNG+은/JX
같다"고	같/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


