# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.86
metadata : {}


# id : NWRW1800000045.86.1.1
[스마트 컨슈머]보령 ‘장쾌장’ 배속을 시원하게… ‘쾌변’ 합시다

[스마트	[/SS+스마트/NNG
출시를	출시/NNG+를/JKO
기념하여	기념/NNG+하/XSV+아/EC
선착순	선착순/NNG
300세트에	300/SN+세트/NNG+에/JKB
한하여	한/NNG+하/XSV+아/EC
특별	특별/NNG
할인행사도	할인/NNG+행사/NNG+도/JX
진행하고	진행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.86.6.2
080-830-3300

080-830-3300	080/SN+-/SO+830/SN+-/SO+3300/SN


