# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.381
metadata : {}


# id : NWRW1800000049.381.1.1
“머리 굴리지 말라, 직원에 탄핵 당해”

“머리	“/SS+머리/NNG
청문회였지만	청문회/NNG+이/VCP+었/EP+지만/EC
‘호통’과	‘/SS+호통/NNG+’/SS+과/JC
‘낯	‘/SS+낯/NNG
뜨거운	뜨겁/VA+ㄴ/ETM
면박’이	면박/NNG+’/SS+이/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.381.4.1
더불어민주당 안민석 의원은 “(지난해 7월 25일 박근혜 대통령과의 독대는) 30∼40분간 이뤄졌다”는 이재용 삼성전자 부회장의 답변에 “박 대통령은 창조경제에 대해 30∼40분 동안 논할 만한 머리가 안 된다”고 했다.

더불어민주당	더불어민주당/NNP
안민석	안민석/NNP
의원은	의원/NNG+은/JX
“(지난해	“/SS+(/SS+지난해/NNG
7월	7/SN+월/NNB
25일	25/SN+일/NNB
박근혜	박근혜/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
독대는)	독대/NNG+는/JX+)/SS
30∼40분간	30/SN+∼/SO+40/SN+분/NNB+간/XSN
이뤄졌다”는	이뤄지/VV+었/EP+다/EF+”/SS+는/ETM
이재용	이재용/NNP
삼성전자	삼성전자/NNP
부회장의	부회장/NNG+의/JKG
답변에	답변/NNG+에/JKB
“박	“/SS+박/NNP
대통령은	대통령/NNG+은/JX
창조경제에	창조/NNG+경제/NNG+에/JKB
대해	대하/VV+아/EC
30∼40분	30/SN+∼/SO+40/SN+분/NNB
동안	동안/NNG
논할	논하/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
머리가	머리/NNG+가/JKS
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.381.4.2
이어 이 부회장의 답변 태도에 대해 “아직 쉰 살이 안 됐는데 평소에도 남이 질문하면 동문서답하는 게 버릇이냐” “하루종일 돌려 막기 사지선다형 대답을 하고 있다. 모르겠다, 기억 안 난다, 내가 부족하다, 앞으로 잘하겠다고만 했다”고 비난했다.

이어	이어/MAG
이	이/NNP
부회장의	부회장/NNG+의/JKG
답변	답변/NNG
태도에	태도/NNG+에/JKB
대해	대하/VV+아/EC
“아직	“/SS+아직/MAG
쉰	쉰/NR
살이	살/NNB+이/JKC
안	안/MAG
됐는데	되/VV+었/EP+는데/EC
평소에도	평소/NNG+에/JKB+도/JX
남이	남/NNG+이/JKS
질문하면	질문/NNG+하/XSV+면/EC
동문서답하는	동문서답/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
버릇이냐”	버릇/NNG+이/VCP+냐/EF+”/SS
“하루종일	“/SS+하루/NNG+종일/MAG
돌려	돌리/VV+어/EC
막기	막/VV+기/ETN
사지선다형	사지선다/NNG+형/XSN
대답을	대답/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF
모르겠다,	모르/VV+겠/EP+다/EF+,/SP
기억	기억/NNG
난다,	나/VV+ㄴ다/EF+,/SP
내가	내/NP+가/JKS
부족하다,	부족/NNG+하/XSA+다/EF+,/SP
앞으로	앞/NNG+으로/JKB
잘하겠다고만	잘/MAG+하/XSV+겠/EP+다고/EC+만/JX
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.381.4.3
안 의원은 이 부회장이 계속 대답을 머뭇거리자 “자꾸 머리 굴리지 말라”고 타박하기도 했다.

안	안/NNP
의원은	의원/NNG+은/JX
이	이/NNP
부회장이	부회장/NNG+이/JKS
계속	계속/MAG
대답을	대답/NNG+을/JKO
머뭇거리자	머뭇거리/VV+자/EC
“자꾸	“/SS+자꾸/MAG
머리	머리/NNG
굴리지	굴리/VV+지/EC
말라”고	말/VX+라/EF+”/SS+고/JKQ
타박하기도	타박/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.381.4.4
“그러다 (이 부회장이 박 대통령처럼) 삼성 직원한테 탄핵받는다”고도 했다.

“그러다	“/SS+그러/VV+다/EC
(이	(/SS+이/NNP
부회장이	부회장/NNG+이/JKS
박	박/NNP
대통령처럼)	대통령/NNG+처럼/JKB+)/SS
삼성	삼성/NNP
직원한테	직원/NNG+한테/JKB
탄핵받는다”고도	탄핵/NNG+받/XSV+는다/EF+”/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.381.4.5
안 의원은 증인들을 향해 “촛불집회에 나가보신 증인 있으면 손을 들어보라”고 묻기도 했고, 이승철 전국경제인연합회 부회장이 손을 들자 “당신은 재벌이 아니잖아요”라며 핀잔을 주기도 했다.

안	안/NNP
의원은	의원/NNG+은/JX
증인들을	증인/NNG+들/XSN+을/JKO
향해	향하/VV+아/EC
“촛불집회에	“/SS+촛불/NNG+집회/NNG+에/JKB
나가보신	나가/VV+아/EC+보/VX+시/EP+ㄴ/ETM
증인	증인/NNG
있으면	있/VA+으면/EC
손을	손/NNG+을/JKO
들어보라”고	들/VV+어/EC+보/VX+라/EF+”/SS+고/JKQ
묻기도	묻/VV+기/ETN+도/JX
했고,	하/VX+았/EP+고/EC+,/SP
이승철	이승철/NNP
전국경제인연합회	전국경제인연합회/NNP
부회장이	부회장/NNG+이/JKS
들자	들/VV+자/EC
“당신은	“/SS+당신/NP+은/JX
재벌이	재벌/NNG+이/JKC
아니잖아요”라며	아니/VCN+잖아/EF+요/JX+”/SS+이/VCP+라며/EC
핀잔을	핀잔/NNG+을/JKO
주기도	주/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.381.5.1
안 의원은 대기업 총수들에게 “전경련 해체에 반대하는 총수는 손을 들어보라”고도 했다.

안	안/NNP
의원은	의원/NNG+은/JX
대기업	대/XPN+기업/NNG
총수들에게	총수/NNG+들/XSN+에게/JKB
“전경련	“/SS+전경련/NNP
해체에	해체/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
총수는	총수/NNG+는/JX
손을	손/NNG+을/JKO
들어보라”고도	들/VV+어/EC+보/VX+라/EF+”/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.381.5.2
새누리당 하태경 의원은 “(전경련을 탈퇴할 의사가 있는지) 네, 아니요로 답해 달라”고 일부 총수들을 재차 몰아붙였다.

새누리당	새누리당/NNP
하태경	하태경/NNP
의원은	의원/NNG+은/JX
“(전경련을	“/SS+(/SS+전경련/NNP+을/JKO
탈퇴할	탈퇴/NNG+하/XSV+ㄹ/ETM
의사가	의사/NNG+가/JKS
있는지)	있/VA+는지/EF+)/SS
네,	네/IC+,/SP
아니요로	아니요/IC+로/JKB
답해	답/NNG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
일부	일부/NNG
총수들을	총수/NNG+들/XSN+을/JKO
재차	재차/MAG
몰아붙였다.	몰아붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.381.6.1
박범계 의원은 최태원 SK그룹 회장에게 “서울구치소가 멀리 있는 곳이 아니다”고도 했다.

박범계	박범계/NNP
의원은	의원/NNG+은/JX
최태원	최태원/NNP
SK그룹	SK그룹/NNP
회장에게	회장/NNG+에게/JKB
“서울구치소가	“/SS+서울구치소/NNP+가/JKS
멀리	멀리/MAG
있는	있/VA+는/ETM
곳이	곳/NNG+이/JKC
아니다”고도	아니/VCN+다/EF+”/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.381.6.2
최 회장이 횡령배임 혐의로 복역한 점을 상기시킨 것이다.

최	최/NNP
회장이	회장/NNG+이/JKS
횡령배임	횡령/NNG+배임/NNG
혐의로	혐의/NNG+로/JKB
복역한	복역/NNG+하/XSV+ㄴ/ETM
점을	점/NNG+을/JKO
상기시킨	상기/NNG+시키/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.381.7.1
새누리당 장제원 의원은 김승연 한화그룹 회장에게 “2014년 3월 한화와 삼성이 정유라에게 8억 원과 10억 원 상당의 말을 상납하면서 빅딜을 성사시켰지 않느냐”고 의혹을 제기하며 “그런 망나니 정유라에게 말까지 사줘야 거래할 수 있는 것이냐”고 따져 물었다.

새누리당	새누리당/NNP
장제원	장제원/NNP
의원은	의원/NNG+은/JX
김승연	김승연/NNP
한화그룹	한화그룹/NNP
회장에게	회장/NNG+에게/JKB
“2014년	“/SS+2014/SN+년/NNB
3월	3/SN+월/NNB
한화와	한화/NNP+와/JC
삼성이	삼성/NNP+이/JKS
정유라에게	정유라/NNP+에게/JKB
8억	8/SN+억/NR
원과	원/NNB+과/JC
10억	10/SN+억/NR
원	원/NNB
상당의	상당/NNG+의/JKG
말을	말/NNG+을/JKO
상납하면서	상납/NNG+하/XSV+면서/EC
빅딜을	빅딜/NNG+을/JKO
성사시켰지	성사/NNG+시키/XSV+었/EP+지/EC
않느냐”고	않/VX+느냐/EF+”/SS+고/JKQ
의혹을	의혹/NNG+을/JKO
제기하며	제기/NNG+하/XSV+며/EC
“그런	“/SS+그런/MMD
망나니	망나니/NNG
말까지	말/NNG+까지/JX
사줘야	사/VV+아/EC+주/VX+어야/EC
거래할	거래/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것이냐”고	것/NNB+이/VCP+냐/EF+”/SS+고/JKQ
따져	따지/VV+어/EC
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.381.7.2
하태경 의원은 1988년 5공화국 당시 청문회를 거론하며 “당시 청문회에 나왔던 분들의 자제 6명이 또 (이번 청문회에) 나왔는데 정경유착이 이어져오고 있다”며 “그 고리를 끊겠다고 다짐하세요”라고 목소리를 높였다.

하태경	하태경/NNP
의원은	의원/NNG+은/JX
1988년	1988/SN+년/NNB
5공화국	5/SN+공화국/NNG
당시	당시/NNG
청문회를	청문회/NNG+를/JKO
거론하며	거론/NNG+하/XSV+며/EC
“당시	“/SS+당시/NNG
청문회에	청문회/NNG+에/JKB
나왔던	나오/VV+았/EP+던/ETM
분들의	분/NNB+들/XSN+의/JKG
자제	자제/NNG
6명이	6/SN+명/NNB+이/JKS
또	또/MAG
(이번	(/SS+이번/NNG
청문회에)	청문회/NNG+에/JKB+)/SS
나왔는데	나오/VV+았/EP+는데/EC
정경유착이	정경/NNG+유착/NNG+이/JKS
이어져오고	이어지/VV+어/EC+오/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“그	“/SS+그/MMD
고리를	고리/NNG+를/JKO
끊겠다고	끊/VV+겠/EP+다고/EC
다짐하세요”라고	다짐/NNG+하/XSV+시/EP+어요/EF+”/SS+라고/JKQ
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.381.8.1
새누리당 간사인 이완영 의원은 대기업 총수를 대변하는 듯한 발언을 해 논란이 됐다.

새누리당	새누리당/NNP
간사인	간사/NNG+이/VCP+ㄴ/ETM
이완영	이완영/NNP
의원은	의원/NNG+은/JX
대기업	대/XPN+기업/NNG
총수를	총수/NNG+를/JKO
대변하는	대변/NNG+하/XSV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
발언을	발언/NNG+을/JKO
해	하/VV+아/EC
논란이	논란/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.381.8.2
이 의원은 오후 질의 직전 의사진행 발언에서 “정몽구 현대·기아차, 손경식 CJ, 김승연 한화그룹 회장은 병력과 고령으로 오래 있기 힘들다”며 귀가시키자고 요구했다.

이	이/NNP
의원은	의원/NNG+은/JX
오후	오후/NNG
질의	질의/NNG
직전	직전/NNG
의사진행	의사/NNG+진행/NNG
발언에서	발언/NNG+에서/JKB
“정몽구	“/SS+정몽구/NNP
현대·기아차,	현대/NNP+·/SP+기아차/NNP+,/SP
손경식	손경식/NNP
CJ,	CJ/SL+,/SP
김승연	김승연/NNP
한화그룹	한화그룹/NNP
회장은	회장/NNG+은/JX
병력과	병력/NNG+과/JC
고령으로	고령/NNG+으로/JKB
오래	오래/MAG
있기	있/VV+기/ETN
힘들다”며	힘들/VA+다/EF+”/SS+며/EC
귀가시키자고	귀가/NNG+시키/XSV+자고/EC
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.381.8.3
이 부회장에게는 “베트남에 간 걸(일자리) 3분의 1만 한국으로 오면 좋겠다”, 신동빈 롯데그룹 회장에게는 “국내 투자 많이 하고 있다고 해서 어느 분보다도 고맙단 말씀 드린다”고도 했다.

이	이/NNP
부회장에게는	부회장/NNG+에게/JKB+는/JX
“베트남에	“/SS+베트남/NNP+에/JKB
간	가/VV+ㄴ/ETM
걸(일자리)	거/NNB+ㄹ/JKO+(/SS+일자리/NNG+)/SS
3분의	3/SN+분/XSN+의/JKG
1만	1/SN+만/JX
한국으로	한국/NNP+으로/JKB
오면	오/VV+면/EC
좋겠다”,	좋/VA+겠/EP+다/EF+”/SS+,/SP
신동빈	신동빈/NNP
롯데그룹	롯데그룹/NNP
회장에게는	회장/NNG+에게/JKB+는/JX
“국내	“/SS+국내/NNG
투자	투자/NNG
많이	많이/MAG
하고	하/VV+고/EC
있다고	있/VX+다고/EC
해서	하/VV+아서/EC
어느	어느/MMD
분보다도	분/NNB+보다/JKB+도/JX
고맙단	고맙/VA+단/ETM
말씀	말씀/NNG
드린다”고도	드리/VV+ㄴ다/EF+”/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.381.8.4
이 의원은 증인이 아닌 참고인으로 출석한 주진형 전 한화증권 대표이사에게는 “민주당에 입당한 적이 있느냐” “임기 채우고 그만뒀는데 삼성물산 합병 관련해서 연임을 못 받았다고 생각하나”라는 등 논점에서 벗어난 질문을 하기도 했다.

이	이/NNP
의원은	의원/NNG+은/JX
증인이	증인/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
참고인으로	참고인/NNG+으로/JKB
출석한	출석/NNG+하/XSV+ㄴ/ETM
주진형	주진형/NNP
전	전/MMD
한화증권	한화증권/NNP
대표이사에게는	대표/NNG+이사/NNG+에게/JKB+는/JX
“민주당에	“/SS+민주당/NNP+에/JKB
입당한	입당/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있느냐”	있/VA+느냐/EF+”/SS
“임기	“/SS+임기/NNG
채우고	채우/VV+고/EC
그만뒀는데	그만두/VV+었/EP+는데/EC
삼성물산	삼성물산/NNP
합병	합병/NNG
관련해서	관련/NNG+하/XSV+아서/EC
연임을	연임/NNG+을/JKO
못	못/MAG
받았다고	받/VV+았/EP+다고/EC
생각하나”라는	생각/NNG+하/XSV+나/EF+”/SS+이/VCP+라는/ETM
등	등/NNB
논점에서	논점/NNG+에서/JKB
벗어난	벗어나/VV+ㄴ/ETM
질문을	질문/NNG+을/JKO
하기도	하/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.381.8.5
주 전 대표가 “국정 농단 의혹 사건과 무슨 상관이 있느냐”고 반박하자 오히려 주 전 대표의 퇴장을 요구해 소란을 빚었다.

주	주/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
“국정	“/SS+국정/NNG
농단	농단/NNG
의혹	의혹/NNG
사건과	사건/NNG+과/JKB
무슨	무슨/MMD
상관이	상관/NNG+이/JKS
있느냐”고	있/VA+느냐/EF+”/SS+고/JKQ
반박하자	반박/NNG+하/XSV+자/EC
오히려	오히려/MAG
대표의	대표/NNG+의/JKG
퇴장을	퇴장/NNG+을/JKO
요구해	요구/NNG+하/XSV+아/EC
소란을	소란/NNG+을/JKO
빚었다.	빚/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.381.9.1
최순실 게이트와 무관한 질의도 쏟아졌다.

최순실	최순실/NNP
게이트와	게이트/NNG+와/JKB
무관한	무관하/VA+ㄴ/ETM
질의도	질의/NNG+도/JX
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.381.9.2
정의당 윤소하 의원은 ‘이재용 구속’이 적힌 촛불집회 피켓을 들어 보이며 이 부회장에게 삼성반도체 백혈병 사건의 책임을 따져 물은 뒤 비정규직의 정규직화를 호소하기도 했다.

정의당	정의당/NNP
윤소하	윤소하/NNP
의원은	의원/NNG+은/JX
‘이재용	‘/SS+이재용/NNP
구속’이	구속/NNG+’/SS+이/JKS
적힌	적히/VV+ㄴ/ETM
촛불집회	촛불/NNG+집회/NNG
피켓을	피켓/NNG+을/JKO
들어	들/VV+어/EC
보이며	보이/VV+며/EC
이	이/NNP
부회장에게	부회장/NNG+에게/JKB
삼성반도체	삼성반도체/NNP
백혈병	백혈병/NNG
사건의	사건/NNG+의/JKG
책임을	책임/NNG+을/JKO
따져	따지/VV+어/EC
물은	묻/VV+은/ETM
뒤	뒤/NNG
비정규직의	비/XPN+정규직/NNG+의/JKG
정규직화를	정규직/NNG+화/XSN+를/JKO
호소하기도	호소/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.381.9.3
새누리당 정유섭 의원은 신동빈 회장에게 “며느리 국적이 어디냐” “부인 국적이 어디냐”라고 개인적인 신상을 캐묻기도 했다.

새누리당	새누리당/NNP
정유섭	정유섭/NNP
의원은	의원/NNG+은/JX
신동빈	신동빈/NNP
회장에게	회장/NNG+에게/JKB
“며느리	“/SS+며느리/NNG
국적이	국적/NNG+이/JKS
어디냐”	어디/NP+이/VCP+냐/EF+”/SS
“부인	“/SS+부인/NNG
어디냐”라고	어디/NP+이/VCP+냐/EF+”/SS+라고/JKQ
개인적인	개인/NNG+적/XSN+이/VCP+ㄴ/ETM
신상을	신상/NNG+을/JKO
캐묻기도	캐/VV+어/EC+묻/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


