# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.83
metadata : {}


# id : NWRW1800000041.83.1.1
[CEO&]63년 물류 외길 ‘경제의 핏줄’ 책임진다

[CEO&]63년	[/SS+CEO/SL+&/SW+]/SS+63/SN+년/NNB
이사장을	이사장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
심	심/NNP
대표는	대표/NNG+는/JX
최근	최근/MAG
현대글로비스가	현대글로비스/NNP+가/JKS
출연해	출연/NNG+하/XSV+아/EC
설립한	설립/NNG+하/XSV+ㄴ/ETM
‘물류산업진흥재단(이하	‘/SS+물류산업진흥재단/NNP+(/SS+이하/NNG
물류재단)’의	물류재단/NNP+)/SS+’/SS+의/JKG
초대	초대/NNG
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.83.4.3
지난해 12월 출범한 물류재단은 중소물류업체의 경쟁력 강화를 위해 교육·컨설팅 지원, 물류정책연구, 상생협력 사업을 펼친다는 계획을 갖고 있다.

지난해	지난해/NNG
12월	12/SN+월/NNB
출범한	출범/NNG+하/XSV+ㄴ/ETM
물류재단은	물류재단/NNP+은/JX
중소물류업체의	중소/NNG+물류업체/NNG+의/JKG
경쟁력	경쟁력/NNG
강화를	강화/NNG+를/JKO
위해	위하/VV+아/EC
교육·컨설팅	교육/NNG+·/SP+컨설팅/NNG
지원,	지원/NNG+,/SP
물류정책연구,	물류/NNG+정책/NNG+연구/NNG+,/SP
상생협력	상생/NNG+협력/NNG
사업을	사업/NNG+을/JKO
펼친다는	펼치/VV+ㄴ다는/ETM
계획을	계획/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.83.5.1
심 대표는 초대 이사장으로 선임돼 앞으로 3년간 물류산업 발전의 초석을 다져나갈 방침이다.

심	심/NNP
대표는	대표/NNG+는/JX
초대	초대/NNG
이사장으로	이사장/NNG+으로/JKB
선임돼	선임/NNG+되/XSV+어/EC
앞으로	앞/NNG+으로/JKB
3년간	3/SN+년/NNB+간/XSN
물류산업	물류/NNG+산업/NNG
발전의	발전/NNG+의/JKG
초석을	초석/NNG+을/JKO
다져나갈	다지/VV+어/EC+나가/VX+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.83.5.2
이에 앞서 심 대표는 인천시를 동북아 물류허브로 만드는데 큰 공을 세워 2009년 제5회 인천물류발전대상을 수상하였으며 지난해 11월에는 운송 및 물류전문화에 기여한 공로로 ‘제27회 육운의 날’에 은탑산업훈장을 받기도 했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
심	심/NNP
대표는	대표/NNG+는/JX
인천시를	인천시/NNP+를/JKO
동북아	동북아/NNP
물류허브로	물류/NNG+허브/NNG+로/JKB
만드는데	만들/VV+는데/EC
큰	크/VA+ㄴ/ETM
공을	공/NNG+을/JKO
세워	세우/VV+어/EC
2009년	2009/SN+년/NNB
제5회	제/XPN+5/SN+회/NNB
인천물류발전대상을	인천/NNP+물류/NNG+발전/NNG+대상/NNG+을/JKO
수상하였으며	수상/NNG+하/XSV+았/EP+으며/EC
지난해	지난해/NNG
11월에는	11/SN+월/NNB+에/JKB+는/JX
운송	운송/NNG
및	및/MAG
물류전문화에	물류/NNG+전문/NNG+화/XSN+에/JKB
기여한	기여/NNG+하/XSV+ㄴ/ETM
공로로	공로/NNG+로/JKB
‘제27회	‘/SS+제/XPN+27/SN+회/NNB
육운의	육운/NNG+의/JKG
날’에	날/NNG+’/SS+에/JKB
은탑산업훈장을	은탑/NNG+산업/NNG+훈장/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.83.6.1
공성운수㈜는 인천의 대표적인 물류기업이다.

공성운수㈜는	공성운수/NNP+㈜/SW+는/JX
인천의	인천/NNP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
물류기업이다.	물류/NNG+기업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.83.6.2
1951년부터 운송 사업을 시작했으며, 1981년 국내 최초로 낙곡과 날림먼지를 예방하는 사료운반전용트레일러를 직접 설계하여 운행하고 있다.

1951년부터	1951/SN+년/NNB+부터/JX
운송	운송/NNG
사업을	사업/NNG+을/JKO
시작했으며,	시작/NNG+하/XSV+았/EP+으며/EC+,/SP
1981년	1981/SN+년/NNB
국내	국내/NNG
최초로	최초/NNG+로/JKB
낙곡과	낙곡/NNG+과/JC
날림먼지를	날리/VV+ㅁ/ETN+먼지/NNG+를/JKO
예방하는	예방/NNG+하/XSV+는/ETM
사료운반전용트레일러를	사료/NNG+운반/NNG+전용/NNG+트레일러/NNG+를/JKO
직접	직접/MAG
설계하여	설계/NNG+하/XSV+아/EC
운행하고	운행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.83.6.3
화물차 11대로 시작한 이 회사는 현재, 국내 최대 규모의 카고트럭 및 덤프트럭, 트랙터와 사료운반전용트레일러 등 310여대의 대형 및 특수차량을 보유하고 있다.

화물차	화물차/NNG
11대로	11/SN+대/NNB+로/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
이	이/MMD
회사는	회사/NNG+는/JX
현재,	현재/NNG+,/SP
국내	국내/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
카고트럭	카고/NNG+트럭/NNG
및	및/MAG
덤프트럭,	덤프트럭/NNG+,/SP
트랙터와	트랙터/NNG+와/JC
사료운반전용트레일러	사료/NNG+운반/NNG+전용/NNG+트레일러/NNG
등	등/NNB
310여대의	310/SN+여/XSN+대/NNB+의/JKG
대형	대형/NNG
특수차량을	특수/NNG+차량/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.83.7.1
지난해 매출은 150억, 올해 목표는 200억 원이다.

지난해	지난해/NNG
매출은	매출/NNG+은/JX
150억,	150/SN+억/NR+,/SP
올해	올해/NNG
목표는	목표/NNG+는/JX
200억	200/SN+억/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.83.7.2
반세기가 넘게 물류운송에 매진해온 공성운수㈜는 현대·기아차를 비롯해 동아원 외 식품 및 사료 제조사 등 25여개 업체와 무려 40여 년간 협력회사로 물류를 책임질 만큼 신용을 쌓고 있다.

반세기가	반세기/NNG+가/JKS
넘게	넘/VV+게/EC
물류운송에	물류/NNG+운송/NNG+에/JKB
매진해온	매진/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
공성운수㈜는	공성운수/NNP+㈜/SW+는/JX
현대·기아차를	현대/NNP+·/SP+기아차/NNP+를/JKO
비롯해	비롯하/VV+아/EC
동아원	동아원/NNP
외	외/NNB
식품	식품/NNG
및	및/MAG
사료	사료/NNG
제조사	제조사/NNG
등	등/NNB
25여개	25/SN+여/XSN+개/NNB
업체와	업체/NNG+와/JKB
무려	무려/MAG
40여	40/SN+여/XSN
년간	년/NNB+간/XSN
협력회사로	협력/NNG+회사/NNG+로/JKB
물류를	물류/NNG+를/JKO
책임질	책임지/VV+ㄹ/ETM
만큼	만큼/NNB
신용을	신용/NNG+을/JKO
쌓고	쌓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.83.8.1
심 대표는 “고유가 부담으로 인한 운송비 상승이 고스란히 물류업체에게 전가되고 있어 물류시장이 황폐해지고 있다”며 “기름값 부담과 더불어 신차구입비 및 차량관리비로 타이어, 오일, 기타 차량유지비도 연일 인상되고 있는데 반해 운임은 제자리걸음이어서 비용 상승 보전 등 정책의 재정비가 시급하다”고 현장의 목소리를 전했다.

심	심/NNP
대표는	대표/NNG+는/JX
“고유가	“/SS+고/XPN+유가/NNG
부담으로	부담/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
운송비	운송비/NNG
상승이	상승/NNG+이/JKS
고스란히	고스란히/MAG
물류업체에게	물류업체/NNG+에게/JKB
전가되고	전가/NNG+되/XSV+고/EC
있어	있/VX+어/EC
물류시장이	물류/NNG+시장/NNG+이/JKS
황폐해지고	황폐/NNG+하/XSV+아/EC+지/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“기름값	“/SS+기름값/NNG
부담과	부담/NNG+과/JKB
더불어	더불/VV+어/EC
신차구입비	신차/NNG+구입비/NNG
및	및/MAG
차량관리비로	차량/NNG+관리비/NNG+로/JKB
타이어,	타이어/NNG+,/SP
오일,	오일/NNG+,/SP
기타	기타/NNG
차량유지비도	차량/NNG+유지비/NNG+도/JX
연일	연일/MAG
인상되고	인상/NNG+되/XSV+고/EC
있는데	있/VX+는데/EC
반해	반하/VV+아/EC
운임은	운임/NNG+은/JX
제자리걸음이어서	제자리걸음/NNG+이/VCP+어서/EC
비용	비용/NNG
상승	상승/NNG
보전	보전/NNG
등	등/NNB
정책의	정책/NNG+의/JKG
재정비가	재/XPN+정비/NNG+가/JKS
시급하다”고	시급하/VA+다/EF+”/SS+고/JKQ
현장의	현장/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


