# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.376
metadata : {}


# id : NWRW1800000032.376.1.1
“체제 인정하고, 권력승계는 비판 견해 존중” / 북한 문구 ‘어정쩡 봉합’

“체제	“/SS+체제/NNG
반영되는	반영/NNG+되/XSV+는/ETM
선에서	선/NNG+에서/JKB
최종	최종/NNG
합의문이	합의문/NNG+이/JKS
완성됐다.	완성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.376.7.2
하지만 이 합의 조항에 대한 진보신당 당원들의 반발이 거세, 6월 말 전당대회 인준 과정에서 진통이 예상된다.

하지만	하지만/MAJ
이	이/MMD
합의	합의/NNG
조항에	조항/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
진보신당	진보신당/NNP
당원들의	당원/NNG+들/XSN+의/JKG
반발이	반발/NNG+이/JKS
거세,	거세/VA+어/EC+,/SP
6월	6/SN+월/NNB
말	말/NNB
전당대회	전당/NNG+대회/NNG
인준	인준/NNG
과정에서	과정/NNG+에서/JKB
진통이	진통/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


