# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000034.289
metadata : {}


# id : NWRW1800000034.289.1.1
기고자: [조선데스크] '자폐아 아빠'의 집중력

기고자:	기고자/NNG+:/SP
"태어난 지 2년 정도 지났을 때예요.

"태어난	"/SS+태어나/VV+ㄴ/ETM
지	지/NNB
2년	2/SN+년/NNB
정도	정도/NNG
지났을	지나/VV+았/EP+을/ETM
때예요.	때/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000034.289.3.2
처음엔 말문이 늦게 트인다고 생각했는데 뭔가 느낌이 달랐어요.

처음엔	처음/NNG+에/JKB+ㄴ/JX
말문이	말문/NNG+이/JKS
늦게	늦/VA+게/EC
트인다고	트이/VV+ㄴ다고/EC
생각했는데	생각/NNG+하/XSV+았/EP+는데/EC
뭔가	뭐/NP+이/VCP+ㄴ가/EF
느낌이	느낌/NNG+이/JKS
달랐어요.	다르/VA+았/EP+어요/EF+./SF


# id : NWRW1800000034.289.3.3
인터넷을 찾아보니 자폐증 증세와 비슷한 점을 발견했죠.

인터넷을	인터넷/NNG+을/JKO
찾아보니	찾아보/VV+니/EC
자폐증	자폐증/NNG
증세와	증세/NNG+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
점을	점/NNG+을/JKO
발견했죠.	발견/NNG+하/XSV+았/EP+죠/EF+./SF


# id : NWRW1800000034.289.3.4
그래서 아내와 함께 여러 병원을 돌아다녔는데 진단이 다 제각각이었고 그래서 더 괴로웠죠…." 그는 얼마 뒤 요트를 타다 대형사고로 무릎을 다쳐 골프 인생의 내리막길을 걸었다.

그래서	그래서/MAJ
아내와	아내/NNG+와/JKB
함께	함께/MAG
여러	여러/MMN
병원을	병원/NNG+을/JKO
돌아다녔는데	돌아다니/VV+었/EP+는데/EC
진단이	진단/NNG+이/JKS
다	다/MAG
제각각이었고	제각각/NNG+이/VCP+었/EP+고/EC
더	더/MAG
괴로웠죠…."	괴롭/VA+었/EP+죠/EF+…/SE+./SF+"/SS
그는	그/NP+는/JX
얼마	얼마/NNG
뒤	뒤/NNG
요트를	요트/NNG+를/JKO
타다	타/VV+다/EC
대형사고로	대형/NNG+사고/NNG+로/JKB
무릎을	무릎/NNG+을/JKO
다쳐	다치/VV+어/EC
골프	골프/NNG
인생의	인생/NNG+의/JKG
내리막길을	내리막길/NNG+을/JKO
걸었다.	걷/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.289.4.1
키 191㎝의 거구에 스윙이 물 흐르듯 부드럽다고 해서 '빅 이지(big easy)'라는 별명으로 불리는 엘스는 인생도 술술 풀리던 사람이었다.

키	키/NNG
191㎝의	191/SN+㎝/SW+의/JKG
거구에	거구/NNG+에/JKB
스윙이	스윙/NNG+이/JKS
물	물/NNG
흐르듯	흐르/VV+듯/EC
부드럽다고	부드럽/VA+다고/EC
해서	하/VV+아서/EC
'빅	'/SS+빅/NNG
이지(big	이지/NNG+(/SS+big/SL
easy)'라는	easy/SL+)/SS+'/SS+이/VCP+라는/ETM
별명으로	별명/NNG+으로/JKB
불리는	불리/VV+는/ETM
엘스는	엘스/NNP+는/JX
인생도	인생/NNG+도/JX
술술	술술/MAG
풀리던	풀리/VV+던/ETM
사람이었다.	사람/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000034.289.4.2
타고난 재능과 노력으로 1년에 수백만달러를 벌어들이는 정상급 골퍼가 됐고, 다정한 아내에 와인 사업도 크게 벌였다.

타고난	타고나/VV+ㄴ/ETM
재능과	재능/NNG+과/JC
노력으로	노력/NNG+으로/JKB
1년에	1/SN+년/NNB+에/JKB
수백만달러를	수백만/NR+달러/NNB+를/JKO
벌어들이는	벌어들이/VV+는/ETM
정상급	정상급/NNG
골퍼가	골퍼/NNG+가/JKC
됐고,	되/VV+었/EP+고/EC+,/SP
다정한	다정/NNG+하/XSA+ㄴ/ETM
아내에	아내/NNG+에/JKB
와인	와인/NNG
사업도	사업/NNG+도/JX
크게	크/VA+게/EC
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.289.4.3
큰딸은 머리도 좋아 늘 A학점만 받아왔다.

큰딸은	큰딸/NNG+은/JX
머리도	머리/NNG+도/JX
좋아	좋/VA+아/EC
늘	늘/MAG
A학점만	A/SL+학점/NNG+만/JX
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000034.289.4.4
주변의 부러움을 살 만한 인생이었다.

주변의	주변/NNG+의/JKG
부러움을	부러움/NNG+을/JKO
살	사/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
인생이었다.	인생/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000034.289.4.5
하지만 마흔두 살이 돼서 그가 10년 만에 다시 메이저 대회인 브리티시오픈에서 우승할 수 있었던 것은 어쩌면 아들 벤의 힘이었다.

하지만	하지만/MAJ
마흔두	마흔두/MMN
살이	살/NNB+이/JKC
돼서	되/VV+어서/EC
그가	그/NP+가/JKS
10년	10/SN+년/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
메이저	메이저/NNG
대회인	대회/NNG+이/VCP+ㄴ/ETM
브리티시오픈에서	브리티시/NNP+오픈/NNG+에서/JKB
우승할	우승/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
어쩌면	어쩌면/MAG
아들	아들/NNG
벤의	벤/NNP+의/JKG
힘이었다.	힘/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000034.289.5.1
이제 아홉 살이 된 벤이 가장 좋아하는 것은 아빠가 골프 스윙을 하는 모습을 옆에서 지켜보는 것이라고 했다.

이제	이제/MAG
아홉	아홉/NR
살이	살/NNB+이/JKC
된	되/VV+ㄴ/ETM
벤이	벤/NNP+이/JKS
가장	가장/MAG
좋아하는	좋아하/VV+는/ETM
것은	것/NNB+은/JX
아빠가	아빠/NNG+가/JKS
골프	골프/NNG
스윙을	스윙/NNG+을/JKO
하는	하/VV+는/ETM
모습을	모습/NNG+을/JKO
옆에서	옆/NNG+에서/JKB
지켜보는	지켜보/VV+는/ETM
것이라고	것/NNB+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.289.5.2
골프 클럽이 공을 때리는 소리, 그 순간 아빠의 표정, 공이 날아가는 궤적을 몰입해서 바라보면서 벤은 더 없이 행복한 표정을 짓곤 했다.

골프	골프/NNG
클럽이	클럽/NNG+이/JKS
공을	공/NNG+을/JKO
때리는	때리/VV+는/ETM
소리,	소리/NNG+,/SP
그	그/MMD
순간	순간/NNG
아빠의	아빠/NNG+의/JKG
표정,	표정/NNG+,/SP
공이	공/NNG+이/JKS
날아가는	날아가/VV+는/ETM
궤적을	궤적/NNG+을/JKO
몰입해서	몰입/NNG+하/XSV+아서/EC
바라보면서	바라보/VV+면서/EC
벤은	벤/NNP+은/JX
더	더/MAG
없이	없이/MAG
행복한	행복/NNG+하/XSA+ㄴ/ETM
표정을	표정/NNG+을/JKO
짓곤	짓/VV+곤/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000034.289.5.3
그 뒤로 엘스에게 골프는 다른 무엇보다도 '아이에게 웃음을 주는 아빠의 소중한 시간'이 됐다.

그	그/MMD
뒤로	뒤/NNG+로/JKB
엘스에게	엘스/NNP+에게/JKB
골프는	골프/NNG+는/JX
다른	다른/MMD
무엇보다도	무엇/NP+보다/JKB+도/JX
'아이에게	'/SS+아이/NNG+에게/JKB
웃음을	웃음/NNG+을/JKO
주는	주/VV+는/ETM
아빠의	아빠/NNG+의/JKG
소중한	소중하/VA+ㄴ/ETM
시간'이	시간/NNG+'/SS+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.289.5.4
골프백에는 자폐증에 대한 인식 확대와 연구 증진을 목표로 하는 단체 'Autism Speaks'의 로고를 붙였고 자선골프 대회도 매년 열고 있다.

골프백에는	골프/NNG+백/NNG+에/JKB+는/JX
자폐증에	자폐증/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식	인식/NNG
확대와	확대/NNG+와/JC
연구	연구/NNG
증진을	증진/NNG+을/JKO
목표로	목표/NNG+로/JKB
하는	하/VV+는/ETM
단체	단체/NNG
'Autism	'/SS+Autism/SL
Speaks'의	Speaks/SL+'/SS+의/JKG
로고를	로고/NNG+를/JKO
붙였고	붙이/VV+었/EP+고/EC
자선골프	자선/NNG+골프/NNG
대회도	대회/NNG+도/JX
매년	매년/MAG
열고	열/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000034.289.6.1
엘스는 강풍이 몰아친 브리티시오픈의 바닷가 골프장 마지막 몇 홀에서 전성기 시절보다도 더 뛰어난 경기를 했다.

엘스는	엘스/NNP+는/JX
강풍이	강풍/NNG+이/JKS
몰아친	몰아치/VV+ㄴ/ETM
브리티시오픈의	브리티시/NNP+오픈/NNG+의/JKG
바닷가	바닷가/NNG
골프장	골프장/NNG
마지막	마지막/NNG
몇	몇/NR
홀에서	홀/NNG+에서/JKB
전성기	전성기/NNG
시절보다도	시절/NNG+보다/JKB+도/JX
더	더/MAG
뛰어난	뛰어나/VA+ㄴ/ETM
경기를	경기/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.289.6.2
"대회장에 함께 오지 못한 벤이 TV로 아빠의 모습을 지켜보면서 즐거워하는 모습을 생각하며 경기했다"고 했다.

"대회장에	"/SS+대회장/NNG+에/JKB
함께	함께/MAG
오지	오/VV+지/EC
못한	못하/VX+ㄴ/ETM
벤이	벤/NNP+이/JKS
TV로	TV/SL+로/JKB
아빠의	아빠/NNG+의/JKG
모습을	모습/NNG+을/JKO
지켜보면서	지켜보/VV+면서/EC
즐거워하는	즐거워하/VV+는/ETM
생각하며	생각/NNG+하/XSV+며/EC
경기했다"고	경기/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.289.6.3
그보다 더 좋은 성적으로 출발한 선수들이 꼭 우승하고 싶다는 중압감으로 모두 뒷걸음친 그곳에서 아들이 행복해하는 모습을 기대하면서 눈앞의 공 하나에만 집중했던 엘스는 마지막 순간 우승컵의 주인공이 됐다.

그보다	그/NP+보다/JKB
더	더/MAG
좋은	좋/VA+은/ETM
성적으로	성적/NNG+으로/JKB
출발한	출발/NNG+하/XSV+ㄴ/ETM
선수들이	선수/NNG+들/XSN+이/JKS
꼭	꼭/MAG
우승하고	우승/NNG+하/XSV+고/EC
싶다는	싶/VX+다는/ETM
중압감으로	중압감/NNG+으로/JKB
모두	모두/MAG
뒷걸음친	뒷걸음치/VV+ㄴ/ETM
그곳에서	그곳/NP+에서/JKB
아들이	아들/NNG+이/JKS
행복해하는	행복/NNG+하/XSA+아/EC+하/VX+는/ETM
모습을	모습/NNG+을/JKO
기대하면서	기대/NNG+하/XSV+면서/EC
눈앞의	눈앞/NNG+의/JKG
공	공/NNG
하나에만	하나/NR+에/JKB+만/JX
집중했던	집중/NNG+하/XSV+았/EP+던/ETM
엘스는	엘스/NNP+는/JX
마지막	마지막/NNG
순간	순간/NNG
우승컵의	우승컵/NNG+의/JKG
주인공이	주인공/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.289.6.4
그는 우승보다도 아들에게 기쁨을 줄 수 있었던 것을 더 기뻐했다.

그는	그/NP+는/JX
우승보다도	우승/NNG+보다/JKB+도/JX
아들에게	아들/NNG+에게/JKB
기쁨을	기쁨/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것을	것/NNB+을/JKO
더	더/MAG
기뻐했다.	기뻐하/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.289.7.1
이번 런던올림픽에는 엘스 못지않게 수많은 난관을 뚫고 온 세계의 올림피안들이 자리를 빛낼 것이다.

이번	이번/NNG
런던올림픽에는	런던/NNP+올림픽/NNG+에/JKB+는/JX
엘스	엘스/NNP
못지않게	못지않/VA+게/EC
수많은	수많/VA+은/ETM
난관을	난관/NNG+을/JKO
뚫고	뚫/VV+고/EC
온	오/VX+ㄴ/ETM
세계의	세계/NNG+의/JKG
올림피안들이	올림피안/NNG+들/XSN+이/JKS
자리를	자리/NNG+를/JKO
빛낼	빛내/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000034.289.7.2
갖가지 어려움 속에서도 힘겹게 4년을 준비하며 달려온 선수들의 눈물과 땀, 그리고 그들을 지탱해 준 정신적 힘이 세계를 감동시키는 명장면으로 이어지는 모습을 보고 싶다.

갖가지	갖가지/NNG
어려움	어려움/NNG
속에서도	속/NNG+에서/JKB+도/JX
힘겹게	힘겹/VA+게/EC
4년을	4/SN+년/NNB+을/JKO
준비하며	준비/NNG+하/XSV+며/EC
달려온	달려오/VV+ㄴ/ETM
선수들의	선수/NNG+들/XSN+의/JKG
눈물과	눈물/NNG+과/JC
땀,	땀/NNG+,/SP
그리고	그리고/MAJ
그들을	그/NP+들/XSN+을/JKO
지탱해	지탱/NNG+하/XSV+아/EC
준	주/VX+ㄴ/ETM
정신적	정신/NNG+적/XSN
힘이	힘/NNG+이/JKS
세계를	세계/NNG+를/JKO
감동시키는	감동/NNG+시키/XSV+는/ETM
명장면으로	명장면/NNG+으로/JKB
이어지는	이어지/VV+는/ETM
모습을	모습/NNG+을/JKO
보고	보/VV+고/EC
싶다.	싶/VX+다/EF+./SF


