# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.155
metadata : {}


# id : NWRW1800000038.155.1.1
前국정원 직원 부부, 기업대표 협박… 산 주식 10배에 강매

前국정원	前/SH+국정원/NNG
양씨는	양/NNP+씨/NNB+는/JX
안씨	안/NNP+씨/NNB
부부로부터	부부/NNG+로부터/JKB
7000만원을	7000/SN+만/NR+원/NNB+을/JKO
투자받고	투자/NNG+받/XSV+고/EC
회사	회사/NNG
주식	주식/NNG
3500주를	3500/SN+주/NNG+를/JKO
파는	팔/VV+는/ETM
등	등/NNB
좋은	좋/VA+은/ETM
사이를	사이/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.155.3.3
그런데 안씨 부부는 2002년 양씨가 홈쇼핑에 진출하고 코스닥 상장을 준비하자 돌변했다.

그런데	그런데/MAJ
안씨	안/NNP+씨/NNB
부부는	부부/NNG+는/JX
2002년	2002/SN+년/NNB
양씨가	양/NNP+씨/NNB+가/JKS
홈쇼핑에	홈쇼핑/NNG+에/JKB
진출하고	진출/NNG+하/XSV+고/EC
코스닥	코스닥/NNP
상장을	상장/NNG+을/JKO
준비하자	준비/NNG+하/XSV+자/EC
돌변했다.	돌변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.155.3.4
안씨 부부는 "유상증자 과정에서 왜 우리를 배제했느냐"는 등의 이유로 트집을 잡더니 자기들이 산 3500주를 매입 가격의 10배도 넘는 10억원에 되사라고 양씨에게 요구했다.

안씨	안/NNP+씨/NNB
부부는	부부/NNG+는/JX
"유상증자	"/SS+유상/NNG+증자/NNG
과정에서	과정/NNG+에서/JKB
왜	왜/MAG
우리를	우리/NP+를/JKO
배제했느냐"는	배제/NNG+하/XSV+았/EP+느냐/EF+"/SS+는/ETM
등의	등/NNB+의/JKG
이유로	이유/NNG+로/JKB
트집을	트집/NNG+을/JKO
잡더니	잡/VV+더니/EC
자기들이	자기/NNG+들/XSN+이/JKS
산	사/VV+ㄴ/ETM
3500주를	3500/SN+주/NNG+를/JKO
매입	매입/NNG
가격의	가격/NNG+의/JKG
10배도	10/SN+배/NNG+도/JX
넘는	넘/VV+는/ETM
10억원에	10/SN+억/NR+원/NNB+에/JKB
되사라고	되사/VV+라고/EC
양씨에게	양/NNP+씨/NNB+에게/JKB
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.155.4.1
양씨가 거부하자 안씨는 "나는 국정원에서 잔뼈가 굵은 사람이다. 정상적으로 코스닥에 상장할 수 있을 것 같으냐"고 협박했다.

양씨가	양/NNP+씨/NNB+가/JKS
거부하자	거부/NNG+하/XSV+자/EC
안씨는	안/NNP+씨/NNB+는/JX
"나는	"/SS+나/NP+는/JX
국정원에서	국정원/NNG+에서/JKB
잔뼈가	잔뼈/NNG+가/JKS
굵은	굵/VA+은/ETM
사람이다.	사람/NNG+이/VCP+다/EF+./SF
정상적으로	정상/NNG+적/XSN+으로/JKB
코스닥에	코스닥/NNP+에/JKB
상장할	상장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
같으냐"고	같/VA+으냐/EF+"/SS+고/JKQ
협박했다.	협박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.155.4.2
이에 양씨는 결국 8억원을 건넸다.

이에	이/NP+에/JKB
양씨는	양/NNP+씨/NNB+는/JX
결국	결국/MAG
8억원을	8/SN+억/NR+원/NNB+을/JKO
건넸다.	건네/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.155.4.3
재판부는 "양씨가 주식을 되산 것은 협박 때문이고 계약은 불공정 행위여서 무효"라고 밝혔다.

재판부는	재판부/NNG+는/JX
"양씨가	"/SS+양/NNP+씨/NNB+가/JKS
주식을	주식/NNG+을/JKO
되산	되사/VV+ㄴ/ETM
것은	것/NNB+은/JX
협박	협박/NNG
때문이고	때문/NNB+이/VCP+고/EC
계약은	계약/NNG+은/JX
불공정	불/XPN+공정/NNG
행위여서	행위/NNG+이/VCP+어서/EC
무효"라고	무효/NNG+"/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.155.4.4
안씨 부부는 앞서 형사재판에서도 유죄선고를 받았다.

안씨	안/NNP+씨/NNB
부부는	부부/NNG+는/JX
앞서	앞서/MAG
형사재판에서도	형사/NNG+재판/NNG+에서/JKB+도/JX
유죄선고를	유죄/NNG+선고/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


