# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.422
metadata : {}


# id : NWRW1800000021.422.1.1
■4强대사 모두 非직업외교관… 측근 배치 ‘힘 싣기’… 낯선 업무 부담도

■4强대사	■/SW+4/SN+强/SH+대사/NNG
대통령의	대통령/NNG+의/JKG
의중을	의중/NNG+을/JKO
잘	잘/MAG
아는	알/VV+는/ETM
측근	측근/NNG
기용이라는	기용/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
4강	4/SN+강/NNB
강화	강화/NNG
차원이라고	차원/NNG+이/VCP+라고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.422.4.2
그러나 외교 업무에 필요한 자질이 검증되지 않았다는 부담이 적지 않다는 지적도 나온다.

그러나	그러나/MAJ
외교	외교/NNG
업무에	업무/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
자질이	자질/NNG+이/JKS
검증되지	검증/NNG+되/XSV+지/EC
않았다는	않/VX+았/EP+다는/ETM
부담이	부담/NNG+이/JKS
적지	적/VA+지/EC
않다는	않/VX+다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.422.5.1
한편 주러 대사에 현 정부의 산업 에너지 등 실물경제정책을 총괄했던 이 전 장관이 내정됨으로써 러시아와 추진 중인 가스·철도사업 등이 탄력을 받을 것으로 정부 당국자들은 기대했다.

한편	한편/MAG
주러	주러/NNG
대사에	대사/NNG+에/JKB
현	현/MMD
정부의	정부/NNG+의/JKG
산업	산업/NNG
에너지	에너지/NNG
등	등/NNB
실물경제정책을	실물/NNG+경제/NNG+정책/NNG+을/JKO
총괄했던	총괄/NNG+하/XSV+았/EP+던/ETM
이	이/NNP
전	전/MMD
장관이	장관/NNG+이/JKS
내정됨으로써	내정/NNG+되/XSV+ㅁ/ETN+으로써/JKB
러시아와	러시아/NNP+와/JC
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
가스·철도사업	가스/NNG+·/SP+철도/NNG+사업/NNG
등이	등/NNB+이/JKS
탄력을	탄력/NNG+을/JKO
받을	받/VV+을/ETM
것으로	것/NNB+으로/JKB
정부	정부/NNG
당국자들은	당국자/NNG+들/XSN+은/JX
기대했다.	기대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.422.6.1
○ 이윤호 주러 대사 △대전(61) △대전고, 연세대 정외과, 미국 위스콘신메디슨대(경제학박사) △LG경제연구원장, 전국경제인연합회 부회장, 지식경제부 장관

○	○/SW
이윤호	이윤호/NNP
주러	주러/NNG
대사	대사/NNG
△대전(61)	△/SW+대전/NNP+(/SS+61/SN+)/SS
△대전고,	△/SW+대전고/NNP+,/SP
연세대	연세대/NNP
정외과,	정외과/NNG+,/SP
미국	미국/NNP
위스콘신메디슨대(경제학박사)	위스콘신메디슨대/NNP+(/SS+경제학/NNG+박사/NNG+)/SS
△LG경제연구원장,	△/SW+LG/SL+경제/NNG+연구원장/NNG+,/SP
전국경제인연합회	전국경제인연합회/NNP
부회장,	부회장/NNG+,/SP
지식경제부	지식/NNG+경제부/NNG
장관	장관/NNG


# id : NWRW1800000021.422.7.1
■ 외교1차관 신각수 외교2차관 천영우 금융위 부위원장 권혁세

■	■/SW
외교1차관	외교/NNG+1/SN+차관/NNG
신각수	신각수/NNP
외교2차관	외교/NNG+2/SN+차관/NNG
천영우	천영우/NNP
금융위	금융위/NNG
부위원장	부위원장/NNG
권혁세	권혁세/NNP


# id : NWRW1800000021.422.8.1
이명박 대통령은 13일 외교통상부 1, 2차관 등 차관급 인사 6명을 내정했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
13일	13/SN+일/NNB
외교통상부	외교/NNG+통상부/NNG
1,	1/SN+,/SP
2차관	2/SN+차관/NNG
등	등/NNB
차관급	차관급/NNG
인사	인사/NNG
6명을	6/SN+명/NNB+을/JKO
내정했다.	내정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.422.8.2
외교부 1차관에는 신각수 제2차관(54)이, 제2차관에는 천영우 주영국 대사(57)가 발탁됐다.

외교부	외교부/NNG
1차관에는	1/SN+차관/NNG+에/JKB+는/JX
신각수	신각수/NNP
제2차관(54)이,	제/XPN+2/SN+차관/NNG+(/SS+54/SN+)/SS+이/JKS+,/SP
제2차관에는	제/XPN+2/SN+차관/NNG+에/JKB+는/JX
천영우	천영우/NNP
주영국	주영국/NNG
대사(57)가	대사/NNG+(/SS+57/SN+)/SS+가/JKS
발탁됐다.	발탁/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.422.8.3
이창룡 G20정상회의 준비위원회 기획조정단장의 사퇴로 공석이 된 금융위원회 부위원장에는 권혁세 금융위 사무처장(53)이 뒤를 잇게 됐다.

이창룡	이창룡/NNP
G20정상회의	G/SL+20/SN+정상/NNG+회의/NNG
준비위원회	준비/NNG+위원회/NNG
기획조정단장의	기획/NNG+조정단장/NNG+의/JKG
사퇴로	사퇴/NNG+로/JKB
공석이	공석/NNG+이/JKC
된	되/VV+ㄴ/ETM
금융위원회	금융/NNG+위원회/NNG
부위원장에는	부위원장/NNG+에/JKB+는/JX
권혁세	권혁세/NNP
금융위	금융위/NNG
사무처장(53)이	사무처장/NNG+(/SS+53/SN+)/SS+이/JKS
뒤를	뒤/NNG+를/JKO
잇게	잇/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.422.9.1
또 이 대통령은 평안남도 지사에는 박용옥 세종연구소 연구위원(67)을, 평안북도 지사에는 백영철 한국기독교학교연맹 이사장(71)을, 함경북도 지사에는 김동명 함북도민회 부회장(59)을 내정했다.

또	또/MAG
이	이/NNP
대통령은	대통령/NNG+은/JX
평안남도	평안남도/NNP
지사에는	지사/NNG+에/JKB+는/JX
박용옥	박용옥/NNP
세종연구소	세종연구소/NNP
연구위원(67)을,	연구/NNG+위원/NNG+(/SS+67/SN+)/SS+을/JKO+,/SP
평안북도	평안북도/NNP
백영철	백영철/NNP
한국기독교학교연맹	한국기독교학교연맹/NNP
이사장(71)을,	이사장/NNG+(/SS+71/SN+)/SS+을/JKO+,/SP
함경북도	함경북도/NNP
김동명	김동명/NNP
함북도민회	함북도민회/NNP
부회장(59)을	부회장/NNG+(/SS+59/SN+)/SS+을/JKO
내정했다.	내정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.422.9.2
이들은 도정(道政)을 수행하지는 않지만 차관에 준하는 대우를 받는다.

이들은	이/NP+들/XSN+은/JX
도정(道政)을	도정/NNG+(/SS+道政/SH+)/SS+을/JKO
수행하지는	수행/NNG+하/XSV+지/EC+는/JX
않지만	않/VX+지만/EC
차관에	차관/NNG+에/JKB
준하는	준하/VV+는/ETM
대우를	대우/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000021.422.10.1
이 대통령은 아울러 중앙선거관리위원회 위원 후보자로 강경근 숭실대 법대 교수(53)를 지명했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
아울러	아울러/MAG
중앙선거관리위원회	중앙/NNG+선거/NNG+관리/NNG+위원회/NNG
위원	위원/NNG
후보자로	후보자/NNG+로/JKB
강경근	강경근/NNP
숭실대	숭실대/NNP
법대	법대/NNG
교수(53)를	교수/NNG+(/SS+53/SN+)/SS+를/JKO
지명했다.	지명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.422.10.2
중앙선관위원 후보자는 국회 청문회를 거쳐야 한다.

중앙선관위원	중앙선관위원/NNG
후보자는	후보자/NNG+는/JX
국회	국회/NNG
청문회를	청문회/NNG+를/JKO
거쳐야	거치/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.422.11.1
○ 신각수 외교부 1차관… 원칙 중시 국제법 전문가

○	○/SW
신각수	신각수/NNP
외교부	외교부/NNG
1차관…	1/SN+차관/NNG+…/SE
원칙	원칙/NNG
중시	중시/NNG
국제법	국제법/NNG
전문가	전문가/NNG


# id : NWRW1800000021.422.12.1
외교부 내 손꼽히는 국제법 전문가로 1991년 국제법박사 학위를 취득했다.

외교부	외교부/NNG
내	내/NNB
손꼽히는	손꼽히/VV+는/ETM
국제법	국제법/NNG
전문가로	전문가/NNG+로/JKB
1991년	1991/SN+년/NNB
국제법박사	국제법/NNG+박사/NNG
학위를	학위/NNG+를/JKO
취득했다.	취득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.422.12.2
대학 시절에 만든 외무고시 대비 국제법 문제집이 절찬리에 팔렸다는 일화도 있다.

대학	대학/NNG
시절에	시절/NNG+에/JKB
만든	만들/VV+ㄴ/ETM
외무고시	외무/NNG+고시/NNG
대비	대비/NNG
국제법	국제법/NNG
문제집이	문제집/NNG+이/JKS
절찬리에	절찬/NNG+리/XSN+에/JKB
팔렸다는	팔리/VV+었/EP+다는/ETM
일화도	일화/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.422.12.3
일 처리에 편법을 쓰거나 일관성을 잃는 것을 경계하는 원칙론자로 불린다.

일	일/NNG
처리에	처리/NNG+에/JKB
편법을	편법/NNG+을/JKO
쓰거나	쓰/VV+거나/EC
일관성을	일관/NNG+성/XSN+을/JKO
잃는	잃/VV+는/ETM
것을	것/NNB+을/JKO
경계하는	경계/NNG+하/XSV+는/ETM
원칙론자로	원칙론자/NNG+로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.422.12.4
△충북 영동(54) △서울고, 서울대 법학과 △외무고시 9회 △조약국장, 주유엔대표부 차석대사, 주이스라엘 대사, 외교부 2차관

△충북	△/SW+충북/NNP
영동(54)	영동/NNP+(/SS+54/SN+)/SS
△서울고,	△/SW+서울고/NNP+,/SP
서울대	서울대/NNP
법학과	법학과/NNG
△외무고시	△/SW+외무/NNG+고시/NNG
9회	9/SN+회/NNB
△조약국장,	△/SW+조약국장/NNG+,/SP
주유엔대표부	주유엔/NNG+대표부/NNG
차석대사,	차석/NNG+대사/NNG+,/SP
주이스라엘	주이스라엘/NNG
대사,	대사/NNG+,/SP
외교부	외교부/NNG
2차관	2/SN+차관/NNG


# id : NWRW1800000021.422.13.1
○ 천영우 외교부 2차관… 6자회담 등 다자외교 능숙

○	○/SW
천영우	천영우/NNP
외교부	외교부/NNG
2차관…	2/SN+차관/NNG+…/SE
6자회담	6/SN+자/NNB+회담/NNG
등	등/NNB
다자외교	다자/NNG+외교/NNG
능숙	능숙/XR


# id : NWRW1800000021.422.14.1
유엔대표부 등에서 군축 업무를 담당했고 북핵 6자회담 수석대표를 맡는 등 다자외교에 정통하다.

유엔대표부	유엔/NNP+대표부/NNG
등에서	등/NNB+에서/JKB
군축	군축/NNG
업무를	업무/NNG+를/JKO
담당했고	담당/NNG+하/XSV+았/EP+고/EC
북핵	북핵/NNG
6자회담	6/SN+자/NNB+회담/NNG
수석대표를	수석대표/NNG+를/JKO
맡는	맡/VV+는/ETM
등	등/NNB
다자외교에	다자/NNG+외교/NNG+에/JKB
정통하다.	정통/NNG+하/XSV+다/EF+./SF


# id : NWRW1800000021.422.14.2
전두환 대통령 시절 통역을 맡는 등 영어실력이 뛰어나다.

전두환	전두환/NNP
대통령	대통령/NNG
시절	시절/NNG
통역을	통역/NNG+을/JKO
맡는	맡/VV+는/ETM
등	등/NNB
영어실력이	영어/NNP+실력/NNG+이/JKS
뛰어나다.	뛰어나/VA+다/EF+./SF


# id : NWRW1800000021.422.14.3
일처리가 꼼꼼하지만 자상한 성격이어서 ‘부드러운 카리스마’로 통한다.

일처리가	일/NNG+처리/NNG+가/JKS
꼼꼼하지만	꼼꼼/MAG+하/XSA+지만/EC
자상한	자상하/VA+ㄴ/ETM
성격이어서	성격/NNG+이/VCP+어서/EC
‘부드러운	‘/SS+부드럽/VA+ㄴ/ETM
카리스마’로	카리스마/NNG+’/SS+로/JKB
통한다.	통하/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.422.14.4
△경남 밀양(57) △동아고, 부산대 불어과 △외무고시 11회 △유엔대표부 차석대사, 외교정책실장, 한반도평화교섭본부장, 주영국 대사

△경남	△/SW+경남/NNP
밀양(57)	밀양/NNP+(/SS+57/SN+)/SS
△동아고,	△/SW+동아고/NNP+,/SP
부산대	부산대/NNP
불어과	불어과/NNG
△외무고시	△/SW+외무/NNG+고시/NNG
11회	11/SN+회/NNB
△유엔대표부	△/SW+유엔/NNP+대표부/NNG
차석대사,	차석/NNG+대사/NNG+,/SP
외교정책실장,	외교/NNG+정책실장/NNG+,/SP
한반도평화교섭본부장,	한반도평화교섭본부장/NNG+,/SP
주영국	주영국/NNG
대사	대사/NNG


# id : NWRW1800000021.422.15.1
○ 권혁세 금융위원회 부위원장… 외국인 투자제도 개편 주도

○	○/SW
권혁세	권혁세/NNP
금융위원회	금융/NNG+위원회/NNG
부위원장…	부위원장/NNG+…/SE
외국인	외국인/NNG
투자제도	투자/NNG+제도/NNG
개편	개편/NNG
주도	주도/NNG


# id : NWRW1800000021.422.16.1
행정고시 23회로 금융과 조세 분야에 정통한 재무부 출신 경제관료.

행정고시	행정/NNG+고시/NNG
23회로	23/SN+회/NNB+로/JKB
금융과	금융/NNG+과/JC
조세	조세/NNG
분야에	분야/NNG+에/JKB
정통한	정통/NNG+하/XSV+ㄴ/ETM
재무부	재무부/NNG
출신	출신/NNG
경제관료.	경제/NNG+관료/NNG+./SF


# id : NWRW1800000021.422.16.2
1998년 외환 및 외국인 투자제도 개편 작업을 주도했으며 재정경제부 금융정책과장 등 요직을 거쳤다.

1998년	1998/SN+년/NNB
외환	외환/NNG
및	및/MAG
외국인	외국인/NNG
투자제도	투자/NNG+제도/NNG
개편	개편/NNG
작업을	작업/NNG+을/JKO
주도했으며	주도/NNG+하/XSV+았/EP+으며/EC
재정경제부	재정/NNG+경제부/NNG
금융정책과장	금융/NNG+정책과장/NNG
등	등/NNB
요직을	요직/NNG+을/JKO
거쳤다.	거치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.422.16.3
기획력과 업무 추진력이 뛰어나다는 평가를 받는다.

기획력과	기획력/NNG+과/JC
업무	업무/NNG
추진력이	추진력/NNG+이/JKS
뛰어나다는	뛰어나/VA+다는/ETM
평가를	평가/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000021.422.16.4
△대구(53) △경북고 △서울대 경영학과 △재경부 재산소비세제국장 △금융감독위원회 감독정책1국장 △증권선물위원회 상임위원 △금융위원회 사무처장

△대구(53)	△/SW+대구/NNP+(/SS+53/SN+)/SS
△경북고	△/SW+경북고/NNP
△서울대	△/SW+서울대/NNP
경영학과	경영학과/NNG
△재경부	△/SW+재경부/NNG
재산소비세제국장	재산소비세제국장/NNG
△금융감독위원회	△/SW+금융/NNG+감독/NNG+위원회/NNG
감독정책1국장	감독/NNG+정책/NNG+1/SN+국장/NNG
△증권선물위원회	△/SW+증권/NNG+선물/NNG+위원회/NNG
상임위원	상임/NNG+위원/NNG
△금융위원회	△/SW+금융/NNG+위원회/NNG
사무처장	사무처장/NNG


