# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.107
metadata : {}


# id : NWRW1800000048.107.1.1
중국-일본, 대립 대신 실리찾기로

중국-일본,	중국/NNP+-/SO+일본/NNP+,/SP
충돌을	충돌/NNG+을/JKO
계기로	계기/NNG+로/JKB
급격히	급격히/MAG
악화됐다.	악화/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.107.4.2
이후 중국이 일본에 일관되게 요구해온 것은 센카쿠열도에서 영토 분쟁이 있음을 인정할 것과 아베 신조 총리가 다시는 야스쿠니신사에 참배하지 말 것이었다.

이후	이후/NNG
중국이	중국/NNP+이/JKS
일본에	일본/NNP+에/JKB
일관되게	일관/NNG+되/XSV+게/EC
요구해온	요구/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
것은	것/NNB+은/JX
센카쿠열도에서	센카쿠열도/NNP+에서/JKB
영토	영토/NNG
분쟁이	분쟁/NNG+이/JKS
있음을	있/VA+음/ETN+을/JKO
인정할	인정/NNG+하/XSV+ㄹ/ETM
것과	것/NNB+과/JC
아베	아베/NNP
신조	신조/NNP
총리가	총리/NNG+가/JKS
다시는	다시/MAG+는/JX
야스쿠니신사에	야스쿠니신사/NNP+에/JKB
참배하지	참배/NNG+하/XSV+지/EC
말	말/VX+ㄹ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.107.5.1
첫번째 요구 사항은 지난해 11월 양국 정상이 베이징에서 만났을 때 양국이 합의한 4개 항목에서 어느 정도 해소됐다.

첫번째	첫/MMN+번/NNB+째/XSN
요구	요구/NNG
사항은	사항/NNG+은/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
양국	양국/NNG
정상이	정상/NNG+이/JKS
베이징에서	베이징/NNP+에서/JKB
만났을	만나/VV+았/EP+을/ETM
때	때/NNG
양국이	양국/NNG+이/JKS
합의한	합의/NNG+하/XSV+ㄴ/ETM
4개	4/SN+개/NNB
항목에서	항목/NNG+에서/JKB
어느	어느/MMD
정도	정도/NNG
해소됐다.	해소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.107.5.2
아울러 2013년 12월 이후 아베 총리는 야스쿠니신사 참배를 자제하고 있고, 정상회담이 성사된 22일엔 내각의 각료들이 신사 참배를 하지 않도록 조처했다.

아울러	아울러/MAG
2013년	2013/SN+년/NNB
12월	12/SN+월/NNB
이후	이후/NNG
아베	아베/NNP
총리는	총리/NNG+는/JX
야스쿠니신사	야스쿠니신사/NNP
참배를	참배/NNG+를/JKO
자제하고	자제/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
정상회담이	정상/NNG+회담/NNG+이/JKS
성사된	성사/NNG+되/XSV+ㄴ/ETM
22일엔	22/SN+일/NNB+에/JKB+ㄴ/JX
내각의	내각/NNG+의/JKG
각료들이	각료/NNG+들/XSN+이/JKS
신사	신사/NNG
하지	하/VV+지/EC
않도록	않/VX+도록/EC
조처했다.	조처/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.107.6.1
센카쿠열도·역사 문제 등

센카쿠열도·역사	센카쿠열도/NNP+·/SP+역사/NNG
문제	문제/NNG
등	등/NNB


# id : NWRW1800000048.107.7.1
아베의 중국 ‘배려’한 표현에

아베의	아베/NNP+의/JKG
중국	중국/NNP
‘배려’한	‘/SS+배려/NNG+’/SS+하/VV+ㄴ/ETM
표현에	표현/NNG+에/JKB


# id : NWRW1800000048.107.8.1
시진핑 정상회담 수용 ‘결단’

시진핑	시진핑/NNP
정상회담	정상/NNG+회담/NNG
수용	수용/NNG
‘결단’	‘/SS+결단/NNG+’/SS


# id : NWRW1800000048.107.9.1
양국 ‘구동존이’ 전략 선회했지만

양국	양국/NNG
‘구동존이’	‘/SS+구동존이/NNG+’/SS
전략	전략/NNG
선회했지만	선회/NNG+하/XSV+았/EP+지만/EC


# id : NWRW1800000048.107.10.1
‘아베담화’ 등 갈등 불씨는 여전

‘아베담화’	‘/SS+아베/NNP+담화/NNG+’/SS
등	등/NNB
갈등	갈등/NNG
불씨는	불씨/NNG+는/JX
여전	여전/XR


# id : NWRW1800000048.107.11.1
양국이 장기간에 걸쳐 외교적 준비를 한 상태에서 이번 정상회담을 결정지은 핵심 쟁점은 오는 8월에 발표될 ‘아베 담화’에 ‘식민지배와 침략에 대한 통절한 사죄와 반성’ 등 무라야마 담화의 주요 표현이 들어갈지 여부였다.

양국이	양국/NNG+이/JKS
장기간에	장기간/NNG+에/JKB
걸쳐	걸치/VV+어/EC
외교적	외교/NNG+적/XSN
준비를	준비/NNG+를/JKO
한	하/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
이번	이번/NNG
정상회담을	정상/NNG+회담/NNG+을/JKO
결정지은	결정짓/VV+은/ETM
핵심	핵심/NNG
쟁점은	쟁점/NNG+은/JX
오는	오/VV+는/ETM
8월에	8/SN+월/NNB+에/JKB
발표될	발표/NNG+되/XSV+ㄹ/ETM
‘아베	‘/SS+아베/NNP
담화’에	담화/NNG+’/SS+에/JKB
‘식민지배와	‘/SS+식민/NNG+지배/NNG+와/JC
침략에	침략/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
통절한	통절하/VA+ㄴ/ETM
사죄와	사죄/NNG+와/JC
반성’	반성/NNG+’/SS
등	등/NNB
무라야마	무라야마/NNP
담화의	담화/NNG+의/JKG
주요	주요/NNG
표현이	표현/NNG+이/JKS
들어갈지	들어가/VV+ㄹ지/EC
여부였다.	여부/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.107.11.2
여기서 식민지배는 한국, 침략은 중국과 관련된 표현으로 일반적으로 해석된다.

여기서	여기/NP+서/JKB
식민지배는	식민/NNG+지배/NNG+는/JX
한국,	한국/NNP+,/SP
침략은	침략/NNG+은/JX
중국과	중국/NNP+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
표현으로	표현/NNG+으로/JKB
일반적으로	일반/NNG+적/XSN+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.107.11.3
아베 총리는 ‘아베 담화’의 예고편 격인 22일 반둥회의 60주년 연설에서 ‘식민지배’는 언급하지 않았지만, ‘침략’은 1955년 반둥회의에서 합의된 10개항 원칙을 인용하는 형식으로 두차례 언급했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
‘아베	‘/SS+아베/NNP
담화’의	담화/NNG+’/SS+의/JKG
예고편	예고편/NNG
격인	격/NNB+이/VCP+ㄴ/ETM
22일	22/SN+일/NNB
반둥회의	반둥/NNP+회의/NNG
60주년	60/SN+주년/NNB
연설에서	연설/NNG+에서/JKB
‘식민지배’는	‘/SS+식민/NNG+지배/NNG+’/SS+는/JX
언급하지	언급/NNG+하/XSV+지/EC
않았지만,	않/VX+았/EP+지만/EC+,/SP
‘침략’은	‘/SS+침략/NNG+’/SS+은/JX
1955년	1955/SN+년/NNB
반둥회의에서	반둥/NNP+회의/NNG+에서/JKB
합의된	합의/NNG+되/XSV+ㄴ/ETM
10개항	10/SN+개/NNB+항/NNG
원칙을	원칙/NNG+을/JKO
인용하는	인용/NNG+하/XSV+는/ETM
형식으로	형식/NNG+으로/JKB
두차례	두/MMN+차례/NNG
언급했다.	언급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.107.11.4
일본의 미묘한 ‘중국 배려’를 인식한 시 주석이 아베 총리의 회담 제안을 수용하는 결단을 내렸을 가능성이 높다고 일본 언론들은 해석했다.

일본의	일본/NNP+의/JKG
미묘한	미묘하/VA+ㄴ/ETM
‘중국	‘/SS+중국/NNP
배려’를	배려/NNG+’/SS+를/JKO
인식한	인식/NNG+하/XSV+ㄴ/ETM
시	시/NNP
주석이	주석/NNG+이/JKS
아베	아베/NNP
총리의	총리/NNG+의/JKG
회담	회담/NNG
제안을	제안/NNG+을/JKO
수용하는	수용/NNG+하/XSV+는/ETM
결단을	결단/NNG+을/JKO
내렸을	내리/VV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다고	높/VA+다고/EC
일본	일본/NNP
언론들은	언론/NNG+들/XSN+은/JX
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.107.11.5
시 주석은 이날 정상회담에서 “양국 관계가 어느 정도 개선돼 왔다”고 말했다.

시	시/NNP
주석은	주석/NNG+은/JX
이날	이날/NNG
정상회담에서	정상/NNG+회담/NNG+에서/JKB
“양국	“/SS+양국/NNG
관계가	관계/NNG+가/JKS
어느	어느/MMD
정도	정도/NNG
개선돼	개선/NNG+되/XSV+어/EC
왔다”고	오/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.107.12.1
중국 언론에서도 비슷한 분위기를 읽을 수 있다.

중국	중국/NNP
언론에서도	언론/NNG+에서/JKB+도/JX
비슷한	비슷하/VA+ㄴ/ETM
분위기를	분위기/NNG+를/JKO
읽을	읽/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.107.12.2
<대공보>는 23일 “중국은 최근 수년 동안 중-일 관계 악화의 원인이 된 (역사와 영토 문제 등과 관련한) 일본의 책임을 지적하는 대신 눈을 멀리 돌려 미래의 교류와 협력을 바라보는 것 같다”고 분석했다.

<대공보>는	</SS+대공보/NNP+>/SS+는/JX
23일	23/SN+일/NNB
“중국은	“/SS+중국/NNP+은/JX
최근	최근/NNG
수년	수년/NNG
동안	동안/NNG
중-일	중/NNP+-/SO+일/NNP
관계	관계/NNG
악화의	악화/NNG+의/JKG
원인이	원인/NNG+이/JKC
된	되/VV+ㄴ/ETM
(역사와	(/SS+역사/NNG+와/JC
영토	영토/NNG
문제	문제/NNG
등과	등/NNB+과/JKB
관련한)	관련/NNG+하/XSV+ㄴ/ETM+)/SS
일본의	일본/NNP+의/JKG
책임을	책임/NNG+을/JKO
지적하는	지적/NNG+하/XSV+는/ETM
대신	대신/NNG
눈을	눈/NNG+을/JKO
멀리	멀리/MAG
돌려	돌리/VV+어/EC
미래의	미래/NNG+의/JKG
교류와	교류/NNG+와/JC
협력을	협력/NNG+을/JKO
바라보는	바라보/VV+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.107.13.1
시 주석이 이번 정상회담에 응한 데는 중국이 주도하는 아시아인프라투자은행(AIIB)에 일본의 참여를 설득하려는 실리적인 계산도 작용한 것으로 보인다.

시	시/NNP
주석이	주석/NNG+이/JKS
이번	이번/NNG
정상회담에	정상/NNG+회담/NNG+에/JKB
응한	응하/VV+ㄴ/ETM
데는	데/NNB+는/JX
중국이	중국/NNP+이/JKS
주도하는	주도/NNG+하/XSV+는/ETM
아시아인프라투자은행(AIIB)에	아시아인프라투자은행/NNP+(/SS+AIIB/SL+)/SS+에/JKB
일본의	일본/NNP+의/JKG
참여를	참여/NNG+를/JKO
설득하려는	설득/NNG+하/XSV+려는/ETM
실리적인	실리/NNG+적/XSN+이/VCP+ㄴ/ETM
계산도	계산/NNG+도/JX
작용한	작용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.107.13.2
시 주석은 회담에서 “아시아인프라투자은행이 국제사회로부터 환영을 받고 있다”며 일본의 참여를 제안했다.

시	시/NNP
주석은	주석/NNG+은/JX
회담에서	회담/NNG+에서/JKB
“아시아인프라투자은행이	“/SS+아시아인프라투자은행/NNP+이/JKS
국제사회로부터	국제/NNG+사회/NNG+로부터/JKB
환영을	환영/NNG+을/JKO
받고	받/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
일본의	일본/NNP+의/JKG
참여를	참여/NNG+를/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.107.14.1
중·일 양국 지도자는 결국 더 이상의 관계 악화 대신 양국 관계를 안정적으로 관리하고 실리를 추구하기 위해 ‘구동존이’(이견은 남겨둔 채 같은 점은 추구한다) 전략을 선택했다.

중·일	중/NNP+·/SP+일/NNP
양국	양국/NNG
지도자는	지도자/NNG+는/JX
결국	결국/MAG
더	더/MAG
이상의	이상/NNG+의/JKG
관계	관계/NNG
악화	악화/NNG
대신	대신/NNG
관계를	관계/NNG+를/JKO
안정적으로	안정/NNG+적/XSN+으로/JKB
관리하고	관리/NNG+하/XSV+고/EC
실리를	실리/NNG+를/JKO
추구하기	추구/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
‘구동존이’(이견은	‘/SS+구동존이/NNG+’/SS+(/SS+이견/NNG+은/JX
남겨둔	남기/VV+어/EC+두/VX+ㄴ/ETM
채	채/NNB
같은	같/VA+은/ETM
점은	점/NNG+은/JX
추구한다)	추구/NNG+하/XSV+ㄴ다/EF+)/SS
전략을	전략/NNG+을/JKO
선택했다.	선택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.107.14.2
그러나 갈등의 불씨는 남아 있다.

그러나	그러나/MAJ
갈등의	갈등/NNG+의/JKG
불씨는	불씨/NNG+는/JX
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.107.14.3
롄더구이 상하이국제문제연구원 연구원은 “중국은 여전히 아베 총리의 8월 담화에 주의를 기울이고 있다”고 말했다.

롄더구이	롄더구이/NNP
상하이국제문제연구원	상하이국제문제연구원/NNP
연구원은	연구원/NNG+은/JX
“중국은	“/SS+중국/NNP+은/JX
여전히	여전히/MAG
아베	아베/NNP
총리의	총리/NNG+의/JKG
8월	8/SN+월/NNB
담화에	담화/NNG+에/JKB
주의를	주의/NNG+를/JKO
기울이고	기울이/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


