# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.402
metadata : {}


# id : NWRW1800000026.402.1.1
[현장르포] 한국지멘스 포항공장_匠人(장인) 수십명이 초음파 기기 100% 手작업

[현장르포]	[/SS+현장/NNG+르포/NNG+]/SS
장비가격은	장비/NNG+가격/NNG+은/JX
약	약/MMA
2500달러(약	2500/SN+달러/NNB+(/SS+약/MMA
280만원).	280/SN+만/NR+원/NNB+)/SS+./SF


# id : NWRW1800000026.402.3.1
10년 전만 하더라도 이 제품은 100% 미국의 지멘스 공장에서 생산됐다.

10년	10/SN+년/NNB
전만	전/NNG+만/JX
하더라도	하/VV+더라도/EC
이	이/MMD
제품은	제품/NNG+은/JX
100%	100/SN+%/SW
미국의	미국/NNP+의/JKG
지멘스	지멘스/NNP
공장에서	공장/NNG+에서/JKB
생산됐다.	생산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.402.3.2
2003년 미국의 지멘스 초음파사업부 본사는 "시험 삼아 한국에서 아큐나브에 쓰이는 튜브를 한 번 만들어보라"며 시험 물량을 주문했다.

2003년	2003/SN+년/NNB
미국의	미국/NNP+의/JKG
지멘스	지멘스/NNP
초음파사업부	초/XPN+음파/NNG+사업부/NNG
본사는	본사/NNG+는/JX
"시험	"/SS+시험/NNG
삼아	삼/VV+아/EC
한국에서	한국/NNP+에서/JKB
아큐나브에	아큐나브/NNP+에/JKB
쓰이는	쓰이/VV+는/ETM
튜브를	튜브/NNG+를/JKO
한	한/MMN
번	번/NNB
만들어보라"며	만들/VV+어/EC+보/VX+라/EF+"/SS+며/EC
시험	시험/NNG
물량을	물량/NNG+을/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.402.3.3
그 후 5년이 지난 2008년 한국 공장은 30단계에 이르는 아큐나브 생산 공정 100%를 가져 왔다.

그	그/MMD
후	후/NNG
5년이	5/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
한국	한국/NNP
공장은	공장/NNG+은/JX
30단계에	30/SN+단계/NNG+에/JKB
이르는	이르/VV+는/ETM
아큐나브	아큐나브/NNP
생산	생산/NNG
공정	공정/NNG
100%를	100/SN+%/SW+를/JKO
가져	가지/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.402.3.4
원래 이 제품을 생산하던 미국 마운틴뷰 공장 두 곳은 모두 문을 닫았다.

원래	원래/MAG
이	이/MMD
제품을	제품/NNG+을/JKO
생산하던	생산/NNG+하/XSV+던/ETM
미국	미국/NNP
마운틴뷰	마운틴뷰/NNP
공장	공장/NNG
두	두/MMN
곳은	곳/NNG+은/JX
모두	모두/MAG
문을	문/NNG+을/JKO
닫았다.	닫/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.402.3.5
포항공장을 총괄하는 한국지멘스 김근수 이사는 "품질과 실력으로 지멘스 본사를 설득한 덕분"이라고 말했다.

포항공장을	포항/NNP+공장/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
한국지멘스	한국지멘스/NNP
김근수	김근수/NNP
이사는	이사/NNG+는/JX
"품질과	"/SS+품질/NNG+과/JC
실력으로	실력/NNG+으로/JKB
지멘스	지멘스/NNP
본사를	본사/NNG+를/JKO
설득한	설득/NNG+하/XSV+ㄴ/ETM
덕분"이라고	덕분/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.402.4.1
한국지멘스 실력의 비결은 '젓가락문화'에 길들여진 우수한 인력의 손기술에 있다.

한국지멘스	한국지멘스/NNP
실력의	실력/NNG+의/JKG
비결은	비결/NNG+은/JX
'젓가락문화'에	'/SS+젓가락/NNG+문화/NNG+'/SS+에/JKB
길들여진	길들이/VV+어/EC+지/VX+ㄴ/ETM
우수한	우수/NNG+하/XSA+ㄴ/ETM
인력의	인력/NNG+의/JKG
손기술에	손/NNG+기술/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.402.4.2
상당수 초음파기기의 생산 작업은 100% 수작업으로 이뤄진다.

상당수	상당수/NNG
초음파기기의	초/XPN+음파/NNG+기기/NNG+의/JKG
생산	생산/NNG
작업은	작업/NNG+은/JX
100%	100/SN+%/SW
수작업으로	수작업/NNG+으로/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.402.4.3
포항공장 관계자는 "명품처럼 20~30명의 '장인'이 생산 공정을 30여 단계에 나눠 만든다"고 말했다.

포항공장	포항/NNP+공장/NNG
관계자는	관계자/NNG+는/JX
"명품처럼	"/SS+명품/NNG+처럼/JKB
20~30명의	20/SN+~/SO+30/SN+명/NNB+의/JKG
'장인'이	'/SS+장인/NNG+'/SS+이/JKS
생산	생산/NNG
공정을	공정/NNG+을/JKO
30여	30/SN+여/XSN
단계에	단계/NNG+에/JKB
나눠	나누/VV+어/EC
만든다"고	만들/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.402.4.4
한국 인력의 경우 3개월간 500m분의 폭 1㎜ 테이프를 현미경을 사용해 오차 없이 직선으로 자르는 연습을 해야 통과할 수 있는 '지옥훈련'을 받는다.

한국	한국/NNP
인력의	인력/NNG+의/JKG
경우	경우/NNG
3개월간	3/SN+개월/NNB+간/XSN
500m분의	500/SN+m/SW+분/XSN+의/JKG
폭	폭/NNG
1㎜	1/SN+㎜/SW
테이프를	테이프/NNG+를/JKO
현미경을	현미경/NNG+을/JKO
사용해	사용/NNG+하/XSV+아/EC
오차	오차/NNG
없이	없이/MAG
직선으로	직선/NNG+으로/JKB
자르는	자르/VV+는/ETM
연습을	연습/NNG+을/JKO
해야	하/VV+아야/EC
통과할	통과/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
'지옥훈련'을	'/SS+지옥/NNG+훈련/NNG+'/SS+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000026.402.5.1
김 이사는 "이곳 직원들의 뛰어난 기술은 지멘스 본사에서도 놀란다"며 "지멘스가 중국 등 저임금 생산기지가 아닌 한국에 투자를 늘리는 이유가 여기에 있다"고 말했다.

김	김/NNP
이사는	이사/NNG+는/JX
"이곳	"/SS+이곳/NP
직원들의	직원/NNG+들/XSN+의/JKG
뛰어난	뛰어나/VA+ㄴ/ETM
기술은	기술/NNG+은/JX
지멘스	지멘스/NNP
본사에서도	본사/NNG+에서/JKB+도/JX
놀란다"며	놀라/VV+ㄴ다/EF+"/SS+며/EC
"지멘스가	"/SS+지멘스/NNP+가/JKS
중국	중국/NNP
등	등/NNB
저임금	저/XPN+임금/NNG
생산기지가	생산/NNG+기지/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
한국에	한국/NNP+에/JKB
투자를	투자/NNG+를/JKO
늘리는	늘리/VV+는/ETM
이유가	이유/NNG+가/JKS
여기에	여기/NP+에/JKB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.402.6.1
지멘스 포항공장에서 만들어지는 제품은 아큐나브뿐이 아니다.

지멘스	지멘스/NNP
포항공장에서	포항/NNP+공장/NNG+에서/JKB
만들어지는	만들/VV+어/EC+지/VX+는/ETM
제품은	제품/NNG+은/JX
아큐나브뿐이	아큐나브/NNP+뿐/JX+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000026.402.6.2
이곳에서는 초음파기기의 핵심 부품인 트랜스듀서 등 30여개 제품과 부품을 만들고 있다.

이곳에서는	이곳/NP+에서/JKB+는/JX
초음파기기의	초/XPN+음파/NNG+기기/NNG+의/JKG
핵심	핵심/NNG
부품인	부품/NNG+이/VCP+ㄴ/ETM
트랜스듀서	트랜스듀서/NNG
등	등/NNB
30여개	30/SN+여/XSN+개/NNB
제품과	제품/NNG+과/JC
부품을	부품/NNG+을/JKO
만들고	만들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.402.6.3
트랜스듀서란 초음파기기에서 실질적으로 환자 살에 닿는 야구공 크기만한 기구.

트랜스듀서란	트랜스듀서/NNG+란/JX
초음파기기에서	초/XPN+음파/NNG+기기/NNG+에서/JKB
실질적으로	실질/NNG+적/XSN+으로/JKB
환자	환자/NNG
살에	살/NNB+에/JKB
닿는	닿/VV+는/ETM
야구공	야구공/NNG
크기만한	크기/NNG+만/JX+하/VA+ㄴ/ETM
기구.	기구/NNG+./SF


# id : NWRW1800000026.402.6.4
포항 관계자는 "이 조그만 것의 가격이 3000만~수억원에 이른다"며 "초음파기기 가격의 30%를 차지하는 핵심 부품이어서 만들기가 까다롭지만 100% 한국에서 제조하고 있다"고 말했다.

포항	포항/NNP
관계자는	관계자/NNG+는/JX
"이	"/SS+이/MMD
조그만	조그맣/VA+ㄴ/ETM
것의	것/NNB+의/JKG
가격이	가격/NNG+이/JKS
3000만~수억원에	3000/SN+만/NR+~/SO+수억/NR+원/NNB+에/JKB
이른다"며	이르/VV+ㄴ다/EF+"/SS+며/EC
"초음파기기	"/SS+초/XPN+음파/NNG+기기/NNG
가격의	가격/NNG+의/JKG
30%를	30/SN+%/SW+를/JKO
차지하는	차지/NNG+하/XSV+는/ETM
핵심	핵심/NNG
부품이어서	부품/NNG+이/VCP+어서/EC
만들기가	만들/VV+기/ETN+가/JKS
까다롭지만	까다롭/VA+지만/EC
100%	100/SN+%/SW
한국에서	한국/NNP+에서/JKB
제조하고	제조/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.402.7.1
한국은 지멘스 초음파 제품 전체 물량의 70%를 생산하고 있다.

한국은	한국/NNP+은/JX
지멘스	지멘스/NNP
초음파	초/XPN+음파/NNG
제품	제품/NNG
전체	전체/NNG
물량의	물량/NNG+의/JKG
70%를	70/SN+%/SW+를/JKO
생산하고	생산/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.402.7.2
한국에서 만든 제품은 아시아는 물론 미국·유럽까지 수출되고 있다.

한국에서	한국/NNP+에서/JKB
만든	만들/VV+ㄴ/ETM
제품은	제품/NNG+은/JX
아시아는	아시아/NNP+는/JX
물론	물론/MAG
미국·유럽까지	미국/NNP+·/SP+유럽/NNP+까지/JX
수출되고	수출/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.402.7.3
지멘스 관계자는 "한국은 우수한 인력과 대학과의 산·학 연계 프로그램 등 R&D 제반 여건들이 잘 갖춰져 있어 의료기기 생산기지로 제격"이라고 말했다.

지멘스	지멘스/NNP
관계자는	관계자/NNG+는/JX
"한국은	"/SS+한국/NNP+은/JX
우수한	우수/NNG+하/XSA+ㄴ/ETM
인력과	인력/NNG+과/JC
대학과의	대학/NNG+과/JKB+의/JKG
산·학	산·학/NNG
연계	연계/NNG
프로그램	프로그램/NNG
등	등/NNB
R&D	R/SL+&/SW+D/SL
제반	제반/NNG
여건들이	여건/NNG+들/XSN+이/JKS
잘	잘/MAG
갖춰져	갖추/VV+어/EC+지/VX+어/EC
있어	있/VX+어/EC
의료기기	의료/NNG+기기/NNG
생산기지로	생산/NNG+기지/NNG+로/JKB
제격"이라고	제격/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


