# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.21
metadata : {}


# id : NWRW1800000029.21.1.1
東日本 대지진 / 日 재정위기 ‘티핑포인트’ 넘어서나

東日本	東日本/SH
재정위기가	재정/NNG+위기/NNG+가/JKS
앞당겨질	앞당기/VV+어/EC+지/VX+ㄹ/ETM
있다고	있/VA+다고/EC
경고하고	경고/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.21.4.1
무디스의 톰 번 부대표는 14일(현지 시간) 보고서에서 “동일본 대지진이 일본 재정에 미칠 파급력은 예측하기 쉽지 않다”며 “일본 정치권이 이번 위기를 계기로 장기 재정과제를 해결하기 위해 활발히 움직이지 않는다면 잠재적 티핑포인트가 앞당겨질 수 있다”고 밝혔다.

무디스의	무디스/NNP+의/JKG
톰	톰/NNP
번	번/NNP
부대표는	부대표/NNG+는/JX
14일(현지	14/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
보고서에서	보고서/NNG+에서/JKB
“동일본	“/SS+동일본/NNP
대지진이	대/XPN+지진/NNG+이/JKS
일본	일본/NNP
재정에	재정/NNG+에/JKB
미칠	미치/VV+ㄹ/ETM
파급력은	파급력/NNG+은/JX
예측하기	예측/NNG+하/XSV+기/ETN
쉽지	쉽/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
“일본	“/SS+일본/NNP
정치권이	정치/NNG+권/XSN+이/JKS
이번	이번/NNG
위기를	위기/NNG+를/JKO
계기로	계기/NNG+로/JKB
장기	장기/NNG
재정과제를	재정/NNG+과제/NNG+를/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
활발히	활발히/MAG
움직이지	움직이/VV+지/EC
않는다면	않/VX+는다면/EC
잠재적	잠재/NNG+적/XSN
티핑포인트가	티핑포인트/NNG+가/JKS
앞당겨질	앞당기/VV+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.21.4.2
스탠더드앤드푸어스(S&P)도 16일 “동일본 대지진에 따른 추가 비용이 가뜩이나 허약한 일본의 재정 상황에 부담을 가중시킬 것”이라고 평가했다.

스탠더드앤드푸어스(S&P)도	스탠더드앤드푸어스/NNP+(/SS+S/SL+&/SW+P/SL+)/SS+도/JX
16일	16/SN+일/NNB
“동일본	“/SS+동일본/NNP
대지진에	대/XPN+지진/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
추가	추가/NNG
비용이	비용/NNG+이/JKS
가뜩이나	가뜩이나/MAG
허약한	허약/NNG+하/XSA+ㄴ/ETM
일본의	일본/NNP+의/JKG
재정	재정/NNG
상황에	상황/NNG+에/JKB
부담을	부담/NNG+을/JKO
가중시킬	가중/NNG+시키/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.21.4.3
피치 역시 “(원전 폭발 등으로) 일본 산업생산에 장기적인 손실이 생길 경우 일본은 신용등급에 부정적인 상황을 맞을 것”이라고 전망했다.

피치	피치/NNP
역시	역시/MAG
“(원전	“/SS+(/SS+원전/NNG
폭발	폭발/NNG
등으로)	등/NNB+으로/JKB+)/SS
일본	일본/NNP
산업생산에	산업/NNG+생산/NNG+에/JKB
장기적인	장기/NNG+적/XSN+이/VCP+ㄴ/ETM
손실이	손실/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
경우	경우/NNG
일본은	일본/NNP+은/JX
신용등급에	신용/NNG+등급/NNG+에/JKB
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
상황을	상황/NNG+을/JKO
맞을	맞/VV+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.21.4.4
실제 15일 국제 금융시장에서 일본의 국가부도 위험을 나타내는 일본 5년 만기 국채 신용부도스와프(CDS) 프리미엄이 18bp 상승한 114bp로 사상 최고치를 기록했다.

실제	실제/NNG
15일	15/SN+일/NNB
국제	국제/NNG
금융시장에서	금융/NNG+시장/NNG+에서/JKB
일본의	일본/NNP+의/JKG
국가부도	국가/NNG+부도/NNG
위험을	위험/NNG+을/JKO
나타내는	나타내/VV+는/ETM
일본	일본/NNP
5년	5/SN+년/NNB
만기	만기/NNG
국채	국채/NNG
신용부도스와프(CDS)	신용/NNG+부도/NNG+스와프/NNG+(/SS+CDS/SL+)/SS
프리미엄이	프리미엄/NNG+이/JKS
18bp	18/SN+bp/SW
상승한	상승/NNG+하/XSV+ㄴ/ETM
114bp로	114/SN+bp/SW+로/JKB
사상	사상/NNG
최고치를	최고/NNG+치/XSN+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.21.5.1
경제전문가들은 동일본 대지진의 피해 복구 비용이 최소 일본 국내총생산(GDP)의 3%인 1800억 달러에서 최고 GDP의 5%인 2700억 달러에 이를 것으로 판단하고 있다.

경제전문가들은	경제/NNG+전문가/NNG+들/XSN+은/JX
동일본	동일본/NNP
대지진의	대/XPN+지진/NNG+의/JKG
피해	피해/NNG
복구	복구/NNG
비용이	비용/NNG+이/JKS
최소	최소/NNG
일본	일본/NNP
국내총생산(GDP)의	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS+의/JKG
3%인	3/SN+%/SW+이/VCP+ㄴ/ETM
1800억	1800/SN+억/NR
달러에서	달러/NNB+에서/JKB
최고	최고/NNG
GDP의	GDP/SL+의/JKG
5%인	5/SN+%/SW+이/VCP+ㄴ/ETM
2700억	2700/SN+억/NR
달러에	달러/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
판단하고	판단/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.21.5.2
일본 정부는 일단 지진 발생 후 2010년 예산에서 남아있는 2038억 엔의 예비비를 복구 작업에 긴급 투입하고 한신 대지진 때의 3조2000억 엔보다 많은 추경예산 편성도 추진하고 있다.

일본	일본/NNP
정부는	정부/NNG+는/JX
일단	일단/MAG
지진	지진/NNG
발생	발생/NNG
후	후/NNG
2010년	2010/SN+년/NNB
예산에서	예산/NNG+에서/JKB
남아있는	남/VV+아/EC+있/VX+는/ETM
2038억	2038/SN+억/NR
엔의	엔/NNB+의/JKG
예비비를	예비비/NNG+를/JKO
복구	복구/NNG
작업에	작업/NNG+에/JKB
긴급	긴급/NNG
투입하고	투입/NNG+하/XSV+고/EC
한신	한신/NNP
대지진	대/XPN+지진/NNG
때의	때/NNG+의/JKG
3조2000억	3/SN+조/NR+2000/SN+억/NR
엔보다	엔/NNB+보다/JKB
많은	많/VA+은/ETM
추경예산	추경/NNG+예산/NNG
편성도	편성/NNG+도/JX
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.21.6.1
그동안 일본이 그리스(136.8%)나 아일랜드(112.7%)의 두 배에 육박하는 국가부채를 지고도 부도 위험에서 벗어나 있었던 것은 국채의 90% 이상을 일본 기업과 내국인이 보유하고 있기 때문이다.

그동안	그동안/NNG
일본이	일본/NNP+이/JKS
그리스(136.8%)나	그리스/NNP+(/SS+136/SN+./SP+8/SN+%/SW+)/SS+나/JC
아일랜드(112.7%)의	아일랜드/NNP+(/SS+112/SN+./SP+7/SN+%/SW+)/SS+의/JKG
두	두/MMN
배에	배/NNG+에/JKB
육박하는	육박/NNG+하/XSV+는/ETM
국가부채를	국가/NNG+부채/NNG+를/JKO
지고도	지/VV+고/EC+도/JX
부도	부도/NNG
위험에서	위험/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
있었던	있/VX+었/EP+던/ETM
것은	것/NNB+은/JX
국채의	국채/NNG+의/JKG
90%	90/SN+%/SW
이상을	이상/NNG+을/JKO
일본	일본/NNP
기업과	기업/NNG+과/JC
내국인이	내국인/NNG+이/JKS
보유하고	보유/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.21.6.2
하지만 이번 동일본 대지진으로 막대한 보험금을 부담해야 하는 보험사나 수출에 차질이 생긴 기업들이 일본이 새롭게 발행하는 국채를 매입하기는 어려울 것이라는 전망이 많다.

하지만	하지만/MAJ
이번	이번/NNG
동일본	동일본/NNP
대지진으로	대/XPN+지진/NNG+으로/JKB
막대한	막대하/VA+ㄴ/ETM
보험금을	보험금/NNG+을/JKO
부담해야	부담/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
보험사나	보험사/NNG+나/JC
수출에	수출/NNG+에/JKB
차질이	차질/NNG+이/JKS
생긴	생기/VV+ㄴ/ETM
기업들이	기업/NNG+들/XSN+이/JKS
일본이	일본/NNP+이/JKS
새롭게	새롭/VA+게/EC
발행하는	발행/NNG+하/XSV+는/ETM
국채를	국채/NNG+를/JKO
매입하기는	매입/NNG+하/XSV+기/ETN+는/JX
어려울	어렵/VA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000029.21.6.3
결국 중앙은행인 일본은행(BOJ)이 국채를 매입할 것으로 보이지만 이미 대지진 발생 이후 긴급 유동성 지원을 위해 40조 엔 이상의 긴급자금을 시중에 풀고 있는 만큼 국채 매입에 한계가 있을 수밖에 없다.

결국	결국/NNG
중앙은행인	중앙은행/NNG+이/VCP+ㄴ/ETM
일본은행(BOJ)이	일본은행/NNP+(/SS+BOJ/SL+)/SS+이/JKS
국채를	국채/NNG+를/JKO
매입할	매입/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보이지만	보이/VV+지만/EC
이미	이미/MAG
대지진	대/XPN+지진/NNG
발생	발생/NNG
이후	이후/NNG
긴급	긴급/NNG
유동성	유동/NNG+성/XSN
지원을	지원/NNG+을/JKO
위해	위하/VV+아/EC
40조	40/SN+조/NR
엔	엔/NNB
이상의	이상/NNG+의/JKG
긴급자금을	긴급/NNG+자금/NNG+을/JKO
시중에	시중/NNG+에/JKB
풀고	풀/VV+고/EC
있는	있/VX+는/ETM
만큼	만큼/NNB
국채	국채/NNG
매입에	매입/NNG+에/JKB
한계가	한계/NNG+가/JKS
있을	있/VA+을/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.21.7.1
국제금융센터 김윤경 차장은 “지진 피해 복구에 천문학적인 돈을 쏟고 있는 일본이 재정난 심화로 국가신용등급이 하락할 경우 재정위기가 통제 불능 상태가 될 수 있다”고 말했다.

국제금융센터	국제금융센터/NNP
김윤경	김윤경/NNP
차장은	차장/NNG+은/JX
“지진	“/SS+지진/NNG
피해	피해/NNG
복구에	복구/NNG+에/JKB
천문학적인	천문학/NNG+적/XSN+이/VCP+ㄴ/ETM
돈을	돈/NNG+을/JKO
쏟고	쏟/VV+고/EC
있는	있/VX+는/ETM
일본이	일본/NNP+이/JKS
재정난	재정난/NNG
심화로	심화/NNG+로/JKB
국가신용등급이	국가/NNG+신용/NNG+등급/NNG+이/JKS
하락할	하락/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
재정위기가	재정/NNG+위기/NNG+가/JKS
통제	통제/NNG
불능	불능/NNG
상태가	상태/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


