# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.352
metadata : {}


# id : NWRW1800000054.352.1.1
[강인선의 워싱턴 Live] 부드러워진 트럼프… "처음으로 정상적 대통령 같았다" -폴리티코

[강인선의	[/SS+강인선/NNP+의/JKG
가장	가장/MAG
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
연설을	연설/NNG+을/JKO
했다"고도	하/VV+았/EP+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.352.5.1
트럼프 대통령은 이날 오후 9시(동부 시각)쯤 상·하원 의원들과 대법원 판사, 트럼프 내각 장관들의 박수를 받으며 단상에 올라 연설을 시작했다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
9시(동부	9/SN+시/NNB+(/SS+동부/NNG
시각)쯤	시각/NNG+)/SS+쯤/XSN
상·하원	상/NNG+·/SP+하원/NNG
의원들과	의원/NNG+들/XSN+과/JC
대법원	대/XPN+법원/NNG
판사,	판사/NNG+,/SP
내각	내각/NNG
장관들의	장관/NNG+들/XSN+의/JKG
박수를	박수/NNG+를/JKO
받으며	받/VV+으며/EC
단상에	단상/NNG+에/JKB
올라	오르/VV+아/EC
연설을	연설/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.352.5.2
2층 객석엔 부인 멜라니아 여사와 딸 이방카 등 가족과 초청받은 인사들이 앉았다.

2층	2/SN+층/NNG
객석엔	객석/NNG+에/JKB+ㄴ/JX
부인	부인/NNG
멜라니아	멜라니아/NNP
여사와	여사/NNG+와/JC
딸	딸/NNG
이방카	이방카/NNP
등	등/NNB
가족과	가족/NNG+과/JC
초청받은	초청/NNG+받/XSV+은/ETM
인사들이	인사/NNG+들/XSN+이/JKS
앉았다.	앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.352.6.1
2층 기자석에서 내려다보니 회의장 안을 반으로 갈라 앉은 공화·민주 의원들의 움직임이 확연히 달랐다.

2층	2/SN+층/NNG
기자석에서	기자석/NNG+에서/JKB
내려다보니	내려다보/VV+니/EC
회의장	회의장/NNG
안을	안/NNG+을/JKO
반으로	반/NNG+으로/JKB
갈라	가르/VV+아/EC
앉은	앉/VV+은/ETM
공화·민주	공화/NNP+·/SP+민주/NNP
의원들의	의원/NNG+들/XSN+의/JKG
움직임이	움직임/NNG+이/JKS
확연히	확연히/MAG
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.352.6.2
공화당 의원들이 기립박수 칠 때 민주당 의원들은 시큰둥하게 앉아 있었다.

공화당	공화당/NNP
의원들이	의원/NNG+들/XSN+이/JKS
기립박수	기립/NNG+박수/NNG
칠	치/VV+ㄹ/ETM
때	때/NNG
민주당	민주당/NNP
의원들은	의원/NNG+들/XSN+은/JX
시큰둥하게	시큰둥하/VA+게/EC
앉아	앉/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.352.6.3
공화당 의원들이 환호할 때 민주당 의원들은 무표정했다.

공화당	공화당/NNP
의원들이	의원/NNG+들/XSN+이/JKS
환호할	환호/NNG+하/XSV+ㄹ/ETM
때	때/NNG
민주당	민주당/NNP
의원들은	의원/NNG+들/XSN+은/JX
무표정했다.	무/XPN+표정/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000054.352.6.4
민주당 여성 의원 약 20명은 흰색 옷을 입고 왔다.

민주당	민주당/NNP
여성	여성/NNG
의원	의원/NNG
약	약/MMA
20명은	20/SN+명/NNB+은/JX
흰색	흰색/NNG
옷을	옷/NNG+을/JKO
입고	입/VV+고/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.352.6.5
트럼프가 여성 지위를 위협하는 일을 하면 맞서 싸우겠다는 메시지였다.

트럼프가	트럼프/NNP+가/JKS
여성	여성/NNG
지위를	지위/NNG+를/JKO
위협하는	위협/NNG+하/XSV+는/ETM
일을	일/NNG+을/JKO
하면	하/VV+면/EC
맞서	맞서/VV+어/EC
싸우겠다는	싸우/VV+겠/EP+다는/ETM
메시지였다.	메시지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.352.6.6
힐러리 클린턴 전 민주당 대선 후보도 지난해 전당대회 때 흰색 옷을 입었다.

힐러리	힐러리/NNP
클린턴	클린턴/NNP
전	전/MMD
민주당	민주당/NNP
대선	대선/NNG
후보도	후보/NNG+도/JX
지난해	지난해/NNG
전당대회	전당/NNG+대회/NNG
때	때/NNG
흰색	흰색/NNG
옷을	옷/NNG+을/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.352.7.1
트럼프 대통령은 연설 시작 몇 시간 전까지도 연설문을 다듬고 연습을 했다고 한다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
연설	연설/NNG
시작	시작/NNG
몇	몇/NR
시간	시간/NNB
전까지도	전/NNG+까지/JX+도/JX
연설문을	연설문/NNG+을/JKO
다듬고	다듬/VV+고/EC
연습을	연습/NNG+을/JKO
했다고	하/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.352.7.2
연설의 방점은 국내 정책에 찍혀 있었다.

연설의	연설/NNG+의/JKG
방점은	방점/NNG+은/JX
국내	국내/NNG
정책에	정책/NNG+에/JKB
찍혀	찍히/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.352.7.3
"미국 국경 안에서 일어나는 일부터 챙기겠다"는 뜻이었다.

"미국	"/SS+미국/NNP
국경	국경/NNG
안에서	안/NNG+에서/JKB
일어나는	일어나/VV+는/ETM
일부터	일/NNG+부터/JX
챙기겠다"는	챙기/VV+겠/EP+다/EF+"/SS+는/ETM
뜻이었다.	뜻/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.352.7.4
일자리 창출, 국경 치안, 환태평양경제동반자협정(TPP) 폐기, 오바마케어 폐기, 멕시코 국경 장벽 건설 등은 대선 공약과 크게 다르지 않은 내용이다.

일자리	일자리/NNG
창출,	창출/NNG+,/SP
국경	국경/NNG
치안,	치안/NNG+,/SP
환태평양경제동반자협정(TPP)	환태평양/NNP+경제/NNG+동반자/NNG+협정/NNG+(/SS+TPP/SL+)/SS
폐기,	폐기/NNG+,/SP
오바마케어	오바마케어/NNG
멕시코	멕시코/NNP
장벽	장벽/NNG
건설	건설/NNG
등은	등/NNB+은/JX
대선	대선/NNG
공약과	공약/NNG+과/JKB
크게	크/VA+게/EC
다르지	다르/VA+지/EC
않은	않/VX+은/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.352.7.5
하지만 전달 방식이 달랐다.

하지만	하지만/MAJ
전달	전달/NNG
방식이	방식/NNG+이/JKS
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.352.7.6
공격적인 말투가 아니었고 무엇보다 차분했다.

공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
말투가	말투/NNG+가/JKC
아니었고	아니/VCN+었/EP+고/EC
무엇보다	무엇/NP+보다/JKB
차분했다.	차분하/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.352.7.7
부정적인 표현도 줄었다.

부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
표현도	표현/NNG+도/JX
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.352.7.8
거친 표현과 논리도 정돈되고 다듬어졌다.

거친	거칠/VA+ㄴ/ETM
표현과	표현/NNG+과/JC
논리도	논리/NNG+도/JX
정돈되고	정돈/NNG+되/XSV+고/EC
다듬어졌다.	다듬어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.352.7.9
나토(북대서양조약기구)의 방위비 분담 증액을 말할 때는 나토의 중요성을 먼저 강조하고, 이슬람국가(IS) 격퇴를 외칠 때는 동맹국과 협력해서 하겠다고 덧붙이는 식이었다.

나토(북대서양조약기구)의	나토/NNP+(/SS+북대서양조약기구/NNP+)/SS+의/JKG
방위비	방위비/NNG
분담	분담/NNG
증액을	증액/NNG+을/JKO
말할	말/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
나토의	나토/NNP+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
먼저	먼저/MAG
강조하고,	강조/NNG+하/XSV+고/EC+,/SP
이슬람국가(IS)	이슬람국가/NNP+(/SS+IS/SL+)/SS
격퇴를	격퇴/NNG+를/JKO
외칠	외치/VV+ㄹ/ETM
동맹국과	동맹국/NNG+과/JKB
협력해서	협력/NNG+하/XSV+아서/EC
하겠다고	하/VV+겠/EP+다고/EC
덧붙이는	덧붙이/VV+는/ETM
식이었다.	식/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.352.8.1
이날 연설엔 '북한'이 등장하지 않았다.

이날	이날/NNG
연설엔	연설/NNG+에/JKB+ㄴ/JX
'북한'이	'/SS+북한/NNP+'/SS+이/JKS
등장하지	등장/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.352.8.2
트럼프 대통령은 미국이 당면한 안보 위협 요인으로 IS와 이란 탄도미사일 프로그램 등을 언급했지만 북한 핵과 미사일은 거론하지 않았다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
미국이	미국/NNP+이/JKS
당면한	당면/NNG+하/XSV+ㄴ/ETM
안보	안보/NNG
위협	위협/NNG
요인으로	요인/NNG+으로/JKB
IS와	IS/SL+와/JC
이란	이란/NNP
탄도미사일	탄도/NNG+미사일/NNG
프로그램	프로그램/NNG
등을	등/NNB+을/JKO
언급했지만	언급/NNG+하/XSV+았/EP+지만/EC
북한	북한/NNP
핵과	핵/NNG+과/JC
미사일은	미사일/NNG+은/JX
거론하지	거론/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.352.9.1
방위비 분담 증액 원칙은 그대로였다.

방위비	방위비/NNG
분담	분담/NNG
증액	증액/NNG
원칙은	원칙/NNG+은/JX
그대로였다.	그대로/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.352.9.2
하지만 한국과 일본을 구체적으로 거론하지 않았다.

하지만	하지만/MAJ
한국과	한국/NNP+과/JC
일본을	일본/NNP+을/JKO
구체적으로	구체/NNG+적/XSN+으로/JKB
거론하지	거론/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.352.9.3
트럼프 대통령은 "파시즘을 몰아낸 두 번의 세계대전과 공산주의 격퇴를 위해 구축한 동맹인 나토를 강력하게 지지한다"면서도, "우리 파트너 국가들도 재정적인 의무를 다해야 한다"고 했다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
"파시즘을	"/SS+파시즘/NNG+을/JKO
몰아낸	몰아내/VV+ㄴ/ETM
두	두/MMN
번의	번/NNB+의/JKG
세계대전과	세계/NNG+대전/NNG+과/JC
공산주의	공산주의/NNG
격퇴를	격퇴/NNG+를/JKO
위해	위하/VV+아/EC
구축한	구축/NNG+하/XSV+ㄴ/ETM
동맹인	동맹/NNG+이/VCP+ㄴ/ETM
나토를	나토/NNP+를/JKO
강력하게	강력/NNG+하/XSA+게/EC
지지한다"면서도,	지지/NNG+하/XSV+ㄴ다/EF+"/SS+면서/EC+도/JX+,/SP
"우리	"/SS+우리/NP
파트너	파트너/NNG
국가들도	국가/NNG+들/XSN+도/JX
재정적인	재정/NNG+적/XSN+이/VCP+ㄴ/ETM
의무를	의무/NNG+를/JKO
다해야	다/MAG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.352.9.4
그는 "우리는 나토든 중동이든 태평양 지역이든 우리 파트너 국가들이 전략적·군사적으로 직접적이고 의미 있는 역할을 하고 방위비를 공정하게 부담해주길 바란다"고 했다.

그는	그/NP+는/JX
"우리는	"/SS+우리/NP+는/JX
나토든	나토/NNP+든/JX
중동이든	중동/NNP+이든/JX
태평양	태평양/NNP
지역이든	지역/NNG+이든/JX
우리	우리/NP
파트너	파트너/NNG
국가들이	국가/NNG+들/XSN+이/JKS
전략적·군사적으로	전략/NNG+적/XSN+·/SP+군사/NNG+적/XSN+으로/JKB
직접적이고	직접/NNG+적/XSN+이/VCP+고/EC
의미	의미/NNG
있는	있/VA+는/ETM
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
방위비를	방위비/NNG+를/JKO
공정하게	공정/NNG+하/XSA+게/EC
부담해주길	부담/NNG+하/XSV+아/EC+주/VX+기/ETN+ㄹ/JKO
바란다"고	바라/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.352.10.1
이날 연설에서 가장 극적인 순간은 트럼프 대통령이 지난 1월 예멘 대테러 작전에서 숨진 해군 특수부대 네이비실 요원 윌리엄 라이언 오언스의 부인을 소개할 때였다.

이날	이날/NNG
연설에서	연설/NNG+에서/JKB
가장	가장/MAG
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
순간은	순간/NNG+은/JX
트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
예멘	예멘/NNP
대테러	대테러/NNG
작전에서	작전/NNG+에서/JKB
숨진	숨지/VV+ㄴ/ETM
해군	해군/NNG
특수부대	특수/NNG+부대/NNG
네이비실	네이비실/NNG
요원	요원/NNG
윌리엄	윌리엄/NNP
라이언	라이언/NNP
오언스의	오언스/NNP+의/JKG
부인을	부인/NNG+을/JKO
소개할	소개/NNG+하/XSV+ㄹ/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.352.10.2
그가 "라이언의 유산은 영원할 것"이라고 하자 참석자들이 모두 일어나 박수를 쳤다.

그가	그/NP+가/JKS
"라이언의	"/SS+라이언/NNP+의/JKG
유산은	유산/NNG+은/JX
영원할	영원/NNG+하/XSA+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
하자	하/VV+자/EC
참석자들이	참석자/NNG+들/XSN+이/JKS
모두	모두/MAG
일어나	일어나/VV+아/EC
박수를	박수/NNG+를/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.352.10.3
한 평론가는 "이 장면에서 트럼프가 가장 대통령다웠다"고 했다.

한	한/MMN
평론가는	평론가/NNG+는/JX
"이	"/SS+이/MMD
장면에서	장면/NNG+에서/JKB
트럼프가	트럼프/NNP+가/JKS
가장	가장/MAG
대통령다웠다"고	대통령/NNG+답/XSA+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.352.11.1
트럼프 대통령은 자신의 오랜 주장을 바꾸지는 않았다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
자신의	자신/NNG+의/JKG
오랜	오랜/MMA
주장을	주장/NNG+을/JKO
바꾸지는	바꾸/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.352.11.2
하지만 통합, 애국심, 희망 등을 주입해 좀 더 대통령다운 연설을 했다.

하지만	하지만/MAJ
통합,	통합/NNG+,/SP
애국심,	애국심/NNG+,/SP
희망	희망/NNG
등을	등/NNB+을/JKO
주입해	주입/NNG+하/XSV+아/EC
좀	좀/MAG
더	더/MAG
대통령다운	대통령/NNG+답/XSA+ㄴ/ETM
연설을	연설/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.352.11.3
이날 연설에 대해 폭스뉴스는 "취임 연설보다 더 희망적"이라고 했다.

이날	이날/NNG
연설에	연설/NNG+에/JKB
대해	대하/VV+아/EC
폭스뉴스는	폭스뉴스/NNP+는/JX
"취임	"/SS+취임/NNG
연설보다	연설/NNG+보다/JKB
더	더/MAG
희망적"이라고	희망/NNG+적/XSN+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.352.11.4
워싱턴포스트도 "강경한 정책 기조를 더 온건한 톤으로 전달했다"고 전했다.

워싱턴포스트도	워싱턴포스트/NNP+도/JX
"강경한	"/SS+강경/NNG+하/XSA+ㄴ/ETM
정책	정책/NNG
기조를	기조/NNG+를/JKO
더	더/MAG
온건한	온건/NNG+하/XSA+ㄴ/ETM
톤으로	톤/NNG+으로/JKB
전달했다"고	전달/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.352.11.5
월스트리트저널은 "톤은 차분했고 깜짝 놀랄 만한 정책 발표는 없었다"고 했다.

월스트리트저널은	월스트리트저널/NNP+은/JX
"톤은	"/SS+톤/NNG+은/JX
차분했고	차분하/VA+았/EP+고/EC
깜짝	깜짝/MAG
놀랄	놀라/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
정책	정책/NNG
발표는	발표/NNG+는/JX
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.352.12.1
트럼프 정부 출범 이후 약 40일은 혼돈이었다.

트럼프	트럼프/NNP
정부	정부/NNG
출범	출범/NNG
이후	이후/NNG
약	약/MMA
40일은	40/SN+일/NNB+은/JX
혼돈이었다.	혼돈/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.352.12.2
트럼프 대통령의 이 평범한 연설은 참모진의 조언이 힘을 발휘해 트럼프 정부가 제대로 작동하기 시작했다는 뜻일까.

트럼프	트럼프/NNP
대통령의	대통령/NNG+의/JKG
이	이/MMD
평범한	평범하/VA+ㄴ/ETM
연설은	연설/NNG+은/JX
참모진의	참모진/NNG+의/JKG
조언이	조언/NNG+이/JKS
힘을	힘/NNG+을/JKO
발휘해	발휘/NNG+하/XSV+아/EC
정부가	정부/NNG+가/JKS
제대로	제대로/MAG
작동하기	작동/NNG+하/XSV+기/ETN
시작했다는	시작/NNG+하/XSV+았/EP+다는/ETM
뜻일까.	뜻/NNG+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000054.352.12.3
연설 이후 트럼프 대통령의 첫 트위터 메시지가 답을 말해줄 것이다.

연설	연설/NNG
이후	이후/NNG
트럼프	트럼프/NNP
대통령의	대통령/NNG+의/JKG
첫	첫/MMN
트위터	트위터/NNP
메시지가	메시지/NNG+가/JKS
답을	답/NNG+을/JKO
말해줄	말/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


