# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.400
metadata : {}


# id : NWRW1800000026.400.1.1
변호사 시험 합격률 50%까지 낮추려는 움직임에 로스쿨생 "80~90% 합격시켜라" 집단반발;'조건부 자퇴서'까지 서명… 오늘 1500여명 항의 집회

변호사	변호사/NNG
자퇴서'를	자퇴서/NNG+'/SS+를/JKO
작성해	작성/NNG+하/XSV+아/EC
서명한	서명/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
6일에는	6/SN+일/NNB+에/JKB+는/JX
로스쿨생	로스쿨/NNG+생/XSN
1500여명이	1500/SN+여/XSN+명/NNB+이/JKS
과천	과천/NNP
정부청사	정부/NNG+청사/NNG
앞에서	앞/NNG+에서/JKB
항의집회를	항의/NNG+집회/NNG+를/JKO
개최한다.	개최/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.400.3.2
서울대 등 일부 로스쿨에선 집회가 기말고사와 겹치자 시험 거부 주장까지 나왔으나 학교측이 시험일정을 조정한 것으로 알려졌다.

서울대	서울대/NNP
등	등/NNB
일부	일부/NNG
로스쿨에선	로스쿨/NNG+에서/JKB+ㄴ/JX
집회가	집회/NNG+가/JKS
기말고사와	기말고사/NNG+와/JKB
겹치자	겹치/VV+자/EC
시험	시험/NNG
거부	거부/NNG
주장까지	주장/NNG+까지/JX
나왔으나	나오/VV+았/EP+으나/EC
학교측이	학교/NNG+측/NNB+이/JKS
시험일정을	시험/NNG+일정/NNG+을/JKO
조정한	조정/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.400.3.3
전국로스쿨협의회도 6일 총회를 갖고 대응방안을 논의키로 했다.

전국로스쿨협의회도	전국로스쿨협의회/NNP+도/JX
6일	6/SN+일/NNB
총회를	총회/NNG+를/JKO
갖고	갖/VV+고/EC
대응방안을	대응/NNG+방안/NNG+을/JKO
논의키로	논의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.400.4.1
◆법무부 공청회, 논란 촉발

◆법무부	◆/SW+법무부/NNG
공청회,	공청회/NNG+,/SP
논란	논란/NNG
촉발	촉발/NNG


# id : NWRW1800000026.400.5.1
로스쿨생의 집단 반발은 지난달 25일 법무부가 주관한 '변호사시험 합격자 결정방법'에 관한 공청회가 열린 뒤 시작됐다.

로스쿨생의	로스쿨/NNG+생/XSN+의/JKG
집단	집단/NNG
반발은	반발/NNG+은/JX
지난달	지난달/NNG
25일	25/SN+일/NNB
법무부가	법무부/NNG+가/JKS
주관한	주관/NNG+하/XSV+ㄴ/ETM
'변호사시험	'/SS+변호사/NNG+시험/NNG
합격자	합격자/NNG
결정방법'에	결정/NNG+방법/NNG+'/SS+에/JKB
관한	관하/VV+ㄴ/ETM
공청회가	공청회/NNG+가/JKS
열린	열리/VV+ㄴ/ETM
뒤	뒤/NNG
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.400.5.2
이날 대한변협 추천으로 참석한 변호사들은 대부분 합격률을 '입학정원의 50~70%'로 제한해야 한다고 주장한 반면, 로스쿨 교수들은 '시험응시자의 80~90%'는 합격시켜야 한다며 팽팽히 대립했다.

이날	이날/NNG
대한변협	대한변협/NNP
추천으로	추천/NNG+으로/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
변호사들은	변호사/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
합격률을	합격/NNG+률/XSN+을/JKO
'입학정원의	'/SS+입학/NNG+정원/NNG+의/JKG
50~70%'로	50/SN+~/SO+70/SN+%/SW+'/SS+로/JKB
제한해야	제한/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장한	주장/NNG+하/XSV+ㄴ/ETM
반면,	반면/NNG+,/SP
로스쿨	로스쿨/NNG
교수들은	교수/NNG+들/XSN+은/JX
'시험응시자의	'/SS+시험/NNG+응시자/NNG+의/JKG
80~90%'는	80/SN+~/SO+90/SN+%/SW+'/SS+는/JX
합격시켜야	합격/NNG+시키/XSV+어야/EC
한다며	하/VX+ㄴ다며/EC
팽팽히	팽팽히/MAG
대립했다.	대립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.400.6.1
해마다 2000명 가까운 변호사가 쏟아져 나올 경우 법률 시장이 이를 감당할 수 없을 것이라는 변호사들 주장과, 국민들에게 저렴한 법률서비스를 제공하자는 로스쿨 도입 취지를 살려야 한다는 주장이 맞선 것이다.

해마다	해마다/MAG
2000명	2000/SN+명/NNB
가까운	가깝/VA+ㄴ/ETM
변호사가	변호사/NNG+가/JKS
쏟아져	쏟아지/VV+어/EC
나올	나오/VV+ㄹ/ETM
경우	경우/NNG
법률	법률/NNG
시장이	시장/NNG+이/JKS
이를	이/NP+를/JKO
감당할	감당/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
변호사들	변호사/NNG+들/XSN
주장과,	주장/NNG+과/JC+,/SP
국민들에게	국민/NNG+들/XSN+에게/JKB
저렴한	저렴하/VA+ㄴ/ETM
법률서비스를	법률/NNG+서비스/NNG+를/JKO
제공하자는	제공/NNG+하/XSV+자는/ETM
로스쿨	로스쿨/NNG
도입	도입/NNG
취지를	취지/NNG+를/JKO
살려야	살리/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
주장이	주장/NNG+이/JKS
맞선	맞서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.400.7.1
이 자리에서 법무부 관계자는 "시험 응시 기회가 5번 있으므로, 합격률을 응시자의 50%로 제한하면 5년 동안 96%가 합격할 수 있다"며 '누적합격률'을 고려해야 한다는 의견을 제시했다.

이	이/MMD
자리에서	자리/NNG+에서/JKB
법무부	법무부/NNG
관계자는	관계자/NNG+는/JX
"시험	"/SS+시험/NNG
응시	응시/NNG
기회가	기회/NNG+가/JKS
5번	5/SN+번/NNB
있으므로,	있/VA+으므로/EC+,/SP
합격률을	합격/NNG+률/XSN+을/JKO
응시자의	응시자/NNG+의/JKG
50%로	50/SN+%/SW+로/JKB
제한하면	제한/NNG+하/XSV+면/EC
5년	5/SN+년/NNB
동안	동안/NNG
96%가	96/SN+%/SW+가/JKS
합격할	합격/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
'누적합격률'을	'/SS+누적/NNG+합격/NNG+률/XSN+'/SS+을/JKO
고려해야	고려/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
의견을	의견/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.400.7.2
이는 합격자 수를 제한하자는 변협측 입장과 맥을 같이하는 것으로, 로스쿨생 사이에선 "법무부가 합격률을 50%로 잠정결정했다"는 소문까지 돌고 있다.

이는	이/NP+는/JX
합격자	합격자/NNG
수를	수/NNG+를/JKO
제한하자는	제한/NNG+하/XSV+자는/ETM
변협측	변협/NNP+측/NNB
입장과	입장/NNG+과/JKB
맥을	맥/NNG+을/JKO
같이하는	같이/MAG+하/XSV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
로스쿨생	로스쿨/NNG+생/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
"법무부가	"/SS+법무부/NNG+가/JKS
합격률을	합격/NNG+률/XSN+을/JKO
50%로	50/SN+%/SW+로/JKB
잠정결정했다"는	잠정/NNG+결정/NNG+하/XSV+았/EP+다/EF+"/SS+는/ETM
소문까지	소문/NNG+까지/JX
돌고	돌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.400.7.3
법무부는 "아무것도 정해진 것은 없다"며 진화에 나섰지만, 합격률을 최소 80% 이상으로 해야 한다는 로스쿨측 의견에는 부정적인 반응을 보이고 있다.

법무부는	법무부/NNG+는/JX
"아무것도	"/SS+아무것/NNG+도/JX
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
것은	것/NNB+은/JX
없다"며	없/VA+다/EF+"/SS+며/EC
진화에	진화/NNG+에/JKB
나섰지만,	나서/VV+었/EP+지만/EC+,/SP
합격률을	합격/NNG+률/XSN+을/JKO
최소	최소/NNG
80%	80/SN+%/SW
이상으로	이상/NNG+으로/JKB
해야	하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
로스쿨측	로스쿨/NNG+측/NNB
의견에는	의견/NNG+에/JKB+는/JX
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
반응을	반응/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.400.7.4
법무부 관계자는 "로스쿨만 나오면 변호사가 될 수 있다면 LEET(법학적성시험) 시험 하나로 변호사를 뽑는 것과 마찬가지"라며 "변호사의 자질 측면도 고려해야 한다"고 말했다.

법무부	법무부/NNG
관계자는	관계자/NNG+는/JX
"로스쿨만	"/SS+로스쿨/NNG+만/JX
나오면	나오/VV+면/EC
변호사가	변호사/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다면	있/VA+다면/EC
LEET(법학적성시험)	LEET/SL+(/SS+법학/NNG+적성/NNG+시험/NNG+)/SS
시험	시험/NNG
하나로	하나/NR+로/JKB
변호사를	변호사/NNG+를/JKO
뽑는	뽑/VV+는/ETM
것과	것/NNB+과/JKB
마찬가지"라며	마찬가지/NNG+"/SS+이/VCP+라며/EC
"변호사의	"/SS+변호사/NNG+의/JKG
자질	자질/NNG
측면도	측면/NNG+도/JX
고려해야	고려/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.400.8.1
◆"로스쿨 망한다" "변호사업계 현실 고려해야" 주장 팽팽

◆"로스쿨	◆/SW+"/SS+로스쿨/NNG
망한다"	망하/VV+ㄴ다/EF+"/SS
"변호사업계	"/SS+변호사업/NNG+계/XSN
현실	현실/NNG
고려해야"	고려/NNG+하/XSV+아야/EC+"/SS
주장	주장/NNG
팽팽	팽팽/XR


# id : NWRW1800000026.400.9.1
로스쿨 교수들과 학생들은 법무부의 주장에 대해 '말 바꾸기'라며 크게 반발하고 있다.

로스쿨	로스쿨/NNG
교수들과	교수/NNG+들/XSN+과/JC
학생들은	학생/NNG+들/XSN+은/JX
법무부의	법무부/NNG+의/JKG
주장에	주장/NNG+에/JKB
대해	대하/VV+아/EC
'말	'/SS+말/NNG
바꾸기'라며	바꾸/VV+기/ETN+'/SS+이/VCP+라며/EC
크게	크/VA+게/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.400.10.1
지난 2007년 로스쿨 도입을 결정할 당시부터 정부는 "로스쿨 교육과정을 충실히 이수하면 무난히 합격할 수 있게 하겠다"고 밝혀왔다는 것이다.

지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
로스쿨	로스쿨/NNG
도입을	도입/NNG+을/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
당시부터	당시/NNG+부터/JX
정부는	정부/NNG+는/JX
"로스쿨	"/SS+로스쿨/NNG
교육과정을	교육/NNG+과정/NNG+을/JKO
충실히	충실히/MAG
이수하면	이수/NNG+하/XSV+면/EC
무난히	무난히/MAG
합격할	합격/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하겠다"고	하/VX+겠/EP+다/EF+"/SS+고/JKQ
밝혀왔다는	밝히/VV+어/EC+오/VX+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.400.11.1
정종섭 로스쿨협의회장(서울대 로스쿨원장)은 "로스쿨 도입 결정 당시부터 원안은 변호사를 자격시험으로 전환하자는 것이었는데, 이를 바꾼다면 로스쿨 문 닫으라는 소리"라고 말했다.

정종섭	정종섭/NNP
로스쿨협의회장(서울대	로스쿨협의회장/NNG+(/SS+서울대/NNP
로스쿨원장)은	로스쿨/NNG+원장/NNG+)/SS+은/JX
"로스쿨	"/SS+로스쿨/NNG
도입	도입/NNG
결정	결정/NNG
당시부터	당시/NNG+부터/JX
원안은	원안/NNG+은/JX
변호사를	변호사/NNG+를/JKO
자격시험으로	자격시험/NNG+으로/JKB
전환하자는	전환/NNG+하/XSV+자는/ETM
것이었는데,	것/NNB+이/VCP+었/EP+는데/EC+,/SP
이를	이/NP+를/JKO
바꾼다면	바꾸/VV+ㄴ다면/EC
로스쿨	로스쿨/NNG
문	문/NNG
닫으라는	닫/VV+으라는/ETM
소리"라고	소리/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.400.11.2
김형규 로스쿨생 대표는 "고시낭인 없애겠다고 해놓고, 변시낭인을 만들겠다는 것"이라며 "변호사들 기득권을 보호하다 합격률이 20%대에 머무는 등 실패한 일본을 따라가선 안 된다"고 말했다.

김형규	김형규/NNP
로스쿨생	로스쿨/NNG+생/XSN
대표는	대표/NNG+는/JX
"고시낭인	"/SS+고시/NNG+낭인/NNG
없애겠다고	없애/VV+겠/EP+다고/EC
해놓고,	하/VV+아/EC+놓/VX+고/EC+,/SP
변시낭인을	변시/NNG+낭인/NNG+을/JKO
만들겠다는	만들/VV+겠/EP+다는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"변호사들	"/SS+변호사/NNG+들/XSN
기득권을	기득/NNG+권/XSN+을/JKO
보호하다	보호/NNG+하/XSV+다/EC
합격률이	합격/NNG+률/XSN+이/JKS
20%대에	20/SN+%/SW+대/XSN+에/JKB
머무는	머물/VV+는/ETM
등	등/NNB
실패한	실패/NNG+하/XSV+ㄴ/ETM
일본을	일본/NNP+을/JKO
따라가선	따라가/VV+아서/EC+ㄴ/JX
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.400.12.1
한 원로변호사는 "변호사 수가 급증해 불필요하게 법률분쟁이 양산되면 결국 국민들이 피해를 본다"며 "법조인 대다수가 반대했던 로스쿨을 지난 정권에서 반강제로 도입해 선의의 피해자들이 생기는 것"이라고 말했다.

한	한/MMN
원로변호사는	원로/NNG+변호사/NNG+는/JX
"변호사	"/SS+변호사/NNG
수가	수/NNG+가/JKS
급증해	급증/NNG+하/XSV+아/EC
불필요하게	불/XPN+필요/NNG+하/XSA+게/EC
법률분쟁이	법률/NNG+분쟁/NNG+이/JKS
양산되면	양산/NNG+되/XSV+면/EC
결국	결국/MAG
국민들이	국민/NNG+들/XSN+이/JKS
피해를	피해/NNG+를/JKO
본다"며	보/VV+ㄴ다/EF+"/SS+며/EC
"법조인	"/SS+법조인/NNG
대다수가	대/XPN+다수/NNG+가/JKS
반대했던	반대/NNG+하/XSV+았/EP+던/ETM
로스쿨을	로스쿨/NNG+을/JKO
지난	지나/VV+ㄴ/ETM
정권에서	정권/NNG+에서/JKB
반강제로	반강제/NNG+로/JKB
도입해	도입/NNG+하/XSV+아/EC
선의의	선의/NNG+의/JKG
피해자들이	피해자/NNG+들/XSN+이/JKS
생기는	생기/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


