# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.390
metadata : {}


# id : NWRW1800000033.390.1.1
[박근혜정부 인수위 인선 발표]親朴 → 脫朴 → 復朴… 인수위 실무 지휘자로

[박근혜정부	[/SS+박근혜/NNP+정부/NNG
맡기도	맡/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.390.7.3
이 때문에 그는 박 당선인의 대선 공약을 실현할 적임자로 평가받고 있다.

이	이/NP
때문에	때문/NNB+에/JKB
그는	그/NP+는/JX
박	박/NNP
당선인의	당선인/NNG+의/JKG
대선	대선/NNG
공약을	공약/NNG+을/JKO
실현할	실현/NNG+하/XSV+ㄹ/ETM
적임자로	적임자/NNG+로/JKB
평가받고	평가/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.390.7.4
인수위 직책은 부위원장이지만 위원장이 외부 인사인 만큼 실질적으로 실무를 총괄할 것으로 보인다.

인수위	인수위/NNG
직책은	직책/NNG+은/JX
부위원장이지만	부위원장/NNG+이/VCP+지만/EC
위원장이	위원장/NNG+이/JKS
외부	외부/NNG
인사인	인사/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
실질적으로	실질/NNG+적/XSN+으로/JKB
실무를	실무/NNG+를/JKO
총괄할	총괄/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.390.8.1
△서울(62) △경기고, 서울대 법학과 △사법시험(17회) △서울남부지법 판사, 변호사 △17, 18, 19대 국회의원(서울 용산) △한나라당 대표비서실장 △새누리당 정책위의장 △새누리당 국민행복추진위원회 부위원장

△서울(62)	△/SW+서울/NNP+(/SS+62/SN+)/SS
△경기고,	△/SW+경기고/NNP+,/SP
서울대	서울대/NNP
법학과	법학과/NNG
△사법시험(17회)	△/SW+사법/NNG+시험/NNG+(/SS+17/SN+회/NNB+)/SS
△서울남부지법	△/SW+서울남부지법/NNP
판사,	판사/NNG+,/SP
변호사	변호사/NNG
△17,	△/SW+17/SN+,/SP
18,	18/SN+,/SP
19대	19/SN+대/NNB
국회의원(서울	국회/NNG+의원/NNG+(/SS+서울/NNP
용산)	용산/NNP+)/SS
△한나라당	△/SW+한나라당/NNP
대표비서실장	대표/NNG+비서실장/NNG
△새누리당	△/SW+새누리당/NNP
정책위의장	정책위/NNG+의장/NNG
국민행복추진위원회	국민/NNG+행복/NNG+추진/NNG+위원회/NNG
부위원장	부위원장/NNG


