# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.294
metadata : {}


# id : NWRW1800000021.294.1.1
[횡설수설/정성희]GDP 대체 행복지수

[횡설수설/정성희]GDP	[/SS+횡설수설/NNG+//SP+정성희/NNP+]/SS+GDP/SL
존재한다.	존재/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.294.3.2
소득이 높을수록 행복도가 높아진다면 미국과 일본 국민이 쿠바와 방글라데시 국민보다 행복해야 하는데 각종 조사를 보면 그렇지 않다.

소득이	소득/NNG+이/JKS
높을수록	높/VA+을수록/EC
행복도가	행복도/NNG+가/JKS
높아진다면	높아지/VV+ㄴ다면/EC
미국과	미국/NNP+과/JC
일본	일본/NNP
국민이	국민/NNG+이/JKS
쿠바와	쿠바/NNP+와/JC
방글라데시	방글라데시/NNP
국민보다	국민/NNG+보다/JKB
행복해야	행복/NNG+하/XSA+아야/EC
하는데	하/VX+는데/EC
각종	각종/NNG
조사를	조사/NNG+를/JKO
보면	보/VV+면/EC
그렇지	그렇/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.294.3.3
미국은 1971년부터 1991년까지 20년 동안 국민소득이 83% 증가했지만 행복하다고 느끼는 국민의 비율은 오히려 줄어들었다.

미국은	미국/NNP+은/JX
1971년부터	1971/SN+년/NNB+부터/JX
1991년까지	1991/SN+년/NNB+까지/JX
20년	20/SN+년/NNB
동안	동안/NNG
국민소득이	국민/NNG+소득/NNG+이/JKS
83%	83/SN+%/SW
증가했지만	증가/NNG+하/XSV+았/EP+지만/EC
행복하다고	행복/NNG+하/XSA+다고/EC
느끼는	느끼/VV+는/ETM
국민의	국민/NNG+의/JKG
비율은	비율/NNG+은/JX
오히려	오히려/MAG
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.294.3.4
국민 행복도 조사 중에는 영국 신경제재단(NEF)과 레스터대학의 국민행복지수도 널리 알려져 있는데 2007년도 1위 국가는 바누아투와 덴마크였다.

국민	국민/NNG
행복도	행복도/NNG
조사	조사/NNG
중에는	중/NNB+에/JKB+는/JX
영국	영국/NNP
신경제재단(NEF)과	신/XPN+경제/NNG+재단/NNG+(/SS+NEF/SL+)/SS+과/JC
레스터대학의	레스터대학/NNP+의/JKG
국민행복지수도	국민/NNG+행복/NNG+지수/NNG+도/JX
널리	널리/MAG
알려져	알려지/VV+어/EC
있는데	있/VX+는데/EC
2007년도	2007/SN+년도/NNB
1위	1/SN+위/NNB
국가는	국가/NNG+는/JX
바누아투와	바누아투/NNP+와/JC
덴마크였다.	덴마크/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.294.3.5
바누아투는 태평양의 가난한 섬나라다.

바누아투는	바누아투/NNP+는/JX
태평양의	태평양/NNP+의/JKG
가난한	가난/NNG+하/XSA+ㄴ/ETM
섬나라다.	섬나라/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.294.4.1
▷로버트 케네디 전 미국 상원의원은 생전에 “국민총생산(GNP)은 삶을 살아갈 가치가 있도록 만드는 것을 제외한 나머지 모든 것을 측정하는 것”이라며 소득지표의 한계를 압축적으로 표현했다.

▷로버트	▷/SW+로버트/NNP
케네디	케네디/NNP
전	전/MMD
미국	미국/NNP
상원의원은	상원/NNG+의원/NNG+은/JX
생전에	생전/NNG+에/JKB
“국민총생산(GNP)은	“/SS+국민/NNG+총생산/NNG+(/SS+GNP/SL+)/SS+은/JX
삶을	삶/NNG+을/JKO
살아갈	살아가/VV+ㄹ/ETM
가치가	가치/NNG+가/JKS
있도록	있/VA+도록/EC
만드는	만들/VV+는/ETM
것을	것/NNB+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
나머지	나머지/NNG
모든	모든/MMN
측정하는	측정/NNG+하/XSV+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
소득지표의	소득/NNG+지표/NNG+의/JKG
한계를	한계/NNG+를/JKO
압축적으로	압축/NNG+적/XSN+으로/JKB
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.294.4.2
요즘 국가의 경제활동을 나타내는 지표로 가장 널리 쓰이는 국내총생산(GDP)은 환경악화 등 외부효과나 삶의 질을 제대로 반영하지 못한다는 비판을 받아왔다.

요즘	요즘/NNG
국가의	국가/NNG+의/JKG
경제활동을	경제/NNG+활동/NNG+을/JKO
나타내는	나타내/VV+는/ETM
지표로	지표/NNG+로/JKB
가장	가장/MAG
널리	널리/MAG
쓰이는	쓰이/VV+는/ETM
국내총생산(GDP)은	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS+은/JX
환경악화	환경/NNG+악화/NNG
등	등/NNB
외부효과나	외부/NNG+효과/NNG+나/JC
삶의	삶/NNG+의/JKG
질을	질/NNG+을/JKO
제대로	제대로/MAG
반영하지	반영/NNG+하/XSV+지/EC
못한다는	못하/VX+ㄴ다는/ETM
비판을	비판/NNG+을/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.294.4.3
그럼에도 이를 대체하는 경제지표가 없었던 것은 개인의 행복을 계량화하는 일이 어렵기 때문일 것이다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
이를	이/NP+를/JKO
대체하는	대체/NNG+하/XSV+는/ETM
경제지표가	경제/NNG+지표/NNG+가/JKS
없었던	없/VA+었/EP+던/ETM
것은	것/NNB+은/JX
개인의	개인/NNG+의/JKG
행복을	행복/NNG+을/JKO
계량화하는	계량/NNG+화/XSN+하/XSV+는/ETM
일이	일/NNG+이/JKS
어렵기	어렵/VA+기/ETN
때문일	때문/NNB+이/VCP+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.294.5.1
▷노벨경제학상 수상자인 조지프 스티글리츠 교수와 아마르티아 센 교수가 니콜라 사르코지 프랑스 대통령에게 행복, 웰빙 등의 지표를 포함시킨 새로운 경제지표 권고안을 제출했다.

▷노벨경제학상	▷/SW+노벨/NNP+경제학상/NNG
수상자인	수상자/NNG+이/VCP+ㄴ/ETM
조지프	조지프/NNP
스티글리츠	스티글리츠/NNP
교수와	교수/NNG+와/JC
아마르티아	아마르티아/NNP
센	센/NNP
교수가	교수/NNG+가/JKS
니콜라	니콜라/NNP
사르코지	사르코지/NNP
프랑스	프랑스/NNP
대통령에게	대통령/NNG+에게/JKB
행복,	행복/NNG+,/SP
웰빙	웰빙/NNG
등의	등/NNB+의/JKG
지표를	지표/NNG+를/JKO
포함시킨	포함/NNG+시키/XSV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
경제지표	경제/NNG+지표/NNG
권고안을	권고안/NNG+을/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.294.5.2
새로운 경제지표 창안은 사르코지 대통령의 대선공약이었다.

새로운	새롭/VA+ㄴ/ETM
경제지표	경제/NNG+지표/NNG
창안은	창안/NNG+은/JX
사르코지	사르코지/NNP
대통령의	대통령/NNG+의/JKG
대선공약이었다.	대선/NNG+공약/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.294.5.3
새 지표는 GDP 산출방식의 변경, 새로운 행복 측정법, 환경 및 금융안전성 등 3가지로 구성돼 있다.

새	새/MMA
지표는	지표/NNG+는/JX
GDP	GDP/SL
산출방식의	산출/NNG+방식/NNG+의/JKG
변경,	변경/NNG+,/SP
새로운	새롭/VA+ㄴ/ETM
행복	행복/NNG
측정법,	측정법/NNG+,/SP
환경	환경/NNG
및	및/MAG
금융안전성	금융/NNG+안전/NNG+성/XSN
등	등/NNB
3가지로	3/SN+가지/NNB+로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.294.5.4
사르코지 대통령은 이를 내주 피츠버그에서 열리는 G20 회의에 주요 의제로 상정할 예정이다.

사르코지	사르코지/NNP
대통령은	대통령/NNG+은/JX
이를	이/NP+를/JKO
내주	내주/NNG
피츠버그에서	피츠버그/NNP+에서/JKB
열리는	열리/VV+는/ETM
G20	G/SL+20/SN
회의에	회의/NNG+에/JKB
주요	주요/NNG
의제로	의제/NNG+로/JKB
상정할	상정/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.294.5.5
GDP가 세계 13위권인 우리나라 국민의 행복도는 2007년 NEF와 레스터대학의 조사에서 모두 100위 이하였다.

GDP가	GDP/SL+가/JKS
세계	세계/NNG
13위권인	13/SN+위/NNB+권/XSN+이/VCP+ㄴ/ETM
우리나라	우리나라/NNG
국민의	국민/NNG+의/JKG
행복도는	행복도/NNG+는/JX
2007년	2007/SN+년/NNB
NEF와	NEF/SL+와/JC
레스터대학의	레스터대학/NNP+의/JKG
조사에서	조사/NNG+에서/JKB
모두	모두/MAG
100위	100/SN+위/NNB
이하였다.	이하/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.294.5.6
스티글리츠-센 방식에 따른 행복도는 어떨지 궁금하다.

스티글리츠-센	스티글리츠/NNP+-/SO+센/NNP
방식에	방식/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
행복도는	행복도/NNG+는/JX
어떨지	어떻/VA+ㄹ지/EF
궁금하다.	궁금하/VA+다/EF+./SF


