# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.109
metadata : {}


# id : NWRW1800000041.109.1.1
두근두근 뮤지컬

두근두근	두근두근/MAG
맞추겠다”고	맞추/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.109.8.1
지난달 공개 오디션 공모를 시작해 8월 막을 올리는 ‘스위니 토드’는 ‘웨스트사이드 스토리’의 작사가 스티븐 손드하임(84)의 대표작이다.

지난달	지난달/NNG
공개	공개/NNG
오디션	오디션/NNG
공모를	공모/NNG+를/JKO
시작해	시작/NNG+하/XSV+아/EC
8월	8/SN+월/NNB
막을	막/NNG+을/JKO
올리는	올리/VV+는/ETM
‘스위니	‘/SS+스위니/NNP
토드’는	토드/NNP+’/SS+는/JX
‘웨스트사이드	‘/SS+웨스트사이드/NNP
스토리’의	스토리/NNP+’/SS+의/JKG
작사가	작사가/NNG
스티븐	스티븐/NNP
손드하임(84)의	손드하임/NNP+(/SS+84/SN+)/SS+의/JKG
대표작이다.	대표작/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.109.8.2
1979년 미국 뉴욕 브로드웨이에서 초연해 토니상 작품상 등 8개 부문을 가져갔다.

1979년	1979/SN+년/NNB
미국	미국/NNP
뉴욕	뉴욕/NNP
브로드웨이에서	브로드웨이/NNP+에서/JKB
초연해	초연/NNG+하/XSV+아/EC
토니상	토니상/NNG
작품상	작품상/NNG
등	등/NNB
8개	8/SN+개/NNB
부문을	부문/NNG+을/JKO
가져갔다.	가져가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.109.8.3
19세기 산업혁명 초기 런던을 배경으로 벌어지는 한 남자의 처절한 복수극을 담았다.

19세기	19/SN+세기/NNG
산업혁명	산업/NNG+혁명/NNG
초기	초기/NNG
런던을	런던/NNP+을/JKO
배경으로	배경/NNG+으로/JKB
벌어지는	벌어지/VV+는/ETM
한	한/MMN
남자의	남자/NNG+의/JKG
처절한	처절/NNG+하/XSA+ㄴ/ETM
복수극을	복수극/NNG+을/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.109.8.4
2008년 팀 버튼 감독이 조니 뎁을 기용해 영화로도 만들었다.

2008년	2008/SN+년/NNB
팀	팀/NNP
버튼	버튼/NNP
감독이	감독/NNG+이/JKS
조니	조니/NNP
뎁을	뎁/NNP+을/JKO
기용해	기용/NNG+하/XSV+아/EC
영화로도	영화/NNG+로/JKB+도/JX
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.109.8.5
2007년 국내 초연 후 7년 만의 재공연이다.

2007년	2007/SN+년/NNB
국내	국내/NNG
초연	초연/NNG
후	후/NNG
7년	7/SN+년/NNB
만의	만/NNB+의/JKG
재공연이다.	재/XPN+공연/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.109.9.1
2014년을 마무리하는 12월의 기대작은 단연 ‘원스’다.

2014년을	2014/SN+년/NNB+을/JKO
마무리하는	마무리/NNG+하/XSV+는/ETM
12월의	12/SN+월/NNB+의/JKG
기대작은	기대작/NNG+은/JX
단연	단연/MAG
‘원스’다.	‘/SS+원스/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.109.9.2
2008년 제80회 아카데미 주제가상을 받은 저예산 영화를 무대로 옮겨 2년 전 토니상 시상식에서 작품 연출 남우주연상을 비롯해 8개 부문을 쓸어 담았다.

2008년	2008/SN+년/NNB
제80회	제/XPN+80/SN+회/NNB
아카데미	아카데미/NNG
주제가상을	주제가/NNG+상/NNG+을/JKO
받은	받/VV+은/ETM
저예산	저/XPN+예산/NNG
영화를	영화/NNG+를/JKO
무대로	무대/NNG+로/JKB
옮겨	옮기/VV+어/EC
2년	2/SN+년/NNB
전	전/NNG
토니상	토니상/NNG
시상식에서	시상식/NNG+에서/JKB
작품	작품/NNG
연출	연출/NNG
남우주연상을	남우/NNG+주연상/NNG+을/JKO
비롯해	비롯하/VV+아/EC
8개	8/SN+개/NNB
부문을	부문/NNG+을/JKO
쓸어	쓸/VV+어/EC
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.109.9.3
오케스트라 없이 배우들이 직접 악기를 연주하는 소박한 무대를, 중세 유럽풍의 화려한 의상과 무대에 익숙한 국내 관객이 어떻게 받아들일지가 관건이다.

오케스트라	오케스트라/NNG
없이	없이/MAG
배우들이	배우/NNG+들/XSN+이/JKS
직접	직접/MAG
악기를	악기/NNG+를/JKO
연주하는	연주/NNG+하/XSV+는/ETM
소박한	소박하/VA+ㄴ/ETM
무대를,	무대/NNG+를/JKO+,/SP
중세	중세/NNG
유럽풍의	유럽/NNP+풍/XSN+의/JKG
화려한	화려하/VA+ㄴ/ETM
의상과	의상/NNG+과/JC
무대에	무대/NNG+에/JKB
익숙한	익숙하/VA+ㄴ/ETM
국내	국내/NNG
관객이	관객/NNG+이/JKS
어떻게	어떻/VA+게/EC
받아들일지가	받아들이/VV+ㄹ지/EF+가/JKS
관건이다.	관건/NNG+이/VCP+다/EF+./SF


