# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.145
metadata : {}


# id : NWRW1800000030.145.1.1
강원 도민저축은행, 일방적 휴업 선언

강원	강원/NNP
금융위원회는 이날 도민저축은행에 대해 무단 휴업의 부당성을 지적하고 "영업을 재개하라"고 요구했지만, 거부당하자 이날 밤늦게 6개월 영업정지 조치를 내렸다.

금융위원회는	금융/NNG+위원회/NNG+는/JX
이날	이날/NNG
도민저축은행에	도민저축은행/NNP+에/JKB
대해	대하/VV+아/EC
무단	무단/NNG
휴업의	휴업/NNG+의/JKG
부당성을	부당/NNG+성/XSN+을/JKO
지적하고	지적/NNG+하/XSV+고/EC
"영업을	"/SS+영업/NNG+을/JKO
재개하라"고	재개/NNG+하/XSV+라/EF+"/SS+고/JKQ
요구했지만,	요구/NNG+하/XSV+았/EP+지만/EC+,/SP
거부당하자	거부/NNG+당하/XSV+자/EC
밤늦게	밤늦/VA+게/EC
6개월	6/SN+개월/NNB
영업정지	영업/NNG+정지/NNG
조치를	조치/NNG+를/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.145.4.1
도민저축은행은 금융위원회가 자기자본비율(은행의 건전성을 나타내는 지표)이 정상 수준(5%)을 밑돌아 부실이 우려된다고 발표한 5개 저축은행 중 한 곳이다.

도민저축은행은	도민저축은행/NNP+은/JX
금융위원회가	금융/NNG+위원회/NNG+가/JKS
자기자본비율(은행의	자기/NNG+자본/NNG+비율/NNG+(/SS+은행/NNG+의/JKG
건전성을	건전/NNG+성/XSN+을/JKO
나타내는	나타내/VV+는/ETM
지표)이	지표/NNG+)/SS+이/JKS
정상	정상/NNG
수준(5%)을	수준/NNG+(/SS+5/SN+%/SW+)/SS+을/JKO
밑돌아	밑돌/VV+아/EC
부실이	부실/NNG+이/JKS
우려된다고	우려/NNG+되/XSV+ㄴ다고/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
5개	5/SN+개/NNB
저축은행	저축/NNG+은행/NNG
중	중/NNB
한	한/MMN
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.145.4.2
도민저축은행은 지난달 금융감독원 검사에서 재무 상태가 부실한 것으로 나타났고, 오는 24일까지 경영 개선 계획안을 금감원에 제출할 예정이었다.

도민저축은행은	도민저축은행/NNP+은/JX
지난달	지난달/NNG
금융감독원	금융/NNG+감독원/NNG
검사에서	검사/NNG+에서/JKB
재무	재무/NNG
상태가	상태/NNG+가/JKS
부실한	부실/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났고,	나타나/VV+았/EP+고/EC+,/SP
오는	오/VV+는/ETM
24일까지	24/SN+일/NNB+까지/JX
경영	경영/NNG
개선	개선/NNG
계획안을	계획안/NNG+을/JKO
금감원에	금감원/NNG+에/JKB
제출할	제출/NNG+하/XSV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.145.5.1
이번 조치로 그동안 금융권에서 부실 우려가 있는 저축은행으로 지목돼온 7곳(부산·부산2·중앙부산·대전·전주·보해·도민)이 모두 영업정지를 당해 저축은행 구조조정이 일단락된 것으로 보인다.

이번	이번/NNG
조치로	조치/NNG+로/JKB
그동안	그동안/NNG
금융권에서	금융/NNG+권/XSN+에서/JKB
부실	부실/NNG
우려가	우려/NNG+가/JKS
있는	있/VA+는/ETM
저축은행으로	저축/NNG+은행/NNG+으로/JKB
지목돼온	지목/NNG+되/XSV+어/EC+오/VX+ㄴ/ETM
7곳(부산·부산2·중앙부산·대전·전주·보해·도민)이	7/SN+곳/NNG+(/SS+부산/NNP+·/SP+부산/NNP+2/SN+·/SP+중앙/NNG+부산/NNP+·/SP+대전/NNP+·/SP+전주/NNP+·/SP+보해/NNP+·/SP+도민/NNP+)/SS+이/JKS
모두	모두/MAG
영업정지를	영업/NNG+정지/NNG+를/JKO
당해	당하/VV+아/EC
저축은행	저축/NNG+은행/NNG
구조조정이	구조/NNG+조정/NNG+이/JKS
일단락된	일단락/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.145.5.2
금융위 관계자는 "나머지 저축은행 97곳에 대해서는 예금 대량 인출사태만 발생하지 않으면 상반기 중에 추가 영업정지를 하지 않을 것"이라며 예금자들을 안심시켰다.

금융위	금융위/NNG
관계자는	관계자/NNG+는/JX
"나머지	"/SS+나머지/NNG
저축은행	저축/NNG+은행/NNG
97곳에	97/SN+곳/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
예금	예금/NNG
대량	대량/NNG
인출사태만	인출/NNG+사태/NNG+만/JX
발생하지	발생/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
상반기	상반기/NNG
중에	중/NNB+에/JKB
추가	추가/NNG
영업정지를	영업/NNG+정지/NNG+를/JKO
하지	하/VV+지/EC
않을	않/VX+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
예금자들을	예금자/NNG+들/XSN+을/JKO
안심시켰다.	안심/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.145.6.1
금융당국과 저축은행중앙회에 따르면 그동안 예금 인출이 집중됐던 부산지역 저축은행 10곳의 예금 인출액은 이날 360억원으로 전날(900억원)의 3분의 1 수준으로 감소했다.

금융당국과	금융/NNG+당국/NNG+과/JC
저축은행중앙회에	저축/NNG+은행/NNG+중앙회/NNG+에/JKB
따르면	따르/VV+면/EC
그동안	그동안/NNG
예금	예금/NNG
인출이	인출/NNG+이/JKS
집중됐던	집중/NNG+되/XSV+었/EP+던/ETM
부산지역	부산지역/NNP
저축은행	저축/NNG+은행/NNG
10곳의	10/SN+곳/NNG+의/JKG
인출액은	인출액/NNG+은/JX
이날	이날/NNG
360억원으로	360/SN+억/NR+원/NNB+으로/JKB
전날(900억원)의	전날/NNG+(/SS+900/SN+억/NR+원/NNB+)/SS+의/JKG
3분의	3/SN+분/XSN+의/JKG
1	1/SN
수준으로	수준/NNG+으로/JKB
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.145.7.1
이날 김석동 금융위원장은 지난 19일 영업정지된 보해저축은행의 본점이 있는 전남 목포를 찾아 지역 민심 잡기에 나섰다.

이날	이날/NNG
김석동	김석동/NNP
금융위원장은	금융/NNG+위원장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
영업정지된	영업/NNG+정지/NNG+되/XSV+ㄴ/ETM
보해저축은행의	보해저축은행/NNP+의/JKG
본점이	본점/NNG+이/JKS
있는	있/VA+는/ETM
전남	전남/NNP
목포를	목포/NNP+를/JKO
찾아	찾/VV+아/EC
지역	지역/NNG
민심	민심/NNG
잡기에	잡/VV+기/ETN+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.145.7.2
김 위원장은 이날 '목포·전남지역 저축은행 예금자 및 기업·서민 금융지원 대책회의'에 참석해 "보해저축은행의 자구 노력이 성공적으로 이행돼 BIS비율 등 경영 상태가 호전되고 충분한 유동성이 확보되면 6개월 영업정지 기간 이내에도 영업 재개가 가능하다"고 밝혔다.

김	김/NNP
위원장은	위원장/NNG+은/JX
이날	이날/NNG
'목포·전남지역	'/SS+목포/NNP+·/SP+전남지역/NNP
저축은행	저축/NNG+은행/NNG
예금자	예금자/NNG
및	및/MAG
기업·서민	기업/NNG+·/SP+서민/NNG
금융지원	금융/NNG+지원/NNG
대책회의'에	대책/NNG+회의/NNG+'/SS+에/JKB
참석해	참석/NNG+하/XSV+아/EC
"보해저축은행의	"/SS+보해저축은행/NNP+의/JKG
자구	자구/NNG
노력이	노력/NNG+이/JKS
성공적으로	성공/NNG+적/XSN+으로/JKB
이행돼	이행/NNG+되/XSV+어/EC
BIS비율	BIS/SL+비율/NNG
등	등/NNB
경영	경영/NNG
상태가	상태/NNG+가/JKS
호전되고	호전/NNG+되/XSV+고/EC
충분한	충분하/VA+ㄴ/ETM
유동성이	유동/NNG+성/XSN+이/JKS
확보되면	확보/NNG+되/XSV+면/EC
6개월	6/SN+개월/NNB
영업정지	영업/NNG+정지/NNG
기간	기간/NNG
이내에도	이내/NNG+에/JKB+도/JX
영업	영업/NNG
재개가	재개/NNG+가/JKS
가능하다"고	가능/NNG+하/XSA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.145.7.3
보해저축은행은 일시적인 유동성 부족으로 영업정지됐지만, 대주주인 임건우 보해양조 회장이 "5000만원 초과 예금도 전액 보장하겠다"고 밝힌 이후 급속히 안정을 찾아가고 있다고 금융위는 밝혔다.

보해저축은행은	보해저축은행/NNP+은/JX
일시적인	일시/NNG+적/XSN+이/VCP+ㄴ/ETM
유동성	유동/NNG+성/XSN
부족으로	부족/NNG+으로/JKB
영업정지됐지만,	영업/NNG+정지/NNG+되/XSV+었/EP+지만/EC+,/SP
대주주인	대/XPN+주주/NNG+이/VCP+ㄴ/ETM
임건우	임건우/NNP
보해양조	보해양조/NNP
회장이	회장/NNG+이/JKS
"5000만원	"/SS+5000/SN+만/NR+원/NNB
초과	초과/NNG
예금도	예금/NNG+도/JX
전액	전액/NNG
보장하겠다"고	보장/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
이후	이후/NNG
급속히	급속히/MAG
안정을	안정/NNG+을/JKO
찾아가고	찾아가/VV+고/EC
있다고	있/VX+다고/EC
금융위는	금융위/NNG+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


