# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.85
metadata : {}


# id : NWRW1800000026.85.1.1
이규혁, 모교 고려대에서 명예 금메달 받아;"도전 정신이 금메달보다 빛났어요"

이규혁,	이규혁/NNP+,/SP
거리가	거리/NNG+가/JKS
멀었지만	멀/VA+었/EP+지만/EC
4전5기라는	4전5기/NNG+이/VCP+라는/ETM
도전과	도전/NNG+과/JC
근성을	근성/NNG+을/JKO
보여줘	보이/VV+어/EC+주/VX+어/EC
후배들과	후배/NNG+들/XSN+과/JKB
국민에게	국민/NNG+에게/JKB
깊은	깊/VA+은/ETM
감동을	감동/NNG+을/JKO
준	주/VV+ㄴ/ETM
이규혁	이규혁/NNP
선수에게	선수/NNG+에게/JKB
금메달을	금메달/NNG+을/JKO
수여하기로	수여/NNG+하/XSV+기/ETN+로/JKB
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
시상	시상/NNG
이유를	이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.85.4.2
고려대의 상징인 호랑이 무늬가 새겨진 순금 15돈짜리 금메달이다.

고려대의	고려대/NNP+의/JKG
상징인	상징/NNG+이/VCP+ㄴ/ETM
호랑이	호랑이/NNG
무늬가	무늬/NNG+가/JKS
새겨진	새기/VV+어/EC+지/VX+ㄴ/ETM
순금	순금/NNG
15돈짜리	15/SN+돈/NNB+짜리/XSN
금메달이다.	금메달/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.85.4.3
뒷면에는 '영원한 국가대표 이규혁 올림픽 5회 출전'이라는 글이 쓰여 있다.

뒷면에는	뒷면/NNG+에/JKB+는/JX
'영원한	'/SS+영원/NNG+하/XSA+ㄴ/ETM
국가대표	국가/NNG+대표/NNG
이규혁	이규혁/NNP
올림픽	올림픽/NNG
5회	5/SN+회/NNB
출전'이라는	출전/NNG+'/SS+이/VCP+라는/ETM
글이	글/NNG+이/JKS
쓰여	쓰이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.85.5.1
이규혁 선수는 겨우 13세이던 1991년부터 국가대표로 활약했고, 1996년 세계주니어선수권대회에서 500m 주니어 세계신기록을 달성하는 등 눈부신 활약을 보였다.

이규혁	이규혁/NNP
선수는	선수/NNG+는/JX
겨우	겨우/MAG
13세이던	13/SN+세/NNB+이/VCP+던/ETM
1991년부터	1991/SN+년/NNB+부터/JX
국가대표로	국가/NNG+대표/NNG+로/JKB
활약했고,	활약/NNG+하/XSV+았/EP+고/EC+,/SP
1996년	1996/SN+년/NNB
세계주니어선수권대회에서	세계/NNG+주니어/NNG+선수/NNG+권/XSN+대회/NNG+에서/JKB
500m	500/SN+m/SW
주니어	주니어/NNG
세계신기록을	세계/NNG+신/XPN+기록/NNG+을/JKO
달성하는	달성/NNG+하/XSV+는/ETM
등	등/NNB
눈부신	눈부시/VA+ㄴ/ETM
활약을	활약/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.85.5.2
하지만 어쩐 일인지 올림픽과는 인연을 맺지 못했다.

하지만	하지만/MAJ
어쩐	어쩌/VV+ㄴ/ETM
일인지	일/NNG+이/VCP+ㄴ지/EC
올림픽과는	올림픽/NNG+과/JKB+는/JX
인연을	인연/NNG+을/JKO
맺지	맺/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.85.5.3
1994년 릴레함메르 동계올림픽부터 2010년 밴쿠버 동계올림픽까지 무려 5번에 걸쳐 국가대표로 출전했지만 메달을 따지는 못하면서 '무관의 제왕'으로 불렸다.

1994년	1994/SN+년/NNB
릴레함메르	릴레함메르/NNP
동계올림픽부터	동계/NNG+올림픽/NNG+부터/JX
2010년	2010/SN+년/NNB
밴쿠버	밴쿠버/NNP
동계올림픽까지	동계/NNG+올림픽/NNG+까지/JX
무려	무려/MAG
5번에	5/SN+번/NNB+에/JKB
걸쳐	걸치/VV+어/EC
국가대표로	국가/NNG+대표/NNG+로/JKB
출전했지만	출전/NNG+하/XSV+았/EP+지만/EC
메달을	메달/NNG+을/JKO
따지는	따/VV+지/EC+는/JX
못하면서	못하/VX+면서/EC
'무관의	'/SS+무관/NNG+의/JKG
제왕'으로	제왕/NNG+'/SS+으로/JKB
불렸다.	불리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.85.5.4
고려대 이기수 총장은 시상식에서 "이규혁 선수가 20년간 국가대표로 활약하며 보여준 도전 정신을 높이 살 만하다"며 "세상에서 가장 값진 메달은 멈추지 않는 도전일 것"이라고 격려했다.

고려대	고려대/NNP
이기수	이기수/NNP
총장은	총장/NNG+은/JX
시상식에서	시상식/NNG+에서/JKB
"이규혁	"/SS+이규혁/NNP
선수가	선수/NNG+가/JKS
20년간	20/SN+년/NNB+간/XSN
국가대표로	국가/NNG+대표/NNG+로/JKB
활약하며	활약/NNG+하/XSV+며/EC
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
도전	도전/NNG
정신을	정신/NNG+을/JKO
높이	높이/MAG
살	살/VV+ㄹ/ETM
만하다"며	만/NNB+하/XSA+다/EF+"/SS+며/EC
"세상에서	"/SS+세상/NNG+에서/JKB
가장	가장/MAG
값진	값지/VA+ㄴ/ETM
메달은	메달/NNG+은/JX
멈추지	멈추/VV+지/EC
않는	않/VX+는/ETM
도전일	도전/NNG+이/VCP+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.85.5.5
이 선수는 "이렇게 따로 자리를 마련해 주니 몸 둘 바를 모르겠다"고 했다.

이	이/NNP
선수는	선수/NNG+는/JX
"이렇게	"/SS+이렇/VA+게/EC
따로	따로/MAG
자리를	자리/NNG+를/JKO
마련해	마련/NNG+하/XSV+아/EC
주니	주/VX+니/EC
몸	몸/NNG
둘	두/VV+ㄹ/ETM
바를	바/NNB+를/JKO
모르겠다"고	모르/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.85.5.6
그러면서도 금메달을 직접 깨물어 보는 등 기쁜 마음을 감추지 않았다.

그러면서도	그러/VV+면서/EC+도/JX
금메달을	금메달/NNG+을/JKO
직접	직접/MAG
깨물어	깨물/VV+어/EC
보는	보/VX+는/ETM
등	등/NNB
기쁜	기쁘/VA+ㄴ/ETM
마음을	마음/NNG+을/JKO
감추지	감추/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


