# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.399
metadata : {}


# id : NWRW1800000046.399.1.1
"北, 고려 유물들 제대로 보존처리 안 하고 전시"

"北,	"/SS+北/SH+,/SP
"만월대에서	"/SS+만월대/NNP+에서/JKB
발굴된	발굴/NNG+되/XSV+ㄴ/ETM
고려청자와	고려청자/NNG+와/JC
기와,	기와/NNG+,/SP
청동기	청동기/NNG
등	등/NNB
각종	각종/NNG
유물이	유물/NNG+이/JKS
보존	보존/NNG
처리가	처리/NNG+가/JKS
미흡한	미흡/NNG+하/XSA+ㄴ/ETM
상태"라며	상태/NNG+"/SS+이/VCP+라며/EC
"개성	"/SS+개성/NNP
성균관	성균관/NNP
내의	내/NNB+의/JKG
임시	임시/NNG
건물에	건물/NNG+에/JKB
전시돼	전시/NNG+되/XSV+어/EC
있어	있/VX+어/EC
우리	우리/NP
정부의	정부/NNG+의/JKG
지원이	지원/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
상황"이라고	상황/NNG+"/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.399.6.1
여야 의원들은 이날 "통일 시대를 대비하는 차원에서 문화재 발굴과 보존을 적극 지원하자"고 제안했다.

여야	여야/NNG
의원들은	의원/NNG+들/XSN+은/JX
이날	이날/NNG
"통일	"/SS+통일/NNG
시대를	시대/NNG+를/JKO
대비하는	대비/NNG+하/XSV+는/ETM
차원에서	차원/NNG+에서/JKB
문화재	문화재/NNG
발굴과	발굴/NNG+과/JC
보존을	보존/NNG+을/JKO
적극	적극/NNG
지원하자"고	지원/NNG+하/XSV+자/EF+"/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.399.6.2
원유철 새누리당 원내대표는 "공동 유물 발굴을 통해 남북한이 역사 인식에 대한 접점을 찾을 수 있을 것"이라고 했다.

원유철	원유철/NNP
새누리당	새누리당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
"공동	"/SS+공동/NNG
유물	유물/NNG
발굴을	발굴/NNG+을/JKO
통해	통하/VV+아/EC
남북한이	남북한/NNP+이/JKS
역사	역사/NNG
인식에	인식/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
접점을	접점/NNG+을/JKO
찾을	찾/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.399.6.3
김성곤 새정치연합 의원은 "만월대 복원 현장은 나중에 북한 지역의 굉장히 큰 관광 자원이 될 것"이라고 했다.

김성곤	김성곤/NNP
새정치연합	새정치연합/NNP
의원은	의원/NNG+은/JX
"만월대	"/SS+만월대/NNP
복원	복원/NNG
현장은	현장/NNG+은/JX
나중에	나중/NNG+에/JKB
북한	북한/NNP
지역의	지역/NNG+의/JKG
굉장히	굉장히/MAG
큰	크/VA+ㄴ/ETM
관광	관광/NNG
자원이	자원/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.399.7.1
외통위는 남북역사학자협의회 위원장을 맡고 있는 최광식 전 문화부 장관 등 민간 채널을 통해 공동 전시회와 유물 발굴 등을 확대해 나갈 방침이다.

외통위는	외통위/NNG+는/JX
남북역사학자협의회	남북역사학자협의회/NNP
위원장을	위원장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
최광식	최광식/NNP
전	전/MMD
문화부	문화부/NNG
장관	장관/NNG
등	등/NNB
민간	민간/NNG
채널을	채널/NNG+을/JKO
통해	통하/VV+아/EC
공동	공동/NNG
전시회와	전시회/NNG+와/JKB
유물	유물/NNG
발굴	발굴/NNG
등을	등/NNB+을/JKO
확대해	확대/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.399.7.2
나경원 외통위원장은 "제2, 제3의 공동 발굴 사업을 추진해야 한다"며 "고구려 고분 발굴과 DMZ 내 궁예 도성 발굴 사업 등을 최우선적으로 검토하겠다"고 말했다.

나경원	나경원/NNP
외통위원장은	외통위원장/NNG+은/JX
"제2,	"/SS+제/XPN+2/SN+,/SP
제3의	제/XPN+3/SN+의/JKG
공동	공동/NNG
발굴	발굴/NNG
사업을	사업/NNG+을/JKO
추진해야	추진/NNG+하/XSV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"고구려	"/SS+고구려/NNP
고분	고분/NNG
발굴과	발굴/NNG+과/JC
DMZ	DMZ/SL
내	내/NNB
궁예	궁예/NNP
도성	도성/NNG
사업	사업/NNG
등을	등/NNB+을/JKO
최우선적으로	최/XPN+우선/NNG+적/XSN+으로/JKB
검토하겠다"고	검토/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


