# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.311
metadata : {}


# id : NWRW1800000030.311.1.1
日, 대형 잠수함 늘리고 美는 7함대 항모 증편

日,	日/SH+,/SP
신방위대강을	신/XPN+방위/NNG+대강/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.311.6.1
베트남도 지난해 러시아로부터 잠수함 6척을 사들였다.

베트남도	베트남/NNP+도/JX
지난해	지난해/NNG
러시아로부터	러시아/NNP+로부터/JKB
잠수함	잠수함/NNG
6척을	6/SN+척/NNB+을/JKO
사들였다.	사들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.311.7.1
중국 항모와 관련, 미국의 구체적인 움직임은 아직 없다.

중국	중국/NNP
항모와	항모/NNG+와/JKB
관련,	관련/NNG+,/SP
미국의	미국/NNP+의/JKG
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
움직임은	움직임/NNG+은/JX
아직	아직/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.311.7.2
그러나 중국 항모에 가장 신경쓰는 나라는 중국 주변 해역의 제해권을 갖고 있는 미국이라는 게 베이징 외교가의 관측이다.

그러나	그러나/MAJ
중국	중국/NNP
항모에	항모/NNG+에/JKB
가장	가장/MAG
신경쓰는	신경/NNG+쓰/VV+는/ETM
나라는	나라/NNG+는/JX
주변	주변/NNG
해역의	해역/NNG+의/JKG
제해권을	제해/NNG+권/XSN+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
미국이라는	미국/NNP+이/VCP+라는/ETM
게	거/NNB+이/JKS
베이징	베이징/NNP
외교가의	외교가/NNG+의/JKG
관측이다.	관측/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.311.7.3
미국은 지난해 말 제7함대가 관할하는 서태평양지역의 항모 숫자를 평소 1척에서 3척으로 늘렸다.

미국은	미국/NNP+은/JX
지난해	지난해/NNG
말	말/NNB
제7함대가	제/XPN+7/SN+함대/NNG+가/JKS
관할하는	관할/NNG+하/XSV+는/ETM
서태평양지역의	서태평양/NNP+지역/NNG+의/JKG
항모	항모/NNG
숫자를	숫자/NNG+를/JKO
평소	평소/NNG
1척에서	1/SN+척/NNB+에서/JKB
3척으로	3/SN+척/NNB+으로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.311.7.4
북한의 도발에 대응하기 위한 것이 주목적이라는 관측이 많았지만 중국 내부에서는 중국 해군의 원양(遠洋) 진출을 견제하기 위한 목적이라는 분석도 나왔다.

북한의	북한/NNP+의/JKG
도발에	도발/NNG+에/JKB
대응하기	대응/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
주목적이라는	주목적/NNG+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
많았지만	많/VA+았/EP+지만/EC
중국	중국/NNP
내부에서는	내부/NNG+에서/JKB+는/JX
해군의	해군/NNG+의/JKG
원양(遠洋)	원양/NNG+(/SS+遠洋/SH+)/SS
진출을	진출/NNG+을/JKO
견제하기	견제/NNG+하/XSV+기/ETN
목적이라는	목적/NNG+이/VCP+라는/ETM
분석도	분석/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.311.8.1
석유 수송로 확보를 위한 중국의 인도양 진출에 인도도 민감하게 반응하고 있다.

석유	석유/NNG
수송로	수송로/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
중국의	중국/NNP+의/JKG
인도양	인도양/NNP
진출에	진출/NNG+에/JKB
인도도	인도/NNP+도/JX
민감하게	민감/NNG+하/XSA+게/EC
반응하고	반응/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.311.8.2
이미 3척의 항공모함을 보유한 인도는 12억달러를 들여 러시아의 4만4000t급 항모 '아드미랄 고르시코프'호를 도입, 리모델링하는 계획을 추진 중이다.

이미	이미/MAG
3척의	3/SN+척/NNB+의/JKG
항공모함을	항공/NNG+모함/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
인도는	인도/NNP+는/JX
12억달러를	12/SN+억/NR+달러/NNB+를/JKO
들여	들이/VV+어/EC
러시아의	러시아/NNP+의/JKG
4만4000t급	4/SN+만/NR+4000/SN+t/SW+급/NNG
항모	항모/NNG
'아드미랄	'/SS+아드미랄/NNG
고르시코프'호를	고르시코프/NNP+'/SS+호/NA+를/JKO
도입,	도입/NNG+,/SP
리모델링하는	리모델링/NNG+하/XSV+는/ETM
계획을	계획/NNG+을/JKO
추진	추진/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


