# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.78
metadata : {}


# id : NWRW1800000029.78.1.1
[단독]대우조선해양, 인도네시아와 단독 협상… 1조2000억 잠수함 수출 ‘다된 밥’

[단독]대우조선해양,	[/SS+단독/NNG+]/SS+대우조선해양/NNP+,/SP
잠수함	잠수함/NNG
2척의	2/SN+척/NNB+의/JKG
성능	성능/NNG
개량	개량/NNG
및	및/MAG
정비	정비/NNG
프로젝트를	프로젝트/NNG+를/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
마쳐	마치/VV+어/EC
건조	건조/NNG
기술력에	기술력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신뢰를	신뢰/NNG+를/JKO
쌓은	쌓/VV+은/ETM
점도	점/NNG+도/JX
긍정적으로	긍정/NNG+적/XSN+으로/JKB
작용했다.	작용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.78.6.1
7월 프랑스 업체와 대우조선해양이 1차 협상자가 된 이후 인도네시아가 프랑스 업체와의 협상을 파기하면서 대우조선해양은 단독 협상을 진행하게 됐다.

7월	7/SN+월/NNB
프랑스	프랑스/NNP
업체와	업체/NNG+와/JC
대우조선해양이	대우조선해양/NNP+이/JKS
1차	1/SN+차/NNB
협상자가	협상자/NNG+가/JKC
된	되/VV+ㄴ/ETM
이후	이후/NNG
인도네시아가	인도네시아/NNP+가/JKS
업체와의	업체/NNG+와/JKB+의/JKG
협상을	협상/NNG+을/JKO
파기하면서	파기/NNG+하/XSV+면서/EC
대우조선해양은	대우조선해양/NNP+은/JX
단독	단독/NNG
진행하게	진행/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.78.6.2
앞으로 대우조선해양과 인도네시아 국방부는 잠수함의 세부적인 기술 사양, 계약 내용 등에 관한 실무적인 조율 작업을 진행한다.

앞으로	앞/NNG+으로/JKB
대우조선해양과	대우조선해양/NNP+과/JKB
인도네시아	인도네시아/NNP
국방부는	국방부/NNG+는/JX
잠수함의	잠수함/NNG+의/JKG
세부적인	세부/NNG+적/XSN+이/VCP+ㄴ/ETM
기술	기술/NNG
사양,	사양/NNG+,/SP
계약	계약/NNG
내용	내용/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
실무적인	실무/NNG+적/XSN+이/VCP+ㄴ/ETM
조율	조율/NNG
작업을	작업/NNG+을/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.78.6.3
대우조선해양은 “인도네시아에 수출될 잠수함은 수출용으로 독자 개발한 1400t 급”이라며 “곧 우선협상대상자 선정에 이어 11월 최종 계약을 마무리할 수 있을 것”이라고 설명했다.

대우조선해양은	대우조선해양/NNP+은/JX
“인도네시아에	“/SS+인도네시아/NNP+에/JKB
수출될	수출/NNG+되/XSV+ㄹ/ETM
잠수함은	잠수함/NNG+은/JX
수출용으로	수출/NNG+용/XSN+으로/JKB
독자	독자/NNG
개발한	개발/NNG+하/XSV+ㄴ/ETM
1400t	1400/SN+t/SW
급”이라며	급/NNG+”/SS+이/VCP+라며/EC
“곧	“/SS+곧/MAG
우선협상대상자	우선/NNG+협상/NNG+대상자/NNG
선정에	선정/NNG+에/JKB
이어	잇/VV+어/EC
11월	11/SN+월/NNB
최종	최종/NNG
계약을	계약/NNG+을/JKO
마무리할	마무리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.78.7.1
이번 프로젝트는 T-50의 인도네시아 수출처럼 지난해 12월 한-인도네시아 정상회담 당시 양국 간 방산협력을 강화하기로 한 것이 영향을 미쳤다는 분석이 있다.

이번	이번/NNG
프로젝트는	프로젝트/NNG+는/JX
T-50의	T/SL+-/SO+50/SN+의/JKG
인도네시아	인도네시아/NNP
수출처럼	수출/NNG+처럼/JKB
지난해	지난해/NNG
12월	12/SN+월/NNB
한-인도네시아	한/NNP+-/SO+인도네시아/NNP
정상회담	정상/NNG+회담/NNG
당시	당시/NNG
양국	양국/NNG
간	간/NNB
방산협력을	방산/NNG+협력/NNG+을/JKO
강화하기로	강화/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
영향을	영향/NNG+을/JKO
미쳤다는	미치/VV+었/EP+다는/ETM
분석이	분석/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.78.7.2
대우조선해양 관계자는 “국방부, 지식경제부, 외교통상부, 방위사업청, 해군 등 민·관·군이 합심해 매달린 결과”라며 “1990년대 초 우리나라는 독일, 프랑스 등에서 전수받은 기술로 잠수함 건조를 시작했는데 이제는 우리에게 기술을 전수해준 국가를 제치는 수준이 됐다”고 설명했다.

대우조선해양	대우조선해양/NNP
관계자는	관계자/NNG+는/JX
“국방부,	“/SS+국방부/NNG+,/SP
지식경제부,	지식/NNG+경제부/NNG+,/SP
외교통상부,	외교/NNG+통상부/NNG+,/SP
방위사업청,	방위/NNG+사업청/NNG+,/SP
해군	해군/NNG
등	등/NNB
민·관·군이	민·관·군/NNG+이/JKS
합심해	합심/NNG+하/XSV+아/EC
매달린	매달리/VV+ㄴ/ETM
결과”라며	결과/NNG+”/SS+이/VCP+라며/EC
“1990년대	“/SS+1990/SN+년대/NNB
초	초/NNB
우리나라는	우리나라/NNG+는/JX
독일,	독일/NNP+,/SP
프랑스	프랑스/NNP
등에서	등/NNB+에서/JKB
전수받은	전수/NNG+받/XSV+은/ETM
기술로	기술/NNG+로/JKB
잠수함	잠수함/NNG
건조를	건조/NNG+를/JKO
시작했는데	시작/NNG+하/XSV+았/EP+는데/EC
이제는	이제/NNG+는/JX
우리에게	우리/NP+에게/JKB
기술을	기술/NNG+을/JKO
전수해준	전수/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
국가를	국가/NNG+를/JKO
제치는	제치/VV+는/ETM
수준이	수준/NNG+이/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


