# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.215
metadata : {}


# id : NWRW1800000036.215.1.1
‘연구비 1조’ 삼성 TV기술, 엘지서 빼갔나

‘연구비	‘/SS+연구비/NNG
비밀을	비밀/NNG+을/JKO
누설한	누설/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.215.6.1
경찰은 이들 연구원을 영입하고 기술을 제공받은 엘지디스플레이 정아무개(50)씨 등 4명에 대해서도 수사를 벌이고 있다.

경찰은	경찰/NNG+은/JX
이들	이/NP+들/XSN
연구원을	연구원/NNG+을/JKO
영입하고	영입/NNG+하/XSV+고/EC
기술을	기술/NNG+을/JKO
제공받은	제공/NNG+받/XSV+은/ETM
엘지디스플레이	엘지디스플레이/NNP
정아무개(50)씨	정/NNP+아무개/NP+(/SS+50/SN+)/SS+씨/NNB
등	등/NNB
4명에	4/SN+명/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
수사를	수사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.215.6.2
아몰레드는 액정표시장치(LCD)에 이어 각광받는 차세대 디스플레이다.

아몰레드는	아몰레드/NNG+는/JX
액정표시장치(LCD)에	액정/NNG+표시/NNG+장치/NNG+(/SS+LCD/SL+)/SS+에/JKB
이어	잇/VV+어/EC
각광받는	각광/NNG+받/XSV+는/ETM
차세대	차세대/NNG
디스플레이다.	디스플레이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.215.6.3
이번에 유출된 것은 대형 아몰레드 제조공정의 핵심 기술이다.

이번에	이번/NNG+에/JKB
유출된	유출/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
대형	대형/NNG
아몰레드	아몰레드/NNG
제조공정의	제조/NNG+공정/NNG+의/JKG
핵심	핵심/NNG
기술이다.	기술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.215.6.4
경찰은 “이 기술은 삼성이 4년 동안 500여명의 연구원을 동원하고, 1조1000억원의 연구비를 들여 개발한 것”이라고 설명했다.

경찰은	경찰/NNG+은/JX
“이	“/SS+이/MMD
기술은	기술/NNG+은/JX
삼성이	삼성/NNP+이/JKS
4년	4/SN+년/NNB
동안	동안/NNG
500여명의	500/SN+여/XSN+명/NNB+의/JKG
연구원을	연구원/NNG+을/JKO
동원하고,	동원/NNG+하/XSV+고/EC+,/SP
1조1000억원의	1/SN+조/NR+1000/SN+억/NR+원/NNB+의/JKG
연구비를	연구비/NNG+를/JKO
들여	들이/VV+어/EC
개발한	개발/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.215.7.1
삼성모바일디스플레이는 이날 임직원 일동 명의로 ‘우리의 입장’ 자료를 내어 “세계 유기발광다이오드 시장의 97%를 석권하고 있는 삼성이 이번 기술 유출로 시장의 3분의 1을 잠식당한다고 추정하면 피해 규모는 5년간 최소 30조원에 이를 것으로 예상된다”며 “엘지는 범죄 사실을 인정하고 최고경영진의 사과와 부당 스카우트한 인력에 대한 퇴사 조치 등을 취해달라”고 촉구했다.

삼성모바일디스플레이는	삼성모바일디스플레이/NNP+는/JX
이날	이날/NNG
임직원	임직원/NNG
일동	일동/NNG
명의로	명의/NNG+로/JKB
‘우리의	‘/SS+우리/NP+의/JKG
입장’	입장/NNG+’/SS
자료를	자료/NNG+를/JKO
내어	내/VV+어/EC
“세계	“/SS+세계/NNG
유기발광다이오드	유기/NNG+발광/NNG+다이오드/NNG
시장의	시장/NNG+의/JKG
97%를	97/SN+%/SW+를/JKO
석권하고	석권/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
삼성이	삼성/NNP+이/JKS
이번	이번/NNG
기술	기술/NNG
유출로	유출/NNG+로/JKB
3분의	3/SN+분/XSN+의/JKG
1을	1/SN+을/JKO
잠식당한다고	잠식/NNG+당하/XSV+ㄴ다고/EC
추정하면	추정/NNG+하/XSV+면/EC
피해	피해/NNG
규모는	규모/NNG+는/JX
5년간	5/SN+년/NNB+간/XSN
최소	최소/NNG
30조원에	30/SN+조/NR+원/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다”며	예상/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“엘지는	“/SS+엘지/NNP+는/JX
범죄	범죄/NNG
사실을	사실/NNG+을/JKO
인정하고	인정/NNG+하/XSV+고/EC
최고경영진의	최고/NNG+경영진/NNG+의/JKG
사과와	사과/NNG+와/JC
부당	부당/NNG
스카우트한	스카우트/NNG+하/XSV+ㄴ/ETM
인력에	인력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
퇴사	퇴사/NNG
조치	조치/NNG
등을	등/NNB+을/JKO
취해달라”고	취하/VV+아/EC+달/VX+라/EF+”/SS+고/JKQ
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.215.8.1
이에 대해 엘지디스플레이는 반박 자료를 내어 “우리의 유기발광다이오드 기술은 삼성 것과 달라 해당 기술은 불필요하고, 경쟁사 인력을 기술정보 입수 목적으로 유인하지도 않았다”며 “삼성은 분사와 합병 등으로 인한 내부 문제의 단속을 위해 이번 사건을 이용하려는 시도를 중단하고 선의의 경쟁에 집중할 것을 촉구한다”고 밝혔다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
엘지디스플레이는	엘지디스플레이/NNP+는/JX
반박	반박/NNG
자료를	자료/NNG+를/JKO
내어	내/VV+어/EC
“우리의	“/SS+우리/NP+의/JKG
유기발광다이오드	유기/NNG+발광/NNG+다이오드/NNG
기술은	기술/NNG+은/JX
삼성	삼성/NNP
것과	것/NNB+과/JKB
달라	다르/VA+아/EC
해당	해당/NNG
불필요하고,	불/XPN+필요/NNG+하/XSA+고/EC+,/SP
경쟁사	경쟁사/NNG
인력을	인력/NNG+을/JKO
기술정보	기술/NNG+정보/NNG
입수	입수/NNG
목적으로	목적/NNG+으로/JKB
유인하지도	유인/NNG+하/XSV+지/EC+도/JX
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“삼성은	“/SS+삼성/NNP+은/JX
분사와	분사/NNG+와/JKB
합병	합병/NNG
등으로	등/NNB+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
내부	내부/NNG
문제의	문제/NNG+의/JKG
단속을	단속/NNG+을/JKO
위해	위하/VV+아/EC
이번	이번/NNG
사건을	사건/NNG+을/JKO
이용하려는	이용/NNG+하/XSV+려는/ETM
시도를	시도/NNG+를/JKO
중단하고	중단/NNG+하/XSV+고/EC
선의의	선의/NNG+의/JKG
경쟁에	경쟁/NNG+에/JKB
집중할	집중/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구한다”고	촉구/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.215.8.2
엘지디스플레이 관계자는 “삼성에 있던 조씨에게 우리가 스카우트를 제안하지 않았을 뿐 아니라 해당 기술을 쓰고 있지도 않다”며 “잘못된 사실관계는 수사가 마무리되면 바로잡힐 것”이라고 말했다.

엘지디스플레이	엘지디스플레이/NNP
관계자는	관계자/NNG+는/JX
“삼성에	“/SS+삼성/NNP+에/JKB
있던	있/VA+던/ETM
조씨에게	조/NNP+씨/NNB+에게/JKB
우리가	우리/NP+가/JKS
스카우트를	스카우트/NNG+를/JKO
제안하지	제안/NNG+하/XSV+지/EC
않았을	않/VX+았/EP+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
해당	해당/NNG
기술을	기술/NNG+을/JKO
쓰고	쓰/VV+고/EC
있지도	있/VX+지/EC+도/JX
않다”며	않/VX+다/EF+”/SS+며/EC
“잘못된	“/SS+잘못/MAG+되/XSV+ㄴ/ETM
사실관계는	사실/NNG+관계/NNG+는/JX
수사가	수사/NNG+가/JKS
마무리되면	마무리/NNG+되/XSV+면/EC
바로잡힐	바로잡히/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


