# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.76
metadata : {}


# id : NWRW1800000053.76.1.1
[IT&Game]넥슨, 타이탄폴TM-오버히트 등 하반기 라인업도 막강

[IT&Game]넥슨,	[/SS+IT/SL+&/SW+Game/SL+]/SS+넥슨/NNP+,/SP
‘이블팩토리’,	‘/SS+이블팩토리/NNP+’/SS+,/SP
‘애프터	‘/SS+애프터/NA
디	디/NA
엔드’와	엔드/NA+’/SS+와/JKB
같은	같/VA+은/ETM
독특한	독특/NNG+하/XSA+ㄴ/ETM
인디	인디/NNG
모바일게임들을	모바일/NNG+게임/NNG+들/XSN+을/JKO
출시해	출시/NNG+하/XSV+아/EC
글로벌	글로벌/NNG
마켓에서	마켓/NNG+에서/JKB
독창성을	독창/NNG+성/XSN+을/JKO
인정받았으며,	인정/NNG+받/XSV+았/EP+으며/EC+,/SP
‘진·삼국무쌍:	‘/SS+진·삼국무쌍/NNP+:/SP
언리쉬드’,	언리쉬드/NNP+’/SS+,/SP
‘탱고파이브:	‘/SS+탱고파이브/NNP+:/SP
더	더/NNP
라스트	라스트/NNP
댄스’,	댄스/NNG+’/SS+,/SP
‘레고○R(등록기호)	‘/SS+레고/NNP+○/SW+R/SL+(/SS+등록/NNG+기호/NNG+)/SS
퀘스트앤콜렉트’	퀘스트앤콜렉트/NNP+’/SS
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
장르의	장르/NNG+의/JKG
모바일	모바일/NNG
신작들을	신작/NNG+들/XSN+을/JKO
연이어	연잇/VV+어/EC
선보여	선보이/VV+어/EC
시장의	시장/NNG+의/JKG
주목을	주목/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.76.4.2
대만, 홍콩 및 베트남 등 아시아권 주요 국가에서 ‘진·삼국무쌍:언리쉬드’는 출시 한 달 만에 500만 글로벌 누적 다운로드를 기록해 애플 앱스토어 최고 매출 순위 상위권에 올랐다.

대만,	대만/NNP+,/SP
홍콩	홍콩/NNP
및	및/MAG
베트남	베트남/NNP
등	등/NNB
아시아권	아시아/NNP+권/XSN
주요	주요/NNG
국가에서	국가/NNG+에서/JKB
‘진·삼국무쌍:언리쉬드’는	‘/SS+진·삼국무쌍/NNP+:/SP+언리쉬드/NNP+’/SS+는/JX
출시	출시/NNG
한	한/MMN
달	달/NNB
만에	만/NNB+에/JKB
500만	500/SN+만/NR
글로벌	글로벌/NNG
누적	누적/NNG
다운로드를	다운로드/NNG+를/JKO
기록해	기록/NNG+하/XSV+아/EC
애플	애플/NNP
앱스토어	앱스토어/NNG
최고	최고/NNG
매출	매출/NNG
순위	순위/NNG
상위권에	상위/NNG+권/XSN+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.76.4.3
또 일본에서는 ‘HIT(히트)’, ‘HIDE AND FIRE’ 등이 좋은 성과를 보였다.

또	또/MAG
일본에서는	일본/NNP+에서/JKB+는/JX
‘HIT(히트)’,	‘/SS+HIT/SL+(/SS+히트/NNP+)/SS+’/SS+,/SP
‘HIDE	‘/SS+HIDE/SL
AND	AND/SL
FIRE’	FIRE/SL+’/SS
등이	등/NNB+이/JKS
좋은	좋/VA+은/ETM
성과를	성과/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.76.5.1
특히, ‘다크어벤저 3’는 올 7월 27일 국내 출시 직후 뛰어난 액션 연출력과 몰입감 높은 스토리로 애플 앱스토어와 구글플레이 스토어 최고매출 순위 톱3를 기록, 지금까지 상위권 순위를 지속하고 있다.

특히,	특히/MAG+,/SP
‘다크어벤저	‘/SS+다크어벤저/NNP
3’는	3/SN+’/SS+는/JX
올	올/NNG
7월	7/SN+월/NNB
27일	27/SN+일/NNB
국내	국내/NNG
출시	출시/NNG
직후	직후/NNG
뛰어난	뛰어나/VA+ㄴ/ETM
액션	액션/NNG
연출력과	연출력/NNG+과/JC
몰입감	몰입감/NNG
높은	높/VA+은/ETM
스토리로	스토리/NNG+로/JKB
애플	애플/NNP
앱스토어와	앱스토어/NNG+와/JC
구글플레이	구글플레이/NNP
스토어	스토어/NNG
최고매출	최고/NNG+매출/NNG
순위	순위/NNG
톱3를	톱/NNG+3/SN+를/JKO
기록,	기록/NNG+,/SP
지금까지	지금/NNG+까지/JX
상위권	상위/NNG+권/XSN
순위를	순위/NNG+를/JKO
지속하고	지속/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.76.5.2
또 지난달 14일 국내 출시된 ‘AxE(액스)’는 광활한 오픈 필드와 대규모 분쟁전(RvR, Realm vs. Realm)을 내세운 콘텐츠로 애플 앱스토어와 구글 플레이에서 각각 최고매출 1위와 2위를 기록하는 등 장기 흥행의 청신호를 밝혔다.

또	또/MAG
지난달	지난달/NNG
14일	14/SN+일/NNB
국내	국내/NNG
출시된	출시/NNG+되/XSV+ㄴ/ETM
‘AxE(액스)’는	‘/SS+AxE/SL+(/SS+액스/NNP+)/SS+’/SS+는/JX
광활한	광활하/VA+ㄴ/ETM
오픈	오픈/NNG
필드와	필드/NNG+와/JC
대규모	대/XPN+규모/NNG
분쟁전(RvR,	분쟁전/NNG+(/SS+RvR/SL+,/SP
Realm	Realm/SL
vs.	vs/SL+./SF
Realm)을	Realm/SL+)/SS+을/JKO
내세운	내세우/VV+ㄴ/ETM
콘텐츠로	콘텐츠/NNG+로/JKB
애플	애플/NNP
앱스토어와	앱스토어/NNG+와/JC
구글	구글/NNP
플레이에서	플레이/NNP+에서/JKB
각각	각각/MAG
최고매출	최고/NNG+매출/NNG
1위와	1/SN+위/NNB+와/JC
2위를	2/SN+위/NNB+를/JKO
기록하는	기록/NNG+하/XSV+는/ETM
등	등/NNB
장기	장기/NNG
흥행의	흥행/NNG+의/JKG
청신호를	청신호/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.76.6.1
라이브 및 신규 게임 기반으로 균형 잡힌 성장세 지속

라이브	라이브/NNG
및	및/MAG
신규	신규/NNG
게임	게임/NNG
기반으로	기반/NNG+으로/JKB
균형	균형/NNG
잡힌	잡히/VV+ㄴ/ETM
성장세	성장세/NNG
지속	지속/NNG


# id : NWRW1800000053.76.7.1
넥슨은 지난 2분기 실적에서 상반기 누적 기준 사상 최대 실적을 기록해 이목을 끌었다.

넥슨은	넥슨/NNP+은/JX
지난	지나/VV+ㄴ/ETM
2분기	2/SN+분기/NNG
실적에서	실적/NNG+에서/JKB
상반기	상반기/NNG
누적	누적/NNG
기준	기준/NNG
사상	사상/NNG
최대	최대/NNG
실적을	실적/NNG+을/JKO
기록해	기록/NNG+하/XSV+아/EC
이목을	이목/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.76.7.2
2분기 매출액은 한화로 약 4778억 원(471억 엔, 이하 넥슨 일본법인 연결 매출 기준), 영업이익은 약 1653억 원(163억 엔)을 기록했으며, 상반기 누적 매출액은 전년 상반기 대비 약 27% 증가한 1조2348억 원에 달했다.

2분기	2/SN+분기/NNG
매출액은	매출액/NNG+은/JX
한화로	한화/NNG+로/JKB
약	약/MMA
4778억	4778/SN+억/NR
원(471억	원/NNB+(/SS+471/SN+억/NR
엔,	엔/NNB+,/SP
이하	이하/NNG
넥슨	넥슨/NNP
일본법인	일본/NNP+법인/NNG
연결	연결/NNG
매출	매출/NNG
기준),	기준/NNG+)/SS+,/SP
영업이익은	영업/NNG+이익/NNG+은/JX
1653억	1653/SN+억/NR
원(163억	원/NNB+(/SS+163/SN+억/NR
엔)을	엔/NNB+)/SS+을/JKO
기록했으며,	기록/NNG+하/XSV+았/EP+으며/EC+,/SP
상반기	상반기/NNG
누적	누적/NNG
전년	전년/NNG
대비	대비/NNG
27%	27/SN+%/SW
증가한	증가/NNG+하/XSV+ㄴ/ETM
1조2348억	1/SN+조/NR+2348/SN+억/NR
원에	원/NNB+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.76.7.3
또 전체 매출의 약 66%에 달하는 3174억 원의 해외 시장 매출을 기록해 중국을 중심으로 일본, 유럽 및 기타 지역 등 글로벌 시장에서 고른 성과를 보였다.

또	또/MAG
전체	전체/NNG
매출의	매출/NNG+의/JKG
약	약/MMA
66%에	66/SN+%/SW+에/JKB
달하는	달하/VV+는/ETM
3174억	3174/SN+억/NR
원의	원/NNB+의/JKG
해외	해외/NNG
시장	시장/NNG
매출을	매출/NNG+을/JKO
기록해	기록/NNG+하/XSV+아/EC
중국을	중국/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
일본,	일본/NNP+,/SP
유럽	유럽/NNP
및	및/MAG
기타	기타/NNG
지역	지역/NNG
등	등/NNB
글로벌	글로벌/NNG
시장에서	시장/NNG+에서/JKB
고른	고르/VA+ㄴ/ETM
성과를	성과/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.76.8.1
이 같은 성과는 ‘던전앤파이터’와 ‘메이플스토리’ 등 대표 온라인게임들의 안정적인 서비스를 기반으로 △모바일게임 사업에 중점을 둔 다양한 플랫폼 구축 △신규 온라인 및 모바일게임에 대한 끊임없는 발굴 △자체 개발력 강화에 대한 지속적인 투자가 있었기에 가능했다.

이	이/NP
같은	같/VA+은/ETM
성과는	성과/NNG+는/JX
‘던전앤파이터’와	‘/SS+던전앤파이터/NNP+’/SS+와/JC
‘메이플스토리’	‘/SS+메이플스토리/NNP+’/SS
등	등/NNB
대표	대표/NNG
온라인게임들의	온라인/NNG+게임/NNG+들/XSN+의/JKG
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
기반으로	기반/NNG+으로/JKB
△모바일게임	△/SW+모바일/NNG+게임/NNG
사업에	사업/NNG+에/JKB
중점을	중점/NNG+을/JKO
둔	두/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
플랫폼	플랫폼/NNG
구축	구축/NNG
△신규	△/SW+신규/NNG
온라인	온라인/NNG
및	및/MAG
모바일게임에	모바일/NNG+게임/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
끊임없는	끊임없/VA+는/ETM
발굴	발굴/NNG
△자체	△/SW+자체/NNG
개발력	개발력/NNG
강화에	강화/NNG+에/JKB
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
투자가	투자/NNG+가/JKS
있었기에	있/VA+었/EP+기에/EC
가능했다.	가능/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000053.76.8.2
이와 함께 넥슨은 ‘메이플스토리’, ‘마비노기’ 등 보유하고 있는 우수한 자체 IP로 플랫폼을 다각화하는 데 집중하고 있으며, 해외 유명 IP를 보유하고 있는 일렉트로닉아츠(‘니드포스피드 엣지’), 코에이테크모게임스(‘삼국지조조전 Online’) 등 굴지의 기업들과의 파트너십도 활발히 전개해 글로벌 경쟁력을 쌓고 있다.

이와	이/NP+와/JKB
함께	함께/MAG
넥슨은	넥슨/NNP+은/JX
‘메이플스토리’,	‘/SS+메이플스토리/NNP+’/SS+,/SP
‘마비노기’	‘/SS+마비노기/NNP+’/SS
등	등/NNB
보유하고	보유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
우수한	우수/NNG+하/XSA+ㄴ/ETM
자체	자체/NNG
IP로	IP/SL+로/JKB
플랫폼을	플랫폼/NNG+을/JKO
다각화하는	다각/NNG+화/XSN+하/XSV+는/ETM
데	데/NNB
집중하고	집중/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
해외	해외/NNG
유명	유명/NNG
IP를	IP/SL+를/JKO
일렉트로닉아츠(‘니드포스피드	일렉트로닉아츠/NNP+(/SS+‘/SS+니드포스피드/NNP
엣지’),	엣지/NNP+’/SS+)/SS+,/SP
코에이테크모게임스(‘삼국지조조전	코에이테크모게임스/NNP+(/SS+‘/SS+삼국지조조전/NNP
Online’)	Online/SL+’/SS+)/SS
굴지의	굴지/NNG+의/JKG
기업들과의	기업/NNG+들/XSN+과/JKB+의/JKG
파트너십도	파트너십/NNG+도/JX
활발히	활발히/MAG
전개해	전개/NNG+하/XSV+아/EC
글로벌	글로벌/NNG
경쟁력을	경쟁력/NNG+을/JKO
쌓고	쌓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.76.9.1
하반기 온라인 및 모바일 신작 러시, 막강한 라인업 보유

하반기	하반기/NNG
온라인	온라인/NNG
및	및/MAG
모바일	모바일/NNG
신작	신작/NNG
러시,	러시/NNG+,/SP
막강한	막강/NNG+하/XSA+ㄴ/ETM
라인업	라인업/NNG
보유	보유/NNG


# id : NWRW1800000053.76.10.1
넥슨은 하반기 MMORPG, FPS게임, 레이싱게임 등 보다 다양한 포트폴리오를 갖춰 유저들을 만날 계획이다.

넥슨은	넥슨/NNP+은/JX
하반기	하반기/NNG
MMORPG,	MMORPG/SL+,/SP
FPS게임,	FPS/SL+게임/NNG+,/SP
레이싱게임	레이싱/NNG+게임/NNG
등	등/NNB
보다	보다/MAG
다양한	다양/NNG+하/XSA+ㄴ/ETM
포트폴리오를	포트폴리오/NNG+를/JKO
갖춰	갖추/VV+어/EC
유저들을	유저/NNG+들/XSN+을/JKO
만날	만나/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.76.10.2
먼저 온라인게임으로, 레이싱 게임 ‘니드포스피드 엣지’와 전 세계적인 인기 FPS 게임 ‘타이탄폴TM(TitanfallTM)’의 온라인 버전인 ‘타이탄폴TM 온라인’이 막바지 작업에 박차를 가하고 있다.

먼저	먼저/MAG
온라인게임으로,	온라인/NNG+게임/NNG+으로/JKB+,/SP
레이싱	레이싱/NNG
게임	게임/NNG
‘니드포스피드	‘/SS+니드포스피드/NNP
엣지’와	엣지/NNP+’/SS+와/JC
전	전/MMN
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
인기	인기/NNG
FPS	FPS/SL
‘타이탄폴TM(TitanfallTM)’의	‘/SS+타이탄폴/NNP+TM/SL+(/SS+TitanfallTM/SL+)/SS+’/SS+의/JKG
온라인	온라인/NNG
버전인	버전/NNG+이/VCP+ㄴ/ETM
‘타이탄폴TM	‘/SS+타이탄폴/NNP+TM/SL
온라인’이	온라인/NNG+’/SS+이/JKS
막바지	막바지/NNG
작업에	작업/NNG+에/JKB
박차를	박차/NNG+를/JKO
가하고	가하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.76.10.3
또 올해 9월 20일 파이널 테스트를 마친 무협 MMORPG ‘천애명월도’도 출시 준비를 앞두고 있다.

또	또/MAG
올해	올해/NNG
9월	9/SN+월/NNB
20일	20/SN+일/NNB
파이널	파이널/NNG
테스트를	테스트/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
무협	무협/NNG
MMORPG	MMORPG/SL
‘천애명월도’도	‘/SS+천애명월도/NNP+’/SS+도/JX
출시	출시/NNG
준비를	준비/NNG+를/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.76.11.1
모바일게임으로는 ‘HIT’를 개발한 넷게임즈의 차기작인 모바일 멀티 히어로 RPG ‘오버히트’가 최근 티저 페이지를 오픈하고 연내 출시를 준비하고 있다.

모바일게임으로는	모바일/NNG+게임/NNG+으로/JKB+는/JX
‘HIT’를	‘/SS+HIT/SL+’/SS+를/JKO
개발한	개발/NNG+하/XSV+ㄴ/ETM
넷게임즈의	넷게임즈/NNP+의/JKG
차기작인	차기작/NNG+이/VCP+ㄴ/ETM
모바일	모바일/NNG
멀티	멀티/NNG
히어로	히어로/NNG
RPG	RPG/SL
‘오버히트’가	‘/SS+오버히트/NNP+’/SS+가/JKS
최근	최근/MAG
티저	티저/NNG
페이지를	페이지/NNG+를/JKO
오픈하고	오픈/NNG+하/XSV+고/EC
연내	연내/NNG
출시를	출시/NNG+를/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.76.11.2
또 온라인게임 ‘드래곤네스트’의 IP를 활용한 액션 RPG ‘드래곤네스트2: 레전드’도 준비 중이며, 모바일 TPS ‘탱크 커맨더즈’ 등 각기 다른 재미 요소를 선보일 예정이다.

또	또/MAG
온라인게임	온라인/NNG+게임/NNG
‘드래곤네스트’의	‘/SS+드래곤네스트/NNP+’/SS+의/JKG
IP를	IP/SL+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
액션	액션/NNG
RPG	RPG/SL
‘드래곤네스트2:	‘/SS+드래곤네스트/NNP+2/SN+:/SP
레전드’도	레전드/NNG+’/SS+도/JX
준비	준비/NNG
중이며,	중/NNB+이/VCP+며/EC+,/SP
모바일	모바일/NNG
TPS	TPS/SL
‘탱크	‘/SS+탱크/NNG
커맨더즈’	커맨더즈/NA+’/SS
등	등/NNB
각기	각기/MAG
다른	다른/MMD
재미	재미/NNG
요소를	요소/NNG+를/JKO
선보일	선보이/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.76.12.1
넥슨 이정헌 부사장은 “게임 본연의 재미와 다양성을 추구하며 그 어느 때보다 의미 있는 시도를 하고 있다”며 “하반기에도 탄탄한 콘텐츠 및 서비스 역량을 바탕으로 완성도 높은 신작들을 순차적으로 선보일 계획”이라고 말했다.

넥슨	넥슨/NNP
이정헌	이정헌/NNP
부사장은	부사장/NNG+은/JX
“게임	“/SS+게임/NNG
본연의	본연/NNG+의/JKG
재미와	재미/NNG+와/JC
다양성을	다양/NNG+성/XSN+을/JKO
추구하며	추구/NNG+하/XSV+며/EC
그	그/MMD
어느	어느/MMD
때보다	때/NNG+보다/JKB
의미	의미/NNG
있는	있/VA+는/ETM
시도를	시도/NNG+를/JKO
하고	하/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“하반기에도	“/SS+하반기/NNG+에/JKB+도/JX
탄탄한	탄탄하/VA+ㄴ/ETM
콘텐츠	콘텐츠/NNG
및	및/MAG
서비스	서비스/NNG
역량을	역량/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
완성도	완성도/NNG
높은	높/VA+은/ETM
신작들을	신작/NNG+들/XSN+을/JKO
순차적으로	순차/NNG+적/XSN+으로/JKB
선보일	선보이/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


