# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.201
metadata : {}


# id : NWRW1800000038.201.1.1
중부 300㎜ 폭우로 4명 사망… 곳곳서 산사태·홍수주의보

중부	중부/NNG
조립식	조립식/NNG
패널	패널/NNG
건물이	건물/NNG+이/JKS
무너지며	무너지/VV+며/EC
안모(여·71)씨가	안/NNP+모/NP+(/SS+여/NNG+·/SP+71/SN+)/SS+씨/NNB+가/JKS
목숨을	목숨/NNG+을/JKO
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.201.5.1
산사태로 도로가 통제된 곳도 많았다.

산사태로	산사태/NNG+로/JKB
도로가	도로/NNG+가/JKS
통제된	통제/NNG+되/XSV+ㄴ/ETM
곳도	곳/NNG+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.201.5.2
오전 8시 30분쯤 강원도 원주시 부론면 노림리 영동고속도로 강릉 방면 107㎞ 지점에서 40t가량의 토사가 흘러내리는 등 3곳에서 토사가 흘러내려 교통이 부분 통제됐다.

오전	오전/NNG
8시	8/SN+시/NNB
30분쯤	30/SN+분/NNB+쯤/XSN
강원도	강원도/NNP
원주시	원주시/NNP
부론면	부론면/NNP
노림리	노림리/NNP
영동고속도로	영동고속도로/NNP
강릉	강릉/NNP
방면	방면/NNG
107㎞	107/SN+㎞/SW
지점에서	지점/NNG+에서/JKB
40t가량의	40/SN+t/SW+가량/XSN+의/JKG
토사가	토사/NNG+가/JKS
흘러내리는	흘러내리/VV+는/ETM
등	등/NNB
3곳에서	3/SN+곳/NNG+에서/JKB
흘러내려	흘러내리/VV+어/EC
교통이	교통/NNG+이/JKS
부분	부분/NNG
통제됐다.	통제/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.201.5.3
경기도 이천시 신둔면 중부고속도로 통영 방면 332㎞ 지점도 토사가 흘러내려 정체를 빚었다.

경기도	경기도/NNP
이천시	이천시/NNP
신둔면	신둔면/NNP
중부고속도로	중부고속도로/NNP
통영	통영/NNP
방면	방면/NNG
332㎞	332/SN+㎞/SW
지점도	지점/NNG+도/JX
토사가	토사/NNG+가/JKS
흘러내려	흘러내리/VV+어/EC
정체를	정체/NNG+를/JKO
빚었다.	빚/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.201.5.4
강원도 원주시 흥업면 연세대 원주캠퍼스 청송관 뒤쪽 야산에서도 갑자기 흙과 돌이 무너져 내리면서 건물 안쪽으로 토사가 밀려 내려오는 사고도 있었다.

강원도	강원도/NNP
원주시	원주시/NNP
흥업면	흥업면/NNP
연세대	연세대/NNP
원주캠퍼스	원주/NNP+캠퍼스/NNG
청송관	청송관/NNP
뒤쪽	뒤쪽/NNG
야산에서도	야산/NNG+에서/JKB+도/JX
갑자기	갑자기/MAG
흙과	흙/NNG+과/JC
돌이	돌/NNG+이/JKS
무너져	무너지/VV+어/EC
내리면서	내리/VV+면서/EC
건물	건물/NNG
안쪽으로	안쪽/NNG+으로/JKB
토사가	토사/NNG+가/JKS
밀려	밀리/VV+어/EC
내려오는	내려오/VV+는/ETM
사고도	사고/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.201.6.1
홍수주의보도 내려졌다.

홍수주의보도	홍수/NNG+주의보/NNG+도/JX
내려졌다.	내려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.201.6.2
경기도 광주시는 곤지암천이 범람 위기를 맞으면서 광주시내 8개 초·중·고교에 대해 휴교 또는 휴업을 실시했다.

경기도	경기도/NNP
광주시는	광주시/NNP+는/JX
곤지암천이	곤지암천/NNP+이/JKS
범람	범람/NNG
위기를	위기/NNG+를/JKO
맞으면서	맞/VV+으면서/EC
광주시내	광주/NNP+시내/NNG
8개	8/SN+개/NNB
초·중·고교에	초·중·고교/NNG+에/JKB
대해	대하/VV+아/EC
휴교	휴교/NNG
또는	또는/MAG
휴업을	휴업/NNG+을/JKO
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.201.6.3
한강홍수통제소는 22일 오전 7시 40분쯤 경기도 성남시 탄천의 대곡교 일대에 홍수주의보를 내렸다가 오전 10시쯤 해제했다.

한강홍수통제소는	한강홍수통제소/NNP+는/JX
22일	22/SN+일/NNB
오전	오전/NNG
7시	7/SN+시/NNB
40분쯤	40/SN+분/NNB+쯤/XSN
경기도	경기도/NNP
성남시	성남시/NNP
탄천의	탄천/NNP+의/JKG
대곡교	대곡교/NNP
일대에	일대/NNG+에/JKB
홍수주의보를	홍수/NNG+주의보/NNG+를/JKO
내렸다가	내리/VV+었/EP+다가/EC
10시쯤	10/SN+시/NNB+쯤/XSN
해제했다.	해제/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.201.6.4
서울 송파구 탄천변에선 주차돼 있던 차량 40여대가 침수되기도 했다.

서울	서울/NNP
송파구	송파구/NNP
탄천변에선	탄천/NNP+변/NNG+에서/JKB+ㄴ/JX
주차돼	주차/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
차량	차량/NNG
40여대가	40/SN+여/XSN+대/NNB+가/JKS
침수되기도	침수/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


