# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.353
metadata : {}


# id : NWRW1800000032.353.1.1
“북 우라늄 농축 단호대응을” /한-미, 안보리 재논의 시사

“북	“/SS+북/NNP
들어갔다고	들어가/VV+았/EP+다고/EC
의심하고	의심/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.353.7.2
러시아도 북한의 우라늄농축 문제를 비난하고 있는 상황에서, 한·미가 이 문제를 안보리에서 재논의할 경우 중국의 책임이 부각돼 상당한 부담을 줄 수 있다는 계산이 깔려 있는 것으로 보인다.

러시아도	러시아/NNP+도/JX
북한의	북한/NNP+의/JKG
우라늄농축	우라늄/NNG+농축/NNG
문제를	문제/NNG+를/JKO
비난하고	비난/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
상황에서,	상황/NNG+에서/JKB+,/SP
한·미가	한·미/NNP+가/JKS
이	이/MMD
안보리에서	안보리/NNG+에서/JKB
재논의할	재/XPN+논의/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
중국의	중국/NNP+의/JKG
책임이	책임/NNG+이/JKS
부각돼	부각/NNG+되/XSV+어/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
부담을	부담/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
계산이	계산/NNG+이/JKS
깔려	깔리/VV+어/EC
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.353.7.3
오는 19일 버락 오바마 미 대통령과 후진타오 중국 주석의 정상회담을 앞두고 안보리 논의와 같은 ‘험한’ 꼴을 피하려면 대북 제재를 강화하라는 대중 압박 메시지가 담겨 있는 셈이다.

오는	오/VV+는/ETM
19일	19/SN+일/NNB
버락	버락/NNP
오바마	오바마/NNP
미	미/NNP
대통령과	대통령/NNG+과/JC
후진타오	후진타오/NNP
중국	중국/NNP
주석의	주석/NNG+의/JKG
정상회담을	정상/NNG+회담/NNG+을/JKO
앞두고	앞두/VV+고/EC
안보리	안보리/NNG
논의와	논의/NNG+와/JKB
같은	같/VA+은/ETM
‘험한’	‘/SS+험하/VA+ㄴ/ETM+’/SS
꼴을	꼴/NNG+을/JKO
피하려면	피하/VV+려면/EC
대북	대북/NNG
제재를	제재/NNG+를/JKO
강화하라는	강화/NNG+하/XSV+라는/ETM
대중	대중/NNG
압박	압박/NNG
메시지가	메시지/NNG+가/JKS
담겨	담기/VV+어/EC
있는	있/VX+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.353.8.1
이와 함께 양국은 6자회담 재개에 앞서 남북관계의 진전이 선행돼야 한다는 기존 방침을 재확인했다.

이와	이/NP+와/JKB
함께	함께/MAG
양국은	양국/NNG+은/JX
6자회담	6/SN+자/NNB+회담/NNG
재개에	재개/NNG+에/JKB
앞서	앞서/VV+어/EC
남북관계의	남북/NNP+관계/NNG+의/JKG
진전이	진전/NNG+이/JKS
선행돼야	선행/NNG+되/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
기존	기존/NNG
방침을	방침/NNG+을/JKO
재확인했다.	재/XPN+확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.353.8.2
정부 고위당국자는 “남북관계의 진전이 먼저 있어야 하고 그것을 통해 회담 재개의 여건을 만들어나간다는 입장을 한·미 양국이 재확인했다”며 “6자회담이 상대(북한)에 의해 오·남용돼서는 안 되며 생산적 대화가 되도록 준비와 노력을 해나가야 한다는 것”이라고 강조했다.

정부	정부/NNG
고위당국자는	고위/NNG+당국자/NNG+는/JX
“남북관계의	“/SS+남북/NNP+관계/NNG+의/JKG
진전이	진전/NNG+이/JKS
먼저	먼저/MAG
있어야	있/VA+어야/EC
하고	하/VX+고/EC
그것을	그것/NP+을/JKO
통해	통하/VV+아/EC
회담	회담/NNG
재개의	재개/NNG+의/JKG
여건을	여건/NNG+을/JKO
만들어나간다는	만들/VV+어/EC+나가/VX+ㄴ다는/ETM
입장을	입장/NNG+을/JKO
한·미	한·미/NNP
양국이	양국/NNG+이/JKS
재확인했다”며	재/XPN+확인/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“6자회담이	“/SS+6/SN+자/NNB+회담/NNG+이/JKS
상대(북한)에	상대/NNG+(/SS+북한/NNP+)/SS+에/JKB
의해	의하/VV+아/EC
오·남용돼서는	오·남용/NNG+되/XSV+어서/EC+는/JX
안	안/MAG
되며	되/VV+며/EC
생산적	생산/NNG+적/XSN
대화가	대화/NNG+가/JKC
되도록	되/VV+도록/EC
준비와	준비/NNG+와/JC
노력을	노력/NNG+을/JKO
해나가야	하/VV+아/EC+나가/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.353.9.1
그러나 남북관계 진전의 중요한 기준 가운데 하나가 ‘남북간 북핵 문제 논의 및 진전’이어서, 미국과 직접대화를 통해 핵문제를 해결하려는 북한이 이런 조건을 수용할 가능성은 크지 않다.

그러나	그러나/MAJ
남북관계	남북/NNP+관계/NNG
진전의	진전/NNG+의/JKG
중요한	중요/NNG+하/XSA+ㄴ/ETM
기준	기준/NNG
가운데	가운데/NNG
하나가	하나/NR+가/JKS
‘남북간	‘/SS+남북/NNP+간/NNB
북핵	북핵/NNG
문제	문제/NNG
논의	논의/NNG
및	및/MAG
진전’이어서,	진전/NNG+’/SS+이/VCP+어서/EC+,/SP
미국과	미국/NNP+과/JKB
직접대화를	직접/NNG+대화/NNG+를/JKO
통해	통하/VV+아/EC
핵문제를	핵/NNG+문제/NNG+를/JKO
해결하려는	해결/NNG+하/XSV+려는/ETM
북한이	북한/NNP+이/JKS
이런	이런/MMD
조건을	조건/NNG+을/JKO
수용할	수용/NNG+하/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
크지	크/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000032.353.10.1
필립 크라울리 미 국무부 공보담당 차관보도 4일(현지시각) 정례브리핑에서 “북한과 대화를 위한 대화는 하지 않을 것”이라며 협상 전에 북한의 구체적 조처가 있어야 한다고 강조했다.

필립	필립/NNP
크라울리	크라울리/NNP
미	미/NNP
국무부	국무부/NNG
공보담당	공보/NNG+담당/NNG
차관보도	차관보/NNG+도/JX
4일(현지시각)	4/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
정례브리핑에서	정례/NNG+브리핑/NNG+에서/JKB
“북한과	“/SS+북한/NNP+과/JKB
대화를	대화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
대화는	대화/NNG+는/JX
하지	하/VV+지/EC
않을	않/VX+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
협상	협상/NNG
전에	전/NNG+에/JKB
북한의	북한/NNP+의/JKG
구체적	구체/NNG+적/XSN
조처가	조처/NNG+가/JKS
있어야	있/VA+어야/EC
한다고	하/VX+ㄴ다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


