# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.17
metadata : {}


# id : NWRW1800000033.17.1.1
화학업종 2분기도 먹구름… 목표주가 잇단 하향

화학업종	화학/NNG+업종/NNG
원으로	원/NNB+으로/JKB
하향	하향/NNG
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.17.6.1
화학업계 대표주인 LG화학의 목표 주가는 줄줄이 낮춰졌다.

화학업계	화학업/NNG+계/XSN
대표주인	대표주/NNG+이/VCP+ㄴ/ETM
LG화학의	LG화학/NNP+의/JKG
목표	목표/NNG
주가는	주가/NNG+는/JX
줄줄이	줄줄이/MAG
낮춰졌다.	낮추/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.17.6.2
현대증권은 54만 원이던 목표주가를 47만 원으로 내렸고 우리투자증권도 43만 원에서 38만 원으로 하향 조정했다.

현대증권은	현대증권/NNP+은/JX
54만	54/SN+만/NR
원이던	원/NNB+이/VCP+던/ETM
목표주가를	목표/NNG+주가/NNG+를/JKO
47만	47/SN+만/NR
원으로	원/NNB+으로/JKB
내렸고	내리/VV+었/EP+고/EC
우리투자증권도	우리투자증권/NNP+도/JX
43만	43/SN+만/NR
원에서	원/NNB+에서/JKB
38만	38/SN+만/NR
하향	하향/NNG
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.17.6.3
SK증권, NH농협증권, KTB투자증권 등도 목표주가를 기존보다 4만∼7만 원 낮은 38만∼43만 원으로 조정했다.

SK증권,	SK증권/NNP+,/SP
NH농협증권,	NH농협증권/NNP+,/SP
KTB투자증권	KTB투자증권/NNP
등도	등/NNB+도/JX
목표주가를	목표/NNG+주가/NNG+를/JKO
기존보다	기존/NNG+보다/JKB
4만∼7만	4/SN+만/NR+∼/SO+7/SN+만/NR
원	원/NNB
낮은	낮/VA+은/ETM
38만∼43만	38/SN+만/NR+∼/SO+43/SN+만/NR
원으로	원/NNB+으로/JKB
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.17.7.1
이응주 신한금융투자 연구원은 “화학 경기를 가늠할 중국 경기가 1분기 바닥권을 보이고 개선될 조짐을 나타내고 있지만 실적 개선은 더디다”며 “당분간 주가는 박스권을 형성할 것”이라고 전망했다.

이응주	이응주/NNP
신한금융투자	신한금융투자/NNP
연구원은	연구원/NNG+은/JX
“화학	“/SS+화학/NNG
경기를	경기/NNG+를/JKO
가늠할	가늠/NNG+하/XSV+ㄹ/ETM
중국	중국/NNP
경기가	경기/NNG+가/JKS
1분기	1/SN+분기/NNG
바닥권을	바닥/NNG+권/XSN+을/JKO
보이고	보이/VV+고/EC
개선될	개선/NNG+되/XSV+ㄹ/ETM
조짐을	조짐/NNG+을/JKO
나타내고	나타내/VV+고/EC
있지만	있/VX+지만/EC
실적	실적/NNG
개선은	개선/NNG+은/JX
더디다”며	더디/VA+다/EF+”/SS+며/EC
“당분간	“/SS+당분간/MAG
주가는	주가/NNG+는/JX
박스권을	박스/NNG+권/XSN+을/JKO
형성할	형성/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.17.8.1
LG화학은 1분기 매출액이 전 분기 대비 2.8% 늘어난 5조7531억 원이었으나 영업이익은 8.2% 줄어든 4595억 원을 나타냈다.

LG화학은	LG화학/NNP+은/JX
1분기	1/SN+분기/NNG
매출액이	매출액/NNG+이/JKS
전	전/MMD
분기	분기/NNG
대비	대비/NNG
2.8%	2/SN+./SP+8/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
5조7531억	5/SN+조/NR+7531/SN+억/NR
원이었으나	원/NNB+이/VCP+었/EP+으나/EC
영업이익은	영업/NNG+이익/NNG+은/JX
8.2%	8/SN+./SP+2/SN+%/SW
줄어든	줄어들/VV+ㄴ/ETM
4595억	4595/SN+억/NR
원을	원/NNB+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.17.8.2
호남석유도 1분기 영업이익이 지난해 같은 기간에 비해 62.4% 감소한 2191억 원을 나타냈다.

호남석유도	호남석유/NNP+도/JX
1분기	1/SN+분기/NNG
영업이익이	영업/NNG+이익/NNG+이/JKS
지난해	지난해/NNG
같은	같/VA+은/ETM
기간에	기간/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
62.4%	62/SN+./SP+4/SN+%/SW
감소한	감소/NNG+하/XSV+ㄴ/ETM
2191억	2191/SN+억/NR
원을	원/NNB+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.17.8.3
LG화학 주가는 2월 초 43만3000원으로 올 들어 최고가를 나타낸 뒤 꾸준히 떨어져 20일 31만3000원으로 마감됐다.

LG화학	LG화학/NNP
주가는	주가/NNG+는/JX
2월	2/SN+월/NNB
초	초/NNB
43만3000원으로	43/SN+만/NR+3000/SN+원/NNB+으로/JKB
올	올/NNG
들어	들/VV+어/EC
최고가를	최고/NNG+가/XSN+를/JKO
나타낸	나타내/VV+ㄴ/ETM
뒤	뒤/NNG
꾸준히	꾸준히/MAG
떨어져	떨어지/VV+어/EC
20일	20/SN+일/NNB
31만3000원으로	31/SN+만/NR+3000/SN+원/NNB+으로/JKB
마감됐다.	마감/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.17.9.1
증권업계는 화학업종의 1분기 실적 부진의 원인으로 원재료값 상승에 따른 수익성 악화와 중국 경기 부진을 꼽았다.

증권업계는	증권업/NNG+계/XSN+는/JX
화학업종의	화학/NNG+업종/NNG+의/JKG
1분기	1/SN+분기/NNG
실적	실적/NNG
부진의	부진/NNG+의/JKG
원인으로	원인/NNG+으로/JKB
원재료값	원재료/NNG+값/NNG
상승에	상승/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
수익성	수익/NNG+성/XSN
악화와	악화/NNG+와/JC
중국	중국/NNP
경기	경기/NNG
부진을	부진/NNG+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.17.9.2
전문가들은 중국 경기의 반등세를 확인하고 화학주에 투자하는 게 낫다고 조언했다.

전문가들은	전문가/NNG+들/XSN+은/JX
중국	중국/NNP
경기의	경기/NNG+의/JKG
반등세를	반등세/NNG+를/JKO
확인하고	확인/NNG+하/XSV+고/EC
화학주에	화학주/NNG+에/JKB
투자하는	투자/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
낫다고	낫/VA+다고/EC
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


