# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.18
metadata : {}


# id : NWRW1800000038.18.1.1
헤이글, 역대 최저표로 인준 통과… 힘빠진 美국방

헤이글,	헤이글/NNP+,/SP
인준을	인준/NNG+을/JKO
통과했다.	통과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.18.3.3
이로써 헤이글은 미국의 첫 사병 출신, 첫 베트남전 참전용사 출신 국방장관이 됐다.

이로써	이/NP+로써/JKB
헤이글은	헤이글/NNP+은/JX
미국의	미국/NNP+의/JKG
첫	첫/MMN
사병	사병/NNG
출신,	출신/NNG+,/SP
베트남전	베트남전/NNG
참전용사	참전/NNG+용사/NNG
출신	출신/NNG
국방장관이	국방/NNG+장관/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.18.3.4
하지만 인준 과정에서 유례없는 의회 반발을 겪으며 상처투성이가 됐기 때문에, 향후 정책 운영, 의회 협조 등에서 험로가 예상된다는 평도 나오고 있다.

하지만	하지만/MAJ
인준	인준/NNG
과정에서	과정/NNG+에서/JKB
유례없는	유례없/VA+는/ETM
의회	의회/NNG
반발을	반발/NNG+을/JKO
겪으며	겪/VV+으며/EC
상처투성이가	상처/NNG+투성이/XSN+가/JKC
됐기	되/VV+었/EP+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
향후	향후/NNG
정책	정책/NNG
운영,	운영/NNG+,/SP
협조	협조/NNG
등에서	등/NNB+에서/JKB
험로가	험로/NNG+가/JKS
예상된다는	예상/NNG+되/XSV+ㄴ다는/ETM
평도	평/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.18.4.1
◇베트남전서 훈장 5개

◇베트남전서	◇/SW+베트남전/NNG+서/JKB
훈장	훈장/NNG
5개	5/SN+개/NNB


# id : NWRW1800000038.18.5.1
1946년 네브래스카에서 4형제의 장남으로 태어난 헤이글은 16세에 아버지를 여의고 가족을 부양하기 시작했다.

1946년	1946/SN+년/NNB
네브래스카에서	네브래스카/NNP+에서/JKB
4형제의	4/SN+형제/NNG+의/JKG
장남으로	장남/NNG+으로/JKB
태어난	태어나/VV+ㄴ/ETM
헤이글은	헤이글/NNP+은/JX
16세에	16/SN+세/NNB+에/JKB
아버지를	아버지/NNG+를/JKO
여의고	여의/VV+고/EC
가족을	가족/NNG+을/JKO
부양하기	부양/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.18.5.2
그는 1967년 동생과 함께 입대해 베트남전에 참전했고, 1968년까지 보병 분대장으로 활약했다.

그는	그/NP+는/JX
1967년	1967/SN+년/NNB
동생과	동생/NNG+과/JKB
함께	함께/MAG
입대해	입대/NNG+하/XSV+아/EC
베트남전에	베트남전/NNG+에/JKB
참전했고,	참전/NNG+하/XSV+았/EP+고/EC+,/SP
1968년까지	1968/SN+년/NNB+까지/JX
보병	보병/NNG
분대장으로	분대장/NNG+으로/JKB
활약했다.	활약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.18.5.3
베트남에서의 무공으로 그는 부상당한 군인에게 수여하는 퍼플 하트 훈장 2개를 포함해 훈장을 5개 받았다.

베트남에서의	베트남/NNP+에서/JKB+의/JKG
무공으로	무공/NNG+으로/JKB
그는	그/NP+는/JX
부상당한	부상/NNG+당하/XSV+ㄴ/ETM
군인에게	군인/NNG+에게/JKB
수여하는	수여/NNG+하/XSV+는/ETM
퍼플	퍼플/NNG
하트	하트/NNG
훈장	훈장/NNG
2개를	2/SN+개/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
훈장을	훈장/NNG+을/JKO
5개	5/SN+개/NNB
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.18.6.1
제대한 뒤 라디오 DJ로 잠시 활동하다 1977년부터 공화당 존 매콜리스터 의원의 보좌관으로 정치에 입문했다.

제대한	제대/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
라디오	라디오/NNG
DJ로	DJ/SL+로/JKB
잠시	잠시/MAG
활동하다	활동/NNG+하/XSV+다/EC
1977년부터	1977/SN+년/NNB+부터/JX
공화당	공화당/NNP
존	존/NNP
매콜리스터	매콜리스터/NNP
의원의	의원/NNG+의/JKG
보좌관으로	보좌관/NNG+으로/JKB
정치에	정치/NNG+에/JKB
입문했다.	입문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.18.6.2
이후 연방보훈청 부청장→로비스트→기업가를 거쳐 1996년 고향 네브래스카에서 연방 상원의원에 당선돼 2008년까지 의정 활동을 했다.

이후	이후/NNG
연방보훈청	연방/NNG+보훈청/NNG
부청장→로비스트→기업가를	부청장/NNG+→/SW+로비스트/NNG+→/SW+기업가/NNG+를/JKO
거쳐	거치/VV+어/EC
1996년	1996/SN+년/NNB
고향	고향/NNG
네브래스카에서	네브래스카/NNP+에서/JKB
연방	연방/NNG
상원의원에	상원/NNG+의원/NNG+에/JKB
당선돼	당선/NNG+되/XSV+어/EC
2008년까지	2008/SN+년/NNB+까지/JX
의정	의정/NNG
활동을	활동/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.18.7.1
그는 참전용사 출신이면서도 반전(反戰) 운동에 앞장섰다.

그는	그/NP+는/JX
참전용사	참전/NNG+용사/NNG
출신이면서도	출신/NNG+이/VCP+면서/EC+도/JX
반전(反戰)	반전/NNG+(/SS+反戰/SH+)/SS
운동에	운동/NNG+에/JKB
앞장섰다.	앞장서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.18.7.2
한 인터뷰에서 헤이글은 "전쟁터에서 난 '살아남아 정책에 영향을 미칠 위치에 오른다면 불필요한 전쟁을 피하기 위해 모든 일을 다하겠다'고 다짐했다"고 말했다.

한	한/MMN
인터뷰에서	인터뷰/NNG+에서/JKB
헤이글은	헤이글/NNP+은/JX
"전쟁터에서	"/SS+전쟁터/NNG+에서/JKB
난	나/NP+ㄴ/JX
'살아남아	'/SS+살아남/VV+아/EC
정책에	정책/NNG+에/JKB
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
위치에	위치/NNG+에/JKB
오른다면	오르/VV+ㄴ다면/EC
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
전쟁을	전쟁/NNG+을/JKO
피하기	피하/VV+기/ETN
위해	위하/VV+아/EC
모든	모든/MMN
일을	일/NNG+을/JKO
다하겠다'고	다/MAG+하/XSV+겠/EP+다/EF+'/SS+고/JKQ
다짐했다"고	다짐/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.18.8.1
그는 공화당에서 항상 '아웃사이더'의 길을 걸었다.

그는	그/NP+는/JX
공화당에서	공화당/NNP+에서/JKB
항상	항상/MAG
'아웃사이더'의	'/SS+아웃사이더/NNG+'/SS+의/JKG
길을	길/NNG+을/JKO
걸었다.	걷/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.18.8.2
부시 행정부가 밀어붙인 이라크 전쟁에 대해 "베트남전 이후 가장 무모한 외교정책"이라고 비판했고, 이란에 대한 제재법을 반대하고, 반(反)이스라엘 발언을 공개적으로 했다.

부시	부시/NNP
행정부가	행정부/NNG+가/JKS
밀어붙인	밀어붙이/VV+ㄴ/ETM
이라크	이라크/NNP
전쟁에	전쟁/NNG+에/JKB
대해	대하/VV+아/EC
"베트남전	"/SS+베트남전/NNG
이후	이후/NNG
가장	가장/MAG
무모한	무모/NNG+하/XSA+ㄴ/ETM
외교정책"이라고	외교/NNG+정책/NNG+"/SS+이라고/JKQ
비판했고,	비판/NNG+하/XSV+았/EP+고/EC+,/SP
이란에	이란/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
제재법을	제재법/NNG+을/JKO
반대하고,	반대/NNG+하/XSV+고/EC+,/SP
반(反)이스라엘	반/XPN+(/SS+反/SH+)/SS+이스라엘/NNP
발언을	발언/NNG+을/JKO
공개적으로	공개/NNG+적/XSN+으로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.18.8.3
2008년 대선 때는 민주당 오바마 후보를 지지하며 그의 부통령 후보로 거론되기도 했다.

2008년	2008/SN+년/NNB
대선	대선/NNG
때는	때/NNG+는/JX
민주당	민주당/NNP
오바마	오바마/NNP
후보를	후보/NNG+를/JKO
지지하며	지지/NNG+하/XSV+며/EC
그의	그/NP+의/JKG
부통령	부통령/NNG
후보로	후보/NNG+로/JKB
거론되기도	거론/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.18.9.1
◇만신창이로 간신히 인준 통과

◇만신창이로	◇/SW+만신창이/NNG+로/JKB
간신히	간신히/MAG
인준	인준/NNG
통과	통과/NNG


# id : NWRW1800000038.18.10.1
헤이글은 이런 과거 때문에 이번 인준 과정에서 공화당 의원들의 혹독한 비판에 시달렸다.

헤이글은	헤이글/NNP+은/JX
이런	이런/MMD
과거	과거/NNG
때문에	때문/NNB+에/JKB
이번	이번/NNG
인준	인준/NNG
과정에서	과정/NNG+에서/JKB
공화당	공화당/NNP
의원들의	의원/NNG+들/XSN+의/JKG
혹독한	혹독하/VA+ㄴ/ETM
비판에	비판/NNG+에/JKB
시달렸다.	시달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.18.10.2
베트남전 참전용사 동료이자 과거 절친한 친구였던 존 매케인 의원 등이 특히 반대에 앞장서 한때 "인준이 어려울 것"이라는 전망도 나왔다.

베트남전	베트남전/NNG
참전용사	참전/NNG+용사/NNG
동료이자	동료/NNG+이/VCP+자/EC
과거	과거/NNG
절친한	절친하/VA+ㄴ/ETM
친구였던	친구/NNG+이/VCP+었/EP+던/ETM
존	존/NNP
매케인	매케인/NNP
의원	의원/NNG
등이	등/NNB+이/JKS
특히	특히/MAG
반대에	반대/NNG+에/JKB
앞장서	앞장서/VV+어/EC
한때	한때/MAG
"인준이	"/SS+인준/NNG+이/JKS
어려울	어렵/VA+ㄹ/ETM
것"이라는	것/NNB+"/SS+이/VCP+라는/ETM
전망도	전망/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.18.11.1
미 상원은 이날 전체 회의를 열어 찬성 58표, 반대 41표로 인준안을 통과시켰는데, 공화당 의원은 4명을 제외하고 모두 반대표를 던졌다.

미	미/NNP
상원은	상원/NNG+은/JX
이날	이날/NNG
전체	전체/NNG
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
찬성	찬성/NNG
58표,	58/SN+표/NNG+,/SP
반대	반대/NNG
41표로	41/SN+표/NNG+로/JKB
인준안을	인준안/NNG+을/JKO
통과시켰는데,	통과/NNG+시키/XSV+었/EP+는데/EC+,/SP
공화당	공화당/NNP
의원은	의원/NNG+은/JX
4명을	4/SN+명/NNB+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
모두	모두/MAG
반대표를	반대표/NNG+를/JKO
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.18.11.2
뉴욕타임스(NYT)에 따르면 이는 미 국방장관 역사상 가장 적은 표로 인준을 통과한 것이다.

뉴욕타임스(NYT)에	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+에/JKB
따르면	따르/VV+면/EC
이는	이/NP+는/JX
미	미/NNP
국방장관	국방/NNG+장관/NNG
역사상	역사/NNG+상/XSN
가장	가장/MAG
적은	적/VA+은/ETM
표로	표/NNG+로/JKB
인준을	인준/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.18.11.3
미 의회는 국가 안보를 책임지는 국방장관에 대해서는 압도적인 찬성표로 힘을 실어주는 것이 관례였다.

미	미/NNP
의회는	의회/NNG+는/JX
국가	국가/NNG
안보를	안보/NNG+를/JKO
책임지는	책임지/VV+는/ETM
국방장관에	국방/NNG+장관/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
압도적인	압도/NNG+적/XSN+이/VCP+ㄴ/ETM
찬성표로	찬성표/NNG+로/JKB
힘을	힘/NNG+을/JKO
실어주는	싣/VV+어/EC+주/VX+는/ETM
것이	것/NNB+이/JKS
관례였다.	관례/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.18.11.4
전임 리언 패네타 등 최근 대부분 국방장관은 만장일치 찬성이거나 반대표를 1~2표만 받았었다.

전임	전임/NNG
리언	리언/NNP
패네타	패네타/NNP
등	등/NNB
최근	최근/NNG
대부분	대/XPN+부분/NNG
국방장관은	국방/NNG+장관/NNG+은/JX
만장일치	만장일치/NNG
찬성이거나	찬성/NNG+이/VCP+거나/EC
반대표를	반대표/NNG+를/JKO
1~2표만	1/SN+~/SO+2/SN+표/NNG+만/JX
받았었다.	받/VV+았었/EP+다/EF+./SF


# id : NWRW1800000038.18.12.1
이날 공화당 군사위 간사인 제임스 인호프 의원이 표결 직전 "패네타 장관이 계속 국방장관을 맡아달라"고 요청하고, 지난 14일에는 국방장관 인준에 대해 역사상 최초로 필리버스터(합법적 의사진행 방해)가 발동돼 한 차례 표결이 무산되는 등 헤이글은 온갖 수모를 겪었다.

이날	이날/NNG
공화당	공화당/NNP
군사위	군사위/NNG
간사인	간사/NNG+이/VCP+ㄴ/ETM
제임스	제임스/NNP
인호프	인호프/NNP
의원이	의원/NNG+이/JKS
표결	표결/NNG
직전	직전/NNG
"패네타	"/SS+패네타/NNP
장관이	장관/NNG+이/JKS
계속	계속/MAG
국방장관을	국방/NNG+장관/NNG+을/JKO
맡아달라"고	맡/VV+아/EC+달/VX+라/EF+"/SS+고/JKQ
요청하고,	요청/NNG+하/XSV+고/EC+,/SP
지난	지나/VV+ㄴ/ETM
14일에는	14/SN+일/NNB+에/JKB+는/JX
국방장관	국방/NNG+장관/NNG
인준에	인준/NNG+에/JKB
대해	대하/VV+아/EC
역사상	역사/NNG+상/XSN
최초로	최초/NNG+로/JKB
필리버스터(합법적	필리버스터/NNG+(/SS+합법/NNG+적/XSN
의사진행	의사/NNG+진행/NNG
방해)가	방해/NNG+)/SS+가/JKS
발동돼	발동/NNG+되/XSV+어/EC
한	한/MMN
차례	차례/NNG
표결이	표결/NNG+이/JKS
무산되는	무산/NNG+되/XSV+는/ETM
등	등/NNB
헤이글은	헤이글/NNP+은/JX
온갖	온갖/MMN
수모를	수모/NNG+를/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.18.13.1
NYT는 "헤이글은 취임 즉시 국방 분야에 가장 큰 직접적인 타격인 예산 자동삭감을 비롯해 북한·이란 핵문제, 아프가니스탄 철군 계획, 러시아와의 추가 군축 회담 등 산적한 과제를 처리해야 한다"며 "만신창이 상태인 헤이글이 국방부를 제대로 장악해 효과적으로 대처할 수 있을지에 대한 우려도 나오고 있다"고 했다.

NYT는	NYT/SL+는/JX
"헤이글은	"/SS+헤이글/NNP+은/JX
취임	취임/NNG
즉시	즉시/MAG
국방	국방/NNG
분야에	분야/NNG+에/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
타격인	타격/NNG+이/VCP+ㄴ/ETM
예산	예산/NNG
자동삭감을	자동/NNG+삭감/NNG+을/JKO
비롯해	비롯하/VV+아/EC
북한·이란	북한/NNP+·/SP+이란/NNP
핵문제,	핵/NNG+문제/NNG+,/SP
아프가니스탄	아프가니스탄/NNP
철군	철군/NNG
계획,	계획/NNG+,/SP
러시아와의	러시아/NNP+와/JKB+의/JKG
추가	추가/NNG
군축	군축/NNG
회담	회담/NNG
등	등/NNB
산적한	산적/NNG+하/XSA+ㄴ/ETM
과제를	과제/NNG+를/JKO
처리해야	처리/NNG+하/XSV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"만신창이	"/SS+만신창이/NNG
상태인	상태/NNG+이/VCP+ㄴ/ETM
헤이글이	헤이글/NNP+이/JKS
국방부를	국방부/NNG+를/JKO
제대로	제대로/MAG
장악해	장악/NNG+하/XSV+아/EC
효과적으로	효과/NNG+적/XSN+으로/JKB
대처할	대처/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을지에	있/VA+을지/EF+에/JKB
대한	대하/VV+ㄴ/ETM
우려도	우려/NNG+도/JX
나오고	나오/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


