# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.184
metadata : {}


# id : NWRW1800000026.184.1.1
우린 글로벌 기업서 로열티 받는다;퀄컴·노키아·산요 등에 기술 팔아 수백억대 수입 잘나가는 '强小기업' 늘어

우린	우리/NP+ㄴ/JX
제조사들이	제조사/NNG+들/XSN+이/JKS
만든	만들/VV+ㄴ/ETM
연간	연간/NNG
2500만대의	2500/SN+만/NR+대/NNB+의/JKG
휴대전화에	휴대/NNG+전화/NNG+에/JKB
이	이/MMD
회사가	회사/NNG+가/JKS
인터넷	인터넷/NNG
접속	접속/NNG
프로그램	프로그램/NNG
'폴라리스(Polaris)'가	'/SS+폴라리스/NNG+(/SS+Polaris/SL+)/SS+'/SS+가/JKS
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.184.2.4
인프라웨어 강관희 사장은 "이메일·문서도구 등 기술이 다양해져 올해는 로열티 수입이 100억원을 넘을 것"이라고 설명했다.

인프라웨어	인프라웨어/NNP
강관희	강관희/NNP
사장은	사장/NNG+은/JX
"이메일·문서도구	"/SS+이메일/NNG+·/SP+문서/NNG+도구/NNG
등	등/NNB
기술이	기술/NNG+이/JKS
다양해져	다양/NNG+하/XSA+아/EC+지/VX+어/EC
올해는	올해/NNG+는/JX
로열티	로열티/NNG
수입이	수입/NNG+이/JKS
100억원을	100/SN+억/NR+원/NNB+을/JKO
넘을	넘/VV+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.184.3.1
모바일 그래픽 소프트웨어 회사 네오엠텔은 미국의 세계적 반도체회사 퀄컴으로부터 로열티를 받았다.

모바일	모바일/NNG
그래픽	그래픽/NNG
소프트웨어	소프트웨어/NNG
회사	회사/NNG
네오엠텔은	네오엠텔/NNP+은/JX
미국의	미국/NNP+의/JKG
세계적	세계/NNG+적/XSN
반도체회사	반도체/NNG+회사/NNG
퀄컴으로부터	퀄컴/NNP+으로부터/JKB
로열티를	로열티/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.184.3.2
퀄컴은 삼성전자 등 휴대전화업체로부터 핵심 칩 기술 사용 대가로 막대한 로열티 수익을 거두고 있지만 네오엠텔에는 거꾸로 로열티를 줬다.

퀄컴은	퀄컴/NNP+은/JX
삼성전자	삼성전자/NNP
등	등/NNB
휴대전화업체로부터	휴대/NNG+전화/NNG+업체/NNG+로부터/JKB
핵심	핵심/NNG
칩	칩/NNG
기술	기술/NNG
사용	사용/NNG
대가로	대가/NNG+로/JKB
막대한	막대하/VA+ㄴ/ETM
로열티	로열티/NNG
수익을	수익/NNG+을/JKO
거두고	거두/VV+고/EC
있지만	있/VX+지만/EC
네오엠텔에는	네오엠텔/NNP+에/JKB+는/JX
거꾸로	거꾸로/MAG
로열티를	로열티/NNG+를/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.184.4.1
독자적으로 개발한 기술을 글로벌 기업에 팔아 기술사용료 수익을 올리고 있는 강소(强小)기업들이 늘어나고 있다.

독자적으로	독자/NNG+적/XSN+으로/JKB
개발한	개발/NNG+하/XSV+ㄴ/ETM
기술을	기술/NNG+을/JKO
글로벌	글로벌/NNG
기업에	기업/NNG+에/JKB
팔아	팔/VV+아/EC
기술사용료	기술/NNG+사용료/NNG
수익을	수익/NNG+을/JKO
올리고	올리/VV+고/EC
있는	있/VX+는/ETM
강소(强小)기업들이	강소/NNG+(/SS+强小/SH+)/SS+기업/NNG+들/XSN+이/JKS
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.184.4.2
이들 기업은 설립 초기부터 개발력이 뛰어난 소수의 핵심 인재들이 모여 제조업 대신 남들이 하지 않는 틈새 기술개발에 역량을 집중하는 전략을 펼쳤다.

이들	이/NP+들/XSN
기업은	기업/NNG+은/JX
설립	설립/NNG
초기부터	초기/NNG+부터/JX
개발력이	개발력/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
소수의	소수/NNG+의/JKG
핵심	핵심/NNG
인재들이	인재/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
제조업	제조업/NNG
대신	대신/NNG
남들이	남/NNG+들/XSN+이/JKS
하지	하/VV+지/EC
않는	않/VX+는/ETM
틈새	틈새/NNG
기술개발에	기술/NNG+개발/NNG+에/JKB
역량을	역량/NNG+을/JKO
집중하는	집중/NNG+하/XSV+는/ETM
전략을	전략/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.184.5.1
◆기술개발 한우물로 세계시장 열어

◆기술개발	◆/SW+기술/NNG+개발/NNG
한우물로	한/MMN+우물/NNG+로/JKB
세계시장	세계/NNG+시장/NNG
열어	열/VV+어/EF


# id : NWRW1800000026.184.6.1
모바일 솔루션업체 인스프리트도 설립 초기인 2001년부터 꾸준히 해외 공략을 시도했다.

모바일	모바일/NNG
솔루션업체	솔루션/NNG+업체/NNG
인스프리트도	인스프리트/NNP+도/JX
설립	설립/NNG
초기인	초기/NNG+이/VCP+ㄴ/ETM
2001년부터	2001/SN+년/NNB+부터/JX
꾸준히	꾸준히/MAG
해외	해외/NNG
공략을	공략/NNG+을/JKO
시도했다.	시도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.184.6.2
처음 해외에 나갔을 때는 "어떻게 당신네 기술을 믿을 수 있느냐"는 의심을 받았다.

처음	처음/NNG
해외에	해외/NNG+에/JKB
나갔을	나가/VV+았/EP+을/ETM
때는	때/NNG+는/JX
"어떻게	"/SS+어떻/VA+게/EC
당신네	당신/NP+네/XSN
기술을	기술/NNG+을/JKO
믿을	믿/VV+을/ETM
수	수/NNB
있느냐"는	있/VA+느냐/EF+"/SS+는/ETM
의심을	의심/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.184.6.3
인스프리트의 심재철 전무는 "몸으로 직접 부딪치면서 해외기업 공략 노하우를 배우는 방법밖에 없었다"면서 "회사를 알리기 위해 매년 세계 주요 IT전시회에 꼬박꼬박 부스를 마련했다"고 했다.

인스프리트의	인스프리트/NNP+의/JKG
심재철	심재철/NNP
전무는	전무/NNG+는/JX
"몸으로	"/SS+몸/NNG+으로/JKB
직접	직접/MAG
부딪치면서	부딪치/VV+면서/EC
해외기업	해외/NNG+기업/NNG
공략	공략/NNG
노하우를	노하우/NNG+를/JKO
배우는	배우/VV+는/ETM
방법밖에	방법/NNG+밖에/JX
없었다"면서	없/VA+었/EP+다/EF+"/SS+면서/EC
"회사를	"/SS+회사/NNG+를/JKO
알리기	알리/VV+기/ETN
위해	위하/VV+아/EC
매년	매년/MAG
세계	세계/NNG
주요	주요/NNG
IT전시회에	IT/SL+전시회/NNG+에/JKB
꼬박꼬박	꼬박꼬박/MAG
부스를	부스/NNG+를/JKO
마련했다"고	마련/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.184.6.4
그런 노력 끝에 인스프리트는 지난 2005년부터 미국의 이동통신회사 T모바일에 콘텐츠 전송 솔루션 기술을 공급하기 시작했다.

그런	그런/MMD
노력	노력/NNG
끝에	끝/NNG+에/JKB
인스프리트는	인스프리트/NNP+는/JX
지난	지나/VV+ㄴ/ETM
2005년부터	2005/SN+년/NNB+부터/JX
미국의	미국/NNP+의/JKG
이동통신회사	이동/NNG+통신/NNG+회사/NNG
T모바일에	T모바일/NNP+에/JKB
콘텐츠	콘텐츠/NNG
전송	전송/NNG
솔루션	솔루션/NNG
기술을	기술/NNG+을/JKO
공급하기	공급/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.184.6.5
일본 교세라, 삼성전자, 중국 최대 이동통신회사 차이나모바일 등과의 거래에도 성공, 로열티 수입이 늘고 있다.

일본	일본/NNP
교세라,	교세라/NNP+,/SP
삼성전자,	삼성전자/NNP+,/SP
중국	중국/NNP
최대	최대/NNG
이동통신회사	이동/NNG+통신/NNG+회사/NNG
차이나모바일	차이나모바일/NNP
등과의	등/NNB+과/JKB+의/JKG
거래에도	거래/NNG+에/JKB+도/JX
성공,	성공/NNG+,/SP
로열티	로열티/NNG
수입이	수입/NNG+이/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.184.6.6
이창석 인스프리트 사장은 "작년 70억원대의 로열티 수입을 올렸으며, 차세대 통신 분야에서도 해외 기업과 기술이전 논의가 활발히 이뤄지고 있다"고 했다.

이창석	이창석/NNP
인스프리트	인스프리트/NNP
사장은	사장/NNG+은/JX
"작년	"/SS+작년/NNG
70억원대의	70/SN+억/NR+원/NNB+대/XSN+의/JKG
로열티	로열티/NNG
수입을	수입/NNG+을/JKO
올렸으며,	올리/VV+었/EP+으며/EC+,/SP
차세대	차세대/NNG
통신	통신/NNG
분야에서도	분야/NNG+에서/JKB+도/JX
해외	해외/NNG
기업과	기업/NNG+과/JKB
기술이전	기술/NNG+이전/NNG
논의가	논의/NNG+가/JKS
활발히	활발히/MAG
이뤄지고	이뤄지/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.184.7.1
네오엠텔은 '휴대전화용 그래픽'이라는 개념조차 생소한 시절에 그래픽 기술을 파는 데 성공했다.

네오엠텔은	네오엠텔/NNP+은/JX
'휴대전화용	'/SS+휴대/NNG+전화/NNG+용/XSN
그래픽'이라는	그래픽/NNG+'/SS+이/VCP+라는/ETM
개념조차	개념/NNG+조차/JX
생소한	생소하/VA+ㄴ/ETM
시절에	시절/NNG+에/JKB
그래픽	그래픽/NNG
기술을	기술/NNG+을/JKO
파는	팔/VV+는/ETM
데	데/NNB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.184.7.2
상대 기업은 세계 최고의 휴대전화 기술력을 자랑하는 퀄컴.

상대	상대/NNG
기업은	기업/NNG+은/JX
세계	세계/NNG
최고의	최고/NNG+의/JKG
휴대전화	휴대/NNG+전화/NNG
기술력을	기술력/NNG+을/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
퀄컴.	퀄컴/NNP+./SF


# id : NWRW1800000026.184.7.3
김윤수 네오엠텔 사장은 "귀찮을 정도로 퀄컴 담당자를 괴롭히다가, 우연히 일본에서 열리는 전시회에 간다는 소식을 듣고 쫓아갔다"면서 "계약까지 7~8개월의 시간이 걸렸지만 2001년부터 퀄컴에 동영상 압축 기술을 공급할 수 있었다"고 설명했다.

김윤수	김윤수/NNP
네오엠텔	네오엠텔/NNP
사장은	사장/NNG+은/JX
"귀찮을	"/SS+귀찮/VA+을/ETM
정도로	정도/NNG+로/JKB
퀄컴	퀄컴/NNP
담당자를	담당자/NNG+를/JKO
괴롭히다가,	괴롭히/VV+다가/EC+,/SP
우연히	우연히/MAG
일본에서	일본/NNP+에서/JKB
열리는	열리/VV+는/ETM
전시회에	전시회/NNG+에/JKB
간다는	가/VV+ㄴ다는/ETM
소식을	소식/NNG+을/JKO
듣고	듣/VV+고/EC
쫓아갔다"면서	쫓아가/VV+았/EP+다/EF+"/SS+면서/EC
"계약까지	"/SS+계약/NNG+까지/JX
7~8개월의	7/SN+~/SO+8/SN+개월/NNB+의/JKG
시간이	시간/NNG+이/JKS
걸렸지만	걸리/VV+었/EP+지만/EC
2001년부터	2001/SN+년/NNB+부터/JX
퀄컴에	퀄컴/NNP+에/JKB
동영상	동영상/NNG
압축	압축/NNG
기술을	기술/NNG+을/JKO
공급할	공급/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.184.7.4
이후 네오엠텔은 미국 모토로라 등에 그래픽 기술을 공급해 로열티를 받았다.

이후	이후/NNG
네오엠텔은	네오엠텔/NNP+은/JX
미국	미국/NNP
모토로라	모토로라/NNP
등에	등/NNB+에/JKB
그래픽	그래픽/NNG
기술을	기술/NNG+을/JKO
공급해	공급/NNG+하/XSV+아/EC
로열티를	로열티/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.184.8.1
◆중소 기술 벤처의 성장동력이 되나

◆중소	◆/SW+중소/NNG
기술	기술/NNG
벤처의	벤처/NNG+의/JKG
성장동력이	성장/NNG+동력/NNG+이/JKC
되나	되/VV+나/EC


# id : NWRW1800000026.184.9.1
반도체 설계회사 다믈멀티미디어는 지난 1999년 말 일본 산요전기와 오디오칩 기술이전 계약을 맺었다.

반도체	반도체/NNG
설계회사	설계/NNG+회사/NNG
다믈멀티미디어는	다믈멀티미디어/NNP+는/JX
지난	지나/VV+ㄴ/ETM
1999년	1999/SN+년/NNB
말	말/NNB
일본	일본/NNP
산요전기와	산요전기/NNP+와/JKB
오디오칩	오디오/NNG+칩/NNG
기술이전	기술/NNG+이전/NNG
계약을	계약/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.184.9.2
창업한 지 불과 1년 만이었다.

창업한	창업/NNG+하/XSV+ㄴ/ETM
지	지/NNB
불과	불과/MAG
1년	1/SN+년/NNB
만이었다.	만/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.184.9.3
정연홍 다믈멀티미디어 사장은 "당시 MP3플레이어에 들어가는 오디오칩 기술을 개발했는데, 전력소모도 적고 설계구조가 특이해 산요가 채택했다"고 설명했다.

정연홍	정연홍/NNP
다믈멀티미디어	다믈멀티미디어/NNP
사장은	사장/NNG+은/JX
"당시	"/SS+당시/NNG
MP3플레이어에	MP/SL+3/SN+플레이어/NNG+에/JKB
들어가는	들어가/VV+는/ETM
오디오칩	오디오/NNG+칩/NNG
기술을	기술/NNG+을/JKO
개발했는데,	개발/NNG+하/XSV+았/EP+는데/EC+,/SP
전력소모도	전력/NNG+소모/NNG+도/JX
적고	적/VA+고/EC
설계구조가	설계/NNG+구조/NNG+가/JKS
특이해	특이/NNG+하/XSA+아/EC
산요가	산요/NNP+가/JKS
채택했다"고	채택/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.184.9.4
다믈멀티미디어가 산요에 공급한 기술은 1500만대 이상의 오디오 제품에 적용했다.

다믈멀티미디어가	다믈멀티미디어/NNP+가/JKS
산요에	산요/NNP+에/JKB
공급한	공급/NNG+하/XSV+ㄴ/ETM
기술은	기술/NNG+은/JX
1500만대	1500/SN+만/NR+대/NNB
이상의	이상/NNG+의/JKG
오디오	오디오/NNG
제품에	제품/NNG+에/JKB
적용했다.	적용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.184.9.5
10여년간 산요 한 회사에서 받은 로열티는 700만달러(약 86억원)를 넘어섰다.

10여년간	10/SN+여/XSN+년/NNB+간/XSN
산요	산요/NNP
한	한/MMN
회사에서	회사/NNG+에서/JKB
받은	받/VV+은/ETM
로열티는	로열티/NNG+는/JX
700만달러(약	700/SN+만/NR+달러/NNB+(/SS+약/MMA
86억원)를	86/SN+억/NR+원/NNB+)/SS+를/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.184.9.6
내년에는 누적 로열티 매출이 100억원을 넘어설 것으로 회사측은 기대했다.

내년에는	내년/NNG+에/JKB+는/JX
누적	누적/NNG
로열티	로열티/NNG
매출이	매출/NNG+이/JKS
100억원을	100/SN+억/NR+원/NNB+을/JKO
넘어설	넘어서/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
회사측은	회사/NNG+측/NNB+은/JX
기대했다.	기대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.184.10.1
네오엠텔은 2001년부터 2008년까지 7년간 퀄컴에서 받은 로열티 수익이 150억원에 이르고, 인프라웨어도 올 연말까지 누적 로열티 수입이 300억원에 달할 전망이다.

네오엠텔은	네오엠텔/NNP+은/JX
2001년부터	2001/SN+년/NNB+부터/JX
2008년까지	2008/SN+년/NNB+까지/JX
7년간	7/SN+년/NNB+간/XSN
퀄컴에서	퀄컴/NNP+에서/JKB
받은	받/VV+은/ETM
로열티	로열티/NNG
수익이	수익/NNG+이/JKS
150억원에	150/SN+억/NR+원/NNB+에/JKB
이르고,	이르/VV+고/EC+,/SP
인프라웨어도	인프라웨어/NNP+도/JX
올	올/NNG
연말까지	연말/NNG+까지/JX
누적	누적/NNG
수입이	수입/NNG+이/JKS
300억원에	300/SN+억/NR+원/NNB+에/JKB
달할	달하/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.184.10.2
강관희 인프라웨어 사장은 "우리나라가 소프트웨어 분야가 취약한 건 사실이지만, 반도체·휴대전화의 기술경쟁력은 뛰어나다"면서 "중소기업들도 과거와 달리 실력만 있으면 해외에서 인정해주는 분위기로 바뀌고 있다.

강관희	강관희/NNP
인프라웨어	인프라웨어/NNP
사장은	사장/NNG+은/JX
"우리나라가	"/SS+우리나라/NNG+가/JKS
소프트웨어	소프트웨어/NNG
분야가	분야/NNG+가/JKS
취약한	취약/NNG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
사실이지만,	사실/NNG+이/VCP+지만/EC+,/SP
반도체·휴대전화의	반도체/NNG+·/SP+휴대/NNG+전화/NNG+의/JKG
기술경쟁력은	기술/NNG+경쟁력/NNG+은/JX
뛰어나다"면서	뛰어나/VA+다/EF+"/SS+면서/EC
"중소기업들도	"/SS+중소기업/NNG+들/XSN+도/JX
과거와	과거/NNG+와/JKB
달리	달리/MAG
실력만	실력/NNG+만/JX
있으면	있/VA+으면/EC
해외에서	해외/NNG+에서/JKB
인정해주는	인정/NNG+하/XSV+아/EC+주/VX+는/ETM
분위기로	분위기/NNG+로/JKB
바뀌고	바뀌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.184.10.3
틈새시장을 공략한다면 충분히 승산이 있다"고 말했다.

틈새시장을	틈새시장/NNG+을/JKO
공략한다면	공략/NNG+하/XSV+ㄴ다면/EC
충분히	충분히/MAG
승산이	승산/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


