# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.75
metadata : {}


# id : NWRW1800000029.75.1.1
‘농구공’ 바퀴 車로 전후좌우 이동… 안방서 대리운전…현대차 R&D 사내공모전

‘농구공’	‘/SS+농구공/NNG+’/SS
바퀴로	바퀴/NNG+로/JKB
한	하/VV+ㄴ/ETM
비행접시	비행접시/NNG
모양의	모양/NNG+의/JKG
탈것으로,	타/VV+ㄹ/ETM+것/NNB+으로/JKB+,/SP
어느	어느/MMD
방향으로나	방향/NNG+으로/JKB+나/JX
쉽게	쉽/VA+게/EC
이동할	이동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
신개념	신/XPN+개념/NNG
이동수단이다.	이동/NNG+수단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.75.5.2
원통형의 타이어 대신 공을 장착한 덕이다.

원통형의	원통/NNG+형/XSN+의/JKG
타이어	타이어/NNG
대신	대신/NNG
공을	공/NNG+을/JKO
장착한	장착/NNG+하/XSV+ㄴ/ETM
덕이다.	덕/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.75.5.3
3차원(3D) 영상과 증강현실 기술을 통해 원격조종이 가능한 이동장치 ‘남편사랑 대리운전’은 최우수상을 받았다.

3차원(3D)	3/SN+차원/NNG+(/SS+3/SN+D/SL+)/SS
영상과	영상/NNG+과/JC
증강현실	증강/NNG+현실/NNG
기술을	기술/NNG+을/JKO
통해	통하/VV+아/EC
원격조종이	원격/NNG+조종/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
이동장치	이동/NNG+장치/NNG
‘남편사랑	‘/SS+남편/NNG+사랑/NNG
대리운전’은	대리운전/NNG+’/SS+은/JX
최우수상을	최우수상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.75.5.4
이 수상작은 소프트웨어가 중심이 된 아이디어로, 와이파이(Wi-Fi)를 통해 자동차 주변 영상을 집으로 보내고 집에서 차를 원격조종할 수 있도록 했다.

이	이/MMD
수상작은	수상작/NNG+은/JX
소프트웨어가	소프트웨어/NNG+가/JKS
중심이	중심/NNG+이/JKC
된	되/VV+ㄴ/ETM
아이디어로,	아이디어/NNG+로/JKB+,/SP
와이파이(Wi-Fi)를	와이파이/NNG+(/SS+Wi/SL+-/SO+Fi/SL+)/SS+를/JKO
통해	통하/VV+아/EC
자동차	자동차/NNG
주변	주변/NNG
영상을	영상/NNG+을/JKO
집으로	집/NNG+으로/JKB
보내고	보내/VV+고/EC
집에서	집/NNG+에서/JKB
차를	차/NNG+를/JKO
원격조종할	원격/NNG+조종/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.75.6.1
우수상은 태블릿PC를 이용한 전방위 자율주행 신개념 이동장치인 ‘작(作)’, 대(大)구경 듀얼 휠을 이용한 온·오프로드 겸용 다목적 1인승 이동수단 ‘온앤오프’, 운전자의 동작을 인식해 차량을 제어하는 미래형 2인승 이동장치 ‘엑스바이모션’ 등 세 작품이 받았다.

우수상은	우수상/NNG+은/JX
태블릿PC를	태블릿/NNG+PC/SL+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
전방위	전방위/NNG
자율주행	자율/NNG+주행/NNG
신개념	신/XPN+개념/NNG
이동장치인	이동/NNG+장치/NNG+이/VCP+ㄴ/ETM
‘작(作)’,	‘/SS+작/NNG+(/SS+作/SH+)/SS+’/SS+,/SP
대(大)구경	대/XPN+(/SS+大/SH+)/SS+구경/NNG
듀얼	듀얼/NNG
휠을	휠/NNG+을/JKO
온·오프로드	온/NNG+·/SP+오프로드/NNG
겸용	겸용/NNG
다목적	다목적/NNG
1인승	1인승/NNG
이동수단	이동/NNG+수단/NNG
‘온앤오프’,	‘/SS+온앤오프/NNG+’/SS+,/SP
운전자의	운전자/NNG+의/JKG
동작을	동작/NNG+을/JKO
인식해	인식/NNG+하/XSV+아/EC
차량을	차량/NNG+을/JKO
제어하는	제어/NNG+하/XSV+는/ETM
미래형	미래/NNG+형/XSN
2인승	2인승/NNG
이동장치	이동/NNG+장치/NNG
‘엑스바이모션’	‘/SS+엑스바이모션/NNG+’/SS
등	등/NNB
세	세/MMN
작품이	작품/NNG+이/JKS
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.75.7.1
현대차그룹은 올해 1, 2월 공모에 응한 총 74개 팀 가운데 서류심사, 발표심사를 거쳐 본선 진출 10개 팀을 선발했고, 이들에게 제작비와 작품 제작공간 등을 제공했다.

현대차그룹은	현대차그룹/NNP+은/JX
올해	올해/NNG
1,	1/SN+,/SP
2월	2/SN+월/NNB
공모에	공모/NNG+에/JKB
응한	응하/VV+ㄴ/ETM
총	총/MMA
74개	74/SN+개/NNB
팀	팀/NNG
가운데	가운데/NNG
서류심사,	서류/NNG+심사/NNG+,/SP
발표심사를	발표/NNG+심사/NNG+를/JKO
거쳐	거치/VV+어/EC
본선	본선/NNG
진출	진출/NNG
10개	10/SN+개/NNB
팀을	팀/NNG+을/JKO
선발했고,	선발/NNG+하/XSV+았/EP+고/EC+,/SP
이들에게	이/NP+들/XSN+에게/JKB
제작비와	제작비/NNG+와/JC
작품	작품/NNG
제작공간	제작/NNG+공간/NNG
등을	등/NNB+을/JKO
제공했다.	제공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.75.7.2
본선에 오른 팀들은 약 6개월 동안 운동과 운전을 결합한 친환경 운송수단, 자동 장애물 회피와 3D 원격 운전이 가능한 전기차 등 미래형 차세대 운송수단 아이디어를 작품으로 만들어냈다.

본선에	본선/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
팀들은	팀/NNG+들/XSN+은/JX
약	약/MMA
6개월	6/SN+개월/NNB
동안	동안/NNG
운동과	운동/NNG+과/JC
운전을	운전/NNG+을/JKO
결합한	결합/NNG+하/XSV+ㄴ/ETM
친환경	친/XPN+환경/NNG
운송수단,	운송/NNG+수단/NNG+,/SP
자동	자동/NNG
장애물	장애물/NNG
회피와	회피/NNG+와/JC
3D	3/SN+D/SL
원격	원격/NNG
운전이	운전/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
전기차	전기/NNG+차/NNG
등	등/NNB
미래형	미래/NNG+형/XSN
차세대	차세대/NNG
운송수단	운송/NNG+수단/NNG
아이디어를	아이디어/NNG+를/JKO
작품으로	작품/NNG+으로/JKB
만들어냈다.	만들/VV+어/EC+내/VX+었/EP+다/EF+./SF


