# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.207
metadata : {}


# id : NWRW1800000028.207.1.1
발해가 ‘백두산 폭발’로 멸망했다?

발해가	발해/NNP+가/JKS
<백두산 대폭발의 비밀>은 지질학자이자 교육학자인 지은이가 일본 유학 때 백두산 화산재를 처음 접한 것을 계기로 지질학과 역사학을 넘나들며 취재한 백두산 화산 분화의 기록이다.

<백두산	</SS+백두산/NNP
대폭발의	대/XPN+폭발/NNG+의/JKG
비밀>은	비밀/NNG+>/SS+은/JX
지질학자이자	지질학자/NNG+이/VCP+자/EC
교육학자인	교육학자/NNG+이/VCP+ㄴ/ETM
지은이가	지은이/NNG+가/JKS
일본	일본/NNP
유학	유학/NNG
때	때/NNG
백두산	백두산/NNP
화산재를	화산재/NNG+를/JKO
처음	처음/NNG
접한	접하/VV+ㄴ/ETM
것을	것/NNB+을/JKO
계기로	계기/NNG+로/JKB
지질학과	지질학/NNG+과/JC
역사학을	역사학/NNG+을/JKO
넘나들며	넘나들/VV+며/EC
취재한	취재/NNG+하/XSV+ㄴ/ETM
화산	화산/NNG
분화의	분화/NNG+의/JKG
기록이다.	기록/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.207.3.9
그는 백두산 분화와 발해 멸망은 관계가 없다는 역사학계의 견해를 다양한 지질학적·역사학적 근거로 반박한다.

그는	그/NP+는/JX
백두산	백두산/NNP
분화와	분화/NNG+와/JC
발해	발해/NNP
멸망은	멸망/NNG+은/JX
관계가	관계/NNG+가/JKS
없다는	없/VA+다는/ETM
역사학계의	역사학/NNG+계/XSN+의/JKG
견해를	견해/NNG+를/JKO
다양한	다양/NNG+하/XSA+ㄴ/ETM
지질학적·역사학적	지질학/NNG+적/XSN+·/SP+역사학/NNG+적/XSN
근거로	근거/NNG+로/JKB
반박한다.	반박/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.207.3.10
백두산 분화를 전후해 발해인들이 땅을 버리고 떠났으며, 발해를 멸망시킨 거란조차 그 땅을 포기했을 만큼 화산피해가 광범했다는 것이다.

백두산	백두산/NNP
분화를	분화/NNG+를/JKO
전후해	전후/NNG+하/XSV+아/EC
발해인들이	발해인/NNG+들/XSN+이/JKS
땅을	땅/NNG+을/JKO
버리고	버리/VV+고/EC
떠났으며,	떠나/VV+았/EP+으며/EC+,/SP
발해를	발해/NNP+를/JKO
멸망시킨	멸망/NNG+시키/XSV+ㄴ/ETM
거란조차	거란/NNP+조차/JX
그	그/MMD
포기했을	포기/NNG+하/XSV+았/EP+을/ETM
만큼	만큼/NNB
화산피해가	화산/NNG+피해/NNG+가/JKS
광범했다는	광범하/VA+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.207.3.11
여진족은 이 화산재해에서 살아남은 발해인들을 가리킬지 모른다고 추정한다.

여진족은	여진족/NNP+은/JX
이	이/MMD
화산재해에서	화산/NNG+재해/NNG+에서/JKB
살아남은	살아남/VV+은/ETM
발해인들을	발해인/NNG+들/XSN+을/JKO
가리킬지	가리키/VV+ㄹ지/EF
모른다고	모르/VV+ㄴ다고/EC
추정한다.	추정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.207.3.12
100억t의 물을 산꼭대기에 지고 있는 백두산이 다시 폭발한다면 어떤 일이 벌어질까.

100억t의	100/SN+억/NR+t/SW+의/JKG
물을	물/NNG+을/JKO
산꼭대기에	산꼭대기/NNG+에/JKB
지고	지/VV+고/EC
있는	있/VX+는/ETM
백두산이	백두산/NNP+이/JKS
다시	다시/MAG
폭발한다면	폭발/NNG+하/XSV+ㄴ다면/EC
어떤	어떤/MMD
일이	일/NNG+이/JKS
벌어질까.	벌어지/VV+ㄹ까/EF+./SF


# id : NWRW1800000028.207.3.13
지난 10세기의 분화가 이 지역문명을 일시중지시켰다면, 이번엔 종료시킬지 모른다고 지은이는 경고한다.

지난	지나/VV+ㄴ/ETM
10세기의	10/SN+세기/NNG+의/JKG
분화가	분화/NNG+가/JKS
이	이/MMD
지역문명을	지역/NNG+문명/NNG+을/JKO
일시중지시켰다면,	일시/NNG+중지/NNG+시키/XSV+었/EP+다면/EC+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
종료시킬지	종료/NNG+시키/XSV+ㄹ지/EF
모른다고	모르/VV+ㄴ다고/EC
지은이는	지은이/NNG+는/JX
경고한다.	경고/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.207.3.14
소원주 지음/사이언스북스·2만원.

소원주	소원주/NNP
지음/사이언스북스·2만원.	짓/VV+음/ETN+//SP+사이언스북스/NNP+·/SP+2/SN+만/NR+원/NNB+./SF


