# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.300
metadata : {}


# id : NWRW1800000053.300.1.1
문재인, 사드-개헌에 ‘전략적 모호성’

문재인,	문재인/NNP+,/SP
취소하겠다	취소/NNG+하/XSV+겠/EP+다/EF
또는	또는/MAG
강행하겠다는	강행/NNG+하/XSV+겠/EP+다는/ETM
그런	그런/MMD
입장이	입장/NNG+이/JKC
아니다”며	아니/VCN+다/EF+”/SS+며/EC
“득실이	“/SS+득실/NNG+이/JKS
교차하는	교차/NNG+하/XSV+는/ETM
문제이기	문제/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
전체를	전체/NNG+를/JKO
종합해	종합/NNG+하/XSV+아/EC
논의해야	논의/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.300.4.2
그는 “북핵 문제에 대한 강력한 대응의 하나로 사드 배치를 할 수 있다고 생각한다”면서도 “공론화 과정이 필요하다”고 말했다.

그는	그/NP+는/JX
“북핵	“/SS+북핵/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
대응의	대응/NNG+의/JKG
하나로	하나/NR+로/JKB
사드	사드/NNG
배치를	배치/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
생각한다”면서도	생각/NNG+하/XSV+ㄴ다/EF+”/SS+면서/EC+도/JX
“공론화	“/SS+공론/NNG+화/XSN
과정이	과정/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.300.4.3
‘말 바꾸기’ 논란에 대해 전략적 모호성을 재차 강조한 것이지만 사드 배치 찬반에 대한 명확한 입장은 밝히지 않았다.

‘말	‘/SS+말/NNG
바꾸기’	바꾸/VV+기/ETN+’/SS
논란에	논란/NNG+에/JKB
대해	대하/VV+아/EC
전략적	전략/NNG+적/XSN
모호성을	모호성/NNG+을/JKO
재차	재차/MAG
강조한	강조/NNG+하/XSV+ㄴ/ETM
것이지만	것/NNB+이/VCP+지만/EC
사드	사드/NNG
배치	배치/NNG
찬반에	찬반/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
명확한	명확하/VA+ㄴ/ETM
입장은	입장/NNG+은/JX
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.300.4.4
그는 대담집에서도 “우리가 한반도 문제를 주도해 나가야 한다는 입장에서 사드 배치의 득과 실을 구체적으로 검토해야 한다”고 밝혔다.

그는	그/NP+는/JX
대담집에서도	대담집/NNG+에서/JKB+도/JX
“우리가	“/SS+우리/NP+가/JKS
한반도	한반도/NNP
문제를	문제/NNG+를/JKO
주도해	주도/NNG+하/XSV+아/EC
나가야	나가/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
입장에서	입장/NNG+에서/JKB
사드	사드/NNG
배치의	배치/NNG+의/JKG
득과	득/NNG+과/JC
실을	실/NNG+을/JKO
구체적으로	구체/NNG+적/XSN+으로/JKB
검토해야	검토/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.300.5.1
개헌과 관련해 문 전 대표는 “내각제나 이원집정부제가 이론적으로 뛰어난 점이 있어도 우리 현실에 맞을지, 대통령제보다 나을지는 충분히 검증된 바가 없다”며 “선거제도 개편과 재벌개혁이 함께 이뤄진다면 (2012년 공약으로 제시했던) 4년 중임제를 고집할 생각이 없다”고 말했다.

개헌과	개헌/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
“내각제나	“/SS+내각/NNG+제/XSN+나/JC
이원집정부제가	이원/NNG+집정부/NNG+제/XSN+가/JKS
이론적으로	이론/NNG+적/XSN+으로/JKB
뛰어난	뛰어나/VA+ㄴ/ETM
점이	점/NNG+이/JKS
있어도	있/VA+어도/EC
우리	우리/NP
현실에	현실/NNG+에/JKB
맞을지,	맞/VV+을지/EF+,/SP
대통령제보다	대통령/NNG+제/XSN+보다/JKB
나을지는	낫/VA+을지/EF+는/JX
충분히	충분히/MAG
검증된	검증/NNG+되/XSV+ㄴ/ETM
바가	바/NNB+가/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“선거제도	“/SS+선거/NNG+제도/NNG
개편과	개편/NNG+과/JC
재벌개혁이	재벌/NNG+개혁/NNG+이/JKS
함께	함께/MAG
이뤄진다면	이뤄지/VV+ㄴ다면/EC
(2012년	(/SS+2012/SN+년/NNB
공약으로	공약/NNG+으로/JKB
제시했던)	제시/NNG+하/XSV+았/EP+던/ETM+)/SS
4년	4/SN+년/NNB
중임제를	중임/NNG+제/XSN+를/JKO
고집할	고집/NNG+하/XSV+ㄹ/ETM
생각이	생각/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.300.6.1
그러나 핫이슈로 떠오른 사드와 개헌 문제에 모호한 입장을 취한 것을 두고 당내에서도 우려가 제기됐다.

그러나	그러나/MAJ
핫이슈로	핫이슈/NNG+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
사드와	사드/NNG+와/JC
개헌	개헌/NNG
문제에	문제/NNG+에/JKB
모호한	모호하/VA+ㄴ/ETM
입장을	입장/NNG+을/JKO
취한	취하/VV+ㄴ/ETM
것을	것/NNB+을/JKO
두고	두/VV+고/EC
당내에서도	당내/NNG+에서/JKB+도/JX
우려가	우려/NNG+가/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.300.6.2
당 관계자는 “공론화 절차를 강조한 것이지만 자칫 대권 주자가 ‘첨예한 이슈에 대해 명확한 방향 제시가 없다’는 비판을 받을 수 있다”고 지적했다.

당	당/NNG
관계자는	관계자/NNG+는/JX
“공론화	“/SS+공론/NNG+화/XSN
절차를	절차/NNG+를/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것이지만	것/NNB+이/VCP+지만/EC
자칫	자칫/MAG
대권	대권/NNG
주자가	주자/NNG+가/JKS
‘첨예한	‘/SS+첨예하/VA+ㄴ/ETM
이슈에	이슈/NNG+에/JKB
대해	대하/VV+아/EC
명확한	명확하/VA+ㄴ/ETM
방향	방향/NNG
제시가	제시/NNG+가/JKS
없다’는	없/VA+다/EF+’/SS+는/ETM
비판을	비판/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.300.7.1
한편 문 전 대표는 책에서 “친일에서 반공으로 또는 산업화 세력으로, 지역주의를 이용한 보수라는 이름으로 바뀌었다”며 “이것이 정말 위선적인 허위의 세력”이라고 비판했다.

한편	한편/MAG
문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
책에서	책/NNG+에서/JKB
“친일에서	“/SS+친일/NNG+에서/JKB
반공으로	반공/NNG+으로/JKB
또는	또는/MAG
산업화	산업/NNG+화/XSN
세력으로,	세력/NNG+으로/JKB+,/SP
지역주의를	지역주의/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
보수라는	보수/NNG+이/VCP+라는/ETM
이름으로	이름/NNG+으로/JKB
바뀌었다”며	바뀌/VV+었/EP+다/EF+”/SS+며/EC
“이것이	“/SS+이것/NP+이/JKS
정말	정말/MAG
위선적인	위선/NNG+적/XSN+이/VCP+ㄴ/ETM
허위의	허위/NNG+의/JKG
세력”이라고	세력/NNG+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


