# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.77
metadata : {}


# id : NWRW1800000033.77.1.1
“마지막 남은 노다지 캐자” 심해 골드러시

“마지막	“/SS+마지막/NNG
들어간	들어가/VV+ㄴ/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.77.6.1
17일 자메이카에서 열리는 총회를 앞두고 ISA가 발표한 자료에 따르면 공해상의 심해자원 개발 신청을 한 국가는 한국 중국 프랑스 러시아 벨기에 등 17개국에 이른다.

17일	17/SN+일/NNB
자메이카에서	자메이카/NNP+에서/JKB
열리는	열리/VV+는/ETM
총회를	총회/NNG+를/JKO
앞두고	앞두/VV+고/EC
ISA가	ISA/SL+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
공해상의	공해/NNG+상/XSN+의/JKG
심해자원	심해/NNG+자원/NNG
개발	개발/NNG
신청을	신청/NNG+을/JKO
한	하/VV+ㄴ/ETM
국가는	국가/NNG+는/JX
한국	한국/NNP
중국	중국/NNP
프랑스	프랑스/NNP
러시아	러시아/NNP
벨기에	벨기에/NNP
등	등/NNB
17개국에	17/SN+개국/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.77.7.1
중국은 2010년 5월 ISA가 공해상의 심해 광물자원 개발 기준을 발표한 첫날 신청서를 제출했다.

중국은	중국/NNP+은/JX
2010년	2010/SN+년/NNB
5월	5/SN+월/NNB
ISA가	ISA/SL+가/JKS
공해상의	공해/NNG+상/XSN+의/JKG
심해	심해/NNG
광물자원	광물/NNG+자원/NNG
개발	개발/NNG
기준을	기준/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
첫날	첫날/NNG
신청서를	신청서/NNG+를/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.77.7.2
2년 뒤인 지난달 27일 중국은 자국 전설 속에 나오는 용인 ‘자오룽(蛟龍)’의 이름을 붙인 유인 잠수정을 타고 수면 7062m 아래 심해로 내려갔다.

2년	2/SN+년/NNB
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
지난달	지난달/NNG
27일	27/SN+일/NNB
중국은	중국/NNP+은/JX
자국	자국/NNG
전설	전설/NNG
속에	속/NNG+에/JKB
나오는	나오/VV+는/ETM
용인	용/NNG+이/VCP+ㄴ/ETM
‘자오룽(蛟龍)’의	‘/SS+자오룽/NNP+(/SS+蛟龍/SH+)/SS+’/SS+의/JKG
이름을	이름/NNG+을/JKO
붙인	붙이/VV+ㄴ/ETM
유인	유인/NNG
잠수정을	잠수정/NNG+을/JKO
타고	타/VV+고/EC
수면	수면/NNG
7062m	7062/SN+m/SW
아래	아래/NNG
심해로	심해/NNG+로/JKB
내려갔다.	내려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.77.7.3
심해자원 개발에 박차를 가하기 위해 미국 프랑스 러시아 일본이 세운 잠수정 심해 강하 기록을 깬 것이다.

심해자원	심해/NNG+자원/NNG
개발에	개발/NNG+에/JKB
박차를	박차/NNG+를/JKO
가하기	가하/VV+기/ETN
위해	위하/VV+아/EC
미국	미국/NNP
프랑스	프랑스/NNP
러시아	러시아/NNP
일본이	일본/NNP+이/JKS
세운	세우/VV+ㄴ/ETM
잠수정	잠수정/NNG
심해	심해/NNG
강하	강하/NNG
기록을	기록/NNG+을/JKO
깬	깨/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.77.8.1
중국은 이미 국토 면적 9100km²의 남미 푸에르토리코 크기에 맞먹는 아프리카 남동부와 인도 사이의 ‘남서 인도양 리지’의 심해자원 탐사를 위해 3명의 승무원이 탄 자우룽을 암흑 같은 바다 밑으로 내려보냈다.

중국은	중국/NNP+은/JX
이미	이미/MAG
국토	국토/NNG
면적	면적/NNG
9100km²의	9100/SN+km²/SW+의/JKG
남미	남미/NNP
푸에르토리코	푸에르토리코/NNP
크기에	크기/NNG+에/JKB
맞먹는	맞먹/VV+는/ETM
아프리카	아프리카/NNP
남동부와	남동부/NNG+와/JC
인도	인도/NNP
사이의	사이/NNG+의/JKG
‘남서	‘/SS+남서/NNG
인도양	인도양/NNP
리지’의	리지/NNP+’/SS+의/JKG
심해자원	심해/NNG+자원/NNG
탐사를	탐사/NNG+를/JKO
위해	위하/VV+아/EC
3명의	3/SN+명/NNB+의/JKG
승무원이	승무원/NNG+이/JKS
탄	타/VV+ㄴ/ETM
자우룽을	자우룽/NNP+을/JKO
암흑	암흑/NNG
같은	같/VA+은/ETM
바다	바다/NNG
밑으로	밑/NNG+으로/JKB
내려보냈다.	내리/VV+어/EC+보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.77.8.2
러시아 프랑스 중국이 남태평양 하와이 섬 남부의 해양 개발에 본격적으로 나선 가운데 한국도 4월에 피지와 심해 광물자원 개발 계약을 맺고 ‘해양 영토 전쟁’에 합류했다.

러시아	러시아/NNP
프랑스	프랑스/NNP
중국이	중국/NNP+이/JKS
남태평양	남태평양/NNP
하와이	하와이/NNP
섬	섬/NNG
남부의	남부/NNG+의/JKG
해양	해양/NNG
개발에	개발/NNG+에/JKB
본격적으로	본격/NNG+적/XSN+으로/JKB
나선	나서/VV+ㄴ/ETM
가운데	가운데/NNG
한국도	한국/NNP+도/JX
4월에	4/SN+월/NNB+에/JKB
피지와	피지/NNP+와/JKB
심해	심해/NNG
광물자원	광물/NNG+자원/NNG
개발	개발/NNG
계약을	계약/NNG+을/JKO
맺고	맺/VV+고/EC
‘해양	‘/SS+해양/NNG
영토	영토/NNG
전쟁’에	전쟁/NNG+’/SS+에/JKB
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.77.9.1
심해자원 개발은 크게 공해상의 개발과 200해리 국가 해양영토 자원 개발로 나뉘는데 공해상의 개발은 ISA에 신청해 허가를 받아야 하고 다른 국가 해양에서 탐사 및 개발을 하려면 해당 국가와 계약을 체결한다.

심해자원	심해/NNG+자원/NNG
개발은	개발/NNG+은/JX
크게	크/VA+게/EC
공해상의	공해/NNG+상/XSN+의/JKG
개발과	개발/NNG+과/JC
200해리	200/SN+해리/NNB
국가	국가/NNG
해양영토	해양/NNG+영토/NNG
자원	자원/NNG
개발로	개발/NNG+로/JKB
나뉘는데	나뉘/VV+는데/EC
ISA에	ISA/SL+에/JKB
신청해	신청/NNG+하/XSV+아/EC
허가를	허가/NNG+를/JKO
받아야	받/VV+아야/EC
하고	하/VX+고/EC
다른	다른/MMD
해양에서	해양/NNG+에서/JKB
탐사	탐사/NNG
및	및/MAG
개발을	개발/NNG+을/JKO
하려면	하/VV+려면/EC
해당	해당/NNG
국가와	국가/NNG+와/JKB
계약을	계약/NNG+을/JKO
체결한다.	체결/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.77.10.1
미국과 캐나다는 국가가 주도하는 공해 개발보다는 글로벌 탐사기업 등 민간이 해당 국가와 계약을 체결하는 방식을 선호한다.

미국과	미국/NNP+과/JC
캐나다는	캐나다/NNP+는/JX
국가가	국가/NNG+가/JKS
주도하는	주도/NNG+하/XSV+는/ETM
공해	공해/NNG
개발보다는	개발/NNG+보다/JKB+는/JX
글로벌	글로벌/NNG
탐사기업	탐사/NNG+기업/NNG
등	등/NNB
민간이	민간/NNG+이/JKS
해당	해당/NNG
국가와	국가/NNG+와/JKB
계약을	계약/NNG+을/JKO
체결하는	체결/NNG+하/XSV+는/ETM
방식을	방식/NNG+을/JKO
선호한다.	선호/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.77.10.2
타이타닉호 발굴에 결정적 기여를 한 미국 해저탐사회사인 ‘오디세이 마린 익스플로레이션’은 최근 솔로몬제도 등 카리브 해안 국가들과 잇달아 해저탐사 계약을 맺었다.

타이타닉호	타이타닉호/NNP
발굴에	발굴/NNG+에/JKB
결정적	결정/NNG+적/XSN
기여를	기여/NNG+를/JKO
한	하/VV+ㄴ/ETM
미국	미국/NNP
해저탐사회사인	해저/NNG+탐사/NNG+회사/NNG+이/VCP+ㄴ/ETM
‘오디세이	‘/SS+오디세이/NNP
마린	마린/NNP
익스플로레이션’은	익스플로레이션/NNP+’/SS+은/JX
최근	최근/NNG
솔로몬제도	솔로몬제도/NNP
등	등/NNB
카리브	카리브/NNP
해안	해안/NNG
국가들과	국가/NNG+들/XSN+과/JKB
잇달아	잇달/VV+아/EC
해저탐사	해저/NNG+탐사/NNG
계약을	계약/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.77.10.3
캐나다 회사인 노틸러스미네랄은 2000제곱마일의 파푸아뉴기니 심해를 20년간 임차하는 계약을 맺고 내년부터 본격적인 발굴에 들어간다.

캐나다	캐나다/NNP
회사인	회사/NNG+이/VCP+ㄴ/ETM
노틸러스미네랄은	노틸러스미네랄/NNP+은/JX
2000제곱마일의	2000/SN+제곱/NNG+마일/NNB+의/JKG
파푸아뉴기니	파푸아뉴기니/NNP
심해를	심해/NNG+를/JKO
20년간	20/SN+년/NNB+간/XSN
임차하는	임차/NNG+하/XSV+는/ETM
계약을	계약/NNG+을/JKO
맺고	맺/VV+고/EC
내년부터	내년/NNG+부터/JX
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
발굴에	발굴/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.77.10.4
이 회사에 따르면 추정 매장량만 금 10t과 구리 12만500t에 이른다.

이	이/MMD
회사에	회사/NNG+에/JKB
따르면	따르/VV+면/EC
추정	추정/NNG
매장량만	매장량/NNG+만/JX
금	금/NNG
10t과	10/SN+t/SW+과/JC
구리	구리/NNG
12만500t에	12/SN+만/NR+500/SN+t/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.77.10.5
환경단체는 심해 개발이 환경에 부정적인 영향을 미친다고 경고하고 있지만 대세를 거스르기엔 역부족이다.

환경단체는	환경/NNG+단체/NNG+는/JX
심해	심해/NNG
개발이	개발/NNG+이/JKS
환경에	환경/NNG+에/JKB
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
영향을	영향/NNG+을/JKO
미친다고	미치/VV+ㄴ다고/EC
경고하고	경고/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
대세를	대세/NNG+를/JKO
거스르기엔	거스르/VV+기/ETN+에/JKB+ㄴ/JX
역부족이다.	역부족/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.77.11.1
각국이 해저 광물자원 개발에 나설 수 있는 것은 해저탐사 기술과 해양지리학이 급속한 발전을 맞았기 때문이다.

각국이	각국/NNG+이/JKS
해저	해저/NNG
광물자원	광물/NNG+자원/NNG
개발에	개발/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것은	것/NNB+은/JX
해저탐사	해저/NNG+탐사/NNG
기술과	기술/NNG+과/JC
해양지리학이	해양/NNG+지리학/NNG+이/JKS
급속한	급속/NNG+하/XSA+ㄴ/ETM
발전을	발전/NNG+을/JKO
맞았기	맞/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.77.11.2
0.5%의 순도를 갖고 있는 육지의 광물과 달리 해저 광물은 10%의 높은 순도를 갖고 있어 발굴만 하면 수익성이 훨씬 높다.

0.5%의	0/SN+./SP+5/SN+%/SW+의/JKG
순도를	순도/NNG+를/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
육지의	육지/NNG+의/JKG
광물과	광물/NNG+과/JKB
달리	달리/MAG
해저	해저/NNG
광물은	광물/NNG+은/JX
10%의	10/SN+%/SW+의/JKG
높은	높/VA+은/ETM
있어	있/VX+어/EC
발굴만	발굴/NNG+만/JX
하면	하/VV+면/EC
수익성이	수익/NNG+성/XSN+이/JKS
훨씬	훨씬/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000033.77.11.3
육상 광물자원이 점차 고갈되어 가는 것도 각국이 눈을 바다로 돌리는 이유다.

육상	육상/NNG
광물자원이	광물/NNG+자원/NNG+이/JKS
점차	점차/MAG
고갈되어	고갈/NNG+되/XSV+어/EC
가는	가/VX+는/ETM
것도	것/NNB+도/JX
각국이	각국/NNG+이/JKS
눈을	눈/NNG+을/JKO
바다로	바다/NNG+로/JKB
돌리는	돌리/VV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


