# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.158
metadata : {}


# id : NWRW1800000026.158.1.1
현생인류(호모사피엔스)와 네안데르탈인, 혼종 자식 낳았을 것;獨 연구결과 사이언스지 게재 현생인류와 유전자 공유 1~4%로 지역차이 보여

현생인류(호모사피엔스)와	현생/NNG+인류/NNG+(/SS+호모사피엔스/NNG+)/SS+와/JC
네안데르탈인	네안데르탈인/NNG
유골의	유골/NNG+의/JKG
유전자	유전자/NNG
분석	분석/NNG
결과에	결과/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
이	이/MMD
연구는	연구/NNG+는/JX
과학계에서	과학/NNG+계/XSN+에서/JKB
통용되고	통용/NNG+되/XSV+고/EC
있는,	있/VX+는/ETM+,/SP
현생인류와	현생/NNG+인류/NNG+와/JKB
사이의	사이/NNG+의/JKG
결합이	결합/NNG+이/JKS
없었으리라는	없/VA+었/EP+으리라는/ETM
가설을	가설/NNG+을/JKO
뒤집는	뒤집/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.158.2.3
연구 결과는 미국에서 발행하는 과학 전문지 사이언스(Science) 7일자에 게재됐다.

연구	연구/NNG
결과는	결과/NNG+는/JX
미국에서	미국/NNP+에서/JKB
발행하는	발행/NNG+하/XSV+는/ETM
과학	과학/NNG
전문지	전문지/NNG
사이언스(Science)	사이언스/NNP+(/SS+Science/SL+)/SS
7일자에	7/SN+일/NNB+자/NNG+에/JKB
게재됐다.	게재/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.158.3.1
독일 막스플랑크(Max-Planck)연구소 진화유전학팀의 리처드 그린(Green) 박사팀은 크로아티아 빈디가(Vindiga) 동굴에서 발견한 네안데르탈인의 알약만한 뼛조각에서 유전자를 추출, 염기서열을 분석했다.

독일	독일/NNP
막스플랑크(Max-Planck)연구소	막스플랑크/NNP+(/SS+Max/SL+-/SO+Planck/SL+)/SS+연구소/NNG
진화유전학팀의	진화/NNG+유전학/NNG+팀/NNG+의/JKG
리처드	리처드/NNP
그린(Green)	그린/NNP+(/SS+Green/SL+)/SS
박사팀은	박사/NNG+팀/NNG+은/JX
크로아티아	크로아티아/NNP
빈디가(Vindiga)	빈디가/NNP+(/SS+Vindiga/SL+)/SS
동굴에서	동굴/NNG+에서/JKB
발견한	발견/NNG+하/XSV+ㄴ/ETM
네안데르탈인의	네안데르탈인/NNG+의/JKG
알약만한	알약/NNG+만/JX+하/VA+ㄴ/ETM
뼛조각에서	뼛조각/NNG+에서/JKB
유전자를	유전자/NNG+를/JKO
추출,	추출/NNG+,/SP
염기서열을	염기/NNG+서열/NNG+을/JKO
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.158.3.2
이들은 이어 네안데르탈인의 유전자를 현재 아프리카 남부, 아프리카 서부, 파푸아뉴기니, 중국, 프랑스 등 다섯 개 지역에 살고 있는 민족의 유전자와 대조했다.

이들은	이/NP+들/XSN+은/JX
이어	이어/MAG
네안데르탈인의	네안데르탈인/NNG+의/JKG
유전자를	유전자/NNG+를/JKO
현재	현재/MAG
아프리카	아프리카/NNP
남부,	남부/NNG+,/SP
서부,	서부/NNG+,/SP
파푸아뉴기니,	파푸아뉴기니/NNP+,/SP
중국,	중국/NNP+,/SP
프랑스	프랑스/NNP
등	등/NNB
다섯	다섯/NR
개	개/NNB
지역에	지역/NNG+에/JKB
살고	살/VV+고/EC
있는	있/VX+는/ETM
민족의	민족/NNG+의/JKG
유전자와	유전자/NNG+와/JKB
대조했다.	대조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.158.3.3
그 결과 네안데르탈인은 현생 인류와 1~4% 정도의 유전자를 공유한다는 사실이 드러났다.

그	그/MMD
결과	결과/NNG
네안데르탈인은	네안데르탈인/NNG+은/JX
현생	현생/NNG
인류와	인류/NNG+와/JKB
1~4%	1/SN+~/SO+4/SN+%/SW
정도의	정도/NNG+의/JKG
유전자를	유전자/NNG+를/JKO
공유한다는	공유/NNG+하/XSV+ㄴ다는/ETM
사실이	사실/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.158.4.1
연구팀을 놀라게 한 것은 아프리카 민족이 네안데르탈인과 공유하는 유전자 비율이 다른 대륙에 비해 현격히 떨어진다는 사실이었다.

연구팀을	연구/NNG+팀/NNG+을/JKO
놀라게	놀라/VV+게/EC
한	하/VX+ㄴ/ETM
것은	것/NNB+은/JX
아프리카	아프리카/NNP
민족이	민족/NNG+이/JKS
네안데르탈인과	네안데르탈인/NNG+과/JKB
공유하는	공유/NNG+하/XSV+는/ETM
유전자	유전자/NNG
비율이	비율/NNG+이/JKS
다른	다른/MMD
대륙에	대륙/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
현격히	현격히/MAG
떨어진다는	떨어지/VV+ㄴ다는/ETM
사실이었다.	사실/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.158.4.2
연구에 참여한 막스플랑크연구소 스반테 패브 박사는 사이언스에 "네안데르탈인은 아프리카에서 유래해 중동을 거쳐 유럽과 서아시아에서 약 3만년 전까지 살았고 수천 년 정도 현생 인류와 공존했다. 아프리카 민족과 공유하는 유전자 비율이 낮고 나머지 지역 사람들과 더 많은 유전자를 공유한다는 사실은 이들이 아프리카를 떠나 중동 부근에서 호모사피엔스를 만나 자식을 낳았고, 이 혼혈종이 아프리카를 제외한 다른 지역으로 퍼져 나갔을 가능성이 크다는 뜻"이라고 밝혔다.

연구에	연구/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
막스플랑크연구소	막스플랑크연구소/NNP
스반테	스반테/NNP
패브	패브/NNP
박사는	박사/NNG+는/JX
사이언스에	사이언스/NNP+에/JKB
"네안데르탈인은	"/SS+네안데르탈인/NNG+은/JX
아프리카에서	아프리카/NNP+에서/JKB
유래해	유래/NNG+하/XSV+아/EC
중동을	중동/NNP+을/JKO
거쳐	거치/VV+어/EC
유럽과	유럽/NNP+과/JC
서아시아에서	서아시아/NNP+에서/JKB
약	약/MMA
3만년	3/SN+만/NR+년/NNB
전까지	전/NNG+까지/JX
살았고	살/VV+았/EP+고/EC
수천	수천/NR
년	년/NNB
정도	정도/NNG
현생	현생/NNG
인류와	인류/NNG+와/JKB
공존했다.	공존/NNG+하/XSV+았/EP+다/EF+./SF
아프리카	아프리카/NNP
민족과	민족/NNG+과/JKB
공유하는	공유/NNG+하/XSV+는/ETM
유전자	유전자/NNG
비율이	비율/NNG+이/JKS
낮고	낮/VA+고/EC
나머지	나머지/NNG
지역	지역/NNG
사람들과	사람/NNG+들/XSN+과/JKB
더	더/MAG
많은	많/VA+은/ETM
유전자를	유전자/NNG+를/JKO
공유한다는	공유/NNG+하/XSV+ㄴ다는/ETM
사실은	사실/NNG+은/JX
이들이	이/NP+들/XSN+이/JKS
아프리카를	아프리카/NNP+를/JKO
떠나	떠나/VV+아/EC
중동	중동/NNP
부근에서	부근/NNG+에서/JKB
호모사피엔스를	호모사피엔스/NNG+를/JKO
만나	만나/VV+아/EC
자식을	자식/NNG+을/JKO
낳았고,	낳/VV+았/EP+고/EC+,/SP
이	이/MMD
혼혈종이	혼혈/NNG+종/NNG+이/JKS
제외한	제외/NNG+하/XSV+ㄴ/ETM
다른	다른/MMD
지역으로	지역/NNG+으로/JKB
퍼져	퍼지/VV+어/EC
나갔을	나가/VX+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다는	크/VA+다는/ETM
뜻"이라고	뜻/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.158.4.3
그는 또 "네안데르탈인과 호모사피엔스 사이의 종간(種間) 결합이 없어 두 종이 완전히 분리돼 있다면, 모든 현생인류가 네안데르탈인과 공유한 유전자의 비율은 같아야 한다"고 했다.

그는	그/NP+는/JX
또	또/MAG
"네안데르탈인과	"/SS+네안데르탈인/NNG+과/JC
호모사피엔스	호모사피엔스/NNG
사이의	사이/NNG+의/JKG
종간(種間)	종간/NNG+(/SS+種間/SH+)/SS
결합이	결합/NNG+이/JKS
없어	없/VA+어/EC
두	두/MMN
종이	종/NNG+이/JKS
완전히	완전히/MAG
분리돼	분리/NNG+되/XSV+어/EC
있다면,	있/VX+다면/EC+,/SP
모든	모든/MMN
현생인류가	현생/NNG+인류/NNG+가/JKS
네안데르탈인과	네안데르탈인/NNG+과/JKB
공유한	공유/NNG+하/XSV+ㄴ/ETM
유전자의	유전자/NNG+의/JKG
비율은	비율/NNG+은/JX
같아야	같/VA+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.158.5.1
즉 아프리카 민족과 비아프리카 민족간의 네안데르탈인 유전자 공유비율은 다르기 때문에 종간 결합이 있었다는 이야기다.

즉	즉/MAG
아프리카	아프리카/NNP
민족과	민족/NNG+과/JC
비아프리카	비/XPN+아프리카/NNP
민족간의	민족/NNG+간/NNB+의/JKG
네안데르탈인	네안데르탈인/NNG
유전자	유전자/NNG
공유비율은	공유/NNG+비율/NNG+은/JX
다르기	다르/VA+기/ETN
때문에	때문/NNB+에/JKB
종간	종간/NNG
결합이	결합/NNG+이/JKS
있었다는	있/VA+었/EP+다는/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


