# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.96
metadata : {}


# id : NWRW1800000029.96.1.1
프라다… 발리… 213개 브랜드 손님맞이, 롯데 프리미엄 아웃렛 파주점 오픈

프라다…	프라다/NNP+…/SE
3만5428m²(약	3/SN+만/NR+5428/SN+m²/SW+(/SS+약/MMA
1만700평)로	1/SN+만/NR+700/SN+평/NNB+)/SS+로/JKB
국내에서	국내/NNG+에서/JKB
가장	가장/MAG
크다.	크/VA+다/EF+./SF


# id : NWRW1800000029.96.5.3
롯데백화점은 파주점을 짓기 위해 약 2500억 원을 쏟아 부었다.

롯데백화점은	롯데백화점/NNP+은/JX
파주점을	파주점/NNG+을/JKO
짓기	짓/VV+기/ETN
위해	위하/VV+아/EC
약	약/MMA
2500억	2500/SN+억/NR
원을	원/NNB+을/JKO
쏟아	쏟/VV+아/EC
부었다.	붓/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.96.6.1
2010년 7월 공사를 시작해 1년 6개월 만에 모습을 드러낸 파주점은 규모에 걸맞게 국내 아웃렛 가운데 가장 많은 브랜드를 선보인다.

2010년	2010/SN+년/NNB
7월	7/SN+월/NNB
공사를	공사/NNG+를/JKO
시작해	시작/NNG+하/XSV+아/EC
1년	1/SN+년/NNB
6개월	6/SN+개월/NNB
만에	만/NNB+에/JKB
모습을	모습/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
파주점은	파주점/NNG+은/JX
규모에	규모/NNG+에/JKB
걸맞게	걸맞/VA+게/EC
국내	국내/NNG
아웃렛	아웃렛/NNG
가운데	가운데/NNG
가장	가장/MAG
많은	많/VA+은/ETM
브랜드를	브랜드/NNG+를/JKO
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.96.6.2
4개 건물로 이뤄진 파주점은 프라다와 미우미우, 폴스미스, 발리, 멀버리 등 해외 명품 브랜드를 비롯해 빈폴과 폴로, 탠디 등 유명 인기 브랜드들을 입점시키며 모두 213개의 브랜드 라인업을 갖췄다.

4개	4/SN+개/NNB
건물로	건물/NNG+로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
파주점은	파주점/NNG+은/JX
프라다와	프라다/NNP+와/JC
미우미우,	미우미우/NNP+,/SP
폴스미스,	폴스미스/NNP+,/SP
발리,	발리/NNP+,/SP
멀버리	멀버리/NNP
등	등/NNB
해외	해외/NNG
명품	명품/NNG
브랜드를	브랜드/NNG+를/JKO
비롯해	비롯하/VV+아/EC
빈폴과	빈폴/NNP+과/JC
폴로,	폴로/NNP+,/SP
탠디	탠디/NNP
유명	유명/NNG
인기	인기/NNG
브랜드들을	브랜드/NNG+들/XSN+을/JKO
입점시키며	입점/NNG+시키/XSV+며/EC
모두	모두/MAG
213개의	213/SN+개/NNB+의/JKG
브랜드	브랜드/NNG
라인업을	라인업/NNG+을/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.96.6.3
특히 프라다와 태그호이어 등 32개 브랜드는 국내에서는 처음으로 아웃렛에 들어섰다.

특히	특히/MAG
프라다와	프라다/NNP+와/JC
태그호이어	태그호이어/NNP
등	등/NNB
32개	32/SN+개/NNB
브랜드는	브랜드/NNG+는/JX
국내에서는	국내/NNG+에서/JKB+는/JX
처음으로	처음/NNG+으로/JKB
아웃렛에	아웃렛/NNG+에/JKB
들어섰다.	들어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.96.7.1
그동안 아웃렛에 입점한 해외 유명 브랜드의 경우 고객이 옷을 고를 때 사이즈에 맞는 제품이 부족하다는 불만이 많았다.

그동안	그동안/NNG
아웃렛에	아웃렛/NNG+에/JKB
입점한	입점/NNG+하/XSV+ㄴ/ETM
해외	해외/NNG
유명	유명/NNG
브랜드의	브랜드/NNG+의/JKG
경우	경우/NNG
고객이	고객/NNG+이/JKS
옷을	옷/NNG+을/JKO
고를	고르/VV+ㄹ/ETM
때	때/NNG
사이즈에	사이즈/NNG+에/JKB
맞는	맞/VV+는/ETM
제품이	제품/NNG+이/JKS
부족하다는	부족/NNG+하/XSA+다는/ETM
불만이	불만/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.96.7.2
이에 따라 파주점은 사이즈에 영향을 덜 받는 가방이나 신발 등 잡화 상품의 비중을 늘렸다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
파주점은	파주점/NNG+은/JX
사이즈에	사이즈/NNG+에/JKB
영향을	영향/NNG+을/JKO
덜	덜/MAG
받는	받/VV+는/ETM
가방이나	가방/NNG+이나/JC
신발	신발/NNG
등	등/NNB
잡화	잡화/NNG
상품의	상품/NNG+의/JKG
비중을	비중/NNG+을/JKO
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.96.7.3
실제로 파주점에 입점한 해외 유명 브랜드 가운데 잡화 위주 브랜드가 전체의 73%에 이른다.

실제로	실제로/MAG
파주점에	파주점/NNG+에/JKB
입점한	입점/NNG+하/XSV+ㄴ/ETM
해외	해외/NNG
유명	유명/NNG
브랜드	브랜드/NNG
가운데	가운데/NNG
잡화	잡화/NNG
위주	위주/NNG
브랜드가	브랜드/NNG+가/JKS
전체의	전체/NNG+의/JKG
73%에	73/SN+%/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.96.7.4
여기에 닥스키즈와 게스키즈 등 아동 브랜드도 보강했다.

여기에	여기/NP+에/JKB
닥스키즈와	닥스키즈/NNP+와/JC
게스키즈	게스키즈/NNP
등	등/NNB
아동	아동/NNG
브랜드도	브랜드/NNG+도/JX
보강했다.	보강/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.96.8.1
송정호 롯데 프리미엄 아웃렛 파주점 점장은 “단독 브랜드를 늘리면서 (직선거리로 5.6km 떨어진) 신세계첼시 프리미엄 아웃렛 파주점과 브랜드 중복률을 39%로 낮췄다”며 “고객 선택권을 넓혀 아웃렛 시장의 파이를 키울 수 있을 것”이라고 말했다.

송정호	송정호/NNP
롯데	롯데/NNP
프리미엄	프리미엄/NNG
아웃렛	아웃렛/NNG
파주점	파주점/NNG
점장은	점장/NNG+은/JX
“단독	“/SS+단독/NNG
브랜드를	브랜드/NNG+를/JKO
늘리면서	늘리/VV+면서/EC
(직선거리로	(/SS+직선거리/NNG+로/JKB
5.6km	5/SN+./SP+6/SN+km/SW
떨어진)	떨어지/VV+ㄴ/ETM+)/SS
신세계첼시	신세계첼시/NNP
파주점과	파주점/NNG+과/JC
브랜드	브랜드/NNG
중복률을	중복/NNG+률/XSN+을/JKO
39%로	39/SN+%/SW+로/JKB
낮췄다”며	낮추/VV+었/EP+다/EF+”/SS+며/EC
“고객	“/SS+고객/NNG
선택권을	선택/NNG+권/XSN+을/JKO
넓혀	넓히/VV+어/EC
시장의	시장/NNG+의/JKG
파이를	파이/NNG+를/JKO
키울	키우/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.96.9.1
○ 문화 즐기는 테마파크형 아웃렛

○	○/SW
문화	문화/NNG
즐기는	즐기/VV+는/ETM
테마파크형	테마파크/NNG+형/XSN
아웃렛	아웃렛/NNG


# id : NWRW1800000029.96.10.1
편의시설을 대폭 늘리고 문화시설을 확충한 것도 자랑이다.

편의시설을	편의/NNG+시설/NNG+을/JKO
대폭	대폭/MAG
늘리고	늘리/VV+고/EC
문화시설을	문화/NNG+시설/NNG+을/JKO
확충한	확충/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
자랑이다.	자랑/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.96.10.2
파주점에는 7개의 상영관을 갖춘 영화관과 문화센터, 뽀로로 키즈파크 등 문화시설을 비롯해 잠바주스와 하꼬야 등 35개 식음료 매장도 갖췄다.

파주점에는	파주점/NNG+에/JKB+는/JX
7개의	7/SN+개/NNB+의/JKG
상영관을	상영관/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
영화관과	영화관/NNG+과/JC
문화센터,	문화/NNG+센터/NNG+,/SP
뽀로로	뽀로로/NNP
키즈파크	키즈/NNG+파크/NNG
등	등/NNB
문화시설을	문화/NNG+시설/NNG+을/JKO
비롯해	비롯하/VV+아/EC
잠바주스와	잠바주스/NNP+와/JC
하꼬야	하꼬야/NNP
35개	35/SN+개/NNB
식음료	식음료/NNG
매장도	매장/NNG+도/JX
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.96.10.3
문화센터와 갤러리 등은 교외형 아웃렛에서는 처음으로 들어선다.

문화센터와	문화/NNG+센터/NNG+와/JC
갤러리	갤러리/NNG
등은	등/NNB+은/JX
교외형	교외/NNG+형/XSN
아웃렛에서는	아웃렛/NNG+에서/JKB+는/JX
처음으로	처음/NNG+으로/JKB
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.96.11.1
여기에 파주점 중앙을 가로지르며 흐르는 유수천 주변을 정비했고 옥상에는 전망대를 설치해 북한 황해 지역부터 한강 낙조까지 볼 수 있게 했다.

여기에	여기/NP+에/JKB
파주점	파주점/NNG
중앙을	중앙/NNG+을/JKO
가로지르며	가로지르/VV+며/EC
흐르는	흐르/VV+는/ETM
유수천	유수천/NNG
주변을	주변/NNG+을/JKO
정비했고	정비/NNG+하/XSV+았/EP+고/EC
옥상에는	옥상/NNG+에/JKB+는/JX
전망대를	전망대/NNG+를/JKO
설치해	설치/NNG+하/XSV+아/EC
북한	북한/NNP
황해	황해/NNP
지역부터	지역/NNG+부터/JX
한강	한강/NNP
낙조까지	낙조/NNG+까지/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.96.12.1
앞으로 충남 부여와 충북 청주, 경기 이천 등에 추가로 아웃렛을 열 계획인 롯데백화점에 최대 규모를 갖춘 최초의 문화 소비형 아웃렛인 파주점은 공격적인 아웃렛 시장 공략의 전진기지다.

앞으로	앞/NNG+으로/JKB
충남	충남/NNP
부여와	부여/NNP+와/JC
충북	충북/NNP
청주,	청주/NNP+,/SP
경기	경기/NNP
이천	이천/NNP
등에	등/NNB+에/JKB
추가로	추가/NNG+로/JKB
아웃렛을	아웃렛/NNG+을/JKO
열	열/VV+ㄹ/ETM
계획인	계획/NNG+이/VCP+ㄴ/ETM
롯데백화점에	롯데백화점/NNP+에/JKB
최대	최대/NNG
규모를	규모/NNG+를/JKO
갖춘	갖추/VV+ㄴ/ETM
최초의	최초/NNG+의/JKG
문화	문화/NNG
소비형	소비/NNG+형/XSN
아웃렛인	아웃렛/NNG+이/VCP+ㄴ/ETM
파주점은	파주점/NNG+은/JX
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
아웃렛	아웃렛/NNG
시장	시장/NNG
공략의	공략/NNG+의/JKG
전진기지다.	전진/NNG+기지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.96.12.2
롯데백화점 측은 인천국제공항, 김포공항에서 셔틀버스도 운행하며 중국인과 일본인 관광객도 끌어들여 파주점에서만 2012년 3250억 원의 매출을 올리는 것이 목표라고 설명했다.

롯데백화점	롯데백화점/NNP
측은	측/NNB+은/JX
인천국제공항,	인천국제공항/NNP+,/SP
김포공항에서	김포공항/NNP+에서/JKB
셔틀버스도	셔틀버스/NNG+도/JX
운행하며	운행/NNG+하/XSV+며/EC
중국인과	중국인/NNG+과/JC
일본인	일본인/NNG
관광객도	관광객/NNG+도/JX
끌어들여	끌어들이/VV+어/EC
파주점에서만	파주점/NNG+에서/JKB+만/JX
2012년	2012/SN+년/NNB
3250억	3250/SN+억/NR
원의	원/NNB+의/JKG
매출을	매출/NNG+을/JKO
올리는	올리/VV+는/ETM
것이	것/NNB+이/JKS
목표라고	목표/NNG+이/VCP+라고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


