# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.49
metadata : {}


# id : NWRW1800000036.49.1.1
모텔방에 장부 보관·옆 사무실에 매출조작 비밀전산실… 고소득 자영업자, 현금 빼돌려 탈세

모텔방에	모텔방/NNG+에/JKB
사업장마다	사업장/NNG+마다/JX
자동인식	자동/NNG+인식/NNG
전산장비를	전산/NNG+장비/NNG+를/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.49.7.2
그러나 고소득 자영업자들은 차명계좌와 비밀사무실 등 온갖 편법을 이용해 과세 당국의 추적을 교묘하게 피해왔다.

그러나	그러나/MAJ
고소득	고/XPN+소득/NNG
자영업자들은	자영업자/NNG+들/XSN+은/JX
차명계좌와	차명/NNG+계좌/NNG+와/JC
비밀사무실	비밀/NNG+사무실/NNG
등	등/NNB
온갖	온갖/MMN
편법을	편법/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
과세	과세/NNG
당국의	당국/NNG+의/JKG
추적을	추적/NNG+을/JKO
교묘하게	교묘하/VA+게/EC
피해왔다.	피하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.49.8.1
서울 강남의 치과병원 원장인 ㄱ씨가 대표적이다.

서울	서울/NNP
강남의	강남/NNP+의/JKG
치과병원	치과/NNG+병원/NNG
원장인	원장/NNG+이/VCP+ㄴ/ETM
ㄱ씨가	ㄱ/NNG+씨/NNB+가/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.49.8.2
ㄱ씨는 임플란트 수술을 받으러 온 환자들에게 수술비를 15% 깎아주겠다며 현금 결제를 요구했다.

ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
임플란트	임플란트/NNG
수술을	수술/NNG+을/JKO
받으러	받/VV+으러/EC
온	오/VV+ㄴ/ETM
환자들에게	환자/NNG+들/XSN+에게/JKB
수술비를	수술비/NNG+를/JKO
15%	15/SN+%/SW
깎아주겠다며	깎/VV+아/EC+주/VX+겠/EP+다며/EC
현금	현금/NNG
결제를	결제/NNG+를/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.49.8.3
또 그는 진료 기록을 변조하기 위해 병원 인근에 별도의 사무실을 마련해 비밀 전산실을 운영했다.

또	또/MAG
그는	그/NP+는/JX
진료	진료/NNG
기록을	기록/NNG+을/JKO
변조하기	변조/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
병원	병원/NNG
인근에	인근/NNG+에/JKB
별도의	별도/NNG+의/JKG
사무실을	사무실/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
비밀	비밀/NNG
전산실을	전산실/NNG+을/JKO
운영했다.	운영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.49.8.4
이런 수법으로 3년간 현금결제 금액 304억원에 대해 현금 영수증을 발급하지 않았고 195억원의 소득을 탈루했다.

이런	이런/MMD
수법으로	수법/NNG+으로/JKB
3년간	3/SN+년/NNB+간/XSN
현금결제	현금/NNG+결제/NNG
금액	금액/NNG
304억원에	304/SN+억/NR+원/NNB+에/JKB
대해	대하/VV+아/EC
현금	현금/NNG
영수증을	영수증/NNG+을/JKO
발급하지	발급/NNG+하/XSV+지/EC
않았고	않/VX+았/EP+고/EC
195억원의	195/SN+억/NR+원/NNB+의/JKG
소득을	소득/NNG+을/JKO
탈루했다.	탈루/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.49.8.5
ㄱ씨는 국세청이 세무조사에 들어가자 비밀전산실에 보관된 자료를 모두 파기할 정도로 치밀했다.

ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
국세청이	국세청/NNG+이/JKS
세무조사에	세무/NNG+조사/NNG+에/JKB
들어가자	들어가/VV+자/EC
비밀전산실에	비밀/NNG+전산실/NNG+에/JKB
보관된	보관/NNG+되/XSV+ㄴ/ETM
자료를	자료/NNG+를/JKO
모두	모두/MAG
파기할	파기/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
치밀했다.	치밀하/VA+았/EP+다/EF+./SF


# id : NWRW1800000036.49.8.6
국세청은 전산장비를 어렵게 복구해 ㄱ씨의 탈루사실을 입증해 소득세 등 80억원과 현금영수증 미발행금액에 대한 과태료(미발행액의 50%) 152억원을 부과하고, 조세범처벌법에 따라 검찰에 고발했다.

국세청은	국세청/NNG+은/JX
전산장비를	전산/NNG+장비/NNG+를/JKO
어렵게	어렵/VA+게/EC
복구해	복구/NNG+하/XSV+아/EC
ㄱ씨의	ㄱ/NNG+씨/NNB+의/JKG
탈루사실을	탈루/NNG+사실/NNG+을/JKO
입증해	입증/NNG+하/XSV+아/EC
소득세	소득세/NNG
등	등/NNB
80억원과	80/SN+억/NR+원/NNB+과/JC
현금영수증	현금/NNG+영수증/NNG
미발행금액에	미/XPN+발행/NNG+금액/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
과태료(미발행액의	과태료/NNG+(/SS+미발행액/NNG+의/JKG
50%)	50/SN+%/SW+)/SS
152억원을	152/SN+억/NR+원/NNB+을/JKO
부과하고,	부과/NNG+하/XSV+고/EC+,/SP
조세범처벌법에	조세범/NNG+처벌법/NNG+에/JKB
따라	따르/VV+아/EC
검찰에	검찰/NNG+에/JKB
고발했다.	고발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.49.9.1
나이트클럽과 모텔을 운영하는 ㄴ씨도 비슷한 사례다.

나이트클럽과	나이트클럽/NNG+과/JC
모텔을	모텔/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
ㄴ씨도	ㄴ/NNG+씨/NNB+도/JX
비슷한	비슷하/VA+ㄴ/ETM
사례다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.49.9.2
그는 나이트클럽의 현금수입을 친척 명의 차명계좌에 입금해 49억원을 신고누락했다.

그는	그/NP+는/JX
나이트클럽의	나이트클럽/NNG+의/JKG
현금수입을	현금/NNG+수입/NNG+을/JKO
친척	친척/NNG
명의	명의/NNG
차명계좌에	차명/NNG+계좌/NNG+에/JKB
입금해	입금/NNG+하/XSV+아/EC
49억원을	49/SN+억/NR+원/NNB+을/JKO
신고누락했다.	신고/NNG+누락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.49.9.3
또 모텔 객실을 비밀창고로 삼아 숙박장부, 일일매출표 등 서류를 숨겨 3억원의 현금 수입을 빼돌렸다.

또	또/MAG
모텔	모텔/NNG
객실을	객실/NNG+을/JKO
비밀창고로	비밀/NNG+창고/NNG+로/JKB
삼아	삼/VV+아/EC
숙박장부,	숙박/NNG+장부/NNG+,/SP
일일매출표	일일/NNG+매출표/NNG
등	등/NNB
서류를	서류/NNG+를/JKO
숨겨	숨기/VV+어/EC
3억원의	3/SN+억/NR+원/NNB+의/JKG
현금	현금/NNG
수입을	수입/NNG+을/JKO
빼돌렸다.	빼돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.49.10.1
강남에서 유명한 미국 수학능력시험(SAT) 전문어학원을 운영해온 학원사업자 ㄷ씨는 학부모로부터 과도한 수강료로 받아 48억원의 수입을 부인 명의의 계좌로 빼돌렸다.

강남에서	강남/NNP+에서/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
미국	미국/NNP
수학능력시험(SAT)	수학/NNG+능력/NNG+시험/NNG+(/SS+SAT/SL+)/SS
전문어학원을	전문/NNG+어학원/NNG+을/JKO
운영해온	운영/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
학원사업자	학원/NNG+사업자/NNG
ㄷ씨는	ㄷ/NNG+씨/NNB+는/JX
학부모로부터	학부모/NNG+로부터/JKB
과도한	과도/NNG+하/XSA+ㄴ/ETM
수강료로	수강료/NNG+로/JKB
받아	받/VV+아/EC
48억원의	48/SN+억/NR+원/NNB+의/JKG
수입을	수입/NNG+을/JKO
부인	부인/NNG
명의의	명의/NNG+의/JKG
계좌로	계좌/NNG+로/JKB
빼돌렸다.	빼돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.49.10.2
그는 국내에서 미국대학 입학 준비생들을 상대로 소수정예 족집게 강의를 하고 과목당 월 150만원을 챙기기도 했다.

그는	그/NP+는/JX
국내에서	국내/NNG+에서/JKB
미국대학	미국/NNP+대학/NNG
입학	입학/NNG
준비생들을	준비/NNG+생/XSN+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
소수정예	소수/NNG+정예/NNG
족집게	족집게/NNG
강의를	강의/NNG+를/JKO
하고	하/VV+고/EC
과목당	과목/NNG+당/XSN
월	월/NNG
150만원을	150/SN+만/NR+원/NNB+을/JKO
챙기기도	챙기/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.49.10.3
룸살롱 업주 ㄹ씨는 아예 현금 자료를 이동형저장장치(USB)에 들고다니다 적발됐다.

룸살롱	룸살롱/NNG
업주	업주/NNG
ㄹ씨는	ㄹ/NNG+씨/NNB+는/JX
아예	아예/MAG
현금	현금/NNG
자료를	자료/NNG+를/JKO
이동형저장장치(USB)에	이동/NNG+형/XSN+저장/NNG+장치/NNG+(/SS+USB/SL+)/SS+에/JKB
들고다니다	들/VV+고/EC+다니/VV+다/EC
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.49.10.4
그는 현금 술값을 차명계좌로 넣고 봉사료를 허위계상하는 수법으로 60억원을 탈루하다가 결국 검찰에 고발됐다.

그는	그/NP+는/JX
현금	현금/NNG
술값을	술값/NNG+을/JKO
차명계좌로	차명/NNG+계좌/NNG+로/JKB
넣고	넣/VV+고/EC
봉사료를	봉사료/NNG+를/JKO
허위계상하는	허위/NNG+계상/NNG+하/XSV+는/ETM
수법으로	수법/NNG+으로/JKB
60억원을	60/SN+억/NR+원/NNB+을/JKO
탈루하다가	탈루/NNG+하/XSV+다가/EC
결국	결국/MAG
검찰에	검찰/NNG+에/JKB
고발됐다.	고발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.49.11.1
국세청은 이번 조사에 이어 의사, 변호사, 유흥업소 업주 등 고소득자 53명과 저가 수입농산물로 폐백·이바지 음식을 만들어 국산으로 속여 팔아 폭리를 취한 폐백·이바지 업체, 조산원 원장, 악덕 사채업자 등 민생침해 사업자 114명 등에 대한 세무조사를 추가로 돌입했다.

국세청은	국세청/NNG+은/JX
이번	이번/NNG
조사에	조사/NNG+에/JKB
이어	잇/VV+어/EC
의사,	의사/NNG+,/SP
변호사,	변호사/NNG+,/SP
유흥업소	유흥업소/NNG
업주	업주/NNG
등	등/NNB
고소득자	고소득자/NNG
53명과	53/SN+명/NNB+과/JC
저가	저가/NNG
수입농산물로	수입/NNG+농산물/NNG+로/JKB
폐백·이바지	폐백/NNG+·/SP+이바지/NNG
음식을	음식/NNG+을/JKO
만들어	만들/VV+어/EC
국산으로	국산/NNG+으로/JKB
속여	속이/VV+어/EC
팔아	팔/VV+아/EC
폭리를	폭리/NNG+를/JKO
취한	취하/VV+ㄴ/ETM
업체,	업체/NNG+,/SP
조산원	조산원/NNG
원장,	원장/NNG+,/SP
악덕	악덕/NNG
사채업자	사채업자/NNG
민생침해	민생/NNG+침해/NNG
사업자	사업자/NNG
114명	114/SN+명/NNB
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
세무조사를	세무/NNG+조사/NNG+를/JKO
추가로	추가/NNG+로/JKB
돌입했다.	돌입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.49.11.2
김형환 국세청 조사2과장은 “금융거래 추적조사, 거래상대방 확인조사 등을 통해 탈루소득을 끝까지 찾아내 세금으로 환수할 것”이라고 강조했다.

김형환	김형환/NNP
국세청	국세청/NNG
조사2과장은	조사/NNG+2/SN+과장/NNG+은/JX
“금융거래	“/SS+금융/NNG+거래/NNG
추적조사,	추적/NNG+조사/NNG+,/SP
거래상대방	거래/NNG+상대방/NNG
확인조사	확인/NNG+조사/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
탈루소득을	탈루/NNG+소득/NNG+을/JKO
끝까지	끝/NNG+까지/JX
찾아내	찾아내/VV+어/EC
세금으로	세금/NNG+으로/JKB
환수할	환수/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


