# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.377
metadata : {}


# id : NWRW1800000036.377.1.1
민주 “이대통령 하야 논의할 시점”

민주	민주/NNP
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.377.7.2
새누리당 비대위원들은 이날 저녁 긴급회동을 가진 뒤 “검찰 수사에 걸림돌이 될 수 있는 부분에 대해서는 책임 있는 선제적인 조치가 필요하다”며 청와대 민정수석을 지냈던 권재진 법무장관의 퇴진을 사실상 요구했다.

새누리당	새누리당/NNP
비대위원들은	비대위원/NNG+들/XSN+은/JX
이날	이날/NNG
저녁	저녁/NNG
긴급회동을	긴급/NNG+회동/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
뒤	뒤/NNG
“검찰	“/SS+검찰/NNG
수사에	수사/NNG+에/JKB
걸림돌이	걸림돌/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
부분에	부분/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
책임	책임/NNG
선제적인	선제/NNG+적/XSN+이/VCP+ㄴ/ETM
조치가	조치/NNG+가/JKS
필요하다”며	필요/NNG+하/XSA+다/EF+”/SS+며/EC
청와대	청와대/NNP
민정수석을	민정/NNG+수석/NNG+을/JKO
지냈던	지내/VV+었/EP+던/ETM
권재진	권재진/NNP
법무장관의	법무/NNG+장관/NNG+의/JKG
퇴진을	퇴진/NNG+을/JKO
사실상	사실/NNG+상/XSN
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


