# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.2
metadata : {}


# id : NWRW1800000028.2.1.1
‘금호그룹 일가’ 경영권 보장…‘대마불사’ 부활

‘금호그룹	‘/SS+금호그룹/NNP
출자전환을	출자/NNG+전환/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
구조조정이	구조/NNG+조정/NNG+이/JKS
이뤄지더라도	이뤄지/VV+더라도/EC
대주주	대/XPN+주주/NNG
일가의	일가/NNG+의/JKG
경영권을	경영/NNG+권/XSN+을/JKO
최소	최소/NNG
3년에서	3/SN+년/NNB+에서/JKB
최대	최대/NNG
5년까지	5/SN+년/NNB+까지/JX
인정하기로	인정/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.2.3.2
또 채권단 자율협의로 정상화를 추진하기로 한 금호석유화학과 아시아나항공도 같은 기간 동안 대주주의 경영권을 인정하기로 했다.

또	또/MAG
채권단	채권단/NNG
자율협의로	자율/NNG+협의/NNG+로/JKB
정상화를	정상/NNG+화/XSN+를/JKO
추진하기로	추진/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
금호석유화학과	금호석유화학/NNP+과/JC
아시아나항공도	아시아나항공/NNP+도/JX
같은	같/VA+은/ETM
기간	기간/NNG
동안	동안/NNG
대주주의	대/XPN+주주/NNG+의/JKG
경영권을	경영/NNG+권/XSN+을/JKO
인정하기로	인정/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.2.3.3
금융위원회 관계자는 “워크아웃 계획은 3~5년 정도를 보고 짜기 때문에 해당 기간에는 경영권을 대주주 일가에게 맡기자는 것”이라며 “대주주 일가가 가진 계열사 주식 전량을 담보로 받아, 3년 뒤까지 경영정상화를 이루지 못하면 경영권을 뺏자는 것”이라고 설명했다.

금융위원회	금융/NNG+위원회/NNG
관계자는	관계자/NNG+는/JX
“워크아웃	“/SS+워크아웃/NNG
계획은	계획/NNG+은/JX
3~5년	3/SN+~/SO+5/SN+년/NNB
정도를	정도/NNG+를/JKO
보고	보/VV+고/EC
짜기	짜/VV+기/ETN
때문에	때문/NNB+에/JKB
해당	해당/NNG
기간에는	기간/NNG+에/JKB+는/JX
경영권을	경영/NNG+권/XSN+을/JKO
대주주	대/XPN+주주/NNG
일가에게	일가/NNG+에게/JKB
맡기자는	맡기/VV+자는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“대주주	“/SS+대/XPN+주주/NNG
일가가	일가/NNG+가/JKS
가진	가지/VV+ㄴ/ETM
계열사	계열사/NNG
주식	주식/NNG
전량을	전량/NNG+을/JKO
담보로	담보/NNG+로/JKB
받아,	받/VV+아/EC+,/SP
3년	3/SN+년/NNB
뒤까지	뒤/NNG+까지/JX
경영정상화를	경영/NNG+정상/NNG+화/XSN+를/JKO
이루지	이루/VV+지/EC
못하면	못하/VX+면/EC
뺏자는	뺏/VV+자는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.2.4.1
하지만 당국의 이런 방침은 대주주 일가가 금호의 위기를 초래한 장본인이라는 점에서 구조조정 원칙에 어긋난다는 지적을 받는다.

하지만	하지만/MAJ
당국의	당국/NNG+의/JKG
이런	이런/MMD
방침은	방침/NNG+은/JX
대주주	대/XPN+주주/NNG
일가가	일가/NNG+가/JKS
금호의	금호/NNP+의/JKG
위기를	위기/NNG+를/JKO
초래한	초래/NNG+하/XSV+ㄴ/ETM
장본인이라는	장본인/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
구조조정	구조/NNG+조정/NNG
원칙에	원칙/NNG+에/JKB
어긋난다는	어긋나/VV+ㄴ다는/ETM
지적을	지적/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000028.2.4.2
전성인 홍익대 교수는 “워크아웃의 목적은 채권단 주도로 기업을 살리자는 것인데, 그 주요 내용 중 하나가 경영자에 회사를 정상화시킬 수 있는 유능한 사람을 앉히는 것”이라며 “부실 원인이 불가항력적이라면 기존 경영진에게 한번 더 기회를 줄 수 있지만, 무모한 대우건설 인수로 위기를 자초한 대주주 일가에게 경영권을 보장하는 것은 옳지 않다”고 말했다.

전성인	전성인/NNP
홍익대	홍익대/NNP
교수는	교수/NNG+는/JX
“워크아웃의	“/SS+워크아웃/NNG+의/JKG
목적은	목적/NNG+은/JX
채권단	채권단/NNG
주도로	주도/NNG+로/JKB
기업을	기업/NNG+을/JKO
살리자는	살리/VV+자는/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
그	그/MMD
주요	주요/NNG
내용	내용/NNG
중	중/NNB
하나가	하나/NR+가/JKS
경영자에	경영자/NNG+에/JKB
회사를	회사/NNG+를/JKO
정상화시킬	정상/NNG+화/XSN+시키/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
유능한	유능/NNG+하/XSA+ㄴ/ETM
사람을	사람/NNG+을/JKO
앉히는	앉히/VV+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“부실	“/SS+부실/NNG
원인이	원인/NNG+이/JKS
불가항력적이라면	불가항력/NNG+적/XSN+이/VCP+라면/EC
기존	기존/NNG
경영진에게	경영진/NNG+에게/JKB
한번	한번/NNG
더	더/MAG
기회를	기회/NNG+를/JKO
줄	주/VV+ㄹ/ETM
있지만,	있/VA+지만/EC+,/SP
무모한	무모/NNG+하/XSA+ㄴ/ETM
대우건설	대우건설/NNP
인수로	인수/NNG+로/JKB
위기를	위기/NNG+를/JKO
자초한	자초/NNG+하/XSV+ㄴ/ETM
대주주	대/XPN+주주/NNG
일가에게	일가/NNG+에게/JKB
경영권을	경영/NNG+권/XSN+을/JKO
보장하는	보장/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
옳지	옳/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.2.4.3
채권단이 워크아웃으로 인한 1조7000억원의 충당금 적립과 최소 1조원을 웃돌 전망인 출자전환으로 인해 막대한 손실이 예상되고, 이는 결국 납세자와 예금주의 손실로 돌아온다는 점에서, 대주주에 대한 경영권 인정은 심각한 도덕적 해이를 초래할 수 있다.

채권단이	채권단/NNG+이/JKS
워크아웃으로	워크아웃/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
1조7000억원의	1/SN+조/NR+7000/SN+억/NR+원/NNB+의/JKG
충당금	충당금/NNG
적립과	적립/NNG+과/JC
최소	최소/NNG
1조원을	1/SN+조/NR+원/NNB+을/JKO
웃돌	웃돌/VV+ㄹ/ETM
전망인	전망/NNG+이/VCP+ㄴ/ETM
출자전환으로	출자/NNG+전환/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
막대한	막대하/VA+ㄴ/ETM
손실이	손실/NNG+이/JKS
예상되고,	예상/NNG+되/XSV+고/EC+,/SP
이는	이/NP+는/JX
결국	결국/NNG
납세자와	납세자/NNG+와/JC
예금주의	예금주/NNG+의/JKG
손실로	손실/NNG+로/JKB
돌아온다는	돌아오/VV+ㄴ다는/ETM
점에서,	점/NNG+에서/JKB+,/SP
대주주에	대/XPN+주주/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경영권	경영/NNG+권/XSN
인정은	인정/NNG+은/JX
심각한	심각하/VA+ㄴ/ETM
도덕적	도덕/NNG+적/XSN
해이를	해이/NNG+를/JKO
초래할	초래/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.2.4.4
전 교수는 “3년 뒤 경영이 잘되면 담보가 없어도 채권 회수가 가능하고, 반대로 회생에 실패하면 주식은 쓰레기가 되기 때문에, 대주주 일가의 주식 담보를 경영권 인정의 이유로 내세우는 것은 말이 안 된다”고 일축했다.

전	전/NNP
교수는	교수/NNG+는/JX
“3년	“/SS+3/SN+년/NNB
뒤	뒤/NNG
경영이	경영/NNG+이/JKS
잘되면	잘/MAG+되/XSV+면/EC
담보가	담보/NNG+가/JKS
없어도	없/VA+어도/EC
채권	채권/NNG
회수가	회수/NNG+가/JKS
가능하고,	가능/NNG+하/XSA+고/EC+,/SP
반대로	반대/NNG+로/JKB
회생에	회생/NNG+에/JKB
실패하면	실패/NNG+하/XSV+면/EC
주식은	주식/NNG+은/JX
쓰레기가	쓰레기/NNG+가/JKS
되기	되/VV+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
대주주	대/XPN+주주/NNG
일가의	일가/NNG+의/JKG
주식	주식/NNG
담보를	담보/NNG+를/JKO
경영권	경영/NNG+권/XSN
인정의	인정/NNG+의/JKG
이유로	이유/NNG+로/JKB
내세우는	내세우/VV+는/ETM
것은	것/NNB+은/JX
말이	말/NNG+이/JKC
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
일축했다.	일축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.2.5.1
또 금호석유화학과 아시아나항공의 경우 재무구조가 좋다는 이유로 채권단 자율협의를 통해 회생을 추진하면서 대주주 경영권을 보장하기로 한 것에 대해서도 비판이 거세다.

또	또/MAG
금호석유화학과	금호석유화학/NNP+과/JC
아시아나항공의	아시아나항공/NNP+의/JKG
경우	경우/NNG
재무구조가	재무/NNG+구조/NNG+가/JKS
좋다는	좋/VA+다는/ETM
이유로	이유/NNG+로/JKB
채권단	채권단/NNG
자율협의를	자율/NNG+협의/NNG+를/JKO
통해	통하/VV+아/EC
회생을	회생/NNG+을/JKO
추진하면서	추진/NNG+하/XSV+면서/EC
대주주	대/XPN+주주/NNG
경영권을	경영/NNG+권/XSN+을/JKO
보장하기로	보장/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
비판이	비판/NNG+이/JKS
거세다.	거세/VA+다/EF+./SF


# id : NWRW1800000028.2.5.2
금호석유화학은 금호산업의 지분 19%를 가진 대주주로서 추가출자 등 경영정상화의 책임이 있고, 아시아나항공은 알짜 자회사이기 때문에 함께 워크아웃에 포함시켜 회생을 도모하는 게 더 효율적이라는 것이다.

금호석유화학은	금호석유화학/NNP+은/JX
금호산업의	금호산업/NNP+의/JKG
지분	지분/NNG
19%를	19/SN+%/SW+를/JKO
가진	가지/VV+ㄴ/ETM
대주주로서	대/XPN+주주/NNG+로서/JKB
추가출자	추가/NNG+출자/NNG
등	등/NNB
경영정상화의	경영/NNG+정상/NNG+화/XSN+의/JKG
책임이	책임/NNG+이/JKS
있고,	있/VA+고/EC+,/SP
아시아나항공은	아시아나항공/NNP+은/JX
알짜	알짜/NNG
자회사이기	자회사/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
함께	함께/MAG
워크아웃에	워크아웃/NNG+에/JKB
포함시켜	포함/NNG+시키/XSV+어/EC
회생을	회생/NNG+을/JKO
도모하는	도모/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
더	더/MAG
효율적이라는	효율/NNG+적/XSN+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.2.5.3
김상조 경제개혁연대 소장은 “부실기업 처리와 관련한 통합도산법, 기업구조조정촉진법, 채권단협약 등 정상적 법절차를 따르지 않고 금호석유화학과 아시아나항공에 대해 법적 구속력이 없는 채권단 자율협의로 정상화를 추진하는 것은 총수 일가의 경영권을 보장하려는 것”이라며 “자율협의라고 하지만 결국 관치가 재연될 가능성도 높다”고 말했다.

김상조	김상조/NNP
경제개혁연대	경제/NNG+개혁/NNG+연대/NNG
소장은	소장/NNG+은/JX
“부실기업	“/SS+부실기업/NNG
처리와	처리/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
통합도산법,	통합/NNG+도산법/NNG+,/SP
기업구조조정촉진법,	기업/NNG+구조/NNG+조정/NNG+촉진법/NNG+,/SP
채권단협약	채권단/NNG+협약/NNG
등	등/NNB
정상적	정상/NNG+적/XSN
법절차를	법/NNG+절차/NNG+를/JKO
따르지	따르/VV+지/EC
않고	않/VX+고/EC
금호석유화학과	금호석유화학/NNP+과/JC
아시아나항공에	아시아나항공/NNP+에/JKB
대해	대하/VV+아/EC
법적	법/NNG+적/XSN
구속력이	구속력/NNG+이/JKS
없는	없/VA+는/ETM
채권단	채권단/NNG
자율협의로	자율/NNG+협의/NNG+로/JKB
정상화를	정상/NNG+화/XSN+를/JKO
추진하는	추진/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
총수	총수/NNG
일가의	일가/NNG+의/JKG
경영권을	경영/NNG+권/XSN+을/JKO
보장하려는	보장/NNG+하/XSV+려는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“자율협의라고	“/SS+자율/NNG+협의/NNG+이/VCP+라고/EC
하지만	하/VV+지만/EC
결국	결국/NNG
관치가	관치/NNG+가/JKS
재연될	재연/NNG+되/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
높다”고	높/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.2.6.1
대주주의 사재출연도 계열사 주식으로 한정되고, 전체 가치가 3000억원에 불과하며, 주식의 상당 부분이 이미 담보로 제공되어 있어 실효성이 없다는 지적을 받는다.

대주주의	대/XPN+주주/NNG+의/JKG
사재출연도	사재/NNG+출연/NNG+도/JX
계열사	계열사/NNG
주식으로	주식/NNG+으로/JKB
한정되고,	한정/NNG+되/XSV+고/EC+,/SP
전체	전체/NNG
가치가	가치/NNG+가/JKS
3000억원에	3000/SN+억/NR+원/NNB+에/JKB
불과하며,	불과/MAG+하/XSA+며/EC+,/SP
주식의	주식/NNG+의/JKG
상당	상당/NNG
부분이	부분/NNG+이/JKS
이미	이미/MAG
담보로	담보/NNG+로/JKB
제공되어	제공/NNG+되/XSV+어/EC
있어	있/VX+어/EC
실효성이	실효/NNG+성/XSN+이/JKS
없다는	없/VA+다는/ETM
지적을	지적/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000028.2.6.2
금융당국과 채권단이 금호 구조조정과 관련해 대주주 일가의 눈치를 보며 ‘대마불사 신화’를 되살릴 경우, 앞으로 다른 대기업의 구조조정에도 악영향을 끼칠 전망이다.

금융당국과	금융/NNG+당국/NNG+과/JC
채권단이	채권단/NNG+이/JKS
금호	금호/NNP
구조조정과	구조/NNG+조정/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
대주주	대/XPN+주주/NNG
일가의	일가/NNG+의/JKG
눈치를	눈치/NNG+를/JKO
보며	보/VV+며/EC
‘대마불사	‘/SS+대마불사/NNG
신화’를	신화/NNG+’/SS+를/JKO
되살릴	되살리/VV+ㄹ/ETM
경우,	경우/NNG+,/SP
앞으로	앞/NNG+으로/JKB
다른	다른/MMD
대기업의	대/XPN+기업/NNG+의/JKG
구조조정에도	구조/NNG+조정/NNG+에/JKB+도/JX
악영향을	악영향/NNG+을/JKO
끼칠	끼치/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


