# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.144
metadata : {}


# id : NWRW1800000028.144.1.1
감잡은 박경완, 헤매는 김현수

감잡은	감/NNG+잡/VV+은/ETM
1위다.	1/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.144.5.1
박경완은 지난해 6월 왼쪽 아킬레스건 부상을 당해 일찌감치 시즌을 접는 바람에 포스트시즌에도 출전하지 못했다.

박경완은	박경완/NNP+은/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
왼쪽	왼쪽/NNG
아킬레스건	아킬레스건/NNG
부상을	부상/NNG+을/JKO
당해	당하/VV+아/EC
일찌감치	일찌감치/MAG
시즌을	시즌/NNG+을/JKO
접는	접/VV+는/ETM
바람에	바람/NNB+에/JKB
포스트시즌에도	포스트시즌/NNG+에/JKB+도/JX
출전하지	출전/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.144.5.2
올해도 4월 중순까지는 타격감을 찾지 못했지만 팀의 상승세와 함께 그의 방망이도 점점 뜨거워지고 있다.

올해도	올해/NNG+도/JX
4월	4/SN+월/NNB
중순까지는	중순/NNG+까지/JX+는/JX
타격감을	타격감/NNG+을/JKO
찾지	찾/VV+지/EC
못했지만	못하/VX+았/EP+지만/EC
팀의	팀/NNG+의/JKG
상승세와	상승세/NNG+와/JKB
함께	함께/MAG
그의	그/NP+의/JKG
방망이도	방망이/NNG+도/JX
점점	점점/MAG
뜨거워지고	뜨거워지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.144.6.1
두산 4번 타자 김현수(22)는 여전히 타격감을 찾지 못하고 있다.

두산	두산/NNP
4번	4/SN+번/NNB
타자	타자/NNG
김현수(22)는	김현수/NNP+(/SS+22/SN+)/SS+는/JX
여전히	여전히/MAG
타격감을	타격감/NNG+을/JKO
찾지	찾/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.144.6.2
김현수는 올 시즌 0.304(타격 14위), 3홈런(공동 18위), 16타점(공동 17위)으로 간신히 3할에 턱걸이하고 있다.

김현수는	김현수/NNP+는/JX
올	올/NNG
시즌	시즌/NNG
0.304(타격	0/SN+./SP+304/SN+(/SS+타격/NNG
14위),	14/SN+위/NNB+)/SS+,/SP
3홈런(공동	3/SN+홈런/NNG+(/SS+공동/NNG
18위),	18/SN+위/NNB+)/SS+,/SP
16타점(공동	16/SN+타점/NNG+(/SS+공동/NNG
17위)으로	17/SN+위/NNB+)/SS+으로/JKB
간신히	간신히/MAG
3할에	3/SN+할/NNB+에/JKB
턱걸이하고	턱걸이/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.144.6.3
4월 이후에는 타율 0.267(91타수 24안타)에 지나지 않는다.

4월	4/SN+월/NNB
이후에는	이후/NNG+에/JKB+는/JX
타율	타율/NNG
0.267(91타수	0/SN+./SP+267/SN+(/SS+91/SN+타수/NNG
24안타)에	24/SN+안타/NNG+)/SS+에/JKB
지나지	지나/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000028.144.6.4
2008년 타율 0.357로 수위타자에 올랐고, 2008년부터 2년 연속 안타왕에 오르며 ‘타격의 귀재’ 소리를 들었던 터라 그의 부진은 뜻밖이다.

2008년	2008/SN+년/NNB
타율	타율/NNG
0.357로	0/SN+./SP+357/SN+로/JKB
수위타자에	수위/NNG+타자/NNG+에/JKB
올랐고,	오르/VV+았/EP+고/EC+,/SP
2008년부터	2008/SN+년/NNB+부터/JX
2년	2/SN+년/NNB
연속	연속/NNG
안타왕에	안타왕/NNG+에/JKB
오르며	오르/VV+며/EC
‘타격의	‘/SS+타격/NNG+의/JKG
귀재’	귀재/NNG+’/SS
소리를	소리/NNG+를/JKO
들었던	듣/VV+었/EP+던/ETM
터라	터/NNB+이/VCP+라/EC
그의	그/NP+의/JKG
부진은	부진/NNG+은/JX
뜻밖이다.	뜻밖/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.144.6.5
김현수는 지난주에도 5경기에서 18타수 5안타(0.278)에 그쳤고, 특히 넥센과의 주말 3연전에서는 8타수 1안타로 팀의 2연패를 안타깝게 지켜봐야 했다.

김현수는	김현수/NNP+는/JX
지난주에도	지난주/NNG+에/JKB+도/JX
5경기에서	5/SN+경기/NNG+에서/JKB
18타수	18/SN+타수/NNG
5안타(0.278)에	5/SN+안타/NNG+(/SS+0/SN+./SP+278/SN+)/SS+에/JKB
그쳤고,	그치/VV+었/EP+고/EC+,/SP
특히	특히/MAG
넥센과의	넥센/NNP+과/JKB+의/JKG
주말	주말/NNG
3연전에서는	3/SN+연전/NNG+에서/JKB+는/JX
8타수	8/SN+타수/NNG
1안타로	1/SN+안타/NNG+로/JKB
팀의	팀/NNG+의/JKG
2연패를	2/SN+연패/NNG+를/JKO
안타깝게	안타깝/VA+게/EC
지켜봐야	지켜보/VV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.144.7.1
스스로 ‘사못쓰’(4할도 못 치는 쓰레기)라는 표현을 쓰던 그가 언제쯤 부진의 늪에서 헤어날까.

스스로	스스로/MAG
‘사못쓰’(4할도	‘/SS+사못쓰/NNP+’/SS+(/SS+4/SN+할/NNB+도/JX
못	못/MAG
치는	치/VV+는/ETM
쓰레기)라는	쓰레기/NNG+)/SS+이/VCP+라는/ETM
표현을	표현/NNG+을/JKO
쓰던	쓰/VV+던/ETM
그가	그/NP+가/JKS
언제쯤	언제/NP+쯤/XSN
부진의	부진/NNG+의/JKG
늪에서	늪/NNG+에서/JKB
헤어날까.	헤어나/VV+ㄹ까/EF+./SF


