# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.22
metadata : {}


# id : NWRW1800000026.22.1.1
[아이티 지진 참사]"내 딸이 살아있대, 내 딸이…" 울음 터진 '3000㎞ 母情';美거주 아이티 여성 나디아 전재산 들고 급히 고향으로 딸과 동생 생존 전해듣고 연방 "난 행복해요"

[아이티	[/SS+아이티/NNP
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.22.4.2
나디아는 마침 이곳을 지나던 도미니카 주재 아이티 영사인 제라르 카사마요르씨를 붙들었고, 역시 아이티로 들어가기 위해 카사마요르 영사의 지프차에 타고 있던 기자의 옆자리에 앉았다.

나디아는	나디아/NNP+는/JX
마침	마침/MAG
이곳을	이곳/NP+을/JKO
지나던	지나/VV+던/ETM
도미니카	도미니카/NNP
주재	주재/NNG
아이티	아이티/NNP
영사인	영사/NNG+이/VCP+ㄴ/ETM
제라르	제라르/NNP
카사마요르씨를	카사마요르/NNP+씨/NNB+를/JKO
붙들었고,	붙들/VV+었/EP+고/EC+,/SP
역시	역시/MAG
아이티로	아이티/NNP+로/JKB
들어가기	들어가/VV+기/ETN
위해	위하/VV+아/EC
카사마요르	카사마요르/NNP
영사의	영사/NNG+의/JKG
지프차에	지프차/NNG+에/JKB
타고	타/VV+고/EC
있던	있/VX+던/ETM
기자의	기자/NNG+의/JKG
옆자리에	옆자리/NNG+에/JKB
앉았다.	앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.22.5.1
나디아는 이때까지 이미 2800여㎞를 날아왔다.

나디아는	나디아/NNP+는/JX
이때까지	이때/NNG+까지/JX
이미	이미/MAG
2800여㎞를	2800/SN+여/XSN+㎞/SW+를/JKO
날아왔다.	날아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.22.5.2
미국에 있던 지난 13일 지진 소식을 듣고 딸과 부모가 있는 아이티 수도 포르토프랭스의 집에 전화를 걸었지만, 연결되지 않았다.

미국에	미국/NNP+에/JKB
있던	있/VA+던/ETM
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
지진	지진/NNG
소식을	소식/NNG+을/JKO
듣고	듣/VV+고/EC
딸과	딸/NNG+과/JC
부모가	부모/NNG+가/JKS
있는	있/VA+는/ETM
아이티	아이티/NNP
수도	수도/NNG
포르토프랭스의	포르토프랭스/NNP+의/JKG
집에	집/NNG+에/JKB
전화를	전화/NNG+를/JKO
걸었지만,	걸/VV+었/EP+지만/EC+,/SP
연결되지	연결/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.22.5.3
급히 뉴욕 JFK공항을 거쳐 포르토프랭스로 향하는 비행기에 올랐지만, 비행기는 포르토프랭스 공항 폐쇄로 도미니카공화국 산토도미노로 회항했다.

급히	급히/MAG
뉴욕	뉴욕/NNP
JFK공항을	JFK공항/NNP+을/JKO
거쳐	거치/VV+어/EC
포르토프랭스로	포르토프랭스/NNP+로/JKB
향하는	향하/VV+는/ETM
비행기에	비행기/NNG+에/JKB
올랐지만,	오르/VV+았/EP+지만/EC+,/SP
비행기는	비행기/NNG+는/JX
포르토프랭스	포르토프랭스/NNP
공항	공항/NNG
폐쇄로	폐쇄/NNG+로/JKB
도미니카공화국	도미니카공화국/NNP
산토도미노로	산토도미노/NNP+로/JKB
회항했다.	회항/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.22.5.4
항공편을 포기하고 15일 급히 버스를 타고 들어가다 사고를 당한 것이다.

항공편을	항공편/NNG+을/JKO
포기하고	포기/NNG+하/XSV+고/EC
15일	15/SN+일/NNB
급히	급히/MAG
버스를	버스/NNG+를/JKO
타고	타/VV+고/EC
들어가다	들어가/VV+다/EC
사고를	사고/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.22.6.1
그녀는 옆자리에서 "아무런 연락도 되지 않는다"며 울먹이면서 연방 휴대폰을 만지작거렸다.

그녀는	그녀/NP+는/JX
옆자리에서	옆자리/NNG+에서/JKB
"아무런	"/SS+아무런/MMD
연락도	연락/NNG+도/JX
되지	되/VV+지/EC
않는다"며	않/VX+는다/EF+"/SS+며/EC
울먹이면서	울먹이/VV+면서/EC
연방	연방/MAG
휴대폰을	휴대폰/NNG+을/JKO
만지작거렸다.	만지작거리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.22.6.2
휴대폰 바탕 화면엔 아버지 모셰이가 4살 난 손녀 시아라와 함께 웃고 있었다.

휴대폰	휴대폰/NNG
바탕	바탕/NNG
화면엔	화면/NNG+에/JKB+ㄴ/JX
아버지	아버지/NNG
모셰이가	모셰이/NNP+가/JKS
4살	4/SN+살/NNB
난	나/VV+ㄴ/ETM
손녀	손녀/NNG
시아라와	시아라/NNP+와/JKB
함께	함께/MAG
웃고	웃/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.22.7.1
지난 2004년 그녀는 아시아계 미국인과 아이티에서 결혼해 딸을 낳은 뒤 2008년 초 뉴햄프셔로 이주했지만 지금은 남편과 별거 중이다.

지난	지나/VV+ㄴ/ETM
2004년	2004/SN+년/NNB
그녀는	그녀/NP+는/JX
아시아계	아시아/NNP+계/XSN
미국인과	미국인/NNG+과/JC
아이티에서	아이티/NNP+에서/JKB
결혼해	결혼/NNG+하/XSV+아/EC
딸을	딸/NNG+을/JKO
낳은	낳/VV+은/ETM
뒤	뒤/NNG
2008년	2008/SN+년/NNB
초	초/NNB
뉴햄프셔로	뉴햄프셔/NNP+로/JKB
이주했지만	이주/NNG+하/XSV+았/EP+지만/EC
지금은	지금/NNG+은/JX
남편과	남편/NNG+과/JC
별거	별거/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.22.7.2
뉴햄프셔에서 간호조무사로 하루 14시간씩 일하는 그녀는 일주일 수입 300달러 대부분을 아이티 고향으로 송금해왔다.

뉴햄프셔에서	뉴햄프셔/NNP+에서/JKB
간호조무사로	간호조무사/NNG+로/JKB
하루	하루/NNG
14시간씩	14/SN+시간/NNB+씩/XSN
일하는	일/NNG+하/XSV+는/ETM
그녀는	그녀/NP+는/JX
일주일	일주일/NNG
수입	수입/NNG
300달러	300/SN+달러/NNB
대부분을	대/XPN+부분/NNG+을/JKO
아이티	아이티/NNP
고향으로	고향/NNG+으로/JKB
송금해왔다.	송금/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.22.8.1
나디아는 모아놓은 거의 전 재산인 500달러로 아이티행 비행기표와 버스표를 끊었다.

나디아는	나디아/NNP+는/JX
모아놓은	모으/VV+아/EC+놓/VX+은/ETM
거의	거의/MAG
전	전/MMN
재산인	재산/NNG+이/VCP+ㄴ/ETM
500달러로	500/SN+달러/NNB+로/JKB
아이티행	아이티행/NNG
비행기표와	비행기표/NNG+와/JC
버스표를	버스표/NNG+를/JKO
끊었다.	끊/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.22.8.2
수중엔 300달러밖에 없다고 했다.

수중엔	수중/NNG+에/JKB+ㄴ/JX
300달러밖에	300/SN+달러/NNB+밖에/JX
없다고	없/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.22.8.3
그녀는 기자 옆에서 "딸을 꼭 만날 거야"라며 불안한 마음을 스스로 다잡곤 했다.

그녀는	그녀/NP+는/JX
기자	기자/NNG
옆에서	옆/NNG+에서/JKB
"딸을	"/SS+딸/NNG+을/JKO
꼭	꼭/MAG
만날	만나/VV+ㄹ/ETM
거야"라며	거/NNB+이/VCP+야/EF+"/SS+이/VCP+라며/EC
불안한	불안/NNG+하/XSA+ㄴ/ETM
마음을	마음/NNG+을/JKO
스스로	스스로/MAG
다잡곤	다잡/VV+곤/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.22.9.1
지프차가 도미니카 쪽 검문소를 지나 아이티 쪽 검문소를 통과하는 순간, 그녀가 갑자기 창문을 두드리며 밖을 향해 다급하게 소리쳤다.

지프차가	지프차/NNG+가/JKS
도미니카	도미니카/NNP
쪽	쪽/NNB
검문소를	검문소/NNG+를/JKO
지나	지나/VV+아/EC
아이티	아이티/NNP
통과하는	통과/NNG+하/XSV+는/ETM
순간,	순간/NNG+,/SP
그녀가	그녀/NP+가/JKS
갑자기	갑자기/MAG
창문을	창문/NNG+을/JKO
두드리며	두드리/VV+며/EC
밖을	밖/NNG+을/JKO
향해	향하/VV+아/EC
다급하게	다급하/VA+게/EC
소리쳤다.	소리치/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.22.9.2
여동생의 남자친구인 경찰이 바로 검문소에 서 있었다.

여동생의	여동생/NNG+의/JKG
남자친구인	남자/NNG+친구/NNG+이/VCP+ㄴ/ETM
경찰이	경찰/NNG+이/JKS
바로	바로/MAG
검문소에	검문소/NNG+에/JKB
서	서/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.22.9.3
아이티 언어인 '크레올'로 대화를 주고받는 그녀의 얼굴 위로 수차례 명암이 교차했다.

아이티	아이티/NNP
언어인	언어/NNG+이/VCP+ㄴ/ETM
'크레올'로	'/SS+크레올/NNG+'/SS+로/JKB
대화를	대화/NNG+를/JKO
주고받는	주고받/VV+는/ETM
그녀의	그녀/NP+의/JKG
얼굴	얼굴/NNG
위로	위/NNG+로/JKB
수차례	수차례/NNG
명암이	명암/NNG+이/JKS
교차했다.	교차/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.22.9.4
"동생 집이 무너졌지만, 동생은 안전하다.

"동생	"/SS+동생/NNG
집이	집/NNG+이/JKS
무너졌지만,	무너지/VV+었/EP+지만/EC+,/SP
동생은	동생/NNG+은/JX
안전하다.	안전/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.22.9.5
하지만 너희 집 소식은 모른다."

하지만	하지만/MAJ
너희	너희/NP
집	집/NNG
소식은	소식/NNG+은/JX
모른다."	모르/VV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000026.22.10.1
이어 손에 들고 있던 전화를 귀에 대고 듣던 나디아는 소리를 지르며 눈물을 흘리기 시작했다.

이어	이어/MAG
손에	손/NNG+에/JKB
들고	들/VV+고/EC
있던	있/VX+던/ETM
전화를	전화/NNG+를/JKO
귀에	귀/NNG+에/JKB
대고	대/VV+고/EC
듣던	듣/VV+던/ETM
나디아는	나디아/NNP+는/JX
소리를	소리/NNG+를/JKO
지르며	지르/VV+며/EC
눈물을	눈물/NNG+을/JKO
흘리기	흘리/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.22.10.2
"딸이 무사하대! 딸이 무사하대!" 미 플로리다에 있던 그녀의 대모(代母)가 고향과 통화한 끝에 기쁜 소식을 전한 것이다.

"딸이	"/SS+딸/NNG+이/JKS
무사하대!	무사/NNG+하/XSA+대/EF+!/SF
딸이	딸/NNG+이/JKS
무사하대!"	무사/NNG+하/XSA+대/EF+!/SF+"/SS
미	미/NNP
플로리다에	플로리다/NNP+에/JKB
있던	있/VA+던/ETM
그녀의	그녀/NP+의/JKG
대모(代母)가	대모/NNG+(/SS+代母/SH+)/SS+가/JKS
고향과	고향/NNG+과/JKB
통화한	통화/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
기쁜	기쁘/VA+ㄴ/ETM
소식을	소식/NNG+을/JKO
전한	전하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.22.10.3
대모의 가족은 집이 무너져 3명이 숨졌다고 했다.

대모의	대모/NNG+의/JKG
가족은	가족/NNG+은/JX
집이	집/NNG+이/JKS
무너져	무너지/VV+어/EC
3명이	3/SN+명/NNB+이/JKS
숨졌다고	숨지/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.22.11.1
그 사이 지프차는 모두 252㎞를 달려 포르토프랭스에 도착했다.

그	그/MMD
사이	사이/NNG
지프차는	지프차/NNG+는/JX
모두	모두/MAG
252㎞를	252/SN+㎞/SW+를/JKO
달려	달리/VV+어/EC
포르토프랭스에	포르토프랭스/NNP+에/JKB
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.22.11.2
나디아는 무너진 건물 잔해 사이에서 기자와 헤어졌다.

나디아는	나디아/NNP+는/JX
무너진	무너지/VV+ㄴ/ETM
건물	건물/NNG
잔해	잔해/NNG
사이에서	사이/NNG+에서/JKB
기자와	기자/NNG+와/JKB
헤어졌다.	헤어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.22.11.3
"난 행복해요"라는 말을 연방 반복하면서….

"난	"/SS+나/NP+ㄴ/JX
행복해요"라는	행복/NNG+하/XSA+아요/EF+"/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
연방	연방/MAG
반복하면서….	반복/NNG+하/XSV+면서/EC+…/SE+./SF


